<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
XSW.US,5,20210922,153000,173.27,173.27,173.27,173.27,290,0
XSW.US,5,20210922,155000,173.661,173.661,173.661,173.661,200,0
XSW.US,5,20210922,164000,174.852,174.852,174.852,174.852,102,0
XSW.US,5,20210922,165500,174.86,174.86,174.86,174.86,180,0
XSW.US,5,20210922,170000,174.82,174.82,174.82,174.82,200,0
XSW.US,5,20210922,172500,175.22,175.22,175.22,175.22,170,0
XSW.US,5,20210922,175500,175.28,175.28,175.28,175.28,100,0
XSW.US,5,20210922,180000,175.223,175.24,175.215,175.225,590,0
XSW.US,5,20210922,180500,175.3,175.3,175.3,175.3,110,0
XSW.US,5,20210922,182000,175.26,175.27,175.26,175.269,1200,0
XSW.US,5,20210922,183500,175.317,175.317,175.317,175.317,400,0
XSW.US,5,20210922,184000,175.123,175.123,175.123,175.123,400,0
XSW.US,5,20210922,184500,175.12,175.12,175.12,175.12,115,0
XSW.US,5,20210922,194500,174.935,174.935,174.89,174.935,805,0
XSW.US,5,20210922,195500,174.84,174.84,174.84,174.84,123,0
XSW.US,5,20210922,200000,175.196,175.196,175.196,175.196,100,0
XSW.US,5,20210922,200500,175.092,175.092,175.092,175.092,217,0
XSW.US,5,20210922,204500,174.99,174.99,174.99,174.99,200,0
XSW.US,5,20210922,205000,174.87,174.87,174.81,174.81,200,0
XSW.US,5,20210922,211000,175.28,175.386,175.22,175.386,814,0
XSW.US,5,20210922,213500,175.82,175.82,175.82,175.82,144,0
XSW.US,5,20210922,215500,175.42,175.44,175.42,175.44,304,0
XSW.US,5,20210923,153000,176.53,176.53,176.53,176.53,2157,0
XSW.US,5,20210923,153500,176.605,176.605,176.605,176.605,226,0
XSW.US,5,20210923,154000,176.82,176.82,176.82,176.82,100,0
XSW.US,5,20210923,154500,176.9,176.9,176.9,176.9,100,0
XSW.US,5,20210923,155500,177.17,177.18,177.17,177.18,1100,0
XSW.US,5,20210923,160000,177.32,177.32,177.14,177.18,700,0
XSW.US,5,20210923,160500,177.141,177.141,177.141,177.141,113,0
XSW.US,5,20210923,161000,177.21,177.21,177.19,177.19,400,0
XSW.US,5,20210923,161500,177.19,177.22,177.068,177.22,450,0
XSW.US,5,20210923,163500,177.37,177.37,177.37,177.37,100,0
XSW.US,5,20210923,172000,177.58,177.64,177.58,177.64,300,0
XSW.US,5,20210923,173500,177.555,177.555,177.555,177.555,120,0
XSW.US,5,20210923,174000,177.51,177.51,177.473,177.473,538,0
XSW.US,5,20210923,174500,177.43,177.43,177.43,177.43,123,0
