<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
YLD.US,5,20210922,153000,21,21,21,21,2044,0
YLD.US,5,20210922,163500,21.02,21.02,21.02,21.02,100,0
YLD.US,5,20210922,164000,20.96,20.96,20.96,20.96,200,0
YLD.US,5,20210922,164500,21.08,21.08,21.08,21.08,225,0
YLD.US,5,20210922,183500,21.07,21.07,21.07,21.07,235,0
YLD.US,5,20210922,195000,21.07,21.09,21.07,21.09,1100,0
YLD.US,5,20210922,195500,21.07,21.075,21.07,21.075,800,0
YLD.US,5,20210922,202000,21.03,21.03,21.03,21.03,238,0
YLD.US,5,20210922,210500,21.09,21.09,21.09,21.09,192,0
YLD.US,5,20210923,162000,20.97,20.97,20.97,20.97,262,0
YLD.US,5,20210923,203000,20.98,20.98,20.98,20.98,100,0
YLD.US,5,20210923,204000,21.0007,21.0007,21.0007,21.0007,101,0
YLD.US,5,20210924,163500,21.02,21.095,21.02,21.09,1300,0
YLD.US,5,20210924,194000,21.05,21.05,21.05,21.05,285,0
YLD.US,5,20210924,210500,21.05,21.05,21.05,21.05,105,0
YLD.US,5,20210927,153000,20.97,20.97,20.97,20.97,244,0
YLD.US,5,20210927,161000,21.055,21.055,21.055,21.055,225,0
YLD.US,5,20210927,165000,21,21,21,21,134,0
YLD.US,5,20210927,193500,20.9503,20.9503,20.95,20.95,3390,0
YLD.US,5,20210927,204000,21.01,21.01,20.975,20.975,14000,0
YLD.US,5,20210927,211000,20.94,21.015,20.94,21.015,2220,0
YLD.US,5,20210927,215500,20.96,20.96,20.94,20.94,531,0
YLD.US,5,20210928,153000,20.96,20.96,20.96,20.96,153,0
YLD.US,5,20210928,155000,21,21,21,21,731,0
YLD.US,5,20210928,162000,20.95,20.95,20.95,20.95,200,0
YLD.US,5,20210928,163000,20.97,20.97,20.97,20.97,500,0
YLD.US,5,20210928,185500,20.94,20.94,20.94,20.94,300,0
YLD.US,5,20210928,190000,20.94,20.94,20.94,20.94,500,0
YLD.US,5,20210928,201000,20.94,20.94,20.94,20.94,100,0
YLD.US,5,20210928,204000,20.97,20.97,20.97,20.97,105,0
YLD.US,5,20210928,215500,20.93,20.93,20.93,20.93,345,0
YLD.US,5,20210929,153000,20.91,20.91,20.91,20.91,620,0
YLD.US,5,20210929,155500,20.91,20.91,20.91,20.91,802,0
YLD.US,5,20210929,163000,20.9101,20.935,20.9101,20.935,1000,0
YLD.US,5,20210929,175000,20.9599,20.9599,20.9599,20.9599,500,0
YLD.US,5,20210929,185500,20.9599,20.9599,20.95,20.95,2200,0
YLD.US,5,20210929,200000,20.95,20.95,20.95,20.95,100,0
YLD.US,5,20210929,215500,20.92,20.92,20.92,20.92,143,0
YLD.US,5,20210930,172000,20.935,20.935,20.935,20.935,156,0
YLD.US,5,20210930,184000,20.94,20.94,20.94,20.94,300,0
YLD.US,5,20210930,191000,20.95,20.95,20.95,20.95,200,0
YLD.US,5,20210930,192000,20.949,20.95,20.9417,20.95,1151,0
YLD.US,5,20210930,210000,20.93,20.93,20.93,20.93,162,0
YLD.US,5,20211001,153000,20.89,20.89,20.89,20.89,205,0
YLD.US,5,20211001,175000,20.96,20.98,20.96,20.98,2000,0
YLD.US,5,20211001,175500,20.83,20.83,20.83,20.83,2000,0
YLD.US,5,20211001,195000,20.96,20.96,20.84,20.84,1100,0
YLD.US,5,20211001,202000,20.923,20.923,20.923,20.923,100,0
YLD.US,5,20211004,173000,20.9,20.9,20.82,20.82,3484,0
YLD.US,5,20211004,175000,20.905,20.905,20.905,20.905,950,0
YLD.US,5,20211004,183500,20.8301,20.8301,20.83,20.83,428,0
YLD.US,5,20211004,184500,20.905,20.98,20.905,20.98,2379,0
YLD.US,5,20211004,212500,20.9,20.9,20.9,20.9,700,0
YLD.US,5,20211005,153000,20.87,20.87,20.87,20.87,512,0
YLD.US,5,20211005,162500,20.87,20.87,20.87,20.87,190,0
YLD.US,5,20211005,163000,20.91,20.91,20.91,20.91,100,0
YLD.US,5,20211005,164000,20.83,20.91,20.83,20.91,247,0
YLD.US,5,20211005,165500,20.91,20.91,20.91,20.91,500,0
YLD.US,5,20211005,170000,20.91,20.91,20.91,20.91,1000,0
YLD.US,5,20211005,171500,20.82,20.82,20.82,20.82,2200,0
YLD.US,5,20211005,175500,20.91,20.91,20.91,20.91,100,0
YLD.US,5,20211005,180500,20.875,20.875,20.875,20.875,100,0
YLD.US,5,20211005,181500,20.9199,20.9199,20.9199,20.9199,100,0
YLD.US,5,20211005,185000,20.875,20.875,20.875,20.875,500,0
YLD.US,5,20211005,190500,20.91,20.91,20.91,20.91,100,0
YLD.US,5,20211005,195000,20.91,20.92,20.91,20.91,8269,0
YLD.US,5,20211005,202000,20.91,20.91,20.91,20.91,100,0
YLD.US,5,20211005,213000,20.88,20.88,20.88,20.88,500,0
YLD.US,5,20211005,215000,20.9,20.9,20.85,20.85,600,0
YLD.US,5,20211006,170000,20.8,20.8,20.8,20.8,145,0
YLD.US,5,20211006,203000,20.86,20.87,20.86,20.865,500,0
YLD.US,5,20211006,213500,20.84,20.87,20.84,20.87,2488,0
YLD.US,5,20211006,214000,20.87,20.87,20.87,20.87,1050,0
YLD.US,5,20211007,153000,20.83,20.83,20.83,20.83,501,0
YLD.US,5,20211007,163000,20.8,20.8,20.795,20.795,225,0
YLD.US,5,20211007,183000,20.86,20.86,20.825,20.86,420,0
YLD.US,5,20211008,153000,20.87,20.87,20.87,20.87,306,0
YLD.US,5,20211008,162000,20.7801,20.7801,20.7801,20.7801,200,0
YLD.US,5,20211008,175500,20.83,20.83,20.83,20.83,1000,0
YLD.US,5,20211008,182000,20.79,20.8025,20.7801,20.7801,5617,0
YLD.US,5,20211008,184500,20.79,20.79,20.781,20.79,2000,0
YLD.US,5,20211008,202500,20.835,20.835,20.8,20.8,300,0
YLD.US,5,20211008,203000,20.8382,20.8382,20.8382,20.8382,150,0
YLD.US,5,20211008,214000,20.802,20.82,20.802,20.82,439,0
YLD.US,5,20211011,153000,20.82,20.82,20.82,20.82,891,0
YLD.US,5,20211011,155000,20.81,20.81,20.81,20.81,500,0
YLD.US,5,20211011,155500,20.811,20.8307,20.81,20.8307,2900,0
YLD.US,5,20211011,170500,20.8101,20.8101,20.8101,20.8101,8620,0
YLD.US,5,20211011,184500,20.85,20.85,20.85,20.85,257,0
YLD.US,5,20211011,193500,20.8101,20.8212,20.79,20.8212,6652,0
YLD.US,5,20211011,212500,20.815,20.815,20.815,20.815,500,0
YLD.US,5,20211012,203500,20.8199,20.8199,20.8199,20.8199,112,0
YLD.US,5,20211012,215500,20.77,20.77,20.77,20.77,500,0
YLD.US,5,20211013,162000,20.77,20.77,20.77,20.77,150,0
YLD.US,5,20211013,172500,20.77,20.77,20.765,20.765,1200,0
YLD.US,5,20211013,173000,20.765,20.765,20.765,20.765,100,0
YLD.US,5,20211013,174000,20.765,20.765,20.765,20.765,200,0
YLD.US,5,20211013,181000,20.7692,20.7692,20.7692,20.7692,300,0
YLD.US,5,20211013,212500,20.79,20.79,20.79,20.79,855,0
YLD.US,5,20211013,214000,20.79,20.79,20.79,20.79,250,0
YLD.US,5,20211014,162500,20.7801,20.7801,20.7801,20.7801,302,0
YLD.US,5,20211014,200000,20.8728,20.8728,20.8728,20.8728,418,0
YLD.US,5,20211014,201000,20.865,20.925,20.865,20.925,3882,0
YLD.US,5,20211014,202000,20.8854,20.8854,20.8854,20.8854,567,0
YLD.US,5,20211014,202500,20.92,20.92,20.865,20.865,2355,0
YLD.US,5,20211014,203000,20.93,20.93,20.93,20.93,700,0
YLD.US,5,20211014,203500,20.865,20.865,20.865,20.865,1950,0
YLD.US,5,20211014,204000,20.865,20.94,20.865,20.94,6163,0
YLD.US,5,20211014,204500,20.93,20.93,20.93,20.93,101,0
YLD.US,5,20211014,205000,20.93,20.94,20.907,20.94,6314,0
YLD.US,5,20211014,205500,20.939,20.94,20.939,20.94,200,0
YLD.US,5,20211014,210000,20.94,20.94,20.865,20.94,9620,0
YLD.US,5,20211014,210500,20.94,20.95,20.8704,20.8704,7379,0
YLD.US,5,20211015,160000,20.88,20.88,20.88,20.88,150,0
YLD.US,5,20211015,164000,20.8,20.8,20.8,20.8,170,0
YLD.US,5,20211015,173000,20.885,20.885,20.885,20.885,208,0
YLD.US,5,20211015,201500,20.925,20.925,20.925,20.925,250,0
YLD.US,5,20211015,202500,20.925,20.925,20.925,20.925,500,0
