<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
AAQC-WS.US,5,20210923,185000,0.9,0.9,0.8999,0.8999,200,0
AAQC-WS.US,5,20210923,212000,0.87,0.9,0.87,0.9,959,0
AAQC-WS.US,5,20210923,212500,0.895001,0.895001,0.895001,0.895001,300,0
AAQC-WS.US,5,20210923,213000,0.89,0.8925,0.89,0.89,13800,0
AAQC-WS.US,5,20210924,212000,0.91,0.91,0.91,0.91,25197,0
AAQC-WS.US,5,20210924,212500,0.9399,0.9399,0.9399,0.9399,200,0
AAQC-WS.US,5,20210924,213500,0.9399,0.9399,0.9399,0.9399,200,0
AAQC-WS.US,5,20210927,170000,0.94,0.94,0.94,0.94,200,0
AAQC-WS.US,5,20210927,171000,0.9599,0.9599,0.9598,0.9598,2000,0
AAQC-WS.US,5,20210927,204000,0.959699,0.9598,0.959699,0.9598,300,0
AAQC-WS.US,5,20210927,215000,0.9598,0.9899,0.958805,0.9849,6100,0
AAQC-WS.US,5,20210929,185500,0.9431,0.9431,0.9431,0.9431,100,0
AAQC-WS.US,5,20210930,173500,0.93,0.9302,0.93,0.93,9982,0
AAQC-WS.US,5,20210930,215500,0.9399,0.94,0.9399,0.9399,944,0
AAQC-WS.US,5,20211004,153000,0.9599,0.9599,0.9599,0.9599,100,0
AAQC-WS.US,5,20211004,214000,0.93,0.93,0.93,0.93,200,0
AAQC-WS.US,5,20211004,215000,0.95,0.98,0.95,0.98,200,0
AAQC-WS.US,5,20211004,215500,0.98,0.98,0.98,0.98,100,0
AAQC-WS.US,5,20211006,163000,0.94585,0.94585,0.94585,0.94585,8106,0
AAQC-WS.US,5,20211007,153000,0.9658,0.9658,0.9658,0.9658,100,0
AAQC-WS.US,5,20211007,185000,0.9363,0.9363,0.93,0.93,800,0
AAQC-WS.US,5,20211007,215500,0.98,0.98,0.98,0.98,200,0
AAQC-WS.US,5,20211008,165000,0.98,0.98,0.98,0.98,133,0
AAQC-WS.US,5,20211012,160000,0.94,0.9401,0.94,0.9401,1246,0
AAQC-WS.US,5,20211014,214500,0.940201,0.94505,0.9401,0.9401,1600,0
AAQC-WS.US,5,20211014,215000,0.9499,0.9499,0.9499,0.9499,500,0
AAQC-WS.US,5,20211014,215500,0.9499,0.9499,0.9499,0.9499,200,0
AAQC-WS.US,5,20211015,153000,0.9,0.93,0.9,0.93,417,0
AAQC-WS.US,5,20211015,155500,0.93,0.93,0.93,0.93,868,0
AAQC-WS.US,5,20211015,163000,0.93,0.9301,0.93,0.9301,2000,0
AAQC-WS.US,5,20211018,170000,0.8808,0.8808,0.8808,0.8808,260,0
AAQC-WS.US,5,20211018,172500,0.93,0.93,0.93,0.93,700,0
AAQC-WS.US,5,20211018,174500,0.93,0.930293,0.93,0.930293,700,0
AAQC-WS.US,5,20211018,210500,0.93,0.93,0.93,0.93,200,0
AAQC-WS.US,5,20211018,211500,0.9293,0.9293,0.9293,0.9293,100,0
AAQC-WS.US,5,20211018,214500,0.9293,0.9293,0.9293,0.9293,100,0
AAQC-WS.US,5,20211020,212500,0.941,0.941,0.941,0.941,100,0
AAQC-WS.US,5,20211020,213000,0.9699,0.9699,0.941,0.941,200,0
AAQC-WS.US,5,20211021,174000,0.92,0.92,0.92,0.92,541,0
AAQC-WS.US,5,20211025,153500,0.95,0.95,0.95,0.95,100,0
AAQC-WS.US,5,20211025,161000,0.9599,0.9606,0.9599,0.96,1129,0
AAQC-WS.US,5,20211025,184000,0.9699,0.97,0.9699,0.97,1335,0
AAQC-WS.US,5,20211026,153000,0.99,0.99,0.99,0.99,301,0
AAQC-WS.US,5,20211026,163500,1,1,1,1,5100,0
AAQC-WS.US,5,20211026,164000,1,1.02,1,1.02,1811,0
AAQC-WS.US,5,20211026,165500,1.02,1.02,1,1,3654,0
AAQC-WS.US,5,20211026,195000,0.9951,1,0.9951,1,478,0
AAQC-WS.US,5,20211026,215500,0.9601,0.9601,0.9601,0.9601,700,0
AAQC-WS.US,5,20211027,153000,0.98,0.98,0.98,0.98,100,0
AAQC-WS.US,5,20211027,161500,0.9731,0.9731,0.9731,0.9731,251,0
AAQC-WS.US,5,20211027,162000,0.9693,0.973,0.96,0.96,128333,0
AAQC-WS.US,5,20211027,215500,0.9701,0.9701,0.9701,0.9701,100,0
AAQC-WS.US,5,20211028,164000,0.9601,0.974901,0.96,0.974901,2300,0
AAQC-WS.US,5,20211028,192000,0.9656,0.9656,0.9656,0.9656,100,0
AAQC-WS.US,5,20211028,195000,0.9798,0.9799,0.9795,0.9795,1195,0
AAQC-WS.US,5,20211028,200000,0.9797,0.9797,0.9797,0.9797,1000,0
AAQC-WS.US,5,20211028,200500,0.972649,0.972649,0.972649,0.972649,1000,0
AAQC-WS.US,5,20211028,201000,0.9797,0.9797,0.9796,0.9796,1824,0
AAQC-WS.US,5,20211028,215000,0.9656,0.9656,0.9656,0.9656,160,0
AAQC-WS.US,5,20211028,215500,0.96,0.96,0.96,0.96,100,0
AAQC-WS.US,5,20211029,215500,0.97,0.97,0.97,0.97,200,0
AAQC-WS.US,5,20211101,143000,0.98,0.98,0.98,0.98,100,0
AAQC-WS.US,5,20211102,143000,1.02,1.02,1.02,1.02,100,0
