<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
AGO_F.US,5,20210922,153000,25.26,25.26,25.26,25.26,1476,0
AGO_F.US,5,20210922,155500,25.2699,25.2699,25.2699,25.2699,300,0
AGO_F.US,5,20210922,165500,25.26,25.26,25.26,25.26,4602,0
AGO_F.US,5,20210922,170500,25.2636,25.2636,25.2636,25.2636,733,0
AGO_F.US,5,20210922,175000,25.265,25.265,25.265,25.265,107,0
AGO_F.US,5,20210922,182500,25.27,25.27,25.27,25.27,521,0
AGO_F.US,5,20210922,190500,25.2799,25.2799,25.2799,25.2799,115,0
AGO_F.US,5,20210922,192500,25.27,25.27,25.27,25.27,367,0
AGO_F.US,5,20210922,204500,25.27,25.27,25.27,25.27,2054,0
AGO_F.US,5,20210922,205500,25.27,25.275,25.27,25.27,2084,0
AGO_F.US,5,20210922,210000,25.27,25.27,25.27,25.27,525,0
AGO_F.US,5,20210922,215500,25.27,25.28,25.27,25.28,1396,0
AGO_F.US,5,20210923,153000,25.27,25.27,25.27,25.27,750,0
AGO_F.US,5,20210923,161500,25.27,25.27,25.27,25.27,100,0
AGO_F.US,5,20210923,162000,25.275,25.275,25.275,25.275,1000,0
AGO_F.US,5,20210923,163500,25.27,25.27,25.27,25.27,489,0
AGO_F.US,5,20210923,172000,25.27,25.27,25.27,25.27,1165,0
AGO_F.US,5,20210923,180000,25.27,25.27,25.2604,25.2604,278,0
AGO_F.US,5,20210923,183000,25.27,25.27,25.27,25.27,400,0
AGO_F.US,5,20210923,201000,25.26,25.2669,25.26,25.2669,1454,0
AGO_F.US,5,20210923,212000,25.27,25.27,25.27,25.27,132,0
AGO_F.US,5,20210923,213500,25.2601,25.2601,25.2601,25.2601,1000,0
AGO_F.US,5,20210924,164000,25.27,25.27,25.27,25.27,421,0
AGO_F.US,5,20210924,182500,25.27,25.27,25.27,25.27,361,0
AGO_F.US,5,20210924,212000,25.275,25.275,25.275,25.275,686,0
AGO_F.US,5,20210924,212500,25.2701,25.2701,25.2701,25.2701,874,0
AGO_F.US,5,20210924,213000,25.27,25.27,25.27,25.27,2169,0
AGO_F.US,5,20210924,213500,25.27,25.27,25.27,25.27,2397,0
