<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
AHH.US,5,20210922,153000,13.044,13.103,13.034,13.083,14311,0
AHH.US,5,20210922,153500,13.103,13.143,13.103,13.143,912,0
AHH.US,5,20210922,154000,13.123,13.123,13.083,13.118,1569,0
AHH.US,5,20210922,154500,13.118,13.138,13.093,13.113,2472,0
AHH.US,5,20210922,155000,13.113,13.133,13.093,13.111,1232,0
AHH.US,5,20210922,155500,13.108,13.123,13.093,13.108,911,0
AHH.US,5,20210922,160000,13.093,13.138,13.093,13.138,911,0
AHH.US,5,20210922,160500,13.133,13.167,13.133,13.167,776,0
AHH.US,5,20210922,161000,13.182,13.192,13.143,13.143,2734,0
AHH.US,5,20210922,161500,13.163,13.182,13.143,13.166,3441,0
AHH.US,5,20210922,162000,13.172,13.182,13.162,13.182,1780,0
AHH.US,5,20210922,162500,13.212,13.232,13.211,13.232,1726,0
AHH.US,5,20210922,163000,13.242,13.261,13.242,13.242,1316,0
AHH.US,5,20210922,163500,13.237,13.246,13.232,13.232,1112,0
AHH.US,5,20210922,164000,13.232,13.232,13.217,13.232,607,0
AHH.US,5,20210922,165000,13.218,13.218,13.192,13.218,708,0
AHH.US,5,20210922,170000,13.192,13.207,13.192,13.192,304,0
AHH.US,5,20210922,170500,13.207,13.207,13.192,13.192,304,0
AHH.US,5,20210922,171000,13.212,13.261,13.212,13.251,4051,0
AHH.US,5,20210922,171500,13.251,13.251,13.242,13.242,1316,0
AHH.US,5,20210922,172000,13.261,13.27,13.261,13.261,2935,0
AHH.US,5,20210922,172500,13.251,13.291,13.251,13.273,1341,0
AHH.US,5,20210922,173000,13.271,13.291,13.271,13.271,3036,0
AHH.US,5,20210922,173500,13.271,13.271,13.271,13.271,304,0
AHH.US,5,20210922,174000,13.261,13.271,13.251,13.251,1214,0
AHH.US,5,20210922,174500,13.251,13.261,13.232,13.232,1085,0
AHH.US,5,20210922,175000,13.242,13.251,13.222,13.222,1001,0
AHH.US,5,20210922,175500,13.242,13.242,13.242,13.242,304,0
AHH.US,5,20210922,180500,13.222,13.222,13.222,13.222,101,0
AHH.US,5,20210922,181000,13.232,13.232,13.232,13.232,101,0
AHH.US,5,20210922,181500,13.227,13.227,13.162,13.162,3669,0
AHH.US,5,20210922,182000,13.177,13.212,13.177,13.212,1061,0
AHH.US,5,20210922,182500,13.202,13.232,13.202,13.232,2125,0
AHH.US,5,20210922,183000,13.232,13.251,13.222,13.251,1399,0
AHH.US,5,20210922,183500,13.251,13.271,13.242,13.242,1770,0
AHH.US,5,20210922,184000,13.251,13.261,13.232,13.232,1219,0
AHH.US,5,20210922,184500,13.261,13.261,13.261,13.261,567,0
AHH.US,5,20210922,185000,13.271,13.291,13.261,13.291,1959,0
AHH.US,5,20210922,185500,13.291,13.311,13.291,13.311,1260,0
AHH.US,5,20210922,190000,13.311,13.311,13.301,13.311,810,0
AHH.US,5,20210922,190500,13.321,13.35,13.291,13.34,9814,0
AHH.US,5,20210922,191000,13.34,13.35,13.34,13.34,1793,0
AHH.US,5,20210922,191500,13.35,13.36,13.34,13.36,2226,0
AHH.US,5,20210922,192000,13.34,13.35,13.34,13.35,304,0
AHH.US,5,20210922,192500,13.35,13.37,13.35,13.35,2753,0
AHH.US,5,20210922,193000,13.37,13.38,13.35,13.35,4279,0
AHH.US,5,20210922,193500,13.38,13.4,13.37,13.38,2172,0
AHH.US,5,20210922,194000,13.4,13.419,13.39,13.407,2530,0
AHH.US,5,20210922,194500,13.4,13.4,13.38,13.38,1851,0
AHH.US,5,20210922,195000,13.39,13.4,13.39,13.395,911,0
AHH.US,5,20210922,195500,13.41,13.419,13.4,13.41,877,0
AHH.US,5,20210922,200000,13.41,13.41,13.39,13.41,3421,0
AHH.US,5,20210922,200500,13.39,13.419,13.39,13.419,3446,0
AHH.US,5,20210922,201000,13.419,13.449,13.41,13.449,2328,0
AHH.US,5,20210922,201500,13.449,13.449,13.419,13.449,1316,0
AHH.US,5,20210922,202000,13.434,13.449,13.4,13.419,1883,0
AHH.US,5,20210922,202500,13.419,13.439,13.419,13.439,1341,0
AHH.US,5,20210922,203000,13.449,13.469,13.439,13.459,3394,0
AHH.US,5,20210922,203500,13.449,13.459,13.429,13.439,1261,0
AHH.US,5,20210922,204000,13.439,13.439,13.429,13.429,1417,0
AHH.US,5,20210922,204500,13.419,13.419,13.4,13.4,1446,0
AHH.US,5,20210922,205000,13.39,13.41,13.36,13.41,6466,0
AHH.US,5,20210922,205500,13.39,13.4,13.39,13.4,1911,0
AHH.US,5,20210922,210000,13.39,13.41,13.38,13.41,1834,0
AHH.US,5,20210922,210500,13.4,13.4,13.38,13.4,2732,0
AHH.US,5,20210922,211000,13.4,13.459,13.4,13.444,1518,0
AHH.US,5,20210922,211500,13.444,13.459,13.419,13.449,3659,0
AHH.US,5,20210922,212000,13.449,13.459,13.449,13.449,1923,0
AHH.US,5,20210922,212500,13.449,13.459,13.439,13.439,2102,0
AHH.US,5,20210922,213000,13.429,13.429,13.37,13.385,1619,0
AHH.US,5,20210922,213500,13.385,13.419,13.385,13.41,2721,0
AHH.US,5,20210922,214000,13.41,13.41,13.385,13.39,4461,0
AHH.US,5,20210922,214500,13.4,13.4,13.35,13.35,2653,0
AHH.US,5,20210922,215000,13.36,13.37,13.33,13.36,5485,0
AHH.US,5,20210922,215500,13.36,13.4,13.35,13.39,45228,0
AHH.US,5,20210923,153000,13.439,13.439,13.341,13.341,2354,0
AHH.US,5,20210923,153500,13.449,13.456,13.449,13.456,202,0
AHH.US,5,20210923,154000,13.439,13.449,13.434,13.449,2105,0
AHH.US,5,20210923,154500,13.429,13.469,13.419,13.424,1961,0
AHH.US,5,20210923,155000,13.424,13.439,13.424,13.439,686,0
AHH.US,5,20210923,155500,13.429,13.429,13.429,13.429,4720,0
AHH.US,5,20210923,160000,13.429,13.429,13.419,13.429,742,0
AHH.US,5,20210923,160500,13.429,13.429,13.419,13.419,751,0
AHH.US,5,20210923,161000,13.419,13.439,13.419,13.429,304,0
AHH.US,5,20210923,161500,13.429,13.429,13.429,13.429,202,0
AHH.US,5,20210923,162000,13.41,13.41,13.4,13.4,509,0
AHH.US,5,20210923,163000,13.39,13.39,13.37,13.37,508,0
AHH.US,5,20210923,163500,13.39,13.39,13.37,13.37,523,0
AHH.US,5,20210923,165000,13.39,13.39,13.38,13.38,202,0
AHH.US,5,20210923,165500,13.37,13.37,13.35,13.35,607,0
AHH.US,5,20210923,170000,13.36,13.37,13.36,13.37,1265,0
AHH.US,5,20210923,170500,13.37,13.37,13.37,13.37,304,0
AHH.US,5,20210923,171500,13.4,13.4,13.38,13.38,202,0
AHH.US,5,20210923,172000,13.419,13.419,13.419,13.419,202,0
AHH.US,5,20210923,172500,13.439,13.439,13.38,13.395,1846,0
AHH.US,5,20210923,174000,13.39,13.39,13.37,13.385,2086,0
AHH.US,5,20210923,175000,13.38,13.38,13.38,13.38,608,0
AHH.US,5,20210923,175500,13.38,13.38,13.38,13.38,124,0
AHH.US,5,20210923,180500,13.4,13.4,13.39,13.39,304,0
AHH.US,5,20210923,182000,13.37,13.37,13.36,13.36,965,0
AHH.US,5,20210923,182500,13.35,13.37,13.35,13.37,337,0
AHH.US,5,20210923,183500,13.37,13.38,13.37,13.37,1472,0
