<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
AHL_D.US,5,20210922,153000,27.39,27.52,27.39,27.52,2600,0
AHL_D.US,5,20210922,160000,27.51,27.53,27.47,27.47,840,0
AHL_D.US,5,20210922,161500,27.51,27.51,27.51,27.51,100,0
AHL_D.US,5,20210922,164500,27.54,27.54,27.54,27.54,100,0
AHL_D.US,5,20210922,170500,27.545,27.545,27.545,27.545,100,0
AHL_D.US,5,20210922,174000,27.6,27.6,27.49,27.5335,700,0
AHL_D.US,5,20210922,184000,27.5942,27.5942,27.5942,27.5942,264,0
AHL_D.US,5,20210922,185000,27.61,27.61,27.6,27.6,200,0
AHL_D.US,5,20210922,191500,27.57,27.57,27.56,27.56,715,0
AHL_D.US,5,20210922,192500,27.56,27.56,27.5599,27.5599,1561,0
AHL_D.US,5,20210922,193000,27.56,27.56,27.56,27.56,100,0
AHL_D.US,5,20210922,194500,27.57,27.57,27.57,27.57,100,0
AHL_D.US,5,20210922,195000,27.63,27.63,27.63,27.63,231,0
AHL_D.US,5,20210922,201000,27.745,27.745,27.745,27.745,300,0
AHL_D.US,5,20210922,202000,27.83,27.83,27.83,27.83,200,0
AHL_D.US,5,20210922,204000,27.82,27.82,27.82,27.82,100,0
AHL_D.US,5,20210922,205000,27.78,27.821,27.7401,27.821,500,0
AHL_D.US,5,20210922,205500,27.83,27.84,27.79,27.79,800,0
AHL_D.US,5,20210922,210500,27.7732,27.7732,27.7732,27.7732,132,0
AHL_D.US,5,20210922,213500,27.82,27.82,27.82,27.82,100,0
AHL_D.US,5,20210922,214500,27.82,27.82,27.82,27.82,100,0
AHL_D.US,5,20210922,215000,27.81,27.845,27.81,27.845,606,0
AHL_D.US,5,20210922,215500,27.82,27.92,27.82,27.92,500,0
AHL_D.US,5,20210923,153000,27.88,27.88,27.88,27.88,166,0
AHL_D.US,5,20210923,153500,27.88,27.88,27.88,27.88,244,0
AHL_D.US,5,20210923,154000,27.88,27.88,27.88,27.88,100,0
AHL_D.US,5,20210923,155500,27.89,27.89,27.86,27.86,400,0
AHL_D.US,5,20210923,162500,27.9,27.9,27.9,27.9,100,0
AHL_D.US,5,20210923,165000,27.91,27.91,27.91,27.91,100,0
AHL_D.US,5,20210923,171000,27.8056,27.8056,27.8,27.8,462,0
AHL_D.US,5,20210923,172500,27.71,27.71,27.7,27.7,400,0
AHL_D.US,5,20210923,173000,27.69,27.7,27.69,27.7,1000,0
AHL_D.US,5,20210923,173500,27.72,27.72,27.72,27.72,100,0
AHL_D.US,5,20210923,174500,27.535,27.535,27.535,27.535,100,0
AHL_D.US,5,20210923,175500,27.56,27.66,27.53,27.66,940,0
AHL_D.US,5,20210923,181500,27.6,27.6,27.6,27.6,111,0
AHL_D.US,5,20210923,183500,27.72,27.72,27.72,27.72,100,0
AHL_D.US,5,20210923,191000,27.725,27.77,27.725,27.77,600,0
AHL_D.US,5,20210923,194500,27.76,27.76,27.76,27.76,100,0
AHL_D.US,5,20210923,195500,27.687,27.687,27.687,27.687,100,0
AHL_D.US,5,20210923,202000,27.78,27.78,27.78,27.78,100,0
AHL_D.US,5,20210923,205500,27.76,27.76,27.76,27.76,100,0
AHL_D.US,5,20210923,211000,27.7682,27.7682,27.7682,27.7682,435,0
AHL_D.US,5,20210923,212000,27.75,27.75,27.75,27.75,100,0
AHL_D.US,5,20210923,213000,27.72,27.72,27.72,27.72,130,0
AHL_D.US,5,20210923,214000,27.78,27.78,27.78,27.78,100,0
AHL_D.US,5,20210923,214500,27.77,27.77,27.77,27.77,100,0
AHL_D.US,5,20210923,215500,27.77,27.78,27.75,27.78,500,0
AHL_D.US,5,20210924,153000,27.73,27.73,27.73,27.73,121,0
AHL_D.US,5,20210924,160000,27.72,27.72,27.72,27.72,210,0
AHL_D.US,5,20210924,161000,27.71,27.71,27.71,27.71,156,0
AHL_D.US,5,20210924,180000,27.64,27.64,27.64,27.64,250,0
AHL_D.US,5,20210924,183500,27.6645,27.6645,27.6645,27.6645,343,0
AHL_D.US,5,20210924,200000,27.66,27.66,27.66,27.66,115,0
AHL_D.US,5,20210924,201500,27.75,27.75,27.74,27.75,4266,0
AHL_D.US,5,20210924,202000,27.75,27.75,27.75,27.75,100,0
AHL_D.US,5,20210924,202500,27.75,27.75,27.75,27.75,200,0
AHL_D.US,5,20210924,203000,27.75,27.75,27.75,27.75,100,0
AHL_D.US,5,20210924,203500,27.73,27.76,27.72,27.72,3587,0
AHL_D.US,5,20210924,212000,27.69,27.69,27.69,27.69,200,0
AHL_D.US,5,20210924,215000,27.67,27.67,27.67,27.67,300,0
AHL_D.US,5,20210927,153000,27.51,27.57,27.51,27.57,2200,0
AHL_D.US,5,20210927,155500,27.7384,27.7384,27.645,27.645,740,0
AHL_D.US,5,20210927,160500,27.5688,27.5688,27.5688,27.5688,202,0
AHL_D.US,5,20210927,162500,27.69,27.69,27.65,27.65,300,0
AHL_D.US,5,20210927,170000,27.48,27.52,27.47,27.52,512,0
AHL_D.US,5,20210927,170500,27.5422,27.5422,27.5422,27.5422,159,0
AHL_D.US,5,20210927,183000,27.58,27.58,27.58,27.58,149,0
AHL_D.US,5,20210927,184500,27.6584,27.6584,27.6584,27.6584,147,0
AHL_D.US,5,20210927,190000,27.58,27.58,27.58,27.58,100,0
AHL_D.US,5,20210927,195000,27.5,27.5,27.5,27.5,200,0
AHL_D.US,5,20210927,212500,27.4842,27.5,27.48,27.48,800,0
AHL_D.US,5,20210927,213000,27.4128,27.4128,27.41,27.41,900,0
AHL_D.US,5,20210927,215000,27.435,27.45,27.435,27.45,637,0
AHL_D.US,5,20210927,215500,27.44,27.44,27.44,27.44,764,0
AHL_D.US,5,20210928,153000,27.49,27.56,27.46,27.5,510,0
AHL_D.US,5,20210928,155000,27.23,27.23,27.23,27.23,400,0
AHL_D.US,5,20210928,161000,27.18,27.18,27.18,27.18,310,0
AHL_D.US,5,20210928,161500,27.18,27.19,27.18,27.19,500,0
AHL_D.US,5,20210928,162000,27.171,27.171,27.171,27.171,100,0
AHL_D.US,5,20210928,163500,27.3947,27.3947,27.389,27.389,367,0
AHL_D.US,5,20210928,164500,27.23,27.231,27.23,27.231,500,0
AHL_D.US,5,20210928,165000,27.174,27.174,27.174,27.174,148,0
AHL_D.US,5,20210928,172000,27.08,27.08,27.05,27.05,900,0
AHL_D.US,5,20210928,175000,27.16,27.25,27.16,27.25,2886,0
AHL_D.US,5,20210928,180500,27.38,27.38,27.38,27.38,220,0
AHL_D.US,5,20210928,181000,27.39,27.44,27.39,27.44,2627,0
AHL_D.US,5,20210928,181500,27.401,27.401,27.401,27.401,184,0
AHL_D.US,5,20210928,182000,27.38,27.38,27.38,27.38,374,0
AHL_D.US,5,20210928,190500,27.2401,27.2401,27.2401,27.2401,500,0
AHL_D.US,5,20210928,193500,27.175,27.175,27.175,27.175,217,0
AHL_D.US,5,20210928,214000,27.1699,27.1699,27.1699,27.1699,183,0
AHL_D.US,5,20210928,215500,27.15,27.15,27.15,27.15,300,0
AHL_D.US,5,20210929,153000,27.29,27.355,27.29,27.355,362,0
AHL_D.US,5,20210929,161500,27.46,27.5,27.4287,27.48,500,0
AHL_D.US,5,20210929,162000,27.56,27.56,27.56,27.56,220,0
AHL_D.US,5,20210929,164500,27.5396,27.56,27.5396,27.56,418,0
AHL_D.US,5,20210929,170000,27.54,27.56,27.5,27.5,1677,0
AHL_D.US,5,20210929,170500,27.52,27.52,27.52,27.52,100,0
AHL_D.US,5,20210929,171500,27.53,27.53,27.49,27.5006,700,0
AHL_D.US,5,20210929,180000,27.5,27.57,27.5,27.57,1260,0
AHL_D.US,5,20210929,180500,27.5463,27.5463,27.5463,27.5463,124,0
AHL_D.US,5,20210929,181500,27.5476,27.5476,27.5476,27.5476,708,0
AHL_D.US,5,20210929,182000,27.47,27.47,27.47,27.47,500,0
AHL_D.US,5,20210929,183000,27.4946,27.4946,27.4946,27.4946,138,0
AHL_D.US,5,20210929,184500,27.56,27.56,27.56,27.56,100,0
AHL_D.US,5,20210929,192500,27.49,27.49,27.48,27.48,500,0
AHL_D.US,5,20210929,195500,27.47,27.47,27.47,27.47,166,0
AHL_D.US,5,20210929,201500,27.53,27.53,27.53,27.53,200,0
AHL_D.US,5,20210929,203500,27.55,27.55,27.55,27.55,124,0
AHL_D.US,5,20210929,210000,27.56,27.56,27.56,27.56,100,0
AHL_D.US,5,20210929,210500,27.56,27.57,27.56,27.56,473,0
AHL_D.US,5,20210929,211500,27.5078,27.5078,27.5078,27.5078,165,0
AHL_D.US,5,20210929,214000,27.6,27.6,27.6,27.6,101,0
AHL_D.US,5,20210930,153000,27.67,27.67,27.5,27.5,904,0
AHL_D.US,5,20210930,155500,27.5161,27.5161,27.5,27.5,446,0
AHL_D.US,5,20210930,160000,27.5,27.5,27.49,27.49,416,0
AHL_D.US,5,20210930,160500,27.49,27.58,27.49,27.58,234,0
AHL_D.US,5,20210930,162500,27.48,27.48,27.48,27.48,100,0
AHL_D.US,5,20210930,163500,27.56,27.56,27.56,27.56,115,0
AHL_D.US,5,20210930,164000,27.48,27.48,27.48,27.48,400,0
AHL_D.US,5,20210930,184500,27.5191,27.5191,27.46,27.46,400,0
AHL_D.US,5,20210930,195500,27.47,27.48,27.47,27.48,200,0
AHL_D.US,5,20210930,204500,27.6394,27.6394,27.6394,27.6394,109,0
AHL_D.US,5,20210930,205000,27.61,27.64,27.5,27.5,1994,0
AHL_D.US,5,20210930,205500,27.51,27.51,27.5,27.5,1012,0
AHL_D.US,5,20210930,215000,27.52,27.64,27.51,27.61,1800,0
AHL_D.US,5,20210930,215500,27.39,27.59,27.34,27.34,14079,0
