<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
ARMK.US,5,20210922,153000,31.73,32.07,31.73,32.03,10177,0
ARMK.US,5,20210922,153500,32.02,32.125,31.98,32.125,3750,0
ARMK.US,5,20210922,154000,32.09,32.11,31.99,32.055,4445,0
ARMK.US,5,20210922,154500,32.04,32.14,32.035,32.08,6861,0
ARMK.US,5,20210922,155000,32.06,32.12,31.9811,32.06,8591,0
ARMK.US,5,20210922,155500,32.06,32.24,32.06,32.2,65025,0
ARMK.US,5,20210922,160000,32.15,32.16,32.09,32.12,9929,0
ARMK.US,5,20210922,160500,32.12,32.15,32.09,32.15,12116,0
ARMK.US,5,20210922,161000,32.17,32.17,32.11,32.13,4302,0
ARMK.US,5,20210922,161500,32.14,32.14,32.055,32.07,3599,0
ARMK.US,5,20210922,162000,32.08,32.09,32.03,32.07,4583,0
ARMK.US,5,20210922,162500,32.09,32.11,32.03,32.07,6001,0
ARMK.US,5,20210922,163000,32.07,32.13,32.055,32.13,5989,0
ARMK.US,5,20210922,163500,32.15,32.24,32.135,32.235,26623,0
ARMK.US,5,20210922,164000,32.24,32.275,32.19,32.19,16679,0
ARMK.US,5,20210922,164500,32.19,32.22,32.17,32.205,12662,0
ARMK.US,5,20210922,165000,32.22,32.25,32.165,32.2,6001,0
ARMK.US,5,20210922,165500,32.1997,32.22,32.13,32.21,25424,0
ARMK.US,5,20210922,170000,32.19,32.26,32.19,32.19,115496,0
ARMK.US,5,20210922,170500,32.175,32.21,32.16,32.18,10276,0
ARMK.US,5,20210922,171000,32.19,32.2,32.165,32.185,8212,0
ARMK.US,5,20210922,171500,32.2,32.215,32.18,32.19,49665,0
ARMK.US,5,20210922,172000,32.19,32.21,32.18,32.2,16188,0
ARMK.US,5,20210922,172500,32.19,32.21,32.19,32.2,14069,0
ARMK.US,5,20210922,173000,32.2,32.29,32.19,32.22,12659,0
ARMK.US,5,20210922,173500,32.22,32.24,32.13,32.13,39868,0
ARMK.US,5,20210922,174000,32.14,32.18,32.1,32.18,16185,0
ARMK.US,5,20210922,174500,32.18,32.2,32.13,32.14,12539,0
ARMK.US,5,20210922,175000,32.15,32.19,32.12,32.155,6960,0
ARMK.US,5,20210922,175500,32.17,32.17,32.13,32.13,2925,0
ARMK.US,5,20210922,180000,32.13,32.14,32.11,32.13,2333,0
ARMK.US,5,20210922,180500,32.13,32.2,32.12,32.19,114836,0
ARMK.US,5,20210922,181000,32.19,32.22,32.15,32.15,9554,0
ARMK.US,5,20210922,181500,32.155,32.165,32.08,32.085,4457,0
ARMK.US,5,20210922,182000,32.08,32.1056,32.06,32.09,7170,0
ARMK.US,5,20210922,182500,32.0801,32.105,32.07,32.07,12674,0
ARMK.US,5,20210922,183000,32.07,32.09,32.07,32.09,6734,0
ARMK.US,5,20210922,183500,32.09,32.11,32.08,32.08,19430,0
ARMK.US,5,20210922,184000,32.085,32.085,32.03,32.04,8412,0
ARMK.US,5,20210922,184500,32.045,32.06,32.045,32.06,3902,0
ARMK.US,5,20210922,185000,32.05,32.065,32.045,32.065,3812,0
ARMK.US,5,20210922,185500,32.065,32.07,31.99,31.99,43017,0
ARMK.US,5,20210922,190000,32,32.01,31.99,32,2953,0
ARMK.US,5,20210922,190500,32,32.01,31.975,32.01,5308,0
ARMK.US,5,20210922,191000,32,32.07,31.99,32.06,4833,0
ARMK.US,5,20210922,191500,32.05,32.05,32.02,32.04,3568,0
ARMK.US,5,20210922,192000,32.05,32.05,32.02,32.02,1635,0
ARMK.US,5,20210922,192500,32.01,32.07,32.005,32.06,8425,0
ARMK.US,5,20210922,193000,32.06,32.08,32.05,32.08,9619,0
ARMK.US,5,20210922,193500,32.09,32.15,32.09,32.12,21506,0
ARMK.US,5,20210922,194000,32.11,32.13,32.09,32.11,6549,0
ARMK.US,5,20210922,194500,32.1,32.13,32.095,32.13,40537,0
ARMK.US,5,20210922,195000,32.12,32.25,32.115,32.24,80589,0
ARMK.US,5,20210922,195500,32.24,32.24,32.19,32.2,20123,0
ARMK.US,5,20210922,200000,32.19,32.23,32.12,32.2,42741,0
ARMK.US,5,20210922,200500,32.2,32.235,32.13,32.235,44539,0
ARMK.US,5,20210922,201000,32.24,32.37,32.24,32.34,66298,0
ARMK.US,5,20210922,201500,32.34,32.44,32.34,32.42,58484,0
ARMK.US,5,20210922,202000,32.42,32.47,32.41,32.45,23192,0
ARMK.US,5,20210922,202500,32.47,32.56,32.47,32.55,6206,0
ARMK.US,5,20210922,203000,32.56,32.59,32.52,32.55,12767,0
ARMK.US,5,20210922,203500,32.55,32.58,32.451,32.495,11491,0
ARMK.US,5,20210922,204000,32.49,32.49,32.38,32.385,11197,0
ARMK.US,5,20210922,204500,32.38,32.38,32.19,32.2,12347,0
ARMK.US,5,20210922,205000,32.19,32.25,32.13,32.215,10393,0
ARMK.US,5,20210922,205500,32.21,32.21,32.14,32.16,12486,0
ARMK.US,5,20210922,210000,32.14,32.18,32.11,32.16,12683,0
ARMK.US,5,20210922,210500,32.165,32.17,32.111,32.16,21546,0
ARMK.US,5,20210922,211000,32.15,32.25,32.15,32.23,12815,0
ARMK.US,5,20210922,211500,32.24,32.25,32.2,32.25,23628,0
ARMK.US,5,20210922,212000,32.25,32.29,32.245,32.27,5710,0
ARMK.US,5,20210922,212500,32.275,32.28,32.22,32.27,8537,0
ARMK.US,5,20210922,213000,32.27,32.29,32.17,32.21,16447,0
ARMK.US,5,20210922,213500,32.2,32.28,32.19,32.2725,25047,0
ARMK.US,5,20210922,214000,32.27,32.29,32.16,32.18,28377,0
ARMK.US,5,20210922,214500,32.18,32.185,32.145,32.16,39512,0
