<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
ASGI.US,5,20210922,153500,20.17,20.18,20.17,20.18,1750,0
ASGI.US,5,20210922,160000,20.195,20.195,20.195,20.195,500,0
ASGI.US,5,20210922,162000,20.2499,20.2499,20.2499,20.2499,500,0
ASGI.US,5,20210922,162500,20.24,20.24,20.24,20.24,100,0
ASGI.US,5,20210922,163000,20.25,20.25,20.25,20.25,402,0
ASGI.US,5,20210922,163500,20.25,20.25,20.25,20.25,401,0
ASGI.US,5,20210922,164000,20.1888,20.195,20.1888,20.195,500,0
ASGI.US,5,20210922,164500,20.2401,20.2401,20.2401,20.2401,980,0
ASGI.US,5,20210922,165500,20.25,20.25,20.25,20.25,146,0
ASGI.US,5,20210922,170500,20.25,20.25,20.25,20.25,100,0
ASGI.US,5,20210922,171000,20.27,20.27,20.27,20.27,100,0
ASGI.US,5,20210922,172500,20.27,20.27,20.27,20.27,800,0
ASGI.US,5,20210922,174500,20.27,20.27,20.27,20.27,100,0
ASGI.US,5,20210922,175500,20.24,20.24,20.24,20.24,150,0
ASGI.US,5,20210922,182000,20.24,20.3,20.24,20.24,2332,0
ASGI.US,5,20210922,184500,20.3,20.3,20.3,20.3,100,0
ASGI.US,5,20210922,213500,20.18,20.18,20.18,20.18,342,0
ASGI.US,5,20210922,215500,20.18,20.18,20.18,20.18,258,0
ASGI.US,5,20210923,153000,20.28,20.28,20.28,20.28,177,0
ASGI.US,5,20210923,154500,20.44,20.83,20.39,20.83,4350,0
ASGI.US,5,20210923,155500,20.68,20.68,20.68,20.68,300,0
ASGI.US,5,20210923,162500,20.56,20.56,20.56,20.56,1250,0
ASGI.US,5,20210923,165500,20.44,20.44,20.44,20.44,500,0
ASGI.US,5,20210923,170000,20.51,20.51,20.51,20.51,500,0
ASGI.US,5,20210923,170500,20.4863,20.4863,20.4863,20.4863,300,0
ASGI.US,5,20210923,180000,20.4,20.4,20.37,20.37,1000,0
ASGI.US,5,20210923,183500,20.32,20.37,20.32,20.37,423,0
ASGI.US,5,20210923,185000,20.361,20.37,20.361,20.37,200,0
ASGI.US,5,20210923,190500,20.3609,20.37,20.3609,20.37,200,0
ASGI.US,5,20210923,191000,20.37,20.37,20.37,20.37,195,0
