<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
BAC.US,5,20210922,153000,39.75,39.98,39.75,39.935,2084586,0
BAC.US,5,20210922,153500,39.935,40.03,39.8,39.83,1547345,0
BAC.US,5,20210922,154000,39.83,39.87,39.775,39.845,1112029,0
BAC.US,5,20210922,154500,39.85,39.93,39.825,39.915,811774,0
BAC.US,5,20210922,155000,39.915,40.09,39.905,40.065,802491,0
BAC.US,5,20210922,155500,40.07,40.23,40.065,40.16,734331,0
BAC.US,5,20210922,160000,40.16,40.19,40.085,40.1645,598477,0
BAC.US,5,20210922,160500,40.17,40.18,40.03,40.06,461860,0
BAC.US,5,20210922,161000,40.06,40.095,39.98,40.065,465271,0
BAC.US,5,20210922,161500,40.07,40.085,40.03,40.04,279056,0
BAC.US,5,20210922,162000,40.0455,40.06,39.99,40.0307,545762,0
BAC.US,5,20210922,162500,40.04,40.05,39.985,39.995,487576,0
BAC.US,5,20210922,163000,40,40.03,39.93,40.0299,649942,0
BAC.US,5,20210922,163500,40.02,40.035,39.99,40.025,197360,0
BAC.US,5,20210922,164000,40.025,40.08,40.01,40.0311,221834,0
BAC.US,5,20210922,164500,40.03,40.06,39.96,40.0528,361029,0
BAC.US,5,20210922,165000,40.055,40.0757,39.99,40.015,322582,0
BAC.US,5,20210922,165500,40.015,40.085,40,40.0805,255445,0
BAC.US,5,20210922,170000,40.08,40.11,40.075,40.1,256642,0
BAC.US,5,20210922,170500,40.105,40.105,40.04,40.04,209917,0
BAC.US,5,20210922,171000,40.045,40.1758,40.04,40.13,426264,0
BAC.US,5,20210922,171500,40.135,40.19,40.135,40.165,237975,0
BAC.US,5,20210922,172000,40.16,40.19,40.14,40.1625,230246,0
BAC.US,5,20210922,172500,40.16,40.19,40.15,40.175,234532,0
BAC.US,5,20210922,173000,40.175,40.23,40.15,40.185,293563,0
BAC.US,5,20210922,173500,40.19,40.23,40.18,40.205,286024,0
BAC.US,5,20210922,174000,40.2005,40.23,40.1715,40.23,179206,0
BAC.US,5,20210922,174500,40.2238,40.23,40.16,40.1704,185802,0
BAC.US,5,20210922,175000,40.175,40.25,40.095,40.1101,835388,0
BAC.US,5,20210922,175500,40.11,40.19,40.105,40.17,256033,0
BAC.US,5,20210922,180000,40.1743,40.2,40.155,40.19,184820,0
BAC.US,5,20210922,180500,40.19,40.19,40.121,40.155,129594,0
BAC.US,5,20210922,181000,40.155,40.18,40.14,40.1531,115208,0
BAC.US,5,20210922,181500,40.16,40.165,40.1,40.14,356714,0
BAC.US,5,20210922,182000,40.145,40.17,40.14,40.165,114650,0
BAC.US,5,20210922,182500,40.16,40.2099,40.16,40.196,128237,0
BAC.US,5,20210922,183000,40.2,40.22,40.18,40.185,192467,0
BAC.US,5,20210922,183500,40.185,40.195,40.14,40.165,163976,0
BAC.US,5,20210922,184000,40.16,40.18,40.15,40.1599,105304,0
BAC.US,5,20210922,184500,40.16,40.19,40.1532,40.1582,133664,0
BAC.US,5,20210922,185000,40.16,40.17,40.1,40.1,127050,0
BAC.US,5,20210922,185500,40.1055,40.155,40.09,40.155,226064,0
BAC.US,5,20210922,190000,40.155,40.18,40.13,40.135,220310,0
BAC.US,5,20210922,190500,40.1343,40.165,40.13,40.16,179317,0
BAC.US,5,20210922,191000,40.1603,40.18,40.14,40.165,138549,0
BAC.US,5,20210922,191500,40.17,40.2,40.151,40.18,140744,0
BAC.US,5,20210922,192000,40.18,40.2,40.17,40.1825,133037,0
BAC.US,5,20210922,192500,40.18,40.2,40.1642,40.175,170870,0
BAC.US,5,20210922,193000,40.17,40.225,40.17,40.22,306314,0
