<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
BAMH.US,5,20210922,153000,25.83,25.83,25.83,25.83,700,0
BAMH.US,5,20210922,155500,25.8105,25.83,25.8105,25.83,2559,0
BAMH.US,5,20210922,160000,25.83,25.84,25.83,25.84,700,0
BAMH.US,5,20210922,160500,25.84,25.84,25.84,25.84,100,0
BAMH.US,5,20210922,161000,25.8395,25.8395,25.8395,25.8395,1600,0
BAMH.US,5,20210922,161500,25.85,25.85,25.83,25.83,4158,0
BAMH.US,5,20210922,162000,25.86,25.89,25.86,25.89,1218,0
BAMH.US,5,20210922,170500,25.8995,25.8995,25.881,25.881,1200,0
BAMH.US,5,20210922,172000,25.8995,25.8995,25.895,25.895,716,0
BAMH.US,5,20210922,174500,25.92,25.92,25.905,25.9199,967,0
BAMH.US,5,20210922,175000,25.92,25.93,25.92,25.93,966,0
BAMH.US,5,20210922,180500,25.95,25.98,25.95,25.95,658,0
BAMH.US,5,20210922,181000,25.9521,25.9521,25.95,25.95,500,0
BAMH.US,5,20210922,181500,25.935,25.935,25.935,25.935,100,0
BAMH.US,5,20210922,183500,25.925,25.925,25.925,25.925,800,0
BAMH.US,5,20210922,184000,25.9001,25.9001,25.9001,25.9001,141,0
BAMH.US,5,20210922,184500,25.9495,25.9495,25.9495,25.9495,600,0
BAMH.US,5,20210922,191500,25.939,25.95,25.939,25.95,598,0
BAMH.US,5,20210922,193000,25.95,25.951,25.9321,25.9321,400,0
BAMH.US,5,20210922,193500,25.95,25.95,25.92,25.92,200,0
BAMH.US,5,20210922,195000,25.9695,25.98,25.9695,25.98,1174,0
BAMH.US,5,20210922,200000,25.95,25.95,25.95,25.95,200,0
BAMH.US,5,20210922,201000,25.9807,25.981,25.98,25.98,912,0
BAMH.US,5,20210922,201500,25.99,25.99,25.99,25.99,900,0
BAMH.US,5,20210922,202500,25.98,25.98,25.98,25.98,400,0
BAMH.US,5,20210922,203500,25.97,25.97,25.97,25.97,774,0
BAMH.US,5,20210922,204500,25.95,25.955,25.95,25.955,1100,0
BAMH.US,5,20210922,205500,25.955,25.955,25.955,25.955,600,0
BAMH.US,5,20210922,210500,25.95,25.95,25.95,25.95,196,0
BAMH.US,5,20210922,213000,25.94,25.94,25.94,25.94,451,0
BAMH.US,5,20210922,213500,25.98,25.98,25.98,25.98,113,0
BAMH.US,5,20210922,214000,25.9829,25.9829,25.9829,25.9829,103,0
BAMH.US,5,20210922,214500,25.98,25.98,25.98,25.98,200,0
BAMH.US,5,20210922,215000,25.97,25.97,25.97,25.97,150,0
BAMH.US,5,20210922,215500,25.99,26.05,25.99,26.05,3323,0
BAMH.US,5,20210923,153000,26,26,25.99,25.99,3323,0
