<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
BIF.US,5,20210922,153000,13.23,13.25,13.215,13.25,2473,0
BIF.US,5,20210922,153500,13.23,13.23,13.23,13.23,231,0
BIF.US,5,20210922,154000,13.25,13.25,13.25,13.25,717,0
BIF.US,5,20210922,154500,13.22,13.26,13.22,13.2328,4374,0
BIF.US,5,20210922,155000,13.255,13.255,13.255,13.255,2785,0
BIF.US,5,20210922,155500,13.24,13.26,13.24,13.26,1906,0
BIF.US,5,20210922,160500,13.305,13.305,13.27,13.27,831,0
BIF.US,5,20210922,161000,13.27,13.34,13.27,13.34,1300,0
BIF.US,5,20210922,161500,13.2717,13.2717,13.27,13.27,315,0
BIF.US,5,20210922,162000,13.27,13.27,13.27,13.27,200,0
BIF.US,5,20210922,162500,13.27,13.27,13.27,13.27,200,0
BIF.US,5,20210922,163000,13.27,13.27,13.27,13.27,100,0
BIF.US,5,20210922,163500,13.27,13.27,13.27,13.27,300,0
BIF.US,5,20210922,164000,13.27,13.27,13.26,13.2682,3590,0
BIF.US,5,20210922,164500,13.26,13.26,13.26,13.26,300,0
BIF.US,5,20210922,165000,13.26,13.26,13.26,13.26,100,0
BIF.US,5,20210922,165500,13.26,13.26,13.26,13.26,200,0
BIF.US,5,20210922,170000,13.28,13.28,13.26,13.27,1202,0
BIF.US,5,20210922,170500,13.27,13.27,13.27,13.27,100,0
BIF.US,5,20210922,171000,13.27,13.28,13.27,13.28,700,0
BIF.US,5,20210922,171500,13.27,13.28,13.27,13.27,2050,0
BIF.US,5,20210922,172000,13.27,13.28,13.27,13.28,1000,0
BIF.US,5,20210922,172500,13.27,13.27,13.27,13.27,100,0
BIF.US,5,20210922,173000,13.28,13.28,13.28,13.28,100,0
BIF.US,5,20210922,173500,13.28,13.28,13.27,13.27,300,0
BIF.US,5,20210922,174000,13.28,13.2899,13.28,13.2899,477,0
BIF.US,5,20210922,174500,13.29,13.29,13.29,13.29,100,0
BIF.US,5,20210922,175000,13.29,13.29,13.28,13.28,200,0
BIF.US,5,20210922,175500,13.275,13.275,13.275,13.275,100,0
BIF.US,5,20210922,180000,13.275,13.29,13.275,13.29,200,0
BIF.US,5,20210922,180500,13.28,13.28,13.28,13.28,100,0
BIF.US,5,20210922,181000,13.28,13.28,13.28,13.28,100,0
BIF.US,5,20210922,182000,13.27,13.27,13.27,13.27,200,0
BIF.US,5,20210922,182500,13.27,13.27,13.27,13.27,100,0
BIF.US,5,20210922,183000,13.28,13.28,13.28,13.28,100,0
BIF.US,5,20210922,183500,13.28,13.28,13.28,13.28,100,0
BIF.US,5,20210922,184000,13.28,13.28,13.28,13.28,100,0
BIF.US,5,20210922,184500,13.28,13.28,13.28,13.28,200,0
BIF.US,5,20210922,185000,13.27,13.3,13.27,13.27,7298,0
BIF.US,5,20210922,185500,13.27,13.27,13.27,13.27,100,0
BIF.US,5,20210922,190000,13.27,13.27,13.27,13.27,100,0
BIF.US,5,20210922,190500,13.285,13.2885,13.28,13.28,895,0
BIF.US,5,20210922,191000,13.27,13.28,13.27,13.28,500,0
BIF.US,5,20210922,191500,13.27,13.27,13.27,13.27,200,0
BIF.US,5,20210922,192000,13.27,13.27,13.27,13.27,100,0
BIF.US,5,20210922,192500,13.27,13.2785,13.27,13.27,1522,0
BIF.US,5,20210922,193000,13.278,13.278,13.265,13.27,3941,0
BIF.US,5,20210922,193500,13.28,13.28,13.28,13.28,240,0
BIF.US,5,20210922,194000,13.26,13.26,13.26,13.26,100,0
BIF.US,5,20210922,194500,13.28,13.29,13.28,13.29,1466,0
BIF.US,5,20210922,195000,13.295,13.295,13.295,13.295,118,0
BIF.US,5,20210922,200000,13.3,13.3,13.265,13.265,714,0
BIF.US,5,20210922,200500,13.26,13.276,13.26,13.27,718,0
BIF.US,5,20210922,201000,13.2968,13.2968,13.2968,13.2968,315,0
BIF.US,5,20210922,201500,13.31,13.31,13.31,13.31,100,0
BIF.US,5,20210922,202000,13.31,13.3282,13.27,13.3282,5300,0
BIF.US,5,20210922,203000,13.27,13.27,13.27,13.27,100,0
BIF.US,5,20210922,203500,13.27,13.2701,13.26,13.26,8467,0
BIF.US,5,20210922,204000,13.27,13.28,13.27,13.28,200,0
BIF.US,5,20210922,204500,13.28,13.28,13.28,13.28,100,0
BIF.US,5,20210922,205000,13.28,13.28,13.23,13.23,1250,0
BIF.US,5,20210922,205500,13.23,13.23,13.23,13.23,200,0
BIF.US,5,20210922,210000,13.23,13.23,13.23,13.23,200,0
BIF.US,5,20210922,210500,13.23,13.23,13.23,13.23,100,0
BIF.US,5,20210922,211000,13.23,13.27,13.23,13.27,304,0
BIF.US,5,20210922,211500,13.31,13.31,13.3,13.31,3700,0
BIF.US,5,20210922,212000,13.27,13.27,13.27,13.27,100,0
BIF.US,5,20210922,212500,13.25,13.25,13.24,13.24,200,0
BIF.US,5,20210922,213000,13.275,13.31,13.24,13.24,8689,0
BIF.US,5,20210922,213500,13.28,13.28,13.25,13.25,2400,0
BIF.US,5,20210922,214000,13.25,13.25,13.24,13.24,400,0
BIF.US,5,20210922,214500,13.239,13.239,13.23,13.23,400,0
BIF.US,5,20210922,215000,13.22,13.26,13.22,13.22,2300,0
BIF.US,5,20210922,215500,13.22,13.22,13.21,13.21,1705,0
BIF.US,5,20210923,153000,13.25,13.38,13.25,13.38,10960,0
BIF.US,5,20210923,153500,13.345,13.39,13.29,13.34,15100,0
BIF.US,5,20210923,154000,13.3754,13.3899,13.33,13.33,3411,0
BIF.US,5,20210923,155000,13.353,13.353,13.3201,13.3201,620,0
BIF.US,5,20210923,155500,13.3567,13.3567,13.3567,13.3567,1500,0
BIF.US,5,20210923,161000,13.36,13.38,13.36,13.38,1414,0
BIF.US,5,20210923,162000,13.37,13.37,13.37,13.37,1250,0
BIF.US,5,20210923,163500,13.395,13.42,13.395,13.42,10688,0
BIF.US,5,20210923,164000,13.42,13.42,13.42,13.42,100,0
BIF.US,5,20210923,164500,13.42,13.42,13.411,13.4199,2330,0
BIF.US,5,20210923,172000,13.4,13.4,13.4,13.4,600,0
BIF.US,5,20210923,172500,13.402,13.402,13.402,13.402,935,0
BIF.US,5,20210923,173500,13.42,13.42,13.4195,13.4195,1000,0
BIF.US,5,20210923,174000,13.4399,13.4399,13.4399,13.4399,1980,0
BIF.US,5,20210923,180000,13.4399,13.44,13.4399,13.44,950,0
BIF.US,5,20210923,181500,13.42,13.42,13.42,13.42,300,0
BIF.US,5,20210923,182500,13.4,13.4346,13.4,13.4346,1047,0
BIF.US,5,20210923,183000,13.425,13.44,13.425,13.44,950,0
BIF.US,5,20210923,184500,13.4486,13.4486,13.4486,13.4486,100,0
BIF.US,5,20210923,185500,13.4499,13.4499,13.4499,13.4499,148,0
BIF.US,5,20210923,192000,13.45,13.45,13.4482,13.4482,700,0
BIF.US,5,20210923,192500,13.4406,13.442,13.435,13.435,3550,0
