<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
BME.US,5,20210922,153000,48.04,48.04,48.04,48.04,288,0
BME.US,5,20210922,153500,47.9353,47.9353,47.9353,47.9353,104,0
BME.US,5,20210922,154000,48.02,48.02,48.02,48.02,100,0
BME.US,5,20210922,154500,48.02,48.02,48.02,48.02,207,0
BME.US,5,20210922,155000,48.01,48.02,48.01,48.02,300,0
BME.US,5,20210922,155500,48.02,48.02,48.02,48.02,200,0
BME.US,5,20210922,160000,48.02,48.085,48.02,48.085,500,0
BME.US,5,20210922,172000,48.103,48.103,48.103,48.103,200,0
BME.US,5,20210922,172500,48.08,48.08,48.08,48.08,200,0
BME.US,5,20210922,173000,48.05,48.05,48.05,48.05,203,0
BME.US,5,20210922,174000,48.01,48.01,48.01,48.01,300,0
BME.US,5,20210922,181500,48.0001,48.0001,48.0001,48.0001,200,0
BME.US,5,20210922,183000,48.05,48.05,48.05,48.05,100,0
BME.US,5,20210922,185500,48.0001,48.0001,48.0001,48.0001,200,0
BME.US,5,20210922,193000,48.2,48.2,48.2,48.2,200,0
BME.US,5,20210922,194000,48.2,48.2,48.2,48.2,400,0
BME.US,5,20210922,200500,48.7451,48.7451,48.175,48.2438,790,0
BME.US,5,20210922,202000,48.2108,48.2108,48.2108,48.2108,100,0
BME.US,5,20210922,202500,48.2444,48.2444,48.2444,48.2444,340,0
BME.US,5,20210922,203000,47.9981,47.9981,47.9981,47.9981,180,0
BME.US,5,20210922,205000,48.2984,48.2984,48.2984,48.2984,200,0
BME.US,5,20210922,205500,47.9445,47.9445,47.9445,47.9445,198,0
BME.US,5,20210922,211000,48.185,48.185,48.185,48.185,100,0
BME.US,5,20210922,211500,48.17,48.17,48.09,48.09,692,0
BME.US,5,20210922,212000,48.2583,48.2583,48.2583,48.2583,1000,0
BME.US,5,20210922,213000,48.175,48.175,48.175,48.175,200,0
BME.US,5,20210922,214000,48.09,48.1,48.08,48.08,320,0
BME.US,5,20210922,214500,48.02,48.02,48,48,300,0
BME.US,5,20210922,215500,48.08,48.08,47.97,47.97,335,0
BME.US,5,20210923,153000,48.26,48.26,48.26,48.26,663,0
BME.US,5,20210923,160000,48.2755,48.48,48.2755,48.48,989,0
BME.US,5,20210923,160500,48.3749,48.3749,48.3749,48.3749,750,0
BME.US,5,20210923,162500,48.3609,48.3609,48.3609,48.3609,110,0
BME.US,5,20210923,163500,48.37,48.37,48.37,48.37,200,0
BME.US,5,20210923,164500,48.37,48.37,48.37,48.37,100,0
BME.US,5,20210923,170000,48.36,48.48,48.2601,48.48,500,0
BME.US,5,20210923,171000,48.355,48.355,48.2601,48.2601,300,0
BME.US,5,20210923,171500,48.2601,48.2601,48.2601,48.2601,100,0
BME.US,5,20210923,172000,48.37,48.48,48.37,48.48,1295,0
BME.US,5,20210923,172500,48.3212,48.44,48.3212,48.44,793,0
BME.US,5,20210923,173000,48.4399,48.4399,48.3212,48.3212,648,0
BME.US,5,20210923,173500,48.398,48.398,48.3,48.3,1117,0
BME.US,5,20210923,181000,48.29,48.29,48.29,48.29,300,0
BME.US,5,20210923,182000,48.2761,48.2761,48.2761,48.2761,103,0
BME.US,5,20210923,182500,48.289,48.289,48.241,48.241,400,0
BME.US,5,20210923,184000,48.255,48.255,48.23,48.23,200,0
BME.US,5,20210923,185000,48.22,48.22,48.22,48.22,101,0
BME.US,5,20210923,185500,48.2216,48.2814,48.2216,48.2814,545,0
BME.US,5,20210923,190500,48.245,48.245,48.245,48.245,301,0
BME.US,5,20210923,191000,48.23,48.23,48.23,48.23,100,0
BME.US,5,20210923,192000,48.2893,48.2893,48.269,48.269,200,0
BME.US,5,20210923,193500,48.22,48.22,48.22,48.22,103,0
BME.US,5,20210923,194000,48.29,48.29,48.29,48.29,101,0
BME.US,5,20210923,202500,48.36,48.36,48.36,48.36,500,0
BME.US,5,20210923,203000,48.3804,48.39,48.372,48.3894,1100,0
BME.US,5,20210923,205000,48.33,48.39,48.33,48.39,514,0
BME.US,5,20210923,212500,48.34,48.37,48.33,48.33,1909,0
BME.US,5,20210923,214000,48.32,48.3219,48.26,48.26,1696,0
BME.US,5,20210923,215000,48.35,48.35,48.23,48.23,600,0
BME.US,5,20210923,215500,48.28,48.28,48.28,48.28,152,0
BME.US,5,20210924,153000,48.15,48.15,48.15,48.15,1961,0
BME.US,5,20210924,155500,48.4002,48.47,48.3639,48.3639,3688,0
BME.US,5,20210924,160000,48.3517,48.47,48.3517,48.47,1010,0
BME.US,5,20210924,161500,48.361,48.361,48.361,48.361,250,0
BME.US,5,20210924,162500,48.2042,48.2042,48.2042,48.2042,254,0
BME.US,5,20210924,164000,48.46,48.46,48.46,48.46,400,0
BME.US,5,20210924,165000,48.43,48.43,48.43,48.43,100,0
BME.US,5,20210924,170000,48.1774,48.22,48.16,48.196,1754,0
BME.US,5,20210924,171000,48.1996,48.1996,48.1996,48.1996,300,0
BME.US,5,20210924,174000,48.2,48.2543,48.2,48.22,700,0
BME.US,5,20210924,174500,48.245,48.245,48.245,48.245,100,0
BME.US,5,20210924,181500,48.26,48.26,48.26,48.26,300,0
BME.US,5,20210924,182000,48.2479,48.25,48.2479,48.25,250,0
BME.US,5,20210924,182500,48.241,48.241,48.24,48.2404,400,0
BME.US,5,20210924,183500,48.2497,48.2497,48.2497,48.2497,200,0
BME.US,5,20210924,190500,48.2495,48.2495,48.2495,48.2495,200,0
BME.US,5,20210924,191500,48.2551,48.2551,48.2551,48.2551,119,0
BME.US,5,20210924,192500,48.2873,48.2873,48.2873,48.2873,100,0
BME.US,5,20210924,193000,48.2999,48.2999,48.2999,48.2999,100,0
BME.US,5,20210924,194500,48.2101,48.2101,48.2101,48.2101,734,0
BME.US,5,20210924,200500,48.23,48.23,48.23,48.23,200,0
BME.US,5,20210924,201000,48.23,48.23,48.23,48.23,100,0
BME.US,5,20210924,201500,48.22,48.22,48.22,48.22,100,0
BME.US,5,20210924,203000,48.2368,48.2368,48.2368,48.2368,100,0
BME.US,5,20210924,204000,48.25,48.25,48.25,48.25,100,0
BME.US,5,20210924,204500,48.27,48.27,48.27,48.27,200,0
BME.US,5,20210924,212000,48.33,48.33,48.33,48.33,185,0
BME.US,5,20210924,212500,48.27,48.27,48.27,48.27,144,0
BME.US,5,20210924,213000,48.265,48.265,48.265,48.265,200,0
BME.US,5,20210924,215500,48.24,48.24,48.15,48.225,1034,0
BME.US,5,20210927,153000,48.2,48.2,48.2,48.2,874,0
BME.US,5,20210927,153500,48.2,48.2747,48.17,48.2747,600,0
BME.US,5,20210927,154000,48.17,48.17,48.15,48.15,553,0
BME.US,5,20210927,155000,48.185,48.185,48.15,48.15,1330,0
BME.US,5,20210927,161000,48.15,48.15,48.07,48.11,540,0
BME.US,5,20210927,170000,48.1163,48.1163,48.1163,48.1163,100,0
BME.US,5,20210927,170500,48.1485,48.1485,48.1485,48.1485,100,0
BME.US,5,20210927,171500,48,48,48,48,100,0
BME.US,5,20210927,172000,48.0217,48.0217,48.0217,48.0217,480,0
BME.US,5,20210927,172500,48.008,48.008,47.952,47.952,1500,0
BME.US,5,20210927,174000,47.96,47.96,47.96,47.96,100,0
BME.US,5,20210927,174500,47.9538,47.9538,47.93,47.93,300,0
BME.US,5,20210927,175500,47.9801,47.9801,47.9801,47.9801,100,0
BME.US,5,20210927,183000,47.96,47.96,47.96,47.96,100,0
BME.US,5,20210927,184000,47.882,47.882,47.8114,47.822,791,0
BME.US,5,20210927,185500,47.94,47.94,47.92,47.94,600,0
BME.US,5,20210927,191000,47.8183,47.8183,47.8183,47.8183,300,0
BME.US,5,20210927,191500,47.8864,47.8864,47.8864,47.8864,100,0
BME.US,5,20210927,192000,47.885,47.885,47.885,47.885,500,0
BME.US,5,20210927,193000,47.8907,47.8907,47.8515,47.8515,1175,0
BME.US,5,20210927,193500,47.95,47.95,47.95,47.95,1150,0
BME.US,5,20210927,194000,47.9233,47.9233,47.8686,47.8686,600,0
BME.US,5,20210927,201000,47.855,47.855,47.855,47.855,100,0
BME.US,5,20210927,202000,47.9021,47.9021,47.9021,47.9021,100,0
BME.US,5,20210927,204500,47.87,47.87,47.87,47.87,100,0
BME.US,5,20210927,205000,47.87,47.87,47.87,47.87,413,0
BME.US,5,20210927,205500,47.8715,47.8715,47.86,47.86,476,0
BME.US,5,20210927,211000,47.8593,47.8593,47.8593,47.8593,176,0
BME.US,5,20210927,212000,47.9499,47.9499,47.8411,47.8411,230,0
BME.US,5,20210927,212500,47.84,47.84,47.815,47.84,400,0
BME.US,5,20210927,213000,47.81,47.81,47.5,47.71,3543,0
BME.US,5,20210927,215000,47.72,47.72,47.72,47.72,100,0
BME.US,5,20210927,215500,47.6,47.6,47.6,47.6,106,0
BME.US,5,20210928,153000,47.62,47.62,47.62,47.62,1038,0
BME.US,5,20210928,153500,47.5,47.705,47.37,47.705,400,0
BME.US,5,20210928,154000,47.81,47.96,47.81,47.96,1617,0
BME.US,5,20210928,154500,47.49,47.49,47.49,47.49,400,0
BME.US,5,20210928,155000,47.48,47.48,47.48,47.48,100,0
BME.US,5,20210928,160500,47.34,47.47,47.3,47.3,2652,0
BME.US,5,20210928,161000,47.29,47.29,47.1,47.1,400,0
BME.US,5,20210928,161500,47.28,47.28,47.24,47.25,2073,0
BME.US,5,20210928,162000,47.26,47.26,47.26,47.26,100,0
BME.US,5,20210928,163000,47.25,47.25,47.25,47.25,100,0
BME.US,5,20210928,164000,47.19,47.28,47.1001,47.1001,1200,0
BME.US,5,20210928,164500,47.28,47.28,47.28,47.28,100,0
BME.US,5,20210928,165000,47.26,47.28,47.19,47.28,2223,0
BME.US,5,20210928,165500,47.26,47.26,47.26,47.26,100,0
BME.US,5,20210928,170500,47.26,47.26,47.26,47.26,100,0
BME.US,5,20210928,171500,47.15,47.25,47.15,47.25,600,0
BME.US,5,20210928,172500,47.208,47.208,47.208,47.208,250,0
BME.US,5,20210928,173000,47.27,47.27,47.27,47.27,100,0
BME.US,5,20210928,173500,47.27,47.27,47.2574,47.2574,648,0
BME.US,5,20210928,174000,47.24,47.24,47.24,47.24,100,0
BME.US,5,20210928,175000,47.23,47.23,47.23,47.23,100,0
BME.US,5,20210928,175500,47.24,47.24,47.24,47.24,100,0
BME.US,5,20210928,180500,47.19,47.19,47.19,47.19,100,0
BME.US,5,20210928,181500,47.19,47.19,47.19,47.19,100,0
BME.US,5,20210928,182500,47.1696,47.1696,47.1696,47.1696,100,0
BME.US,5,20210928,183000,47.2,47.2,47.2,47.2,100,0
BME.US,5,20210928,184000,47.2,47.2,47.15,47.1829,800,0
BME.US,5,20210928,185000,47.2,47.2,47.2,47.2,700,0
BME.US,5,20210928,185500,47.175,47.175,47.175,47.175,200,0
BME.US,5,20210928,190000,47.15,47.2,47.15,47.2,200,0
BME.US,5,20210928,190500,47.101,47.101,47.101,47.101,200,0
BME.US,5,20210928,191000,47.15,47.15,47.15,47.15,100,0
BME.US,5,20210928,191500,47.2,47.2,47.16,47.16,203,0
BME.US,5,20210928,192000,47.21,47.21,47.21,47.21,400,0
BME.US,5,20210928,192500,47.29,47.29,47.29,47.29,100,0
BME.US,5,20210928,193500,47.28,47.28,47.28,47.28,100,0
BME.US,5,20210928,194000,47.29,47.29,47.29,47.29,100,0
BME.US,5,20210928,195000,47.28,47.28,47.28,47.28,100,0
BME.US,5,20210928,195500,47.2631,47.2631,47.19,47.19,512,0
BME.US,5,20210928,201000,47.16,47.24,47.16,47.2,1403,0
BME.US,5,20210928,201500,47.1866,47.1866,47.1866,47.1866,300,0
BME.US,5,20210928,202000,47.22,47.28,47.22,47.28,700,0
BME.US,5,20210928,203000,47.2111,47.2489,47.2111,47.2489,342,0
BME.US,5,20210928,203500,47.2986,47.2986,47.2022,47.2022,800,0
BME.US,5,20210928,204500,47.29,47.29,47.29,47.29,100,0
BME.US,5,20210928,205000,47.3,47.49,47.3,47.484,7200,0
BME.US,5,20210928,205500,47.47,47.47,47.325,47.325,325,0
BME.US,5,20210928,210500,47.2416,47.2416,47.2416,47.2416,250,0
BME.US,5,20210928,211500,47.44,47.44,47.44,47.44,100,0
BME.US,5,20210928,212000,47.44,47.44,47.44,47.44,150,0
BME.US,5,20210928,213000,47.2774,47.2774,47.2774,47.2774,200,0
BME.US,5,20210928,213500,47.24,47.31,47.24,47.2821,500,0
BME.US,5,20210928,214000,47.24,47.39,47.22,47.39,2100,0
BME.US,5,20210928,214500,47.3075,47.33,47.25,47.25,903,0
BME.US,5,20210928,215000,47.25,47.295,47.25,47.295,229,0
BME.US,5,20210928,215500,47.2721,47.41,47.2721,47.41,232,0
BME.US,5,20210929,153000,47.51,47.71,47.41,47.41,2075,0
BME.US,5,20210929,153500,47.571,47.571,47.41,47.41,1432,0
BME.US,5,20210929,154000,47.36,47.36,47.35,47.35,502,0
BME.US,5,20210929,161500,47.51,47.51,47.51,47.51,204,0
BME.US,5,20210929,162000,47.5,47.5,47.4484,47.4484,200,0
BME.US,5,20210929,162500,47.51,47.51,47.51,47.51,400,0
BME.US,5,20210929,163500,47.61,47.61,47.61,47.61,100,0
BME.US,5,20210929,164500,47.51,47.51,47.51,47.51,200,0
BME.US,5,20210929,165000,47.51,47.51,47.4101,47.4101,610,0
BME.US,5,20210929,171500,47.525,47.525,47.525,47.525,100,0
BME.US,5,20210929,174000,47.61,47.61,47.61,47.61,173,0
BME.US,5,20210929,174500,47.59,47.59,47.57,47.57,300,0
BME.US,5,20210929,175000,47.531,47.61,47.531,47.61,301,0
BME.US,5,20210929,180000,47.53,47.5341,47.52,47.5341,700,0
BME.US,5,20210929,180500,47.514,47.514,47.514,47.514,190,0
BME.US,5,20210929,181500,47.61,47.61,47.61,47.61,250,0
BME.US,5,20210929,182500,47.46,47.46,47.46,47.46,150,0
BME.US,5,20210929,185000,47.52,47.52,47.52,47.52,100,0
BME.US,5,20210929,185500,47.52,47.52,47.52,47.52,200,0
BME.US,5,20210929,190500,47.496,47.496,47.496,47.496,1770,0
BME.US,5,20210929,191000,47.4763,47.4763,47.4763,47.4763,249,0
BME.US,5,20210929,191500,47.4628,47.474,47.4628,47.474,1026,0
BME.US,5,20210929,192000,47.47,47.48,47.47,47.48,400,0
BME.US,5,20210929,192500,47.46,47.46,47.46,47.46,200,0
BME.US,5,20210929,193000,47.46,47.46,47.46,47.46,100,0
BME.US,5,20210929,195500,47.475,47.475,47.475,47.475,200,0
BME.US,5,20210929,201000,47.5,47.5,47.5,47.5,200,0
BME.US,5,20210929,201500,47.52,47.5212,47.5101,47.5101,4316,0
BME.US,5,20210929,202000,47.535,47.54,47.51,47.54,1756,0
BME.US,5,20210929,203000,47.559,47.559,47.559,47.559,300,0
BME.US,5,20210929,203500,47.55,47.55,47.55,47.55,100,0
BME.US,5,20210929,205000,47.5722,47.5722,47.5722,47.5722,500,0
BME.US,5,20210929,210000,47.61,47.62,47.61,47.62,200,0
BME.US,5,20210929,210500,47.57,47.65,47.57,47.65,237,0
BME.US,5,20210929,211500,47.45,47.5,47.45,47.5,200,0
BME.US,5,20210929,212500,47.55,47.55,47.4434,47.45,615,0
BME.US,5,20210929,213000,47.44,47.44,47.44,47.44,200,0
BME.US,5,20210929,213500,47.4,47.4,47.4,47.4,100,0
BME.US,5,20210929,214000,47.34,47.34,47.34,47.34,100,0
BME.US,5,20210929,214500,47.34,47.34,47.34,47.34,100,0
BME.US,5,20210929,215000,47.3,47.31,47.28,47.31,500,0
BME.US,5,20210929,215500,47.32,47.4,47.27,47.27,2164,0
BME.US,5,20210930,153000,47.93,47.93,47.8577,47.8577,3231,0
BME.US,5,20210930,153500,47.74,47.74,47.72,47.72,481,0
BME.US,5,20210930,154000,47.5469,47.5469,47.5469,47.5469,150,0
