<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
BOAS.US,5,20210922,153000,9.67,9.67,9.67,9.67,273,0
BOAS.US,5,20210922,160500,9.66,9.66,9.64,9.64,5248,0
BOAS.US,5,20210922,162000,9.67,9.67,9.67,9.67,298,0
BOAS.US,5,20210922,163000,9.68,9.68,9.68,9.68,100,0
BOAS.US,5,20210922,165000,9.68,9.68,9.68,9.68,100,0
BOAS.US,5,20210922,165500,9.68,9.69,9.68,9.68,10599,0
BOAS.US,5,20210922,170000,9.68,9.68,9.68,9.68,200,0
BOAS.US,5,20210922,172000,9.7,9.7,9.7,9.7,100,0
BOAS.US,5,20210922,173500,9.7,9.7,9.7,9.7,100,0
BOAS.US,5,20210922,174500,9.7,9.7,9.7,9.7,100,0
BOAS.US,5,20210922,175500,9.7,9.7,9.7,9.7,100,0
BOAS.US,5,20210922,180500,9.7,9.7,9.7,9.7,100,0
BOAS.US,5,20210922,181500,9.7,9.7,9.7,9.7,100,0
BOAS.US,5,20210922,182500,9.7,9.7,9.7,9.7,100,0
BOAS.US,5,20210922,183500,9.7,9.7,9.7,9.7,100,0
BOAS.US,5,20210922,185000,9.7,9.7,9.7,9.7,100,0
BOAS.US,5,20210922,190000,9.7,9.7,9.7,9.7,100,0
BOAS.US,5,20210922,191000,9.7,9.7,9.7,9.7,300,0
BOAS.US,5,20210922,192000,9.7,9.7,9.7,9.7,100,0
BOAS.US,5,20210922,193500,9.7,9.7,9.7,9.7,100,0
BOAS.US,5,20210922,194000,9.7,9.7,9.7,9.7,314,0
BOAS.US,5,20210922,194500,9.7,9.7,9.7,9.7,100,0
BOAS.US,5,20210922,195500,9.7,9.7,9.66,9.68,16632,0
BOAS.US,5,20210922,200500,9.7,9.7,9.7,9.7,100,0
BOAS.US,5,20210922,201000,9.7,9.7,9.7,9.7,100,0
BOAS.US,5,20210922,201500,9.7,9.7,9.7,9.7,100,0
BOAS.US,5,20210922,202000,9.7,9.7,9.7,9.7,100,0
BOAS.US,5,20210922,202500,9.7,9.7,9.7,9.7,300,0
BOAS.US,5,20210922,203000,9.7,9.7,9.7,9.7,100,0
BOAS.US,5,20210922,203500,9.7,9.7,9.7,9.7,100,0
BOAS.US,5,20210922,204000,9.7,9.7,9.7,9.7,200,0
BOAS.US,5,20210922,204500,9.7,9.7,9.7,9.7,100,0
BOAS.US,5,20210922,205000,9.69,9.7,9.69,9.7,582,0
BOAS.US,5,20210922,205500,9.7,9.7,9.7,9.7,200,0
BOAS.US,5,20210922,210000,9.7,9.7,9.7,9.7,100,0
BOAS.US,5,20210922,210500,9.7,9.7,9.68,9.68,1883,0
BOAS.US,5,20210922,211000,9.7,9.7,9.7,9.7,100,0
BOAS.US,5,20210922,211500,9.7,9.7,9.7,9.7,100,0
BOAS.US,5,20210922,212000,9.7,9.7,9.7,9.7,200,0
BOAS.US,5,20210922,213000,9.7,9.7,9.7,9.7,246,0
BOAS.US,5,20210922,213500,9.7,9.7,9.7,9.7,100,0
BOAS.US,5,20210922,215500,9.7,9.7,9.7,9.7,200,0
BOAS.US,5,20210923,155500,9.68,9.68,9.68,9.68,300,0
BOAS.US,5,20210923,201000,9.7,9.7,9.7,9.7,487263,0
BOAS.US,5,20210927,153000,9.71,9.71,9.71,9.71,100,0
BOAS.US,5,20210928,153000,9.66,9.66,9.66,9.66,100,0
BOAS.US,5,20210928,213500,9.69,9.69,9.69,9.69,15000,0
BOAS.US,5,20210928,215000,9.7,9.7,9.7,9.7,100,0
BOAS.US,5,20210929,172500,9.6982,9.7,9.6982,9.7,300,0
BOAS.US,5,20210930,153000,9.69,9.69,9.69,9.69,200,0
BOAS.US,5,20210930,153500,9.68,9.68,9.68,9.68,1400,0
BOAS.US,5,20210930,154000,9.68,9.68,9.68,9.68,100,0
BOAS.US,5,20210930,154500,9.68,9.68,9.68,9.68,100,0
BOAS.US,5,20210930,155000,9.68,9.68,9.68,9.68,100,0
BOAS.US,5,20210930,155500,9.68,9.68,9.68,9.68,100,0
BOAS.US,5,20210930,160000,9.68,9.68,9.68,9.68,100,0
BOAS.US,5,20210930,160500,9.68,9.68,9.68,9.68,100,0
BOAS.US,5,20210930,161000,9.7,9.7,9.7,9.7,100,0
BOAS.US,5,20210930,162000,9.68,9.68,9.68,9.68,100,0
BOAS.US,5,20210930,162500,9.68,9.68,9.68,9.68,100,0
BOAS.US,5,20210930,163000,9.68,9.68,9.68,9.68,100,0
BOAS.US,5,20210930,163500,9.7,9.7,9.7,9.7,100,0
BOAS.US,5,20210930,164000,9.68,9.68,9.68,9.68,100,0
BOAS.US,5,20210930,164500,9.68,9.68,9.68,9.68,200,0
BOAS.US,5,20210930,165000,9.68,9.68,9.68,9.68,100,0
BOAS.US,5,20210930,170500,9.68,9.68,9.68,9.68,100,0
