<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
BYM.US,5,20210922,153000,15.95,15.95,15.95,15.95,1045,0
BYM.US,5,20210922,153500,15.99,16,15.99,16,200,0
BYM.US,5,20210922,154000,15.9999,16,15.9999,16,533,0
BYM.US,5,20210922,154500,16,16,16,16,100,0
BYM.US,5,20210922,155000,16,16,15.99,15.99,200,0
BYM.US,5,20210922,155500,16,16,16,16,200,0
BYM.US,5,20210922,160000,16,16,16,16,200,0
BYM.US,5,20210922,160500,16,16,16,16,100,0
BYM.US,5,20210922,161000,16.01,16.01,16.01,16.01,100,0
BYM.US,5,20210922,161500,16.02,16.02,16.01,16.01,200,0
BYM.US,5,20210922,162000,16.02,16.02,16.02,16.02,100,0
BYM.US,5,20210922,162500,16.02,16.02,16.02,16.02,100,0
BYM.US,5,20210922,163000,16.02,16.02,16.02,16.02,100,0
BYM.US,5,20210922,163500,15.995,15.995,15.995,15.995,200,0
BYM.US,5,20210922,164000,15.995,15.995,15.995,15.995,100,0
BYM.US,5,20210922,165000,15.97,15.97,15.97,15.97,100,0
BYM.US,5,20210922,165500,15.96,15.96,15.96,15.96,300,0
BYM.US,5,20210922,170500,15.94,15.94,15.94,15.94,200,0
BYM.US,5,20210922,171000,15.94,15.94,15.94,15.94,100,0
BYM.US,5,20210922,171500,15.94,15.94,15.94,15.94,200,0
BYM.US,5,20210922,172000,15.94,15.94,15.94,15.94,100,0
BYM.US,5,20210922,172500,15.94,15.98,15.94,15.98,200,0
BYM.US,5,20210922,173000,15.98,15.98,15.98,15.98,100,0
BYM.US,5,20210922,174000,15.96,16.01,15.96,16.01,400,0
BYM.US,5,20210922,175500,15.92,15.92,15.92,15.92,100,0
BYM.US,5,20210922,180000,15.94,15.94,15.94,15.94,100,0
BYM.US,5,20210922,180500,15.95,15.95,15.95,15.95,100,0
BYM.US,5,20210922,181000,15.94,15.94,15.9,15.9,1600,0
BYM.US,5,20210922,181500,15.89,15.95,15.85,15.865,8179,0
BYM.US,5,20210922,182000,15.85,15.88,15.85,15.88,600,0
BYM.US,5,20210922,182500,15.9,15.91,15.9,15.91,400,0
BYM.US,5,20210922,183000,15.92,15.95,15.91,15.95,2010,0
BYM.US,5,20210922,183500,15.92,15.92,15.92,15.92,100,0
BYM.US,5,20210922,184500,15.9,15.9,15.9,15.9,100,0
BYM.US,5,20210922,185000,15.9,15.9,15.9,15.9,100,0
BYM.US,5,20210922,185500,15.9,15.9,15.89,15.89,200,0
BYM.US,5,20210922,190000,15.89,15.89,15.89,15.89,100,0
BYM.US,5,20210922,190500,15.89,15.89,15.89,15.89,100,0
BYM.US,5,20210922,191000,15.8927,15.8927,15.8927,15.8927,1000,0
BYM.US,5,20210922,192000,15.87,15.87,15.87,15.87,200,0
BYM.US,5,20210922,192500,15.87,15.9398,15.87,15.9398,257,0
BYM.US,5,20210922,193000,15.87,15.87,15.87,15.87,100,0
BYM.US,5,20210922,193500,15.9097,15.94,15.9097,15.94,1219,0
BYM.US,5,20210922,194000,15.87,15.87,15.87,15.87,100,0
BYM.US,5,20210922,194500,15.87,15.87,15.87,15.87,100,0
BYM.US,5,20210922,195000,15.87,15.87,15.87,15.87,100,0
BYM.US,5,20210922,195500,15.87,15.87,15.87,15.87,100,0
BYM.US,5,20210922,200500,15.89,15.89,15.89,15.89,800,0
BYM.US,5,20210922,201000,15.89,15.89,15.89,15.89,100,0
BYM.US,5,20210922,201500,15.89,15.89,15.89,15.89,200,0
BYM.US,5,20210922,202000,15.89,15.89,15.89,15.89,200,0
BYM.US,5,20210922,202500,15.89,15.89,15.89,15.89,100,0
BYM.US,5,20210922,203000,15.89,15.89,15.89,15.89,200,0
BYM.US,5,20210922,203500,15.89,15.89,15.89,15.89,100,0
BYM.US,5,20210922,204000,15.89,15.89,15.89,15.89,2400,0
BYM.US,5,20210922,204500,15.89,15.89,15.89,15.89,427,0
BYM.US,5,20210922,205000,15.89,15.89,15.89,15.89,300,0
BYM.US,5,20210922,205500,15.89,15.89,15.89,15.89,551,0
BYM.US,5,20210922,210000,15.89,15.89,15.89,15.89,400,0
BYM.US,5,20210922,210500,15.89,15.89,15.85,15.85,200,0
BYM.US,5,20210922,211000,15.86,15.86,15.86,15.86,100,0
BYM.US,5,20210922,213000,15.92,15.92,15.92,15.92,113,0
BYM.US,5,20210922,214000,15.91,15.91,15.9,15.9,600,0
BYM.US,5,20210922,214500,15.9,15.91,15.9,15.9,300,0
BYM.US,5,20210922,215000,15.91,15.91,15.91,15.91,1395,0
BYM.US,5,20210922,215500,15.9078,15.94,15.9,15.94,2792,0
BYM.US,5,20210923,153000,15.97,15.97,15.943,15.943,2122,0
BYM.US,5,20210923,153500,15.94,15.94,15.94,15.94,100,0
BYM.US,5,20210923,154000,15.905,15.95,15.905,15.95,1584,0
BYM.US,5,20210923,154500,15.97,15.97,15.97,15.97,100,0
BYM.US,5,20210923,155000,15.98,15.98,15.98,15.98,100,0
BYM.US,5,20210923,155500,15.972,16.0089,15.9001,16,5915,0
BYM.US,5,20210923,160000,15.99,15.99,15.99,15.99,100,0
BYM.US,5,20210923,160500,15.93,15.99,15.91,15.99,2100,0
BYM.US,5,20210923,162000,15.97,15.97,15.97,15.97,100,0
BYM.US,5,20210923,163500,15.9262,15.962,15.92,15.962,3850,0
BYM.US,5,20210923,164000,15.92,15.9222,15.92,15.9222,850,0
BYM.US,5,20210923,164500,15.925,15.925,15.92,15.9208,1500,0
BYM.US,5,20210923,170000,15.9378,15.9378,15.921,15.921,2000,0
BYM.US,5,20210923,170500,15.921,15.98,15.921,15.98,2000,0
BYM.US,5,20210923,172000,15.91,15.979,15.91,15.9101,6766,0
BYM.US,5,20210923,172500,15.92,15.92,15.92,15.92,100,0
BYM.US,5,20210923,175000,15.9246,15.9246,15.9246,15.9246,785,0
BYM.US,5,20210923,175500,15.92,15.92,15.92,15.92,300,0
BYM.US,5,20210923,180000,15.92,15.92,15.92,15.92,200,0
BYM.US,5,20210923,180500,15.92,15.92,15.92,15.92,100,0
BYM.US,5,20210923,181000,15.92,15.92,15.92,15.92,200,0
BYM.US,5,20210923,181500,15.92,15.98,15.92,15.92,426,0
BYM.US,5,20210923,182000,15.92,15.92,15.92,15.92,100,0
BYM.US,5,20210923,183000,15.92,15.92,15.91,15.91,200,0
BYM.US,5,20210923,183500,15.91,15.91,15.91,15.91,200,0
BYM.US,5,20210923,184000,15.91,15.91,15.91,15.91,100,0
BYM.US,5,20210923,184500,15.91,15.9187,15.91,15.9187,5500,0
BYM.US,5,20210923,185000,15.8704,15.8704,15.8704,15.8704,100,0
BYM.US,5,20210923,185500,15.84,15.8689,15.82,15.83,1812,0
BYM.US,5,20210923,190000,15.82,15.82,15.82,15.82,100,0
BYM.US,5,20210923,190500,15.82,15.83,15.82,15.83,200,0
BYM.US,5,20210923,191000,15.83,15.83,15.82,15.82,200,0
BYM.US,5,20210923,191500,15.82,15.82,15.82,15.82,200,0
BYM.US,5,20210923,192000,15.83,15.83,15.83,15.83,100,0
BYM.US,5,20210923,192500,15.83,15.83,15.83,15.83,100,0
BYM.US,5,20210923,201500,15.8401,15.9,15.82,15.82,9663,0
BYM.US,5,20210923,202000,15.9231,15.9231,15.8,15.8,4362,0
BYM.US,5,20210923,202500,15.8,15.8,15.8,15.8,100,0
BYM.US,5,20210923,203000,15.8,15.8,15.8,15.8,100,0
BYM.US,5,20210923,204500,15.83,15.83,15.83,15.83,100,0
BYM.US,5,20210923,205500,15.84,15.84,15.84,15.84,2100,0
BYM.US,5,20210923,211500,15.9399,15.9399,15.9399,15.9399,600,0
BYM.US,5,20210923,212000,15.8928,15.8928,15.88,15.88,978,0
BYM.US,5,20210923,213000,15.87,15.88,15.87,15.88,200,0
BYM.US,5,20210923,213500,15.88,15.89,15.88,15.89,1200,0
BYM.US,5,20210923,214000,15.89,15.89,15.88,15.88,1600,0
BYM.US,5,20210923,214500,15.87,15.87,15.815,15.83,1400,0
BYM.US,5,20210923,215000,15.82,15.83,15.8,15.83,3000,0
BYM.US,5,20210923,215500,15.83,15.93,15.8259,15.93,6036,0
BYM.US,5,20210924,153000,15.85,15.85,15.85,15.85,4190,0
BYM.US,5,20210924,153500,15.8365,15.8365,15.8301,15.8301,2000,0
BYM.US,5,20210924,154500,15.83,15.88,15.76,15.76,7147,0
BYM.US,5,20210924,155500,15.82,15.82,15.78,15.78,1500,0
BYM.US,5,20210924,160000,15.81,15.81,15.8,15.8,300,0
BYM.US,5,20210924,160500,15.78,15.78,15.78,15.78,874,0
BYM.US,5,20210924,162000,15.77,15.77,15.77,15.77,300,0
BYM.US,5,20210924,162500,15.77,15.78,15.77,15.78,4600,0
BYM.US,5,20210924,163000,15.79,15.79,15.79,15.79,100,0
BYM.US,5,20210924,163500,15.79,15.79,15.78,15.7803,1000,0
BYM.US,5,20210924,164000,15.78,15.79,15.78,15.78,4775,0
BYM.US,5,20210924,164500,15.7982,15.7982,15.789,15.789,1600,0
BYM.US,5,20210924,170500,15.8,15.8,15.8,15.8,100,0
BYM.US,5,20210924,171000,15.7901,15.7901,15.7901,15.7901,1065,0
BYM.US,5,20210924,171500,15.7901,15.85,15.7901,15.85,26100,0
