<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
CHMI.US,5,20210922,153000,9.25,9.29,9.25,9.29,5708,0
CHMI.US,5,20210922,154000,9.2723,9.2723,9.26,9.2652,1131,0
CHMI.US,5,20210922,154500,9.28,9.2861,9.26,9.26,1300,0
CHMI.US,5,20210922,155500,9.26,9.35,9.26,9.325,18539,0
CHMI.US,5,20210922,160000,9.325,9.335,9.32,9.335,1500,0
CHMI.US,5,20210922,160500,9.3363,9.3363,9.32,9.32,441,0
CHMI.US,5,20210922,161000,9.31,9.339,9.3,9.3,616,0
CHMI.US,5,20210922,161500,9.3,9.3299,9.3,9.3235,1300,0
CHMI.US,5,20210922,162000,9.318,9.32,9.3102,9.32,1207,0
CHMI.US,5,20210922,162500,9.32,9.33,9.32,9.33,2069,0
CHMI.US,5,20210922,163000,9.34,9.3497,9.34,9.34,916,0
CHMI.US,5,20210922,163500,9.34,9.34,9.32,9.32,300,0
CHMI.US,5,20210922,164000,9.325,9.325,9.3242,9.3242,800,0
CHMI.US,5,20210922,164500,9.32,9.3215,9.31,9.3215,800,0
CHMI.US,5,20210922,165000,9.32,9.32,9.32,9.32,200,0
CHMI.US,5,20210922,165500,9.321,9.321,9.32,9.32,300,0
CHMI.US,5,20210922,170000,9.32,9.32,9.32,9.32,300,0
CHMI.US,5,20210922,170500,9.32,9.33,9.31,9.33,1294,0
CHMI.US,5,20210922,171000,9.31,9.325,9.31,9.325,300,0
CHMI.US,5,20210922,171500,9.32,9.32,9.32,9.32,400,0
CHMI.US,5,20210922,172000,9.3202,9.3202,9.32,9.32,300,0
CHMI.US,5,20210922,172500,9.33,9.34,9.33,9.34,2000,0
CHMI.US,5,20210922,173000,9.32,9.32,9.32,9.32,100,0
CHMI.US,5,20210922,173500,9.32,9.32,9.32,9.32,200,0
CHMI.US,5,20210922,174000,9.3291,9.3291,9.32,9.32,1584,0
CHMI.US,5,20210922,175000,9.31,9.3291,9.31,9.3256,3010,0
CHMI.US,5,20210922,175500,9.325,9.33,9.325,9.33,1442,0
CHMI.US,5,20210922,180000,9.34,9.34,9.33,9.335,909,0
CHMI.US,5,20210922,180500,9.33,9.33,9.32,9.32,1135,0
CHMI.US,5,20210922,181000,9.32,9.32,9.32,9.32,100,0
CHMI.US,5,20210922,181500,9.31,9.31,9.31,9.31,100,0
CHMI.US,5,20210922,182000,9.31,9.31,9.31,9.31,642,0
CHMI.US,5,20210922,182500,9.31,9.31,9.31,9.31,200,0
CHMI.US,5,20210922,183000,9.31,9.31,9.31,9.31,200,0
CHMI.US,5,20210922,183500,9.31,9.31,9.31,9.31,100,0
CHMI.US,5,20210922,184000,9.3176,9.319,9.31,9.315,2415,0
CHMI.US,5,20210922,184500,9.31,9.31,9.3,9.31,5862,0
CHMI.US,5,20210922,185000,9.315,9.3163,9.315,9.3163,4500,0
CHMI.US,5,20210922,185500,9.31,9.32,9.31,9.315,1496,0
CHMI.US,5,20210922,190000,9.325,9.325,9.31,9.31,200,0
CHMI.US,5,20210922,190500,9.315,9.315,9.315,9.315,100,0
CHMI.US,5,20210922,191000,9.315,9.319,9.315,9.319,1272,0
CHMI.US,5,20210922,191500,9.31,9.315,9.31,9.315,1550,0
CHMI.US,5,20210922,192000,9.31,9.315,9.31,9.31,300,0
CHMI.US,5,20210922,192500,9.3199,9.3199,9.315,9.315,950,0
CHMI.US,5,20210922,193500,9.31,9.31,9.31,9.31,300,0
CHMI.US,5,20210922,194000,9.31,9.31,9.31,9.31,200,0
CHMI.US,5,20210922,194500,9.31,9.32,9.3099,9.315,2002,0
CHMI.US,5,20210922,195000,9.31,9.32,9.31,9.31,4820,0
CHMI.US,5,20210922,195500,9.3199,9.3199,9.315,9.315,1100,0
CHMI.US,5,20210922,200000,9.31,9.31,9.31,9.31,102,0
CHMI.US,5,20210922,200500,9.32,9.33,9.32,9.32,14361,0
CHMI.US,5,20210922,201000,9.31,9.315,9.31,9.31,940,0
CHMI.US,5,20210922,201500,9.31,9.31,9.3,9.31,500,0
CHMI.US,5,20210922,202000,9.3,9.3,9.3,9.3,200,0
CHMI.US,5,20210922,202500,9.31,9.31,9.3,9.3,1083,0
CHMI.US,5,20210922,203000,9.3,9.305,9.3,9.305,300,0
CHMI.US,5,20210922,203500,9.305,9.31,9.3,9.305,8527,0
CHMI.US,5,20210922,204000,9.305,9.315,9.29,9.315,15981,0
CHMI.US,5,20210922,204500,9.32,9.33,9.31,9.32,5957,0
CHMI.US,5,20210922,205000,9.31,9.32,9.3,9.31,2472,0
CHMI.US,5,20210922,205500,9.31,9.32,9.3,9.315,985,0
CHMI.US,5,20210922,210000,9.31,9.32,9.31,9.315,859,0
CHMI.US,5,20210922,210500,9.305,9.325,9.3,9.31,10977,0
CHMI.US,5,20210922,211000,9.32,9.32,9.32,9.32,500,0
CHMI.US,5,20210922,211500,9.32,9.32,9.32,9.32,200,0
CHMI.US,5,20210922,212000,9.3277,9.34,9.32,9.32,7228,0
CHMI.US,5,20210922,212500,9.34,9.345,9.335,9.345,1153,0
CHMI.US,5,20210922,213000,9.34,9.34,9.31,9.31,1851,0
CHMI.US,5,20210922,213500,9.31,9.32,9.31,9.32,600,0
CHMI.US,5,20210922,214000,9.31,9.32,9.31,9.31,1005,0
CHMI.US,5,20210922,214500,9.31,9.31,9.3,9.3,459,0
CHMI.US,5,20210922,215000,9.3,9.315,9.3,9.31,20489,0
CHMI.US,5,20210922,215500,9.31,9.33,9.3,9.3,9642,0
CHMI.US,5,20210923,153000,9.3,9.3104,9.3,9.3104,5741,0
CHMI.US,5,20210923,153500,9.3363,9.36,9.335,9.36,6532,0
CHMI.US,5,20210923,154000,9.36,9.3701,9.36,9.37,715,0
CHMI.US,5,20210923,154500,9.37,9.37,9.36,9.3692,1581,0
CHMI.US,5,20210923,155000,9.3782,9.38,9.36,9.375,4779,0
CHMI.US,5,20210923,155500,9.375,9.38,9.37,9.38,4984,0
CHMI.US,5,20210923,160000,9.39,9.42,9.39,9.4184,26694,0
CHMI.US,5,20210923,160500,9.4132,9.425,9.4101,9.4101,978,0
CHMI.US,5,20210923,161000,9.416,9.425,9.3942,9.3942,6880,0
CHMI.US,5,20210923,161500,9.39,9.3902,9.375,9.3782,18139,0
CHMI.US,5,20210923,162000,9.38,9.38,9.38,9.38,100,0
CHMI.US,5,20210923,162500,9.385,9.385,9.37,9.37,600,0
CHMI.US,5,20210923,163000,9.37,9.37,9.37,9.37,300,0
CHMI.US,5,20210923,163500,9.3886,9.3886,9.37,9.37,596,0
CHMI.US,5,20210923,164000,9.37,9.38,9.37,9.38,300,0
CHMI.US,5,20210923,164500,9.375,9.38,9.375,9.38,2800,0
CHMI.US,5,20210923,165000,9.38,9.395,9.38,9.395,1440,0
CHMI.US,5,20210923,165500,9.395,9.395,9.395,9.395,200,0
CHMI.US,5,20210923,170000,9.39,9.39,9.385,9.385,600,0
CHMI.US,5,20210923,170500,9.3801,9.4,9.3801,9.4,5523,0
CHMI.US,5,20210923,171500,9.3902,9.4,9.3902,9.4,800,0
CHMI.US,5,20210923,172000,9.41,9.41,9.41,9.41,1600,0
CHMI.US,5,20210923,172500,9.4214,9.4214,9.4214,9.4214,1100,0
CHMI.US,5,20210923,173000,9.41,9.47,9.41,9.411,19386,0
CHMI.US,5,20210923,173500,9.41,9.42,9.41,9.42,800,0
CHMI.US,5,20210923,174000,9.42,9.4214,9.38,9.4,31109,0
CHMI.US,5,20210923,174500,9.395,9.395,9.395,9.395,500,0
CHMI.US,5,20210923,175000,9.39,9.39,9.38,9.38,703,0
CHMI.US,5,20210923,175500,9.38,9.3866,9.38,9.38,3309,0
CHMI.US,5,20210923,180000,9.38,9.39,9.38,9.38,1780,0
CHMI.US,5,20210923,180500,9.4,9.43,9.3802,9.3885,12811,0
CHMI.US,5,20210923,181000,9.3852,9.3852,9.38,9.385,1400,0
CHMI.US,5,20210923,181500,9.38,9.4,9.38,9.4,1900,0
CHMI.US,5,20210923,182000,9.3986,9.3986,9.3902,9.3902,200,0
CHMI.US,5,20210923,182500,9.39,9.4002,9.39,9.4002,3047,0
CHMI.US,5,20210923,183000,9.4,9.4,9.4,9.4,400,0
CHMI.US,5,20210923,183500,9.4,9.405,9.4,9.405,801,0
CHMI.US,5,20210923,184000,9.405,9.405,9.405,9.405,499,0
CHMI.US,5,20210923,184500,9.4,9.4,9.4,9.4,200,0
CHMI.US,5,20210923,185000,9.4,9.41,9.4,9.4042,1051,0
CHMI.US,5,20210923,185500,9.4,9.4278,9.4,9.4278,1886,0
CHMI.US,5,20210923,190000,9.41,9.41,9.41,9.41,728,0
CHMI.US,5,20210923,190500,9.4,9.403,9.39,9.39,7522,0
CHMI.US,5,20210923,191000,9.39,9.39,9.39,9.39,100,0
CHMI.US,5,20210923,191500,9.39,9.39,9.38,9.385,1600,0
CHMI.US,5,20210923,192000,9.38,9.385,9.38,9.385,200,0
CHMI.US,5,20210923,193000,9.38,9.385,9.38,9.38,300,0
CHMI.US,5,20210923,193500,9.39,9.39,9.39,9.39,100,0
CHMI.US,5,20210923,194000,9.38,9.38,9.38,9.38,200,0
CHMI.US,5,20210923,194500,9.3859,9.3859,9.38,9.38,1331,0
CHMI.US,5,20210923,195500,9.3899,9.3899,9.38,9.385,5300,0
CHMI.US,5,20210923,200000,9.38,9.385,9.38,9.38,600,0
CHMI.US,5,20210923,200500,9.39,9.41,9.3899,9.405,14015,0
CHMI.US,5,20210923,201000,9.4,9.42,9.4,9.42,7070,0
CHMI.US,5,20210923,201500,9.43,9.43,9.42,9.425,903,0
CHMI.US,5,20210923,202000,9.42,9.42,9.42,9.42,200,0
CHMI.US,5,20210923,202500,9.41,9.41,9.41,9.41,596,0
CHMI.US,5,20210923,203000,9.4,9.4,9.4,9.4,300,0
CHMI.US,5,20210923,203500,9.4,9.4,9.4,9.4,380,0
CHMI.US,5,20210923,204000,9.4001,9.405,9.38,9.38,2020,0
CHMI.US,5,20210923,204500,9.38,9.385,9.38,9.385,200,0
CHMI.US,5,20210923,205000,9.388,9.388,9.38,9.38,950,0
CHMI.US,5,20210923,205500,9.38,9.385,9.38,9.38,400,0
CHMI.US,5,20210923,210000,9.38,9.39,9.38,9.38,4401,0
CHMI.US,5,20210923,210500,9.3888,9.3888,9.38,9.38,1900,0
CHMI.US,5,20210923,211000,9.385,9.39,9.37,9.37,7948,0
CHMI.US,5,20210923,211500,9.37,9.385,9.37,9.385,2050,0
