<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
CIT.US,5,20210922,153000,50.52,50.52,50.52,50.52,2680,0
CIT.US,5,20210922,153500,50.56,50.8,50.56,50.65,1700,0
CIT.US,5,20210922,154000,50.66,50.66,50.52,50.59,2200,0
CIT.US,5,20210922,154500,50.7,50.79,50.64,50.64,700,0
CIT.US,5,20210922,155000,50.67,50.9212,50.66,50.81,2519,0
CIT.US,5,20210922,155500,50.82,50.89,50.74,50.83,7150,0
CIT.US,5,20210922,160000,50.78,50.8499,50.65,50.8,6979,0
CIT.US,5,20210922,160500,50.82,50.85,50.75,50.75,658,0
CIT.US,5,20210922,161000,50.79,50.79,50.54,50.62,1100,0
CIT.US,5,20210922,161500,50.695,50.75,50.65,50.72,400,0
CIT.US,5,20210922,162000,50.7673,50.7673,50.57,50.57,274,0
CIT.US,5,20210922,162500,50.633,50.633,50.51,50.51,328,0
CIT.US,5,20210922,163000,50.436,50.54,50.41,50.54,450,0
CIT.US,5,20210922,164000,50.52,50.65,50.5,50.555,3088,0
CIT.US,5,20210922,164500,50.53,50.64,50.5,50.63,5043,0
CIT.US,5,20210922,165000,50.64,50.69,50.59,50.62,2073,0
CIT.US,5,20210922,165500,50.6301,50.645,50.59,50.625,2204,0
CIT.US,5,20210922,170000,50.63,50.7,50.49,50.49,2683,0
CIT.US,5,20210922,170500,50.57,50.6,50.49,50.49,1001,0
CIT.US,5,20210922,171000,50.62,50.65,50.58,50.62,1184,0
CIT.US,5,20210922,171500,50.68,50.76,50.65,50.66,3227,0
CIT.US,5,20210922,172000,50.75,50.78,50.68,50.7,2810,0
CIT.US,5,20210922,172500,50.745,50.82,50.72,50.75,2866,0
CIT.US,5,20210922,173000,50.73,50.91,50.695,50.86,5976,0
CIT.US,5,20210922,173500,50.86,51,50.85,50.85,6837,0
CIT.US,5,20210922,174000,50.88,50.99,50.81,50.98,2270,0
CIT.US,5,20210922,174500,50.93,50.935,50.86,50.875,3154,0
CIT.US,5,20210922,175000,50.92,50.98,50.75,50.75,14804,0
CIT.US,5,20210922,175500,50.85,50.86,50.85,50.86,348,0
CIT.US,5,20210922,180000,50.85,50.85,50.82,50.82,300,0
CIT.US,5,20210922,180500,50.9,50.9,50.8,50.81,4960,0
CIT.US,5,20210922,181000,50.82,50.85,50.82,50.85,356,0
CIT.US,5,20210922,181500,50.895,50.895,50.8,50.82,1747,0
CIT.US,5,20210922,182000,50.8,50.8,50.8,50.8,200,0
CIT.US,5,20210922,182500,50.84,50.84,50.8,50.8,1406,0
CIT.US,5,20210922,183000,50.79,50.79,50.79,50.79,242,0
CIT.US,5,20210922,183500,50.84,50.92,50.84,50.92,1020,0
CIT.US,5,20210922,184000,50.85,50.94,50.85,50.94,1700,0
CIT.US,5,20210922,184500,50.89,50.91,50.85,50.89,1124,0
CIT.US,5,20210922,185000,50.875,50.89,50.85,50.865,1135,0
CIT.US,5,20210922,185500,50.87,50.89,50.87,50.87,600,0
CIT.US,5,20210922,190000,50.91,50.94,50.85,50.87,1200,0
CIT.US,5,20210922,190500,50.855,50.855,50.81,50.81,845,0
CIT.US,5,20210922,191000,50.75,50.79,50.75,50.75,2073,0
CIT.US,5,20210922,191500,50.7525,50.805,50.7525,50.805,991,0
CIT.US,5,20210922,192000,50.85,50.85,50.78,50.83,1200,0
CIT.US,5,20210922,192500,50.8,50.815,50.78,50.79,1246,0
CIT.US,5,20210922,193000,50.76,50.83,50.7527,50.82,3908,0
CIT.US,5,20210922,193500,50.85,50.85,50.81,50.83,516,0
CIT.US,5,20210922,194000,50.87,50.9,50.87,50.87,938,0
CIT.US,5,20210922,194500,50.86,50.86,50.8,50.8,2388,0
CIT.US,5,20210922,195000,50.85,50.85,50.79,50.835,900,0
CIT.US,5,20210922,195500,50.835,50.855,50.81,50.845,2153,0
CIT.US,5,20210922,200000,50.84,51.02,50.77,51.01,4556,0
CIT.US,5,20210922,200500,51.03,51.03,50.9,50.98,1392,0
CIT.US,5,20210922,201000,50.97,51.05,50.95,51.04,1543,0
CIT.US,5,20210922,201500,51.07,51.12,50.97,50.97,1758,0
CIT.US,5,20210922,202000,50.995,51.045,50.9,50.9,3062,0
CIT.US,5,20210922,202500,50.96,51.04,50.96,50.96,2332,0
CIT.US,5,20210922,203000,50.96,51.11,50.905,50.95,12085,0
CIT.US,5,20210922,203500,51.01,51.05,50.86,50.96,9268,0
CIT.US,5,20210922,204000,50.96,50.97,50.8,50.885,4181,0
CIT.US,5,20210922,204500,50.88,50.9,50.84,50.86,8479,0
CIT.US,5,20210922,205000,50.845,51.06,50.73,51,16788,0
CIT.US,5,20210922,205500,50.98,51.06,50.86,51.05,2926,0
CIT.US,5,20210922,210000,51,51.03,50.93,51.02,4121,0
