<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
CLR.US,5,20210922,153000,42.04,42.48,41.9,42.2598,38037,0
CLR.US,5,20210922,153500,42.2,42.2699,41.95,42.05,7273,0
CLR.US,5,20210922,154000,42.05,42.3361,42.01,42.3361,27744,0
CLR.US,5,20210922,154500,42.31,42.395,42.18,42.38,41352,0
CLR.US,5,20210922,155000,42.44,42.645,42.44,42.59,11371,0
CLR.US,5,20210922,155500,42.6177,42.79,42.561,42.7291,13810,0
CLR.US,5,20210922,160000,42.7,42.7799,42.54,42.72,23893,0
CLR.US,5,20210922,160500,42.72,42.745,42.48,42.56,10564,0
CLR.US,5,20210922,161000,42.56,42.64,42.42,42.64,11966,0
CLR.US,5,20210922,161500,42.62,42.8,42.6,42.7,35613,0
CLR.US,5,20210922,162000,42.71,42.76,42.45,42.485,8939,0
CLR.US,5,20210922,162500,42.48,42.5,42.3,42.38,7266,0
CLR.US,5,20210922,163000,42.34,42.3566,42.01,42.22,11594,0
CLR.US,5,20210922,163500,42.24,42.435,42.21,42.405,12986,0
CLR.US,5,20210922,164000,42.39,42.57,42.35,42.47,7222,0
CLR.US,5,20210922,164500,42.46,42.485,42.35,42.48,7306,0
CLR.US,5,20210922,165000,42.5,42.58,42.5,42.52,5624,0
CLR.US,5,20210922,165500,42.54,42.63,42.52,42.6108,9912,0
CLR.US,5,20210922,170000,42.7,42.72,42.64,42.67,8267,0
CLR.US,5,20210922,170500,42.7,42.7,42.47,42.55,19130,0
CLR.US,5,20210922,171000,42.54,42.585,42.46,42.46,21541,0
CLR.US,5,20210922,171500,42.47,42.52,42.41,42.505,5255,0
CLR.US,5,20210922,172000,42.505,42.57,42.4688,42.4688,5196,0
CLR.US,5,20210922,172500,42.48,42.54,42.43,42.54,14192,0
CLR.US,5,20210922,173000,42.54,42.665,42.46,42.645,4317,0
CLR.US,5,20210922,173500,42.63,42.815,42.63,42.74,6443,0
CLR.US,5,20210922,174000,42.767,42.816,42.68,42.71,4371,0
CLR.US,5,20210922,174500,42.7,42.725,42.675,42.725,2099,0
CLR.US,5,20210922,175000,42.76,42.82,42.67,42.7,15145,0
CLR.US,5,20210922,175500,42.711,42.715,42.64,42.67,4192,0
CLR.US,5,20210922,180000,42.67,42.7,42.65,42.69,2919,0
CLR.US,5,20210922,180500,42.67,42.67,42.58,42.58,4286,0
CLR.US,5,20210922,181000,42.56,42.58,42.485,42.485,3363,0
CLR.US,5,20210922,181500,42.48,42.5,42.42,42.45,5718,0
CLR.US,5,20210922,182000,42.445,42.5,42.42,42.46,7254,0
CLR.US,5,20210922,182500,42.465,42.47,42.43,42.45,3540,0
CLR.US,5,20210922,183000,42.46,42.53,42.42,42.53,6412,0
CLR.US,5,20210922,183500,42.51,42.81,42.51,42.805,27809,0
CLR.US,5,20210922,184000,42.8,42.89,42.775,42.89,23276,0
CLR.US,5,20210922,184500,42.86,42.93,42.845,42.8587,8049,0
CLR.US,5,20210922,185000,42.86,42.89,42.71,42.73,16034,0
CLR.US,5,20210922,185500,42.725,42.77,42.72,42.77,3779,0
CLR.US,5,20210922,190000,42.78,42.81,42.62,42.65,6318,0
CLR.US,5,20210922,190500,42.66,42.68,42.62,42.645,5612,0
CLR.US,5,20210922,191000,42.65,42.6758,42.62,42.63,9030,0
CLR.US,5,20210922,191500,42.615,42.63,42.55,42.58,3555,0
CLR.US,5,20210922,192000,42.54,42.63,42.5141,42.63,18733,0
CLR.US,5,20210922,192500,42.63,42.68,42.63,42.6514,4925,0
CLR.US,5,20210922,193000,42.66,42.71,42.65,42.681,3574,0
CLR.US,5,20210922,193500,42.67,42.73,42.6368,42.68,9594,0
CLR.US,5,20210922,194000,42.66,42.71,42.63,42.69,10438,0
CLR.US,5,20210922,194500,42.68,42.69,42.63,42.63,5202,0
CLR.US,5,20210922,195000,42.61,42.61,42.51,42.51,6150,0
CLR.US,5,20210922,195500,42.49,42.66,42.48,42.62,6472,0
CLR.US,5,20210922,200000,42.56,42.8,42.53,42.79,16053,0
CLR.US,5,20210922,200500,42.8058,42.81,42.71,42.75,2608,0
CLR.US,5,20210922,201000,42.73,42.81,42.72,42.805,5382,0
