<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
DE.US,5,20210922,153000,340.64,343.17,338.9,342.01,60811,0
DE.US,5,20210922,153500,341.97,343.21,340.9,341.14,18163,0
DE.US,5,20210922,154000,340.93,343.31,340.89,343.31,14481,0
DE.US,5,20210922,154500,343.31,343.8,341.86,342.7,22037,0
DE.US,5,20210922,155000,342.56,343.63,342.53,343.22,20511,0
DE.US,5,20210922,155500,343.12,344.5,343.12,343.89,17096,0
DE.US,5,20210922,160000,343.92,344.21,343.34,343.61,12828,0
DE.US,5,20210922,160500,343.48,343.98,343.34,343.36,5835,0
DE.US,5,20210922,161000,343.32,343.48,342.7,343.47,20420,0
DE.US,5,20210922,161500,343.53,344.14,343.46,343.46,24894,0
DE.US,5,20210922,162000,343.54,343.69,342.61,342.61,10360,0
DE.US,5,20210922,162500,342.52,342.6,341.48,341.48,4495,0
DE.US,5,20210922,163000,341.46,342.23,341.46,341.98,5780,0
DE.US,5,20210922,163500,342.01,342.14,341.61,341.65,5201,0
DE.US,5,20210922,164000,341.71,342.18,341.7,342.13,4132,0
DE.US,5,20210922,164500,342.16,342.18,341.51,341.74,8394,0
DE.US,5,20210922,165000,341.88,341.88,341.12,341.2,6546,0
DE.US,5,20210922,165500,341.12,341.38,341.08,341.26,6960,0
DE.US,5,20210922,170000,341.18,341.48,341.09,341.13,3391,0
DE.US,5,20210922,170500,341.15,341.15,340.73,340.99,2965,0
DE.US,5,20210922,171000,340.67,340.87,340.35,340.62,5471,0
DE.US,5,20210922,171500,340.7,340.7,340.28,340.37,6442,0
DE.US,5,20210922,172000,340.45,340.65,340.17,340.48,6293,0
DE.US,5,20210922,172500,340.68,341.12,340.48,341.01,2190,0
DE.US,5,20210922,173000,340.97,341.45,340.75,341.23,8219,0
DE.US,5,20210922,173500,341.21,341.3,341.03,341.13,4121,0
DE.US,5,20210922,174000,341.11,341.34,341,341.25,3159,0
DE.US,5,20210922,174500,341.19,341.36,340.8,341.02,5216,0
DE.US,5,20210922,175000,341.12,341.7,340.76,340.94,5764,0
DE.US,5,20210922,175500,340.94,341.57,340.94,341.55,3398,0
DE.US,5,20210922,180000,341.6,341.6,341.24,341.38,5142,0
DE.US,5,20210922,180500,341.36,341.53,341.06,341.28,3205,0
DE.US,5,20210922,181000,341.17,341.38,341.13,341.38,3251,0
DE.US,5,20210922,181500,341.24,341.39,341.08,341.32,2892,0
DE.US,5,20210922,182000,341.37,341.4,341.31,341.35,1214,0
DE.US,5,20210922,182500,341.53,341.73,341.39,341.73,7533,0
DE.US,5,20210922,183000,341.72,341.73,341.47,341.57,2545,0
DE.US,5,20210922,183500,341.63,341.69,341.41,341.48,2500,0
DE.US,5,20210922,184000,341.48,341.76,341.42,341.74,5470,0
DE.US,5,20210922,184500,341.74,341.89,341.65,341.65,1675,0
DE.US,5,20210922,185000,341.59,341.6,340.78,340.8,3691,0
DE.US,5,20210922,185500,340.86,341.13,340.82,341.05,5321,0
DE.US,5,20210922,190000,341.18,341.18,340.74,340.76,2933,0
DE.US,5,20210922,190500,340.65,340.86,340.65,340.85,2776,0
DE.US,5,20210922,191000,340.78,340.99,340.73,340.74,9472,0
DE.US,5,20210922,191500,340.73,340.79,340.54,340.61,5137,0
DE.US,5,20210922,192000,340.65,340.81,340.65,340.75,1977,0
DE.US,5,20210922,192500,340.79,341.09,340.79,341.02,2632,0
DE.US,5,20210922,193000,340.98,341.22,340.98,341.21,1864,0
DE.US,5,20210922,193500,341.13,341.14,340.98,341.05,1605,0
DE.US,5,20210922,194000,340.98,341.31,340.94,341.29,2058,0
DE.US,5,20210922,194500,341.25,341.39,341.12,341.39,3665,0
DE.US,5,20210922,195000,341.39,341.39,340.89,341.07,3744,0
DE.US,5,20210922,195500,341.03,341.29,340.99,341.29,1900,0
DE.US,5,20210922,200000,341.21,342.73,340.54,342.73,7700,0
DE.US,5,20210922,200500,342.87,343.11,342.11,342.47,10017,0
DE.US,5,20210922,201000,342.53,342.91,342.27,342.91,4745,0
DE.US,5,20210922,201500,342.92,343.21,342.43,342.43,5373,0
DE.US,5,20210922,202000,342.67,342.86,341.9,342.24,7970,0
DE.US,5,20210922,202500,342.29,343.02,342.12,342.99,4415,0
DE.US,5,20210922,203000,343.02,343.23,342.38,342.83,8758,0
DE.US,5,20210922,203500,342.78,343.04,342.2,342.41,4260,0
DE.US,5,20210922,204000,342.28,342.28,341.45,341.88,4368,0
DE.US,5,20210922,204500,341.53,341.53,340.38,340.58,8789,0
DE.US,5,20210922,205000,340.45,341.09,339.59,340.78,14707,0
DE.US,5,20210922,205500,341.07,341.15,340.64,340.87,3598,0
DE.US,5,20210922,210000,340.69,341.05,340.51,340.53,5038,0
DE.US,5,20210922,210500,340.84,340.85,340.34,340.55,36470,0
DE.US,5,20210922,211000,340.66,341.23,340.29,341.13,15760,0
DE.US,5,20210922,211500,341.13,341.48,340.99,341.48,22329,0
DE.US,5,20210922,212000,341.56,342.04,341.45,341.55,7317,0
DE.US,5,20210922,212500,341.61,341.61,341.14,341.46,4333,0
DE.US,5,20210922,213000,341.32,341.42,340.64,340.84,4935,0
DE.US,5,20210922,213500,340.82,341.7,340.82,341.18,8906,0
DE.US,5,20210922,214000,341.23,341.24,340.41,340.71,10900,0
DE.US,5,20210922,214500,340.5,340.79,340.36,340.36,5429,0
DE.US,5,20210922,215000,340.26,340.55,339.62,340.36,20169,0
DE.US,5,20210922,215500,340.28,340.4,339.54,339.83,148787,0
DE.US,5,20210923,153000,343.98,345.72,343.94,345,33111,0
DE.US,5,20210923,153500,345.01,346.23,344.53,346.05,10976,0
DE.US,5,20210923,154000,346.19,346.68,345.21,346.44,14917,0
DE.US,5,20210923,154500,346.47,347.13,346.47,346.97,13721,0
DE.US,5,20210923,155000,347.02,347.08,346.14,346.63,8279,0
DE.US,5,20210923,155500,346.87,347.85,346.87,347.56,13234,0
DE.US,5,20210923,160000,347.6,348.4,347.4,347.78,11597,0
DE.US,5,20210923,160500,347.96,348.11,347.28,347.36,8301,0
DE.US,5,20210923,161000,347.45,347.88,347.35,347.77,7173,0
DE.US,5,20210923,161500,347.9,347.99,346.89,347.16,11206,0
DE.US,5,20210923,162000,347.04,347.87,347.04,347.71,3838,0
DE.US,5,20210923,162500,347.79,348.59,347.79,348.33,14712,0
DE.US,5,20210923,163000,348.23,348.93,348.2,348.69,12702,0
DE.US,5,20210923,163500,348.59,348.73,347.75,348.17,10667,0
DE.US,5,20210923,164000,348.27,348.62,348.07,348.53,6745,0
DE.US,5,20210923,164500,348.54,348.89,348.53,348.68,8186,0
DE.US,5,20210923,165000,348.73,349.6,348.73,349.52,13820,0
DE.US,5,20210923,165500,349.59,349.59,348.97,349.58,8944,0
DE.US,5,20210923,170000,349.44,349.57,349.31,349.34,8535,0
DE.US,5,20210923,170500,349.4,349.91,349.4,349.59,10123,0
DE.US,5,20210923,171000,349.46,349.9,349.26,349.26,8457,0
DE.US,5,20210923,171500,349.32,349.43,348.88,349.25,7193,0
DE.US,5,20210923,172000,349.33,349.39,348.97,349.35,4922,0
DE.US,5,20210923,172500,349.37,349.72,349.18,349.7,7115,0
DE.US,5,20210923,173000,349.62,349.74,349.49,349.51,6511,0
DE.US,5,20210923,173500,349.48,349.61,349.28,349.52,2611,0
DE.US,5,20210923,174000,349.47,349.47,348.67,348.83,5502,0
DE.US,5,20210923,174500,348.75,349,348.53,348.57,6997,0
DE.US,5,20210923,175000,348.67,349.06,348.5,349.03,5603,0
DE.US,5,20210923,175500,349.24,349.3,348.99,349.21,4062,0
DE.US,5,20210923,180000,349.26,349.64,349.06,349.64,7373,0
DE.US,5,20210923,180500,349.74,349.96,349.67,349.85,5726,0
DE.US,5,20210923,181000,349.78,350.46,349.77,350.11,5318,0
DE.US,5,20210923,181500,350.22,350.22,349.67,350.07,11674,0
DE.US,5,20210923,182000,349.96,350.32,349.96,349.96,4585,0
DE.US,5,20210923,182500,349.86,350.22,349.71,350.07,4713,0
DE.US,5,20210923,183000,349.96,350.19,349.75,349.9,3604,0
DE.US,5,20210923,183500,349.95,349.96,349.61,349.96,6624,0
DE.US,5,20210923,184000,349.88,350.08,349.88,349.98,3408,0
DE.US,5,20210923,184500,350.03,350.05,349.93,350.01,1949,0
DE.US,5,20210923,185000,349.89,349.89,349.59,349.65,3957,0
DE.US,5,20210923,185500,349.72,349.75,349.52,349.75,3548,0
DE.US,5,20210923,190000,349.72,350.07,349.72,350.03,2449,0
DE.US,5,20210923,190500,350.06,350.22,350.01,350.21,1681,0
DE.US,5,20210923,191000,350.15,350.15,349.93,349.94,2660,0
DE.US,5,20210923,191500,350.04,350.06,349.8,350.04,3739,0
DE.US,5,20210923,192000,350.13,350.13,349.85,350.1,2963,0
DE.US,5,20210923,192500,350.1,350.3,349.92,350.3,6291,0
DE.US,5,20210923,193000,350.32,350.54,350.26,350.37,4967,0
DE.US,5,20210923,193500,350.46,350.61,350.45,350.58,2808,0
DE.US,5,20210923,194000,350.56,350.66,350.41,350.66,2885,0
DE.US,5,20210923,194500,350.62,350.75,350.59,350.67,2396,0
DE.US,5,20210923,195000,350.75,351.26,350.68,351.26,9300,0
DE.US,5,20210923,195500,351.21,351.25,350.96,351.09,12842,0
DE.US,5,20210923,200000,351.2,351.23,351.01,351.03,4810,0
DE.US,5,20210923,200500,351.03,351.21,351.03,351.09,8964,0
DE.US,5,20210923,201000,351.15,351.2,350.94,350.96,7100,0
DE.US,5,20210923,201500,351.03,351.17,350.78,350.78,9064,0
DE.US,5,20210923,202000,350.77,350.77,350.51,350.51,6875,0
DE.US,5,20210923,202500,350.59,350.81,350.48,350.48,8550,0
DE.US,5,20210923,203000,350.52,350.65,350.08,350.08,3944,0
DE.US,5,20210923,203500,350,350.14,349.95,350.11,6906,0
DE.US,5,20210923,204000,350.05,350.31,349.95,349.99,6523,0
DE.US,5,20210923,204500,350.08,350.13,349.73,349.76,6684,0
DE.US,5,20210923,205000,349.7,350.01,349.68,349.81,6271,0
DE.US,5,20210923,205500,349.82,349.97,349.65,349.93,3302,0
DE.US,5,20210923,210000,349.95,350.12,349.78,349.85,5938,0
DE.US,5,20210923,210500,349.98,349.98,349.75,349.89,6139,0
DE.US,5,20210923,211000,349.86,349.92,349.31,349.54,5279,0
DE.US,5,20210923,211500,349.55,349.74,349.4,349.43,7260,0
DE.US,5,20210923,212000,349.4,349.85,349.4,349.85,5577,0
DE.US,5,20210923,212500,349.82,350.19,349.82,350.15,12475,0
DE.US,5,20210923,213000,350.16,350.51,350.06,350.26,26477,0
DE.US,5,20210923,213500,350.25,350.27,349.57,349.64,21798,0
DE.US,5,20210923,214000,349.63,350.28,349.56,350.09,18380,0
DE.US,5,20210923,214500,350.03,350.72,349.94,350.63,39864,0
DE.US,5,20210923,215000,350.67,350.8,349.86,350.48,53112,0
DE.US,5,20210923,215500,350.38,350.66,350.01,350.46,204514,0
DE.US,5,20210924,153000,348.82,351.24,347.77,351.24,36629,0
DE.US,5,20210924,153500,350.95,351.12,350,350.42,14257,0
DE.US,5,20210924,154000,350.36,351.3,350.36,350.53,13273,0
DE.US,5,20210924,154500,350.67,350.67,349.29,349.54,31588,0
DE.US,5,20210924,155000,349.7,351.03,349.7,350.9,11732,0
DE.US,5,20210924,155500,350.89,351.52,350.74,351.45,15008,0
DE.US,5,20210924,160000,351.72,352.32,350.13,350.8,43211,0
DE.US,5,20210924,160500,350.64,350.83,348.88,349.32,18807,0
DE.US,5,20210924,161000,349.23,349.52,348.79,348.79,13826,0
DE.US,5,20210924,161500,348.4,349.37,348.4,348.8,15247,0
DE.US,5,20210924,162000,348.71,349.45,348.63,349.1,6692,0
DE.US,5,20210924,162500,349.02,349.26,348.69,348.77,9428,0
DE.US,5,20210924,163000,348.83,349.06,348.18,348.18,14337,0
DE.US,5,20210924,163500,348.17,348.68,347.77,347.77,9809,0
DE.US,5,20210924,164000,347.84,348.67,347.79,348.03,6516,0
DE.US,5,20210924,164500,348.14,348.75,347.55,348.27,8880,0
DE.US,5,20210924,165000,348.1,348.13,347.68,347.92,8421,0
DE.US,5,20210924,165500,347.97,348.39,347.97,348.09,10501,0
DE.US,5,20210924,170000,348.13,348.56,347.83,348.56,3034,0
DE.US,5,20210924,170500,348.47,349.01,348.41,348.81,5869,0
DE.US,5,20210924,171000,348.75,348.87,348.59,348.68,11821,0
DE.US,5,20210924,171500,348.57,348.73,348.15,348.26,5682,0
DE.US,5,20210924,172000,348.11,348.39,348.09,348.31,5247,0
DE.US,5,20210924,172500,348.16,348.16,347.67,347.77,4831,0
DE.US,5,20210924,173000,347.74,348.33,347.66,348.32,9266,0
DE.US,5,20210924,173500,348.39,348.39,347.8,347.88,8517,0
DE.US,5,20210924,174000,348.04,348.07,347.7,347.7,2999,0
DE.US,5,20210924,174500,347.52,348.09,347.49,347.76,3149,0
DE.US,5,20210924,175000,347.62,348.01,347.62,347.95,2828,0
DE.US,5,20210924,175500,347.9,348.36,347.84,348.24,7758,0
DE.US,5,20210924,180000,348.33,348.33,347.87,347.88,6551,0
DE.US,5,20210924,180500,347.92,348.11,347.86,347.96,6304,0
DE.US,5,20210924,181000,347.93,348.03,347.71,347.93,9496,0
DE.US,5,20210924,181500,347.85,348.26,347.81,348.05,10527,0
DE.US,5,20210924,182000,348.14,348.44,347.96,348.44,9161,0
DE.US,5,20210924,182500,348.52,348.52,348.09,348.16,2800,0
DE.US,5,20210924,183000,348.28,348.71,348.28,348.55,3725,0
DE.US,5,20210924,183500,348.59,348.74,348.46,348.71,4679,0
DE.US,5,20210924,184000,348.74,349.14,348.73,348.94,5335,0
DE.US,5,20210924,184500,348.93,349.02,348.89,348.94,1807,0
DE.US,5,20210924,185000,348.89,348.89,348.65,348.76,3268,0
DE.US,5,20210924,185500,348.79,348.79,348.53,348.76,1794,0
DE.US,5,20210924,190000,348.68,348.79,348.34,348.34,2906,0
DE.US,5,20210924,190500,348.42,348.58,348.27,348.34,5015,0
DE.US,5,20210924,191000,348.38,348.69,348.33,348.69,4937,0
DE.US,5,20210924,191500,348.69,348.71,348.33,348.33,2527,0
DE.US,5,20210924,192000,348.38,348.44,348.17,348.18,2708,0
DE.US,5,20210924,192500,348.11,348.17,347.96,348.17,6720,0
DE.US,5,20210924,193000,348.11,348.21,347.96,348.17,9694,0
DE.US,5,20210924,193500,348.14,348.31,348.02,348.16,3158,0
DE.US,5,20210924,194000,348.26,348.65,348.14,348.65,5185,0
DE.US,5,20210924,194500,348.69,349.17,348.67,349.17,4459,0
DE.US,5,20210924,195000,349.1,349.2,348.93,348.98,8156,0
DE.US,5,20210924,195500,348.97,349.02,348.56,348.56,2079,0
DE.US,5,20210924,200000,348.7,349.11,348.55,349.11,5324,0
DE.US,5,20210924,200500,349.16,349.29,348.99,349.26,6260,0
DE.US,5,20210924,201000,349.22,349.25,348.86,348.86,3662,0
DE.US,5,20210924,201500,348.83,348.96,348.81,348.95,3613,0
DE.US,5,20210924,202000,349.06,349.12,348.9,349.1,2668,0
DE.US,5,20210924,202500,349.12,349.19,348.74,348.81,8311,0
DE.US,5,20210924,203000,348.9,349,348.56,348.72,3220,0
DE.US,5,20210924,203500,348.63,348.82,348.46,348.82,3329,0
DE.US,5,20210924,204000,348.88,349.02,348.87,348.93,3272,0
DE.US,5,20210924,204500,348.92,349.15,348.91,349.03,10036,0
DE.US,5,20210924,205000,349.02,349.16,348.97,349.12,5920,0
DE.US,5,20210924,205500,349.12,349.53,349.04,349.51,6604,0
DE.US,5,20210924,210000,349.53,349.53,349.41,349.47,2573,0
DE.US,5,20210924,210500,349.39,349.39,349.18,349.31,2931,0
DE.US,5,20210924,211000,349.37,349.51,349.36,349.51,3847,0
DE.US,5,20210924,211500,349.46,349.61,349.37,349.37,3342,0
DE.US,5,20210924,212000,349.3,349.65,349.29,349.47,5207,0
DE.US,5,20210924,212500,349.41,349.41,349.11,349.16,4744,0
DE.US,5,20210924,213000,349.23,349.32,348.88,348.92,9816,0
DE.US,5,20210924,213500,348.97,349.09,348.79,348.88,7110,0
DE.US,5,20210924,214000,348.93,349.28,348.85,349.28,10813,0
DE.US,5,20210924,214500,349.25,349.44,348.98,349.06,12017,0
DE.US,5,20210924,215000,348.94,349.26,348.75,348.75,14472,0
DE.US,5,20210924,215500,348.82,348.88,348.18,348.21,131697,0
DE.US,5,20210927,153000,347.75,349.01,347.75,348.1,38794,0
DE.US,5,20210927,153500,348.03,349.01,347.98,348.84,15039,0
DE.US,5,20210927,154000,348.69,349.87,348.25,349.65,77149,0
DE.US,5,20210927,154500,349.46,350.15,349,349.55,50598,0
DE.US,5,20210927,155000,349.56,351.35,349.09,351.01,38020,0
DE.US,5,20210927,155500,351.28,351.59,350.67,351.53,11043,0
DE.US,5,20210927,160000,351.3,352.56,351.1,352.16,9111,0
DE.US,5,20210927,160500,352.01,352.42,350.96,351.12,16051,0
DE.US,5,20210927,161000,351.02,351.9,350.8,351.9,16881,0
