<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
EFL.US,5,20210922,153000,9.38,9.38,9.38,9.38,100,0
EFL.US,5,20210922,154500,9.3942,9.4035,9.3942,9.4035,4000,0
EFL.US,5,20210922,155500,9.38,9.38,9.38,9.38,100,0
EFL.US,5,20210922,161000,9.3801,9.3801,9.38,9.38,6100,0
EFL.US,5,20210922,164500,9.38,9.38,9.38,9.38,2000,0
EFL.US,5,20210922,165500,9.4299,9.4299,9.4299,9.4299,2099,0
EFL.US,5,20210922,170000,9.3841,9.39,9.37,9.37,6300,0
EFL.US,5,20210922,170500,9.37,9.37,9.36,9.36,4950,0
EFL.US,5,20210922,172000,9.39,9.39,9.39,9.39,600,0
EFL.US,5,20210922,172500,9.36,9.36,9.34,9.34,4955,0
EFL.US,5,20210922,173000,9.34,9.34,9.34,9.34,4760,0
EFL.US,5,20210922,173500,9.4,9.4,9.3541,9.3541,3544,0
EFL.US,5,20210922,174500,9.35,9.35,9.35,9.35,2955,0
EFL.US,5,20210922,175500,9.37,9.37,9.35,9.35,6300,0
EFL.US,5,20210922,180500,9.35,9.35,9.34,9.35,5800,0
EFL.US,5,20210922,181000,9.35,9.35,9.34,9.34,3775,0
EFL.US,5,20210922,181500,9.34,9.345,9.34,9.34,5025,0
EFL.US,5,20210922,185000,9.34,9.34,9.34,9.34,200,0
EFL.US,5,20210922,190500,9.345,9.35,9.34,9.35,1600,0
EFL.US,5,20210922,191000,9.345,9.35,9.34,9.34,7609,0
EFL.US,5,20210922,192000,9.341,9.341,9.341,9.341,2500,0
EFL.US,5,20210922,194500,9.35,9.35,9.35,9.35,277,0
EFL.US,5,20210922,195000,9.35,9.37,9.35,9.35,494,0
EFL.US,5,20210922,201500,9.36,9.36,9.35,9.35,5000,0
EFL.US,5,20210922,202000,9.36,9.36,9.35,9.35,5000,0
EFL.US,5,20210922,203000,9.36,9.36,9.34,9.34,4999,0
EFL.US,5,20210922,204000,9.36,9.36,9.36,9.36,100,0
EFL.US,5,20210922,205000,9.355,9.355,9.355,9.355,100,0
EFL.US,5,20210922,210000,9.36,9.36,9.355,9.36,4515,0
EFL.US,5,20210922,210500,9.37,9.39,9.3699,9.39,6153,0
EFL.US,5,20210922,211500,9.37,9.37,9.37,9.37,100,0
EFL.US,5,20210922,212000,9.3809,9.3809,9.3809,9.3809,1200,0
EFL.US,5,20210922,213500,9.37,9.37,9.37,9.37,2000,0
EFL.US,5,20210922,214500,9.3845,9.3845,9.3845,9.3845,1000,0
EFL.US,5,20210922,215500,9.39,9.39,9.39,9.39,720,0
EFL.US,5,20210923,153000,9.39,9.39,9.39,9.39,2500,0
EFL.US,5,20210923,155000,9.389,9.389,9.389,9.389,246,0
EFL.US,5,20210923,155500,9.3605,9.3605,9.3605,9.3605,500,0
EFL.US,5,20210923,161000,9.385,9.385,9.385,9.385,1081,0
EFL.US,5,20210923,163500,9.36,9.36,9.36,9.36,345,0
EFL.US,5,20210923,164500,9.3636,9.3636,9.3636,9.3636,1000,0
EFL.US,5,20210923,165000,9.38,9.38,9.38,9.38,1000,0
EFL.US,5,20210923,165500,9.38,9.38,9.38,9.38,700,0
EFL.US,5,20210923,173000,9.3875,9.3875,9.3875,9.3875,100,0
EFL.US,5,20210923,173500,9.39,9.39,9.38,9.3811,1900,0
EFL.US,5,20210923,181000,9.388,9.388,9.388,9.388,435,0
EFL.US,5,20210923,184500,9.36,9.36,9.36,9.36,600,0
EFL.US,5,20210923,190000,9.36,9.36,9.36,9.36,1000,0
EFL.US,5,20210923,192500,9.36,9.38,9.36,9.38,1800,0
EFL.US,5,20210923,203000,9.36,9.36,9.36,9.36,403,0
EFL.US,5,20210923,204000,9.38,9.38,9.36,9.36,1600,0
EFL.US,5,20210923,204500,9.36,9.3909,9.36,9.36,5134,0
EFL.US,5,20210923,205000,9.36,9.36,9.36,9.36,565,0
EFL.US,5,20210923,205500,9.3601,9.3601,9.3601,9.3601,500,0
