<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
ENLC.US,5,20210922,153000,6.48,6.55,6.47,6.47,14487,0
ENLC.US,5,20210922,153500,6.48,6.5,6.47,6.5,9568,0
ENLC.US,5,20210922,154000,6.5,6.5,6.455,6.47,7741,0
ENLC.US,5,20210922,154500,6.48,6.495,6.455,6.48,20678,0
ENLC.US,5,20210922,155000,6.49,6.525,6.48,6.51,22285,0
ENLC.US,5,20210922,155500,6.51,6.525,6.505,6.52,29541,0
ENLC.US,5,20210922,160000,6.515,6.515,6.48,6.49,10320,0
ENLC.US,5,20210922,160500,6.49,6.49,6.435,6.45,12692,0
ENLC.US,5,20210922,161000,6.44,6.475,6.435,6.475,7295,0
ENLC.US,5,20210922,161500,6.48,6.5,6.48,6.495,6480,0
ENLC.US,5,20210922,162000,6.49,6.4901,6.47,6.475,3616,0
ENLC.US,5,20210922,162500,6.47,6.475,6.445,6.45,18419,0
ENLC.US,5,20210922,163000,6.455,6.47,6.435,6.47,7700,0
ENLC.US,5,20210922,163500,6.46,6.47,6.45,6.46,8748,0
ENLC.US,5,20210922,164000,6.46,6.485,6.46,6.48,6093,0
ENLC.US,5,20210922,164500,6.48,6.485,6.46,6.485,5503,0
ENLC.US,5,20210922,165000,6.49,6.5,6.47,6.47,4326,0
ENLC.US,5,20210922,165500,6.475,6.495,6.475,6.495,7800,0
ENLC.US,5,20210922,170000,6.495,6.51,6.495,6.505,9622,0
ENLC.US,5,20210922,170500,6.505,6.52,6.5,6.52,83068,0
ENLC.US,5,20210922,171000,6.53,6.578,6.52,6.565,13310,0
ENLC.US,5,20210922,171500,6.565,6.59,6.565,6.59,11089,0
ENLC.US,5,20210922,172000,6.5909,6.61,6.5905,6.605,6978,0
ENLC.US,5,20210922,172500,6.61,6.625,6.6,6.61,22391,0
ENLC.US,5,20210922,173000,6.615,6.65,6.615,6.635,16491,0
ENLC.US,5,20210922,173500,6.63,6.645,6.625,6.645,6400,0
ENLC.US,5,20210922,174000,6.645,6.645,6.62,6.635,14332,0
ENLC.US,5,20210922,174500,6.638,6.64,6.61,6.625,29841,0
ENLC.US,5,20210922,175000,6.625,6.6875,6.625,6.675,40954,0
ENLC.US,5,20210922,175500,6.675,6.68,6.66,6.67,11716,0
ENLC.US,5,20210922,180000,6.66,6.665,6.65,6.6575,5781,0
ENLC.US,5,20210922,180500,6.65,6.65,6.61,6.61,26585,0
ENLC.US,5,20210922,181000,6.61,6.615,6.59,6.595,30203,0
ENLC.US,5,20210922,181500,6.599,6.609,6.59,6.605,15593,0
ENLC.US,5,20210922,182000,6.605,6.63,6.605,6.63,71994,0
ENLC.US,5,20210922,182500,6.625,6.64,6.625,6.635,4085,0
ENLC.US,5,20210922,183000,6.635,6.665,6.635,6.665,14049,0
ENLC.US,5,20210922,183500,6.665,6.685,6.665,6.685,12560,0
ENLC.US,5,20210922,184000,6.685,6.7,6.68,6.69,17815,0
ENLC.US,5,20210922,184500,6.685,6.7,6.68,6.69,14646,0
ENLC.US,5,20210922,185000,6.69,6.71,6.69,6.7,12452,0
ENLC.US,5,20210922,185500,6.7,6.71,6.695,6.695,8970,0
ENLC.US,5,20210922,190000,6.695,6.71,6.69,6.69,15192,0
ENLC.US,5,20210922,190500,6.695,6.7,6.69,6.695,9027,0
ENLC.US,5,20210922,191000,6.695,6.73,6.695,6.725,12979,0
ENLC.US,5,20210922,191500,6.725,6.725,6.7,6.7,7334,0
ENLC.US,5,20210922,192000,6.71,6.71,6.7,6.705,5025,0
ENLC.US,5,20210922,192500,6.7,6.72,6.69,6.705,16211,0
ENLC.US,5,20210922,193000,6.705,6.715,6.705,6.715,1024,0
ENLC.US,5,20210922,193500,6.71,6.715,6.685,6.685,16261,0
ENLC.US,5,20210922,194000,6.68,6.685,6.665,6.67,7504,0
ENLC.US,5,20210922,194500,6.67,6.67,6.65,6.655,5353,0
ENLC.US,5,20210922,195000,6.65,6.65,6.64,6.64,10016,0
ENLC.US,5,20210922,195500,6.6418,6.65,6.64,6.65,2210,0
ENLC.US,5,20210922,200000,6.65,6.7,6.65,6.7,23867,0
ENLC.US,5,20210922,200500,6.7,6.7,6.665,6.67,10988,0
ENLC.US,5,20210922,201000,6.665,6.67,6.64,6.645,39651,0
ENLC.US,5,20210922,201500,6.65,6.69,6.64,6.64,27874,0
ENLC.US,5,20210922,202000,6.64,6.65,6.625,6.64,19011,0
ENLC.US,5,20210922,202500,6.64,6.65,6.64,6.645,15801,0
ENLC.US,5,20210922,203000,6.64,6.66,6.63,6.64,31759,0
ENLC.US,5,20210922,203500,6.64,6.6501,6.62,6.63,23801,0
ENLC.US,5,20210922,204000,6.63,6.63,6.61,6.61,14030,0
ENLC.US,5,20210922,204500,6.61,6.62,6.57,6.57,54680,0
ENLC.US,5,20210922,205000,6.56,6.59,6.55,6.59,25858,0
ENLC.US,5,20210922,205500,6.585,6.59,6.56,6.565,17222,0
ENLC.US,5,20210922,210000,6.56,6.575,6.55,6.56,18872,0
ENLC.US,5,20210922,210500,6.565,6.59,6.56,6.58,32751,0
ENLC.US,5,20210922,211000,6.585,6.59,6.58,6.58,24045,0
ENLC.US,5,20210922,211500,6.585,6.6,6.58,6.595,93161,0
ENLC.US,5,20210922,212000,6.595,6.6,6.57,6.575,31397,0
ENLC.US,5,20210922,212500,6.57,6.585,6.56,6.575,21814,0
ENLC.US,5,20210922,213000,6.575,6.59,6.55,6.555,38456,0
ENLC.US,5,20210922,213500,6.555,6.59,6.55,6.58,49642,0
ENLC.US,5,20210922,214000,6.575,6.58,6.54,6.575,55273,0
ENLC.US,5,20210922,214500,6.575,6.59,6.54,6.55,48945,0
ENLC.US,5,20210922,215000,6.54,6.55,6.52,6.525,165417,0
ENLC.US,5,20210922,215500,6.525,6.54,6.515,6.54,952591,0
ENLC.US,5,20210923,153000,6.57,6.6,6.51,6.54,13729,0
ENLC.US,5,20210923,153500,6.54,6.6,6.54,6.6,18254,0
ENLC.US,5,20210923,154000,6.61,6.65,6.6,6.65,9718,0
ENLC.US,5,20210923,154500,6.65,6.66,6.645,6.65,12301,0
ENLC.US,5,20210923,155000,6.65,6.65,6.63,6.63,13226,0
ENLC.US,5,20210923,155500,6.64,6.685,6.64,6.68,20353,0
ENLC.US,5,20210923,160000,6.675,6.7,6.67,6.69,6221,0
ENLC.US,5,20210923,160500,6.7,6.715,6.6882,6.69,8594,0
ENLC.US,5,20210923,161000,6.7,6.725,6.7,6.7105,22335,0
ENLC.US,5,20210923,161500,6.71,6.725,6.695,6.7,7667,0
ENLC.US,5,20210923,162000,6.695,6.715,6.695,6.71,5169,0
ENLC.US,5,20210923,162500,6.71,6.71,6.671,6.6918,8680,0
ENLC.US,5,20210923,163000,6.69,6.705,6.68,6.7,5711,0
ENLC.US,5,20210923,163500,6.7,6.705,6.685,6.69,6101,0
ENLC.US,5,20210923,164000,6.7,6.735,6.7,6.725,12382,0
ENLC.US,5,20210923,164500,6.72,6.735,6.72,6.735,6828,0
ENLC.US,5,20210923,165000,6.735,6.74,6.73,6.74,2400,0
ENLC.US,5,20210923,165500,6.735,6.735,6.71,6.725,24226,0
ENLC.US,5,20210923,170000,6.725,6.735,6.71,6.73,7494,0
ENLC.US,5,20210923,170500,6.725,6.735,6.69,6.71,15005,0
ENLC.US,5,20210923,171000,6.705,6.72,6.69,6.7,7190,0
ENLC.US,5,20210923,171500,6.71,6.74,6.71,6.735,4700,0
ENLC.US,5,20210923,172000,6.73,6.75,6.73,6.74,6094,0
ENLC.US,5,20210923,172500,6.75,6.77,6.75,6.75,20977,0
ENLC.US,5,20210923,173000,6.755,6.755,6.73,6.735,6300,0
ENLC.US,5,20210923,173500,6.73,6.735,6.71,6.71,7428,0
ENLC.US,5,20210923,174000,6.71,6.73,6.7,6.715,16864,0
ENLC.US,5,20210923,174500,6.71,6.73,6.7,6.725,14497,0
ENLC.US,5,20210923,175000,6.72,6.72,6.7,6.705,7160,0
ENLC.US,5,20210923,175500,6.7,6.71,6.695,6.7,10372,0
ENLC.US,5,20210923,180000,6.705,6.71,6.7,6.7078,6437,0
ENLC.US,5,20210923,180500,6.71,6.71,6.7,6.7,3800,0
ENLC.US,5,20210923,181000,6.7,6.72,6.7,6.7,14648,0
ENLC.US,5,20210923,181500,6.705,6.71,6.7,6.705,5266,0
ENLC.US,5,20210923,182000,6.705,6.71,6.7,6.705,5352,0
ENLC.US,5,20210923,182500,6.7,6.705,6.68,6.695,32566,0
ENLC.US,5,20210923,183000,6.69,6.6902,6.66,6.66,23422,0
ENLC.US,5,20210923,183500,6.66,6.68,6.66,6.68,12909,0
ENLC.US,5,20210923,184000,6.68,6.69,6.68,6.685,31656,0
ENLC.US,5,20210923,184500,6.685,6.685,6.665,6.685,24068,0
ENLC.US,5,20210923,185000,6.685,6.69,6.68,6.685,3734,0
ENLC.US,5,20210923,185500,6.685,6.685,6.665,6.67,11291,0
ENLC.US,5,20210923,190000,6.67,6.695,6.67,6.695,11986,0
ENLC.US,5,20210923,190500,6.695,6.7,6.685,6.7,13389,0
ENLC.US,5,20210923,191000,6.695,6.7,6.69,6.7,14348,0
ENLC.US,5,20210923,191500,6.695,6.7,6.69,6.7,3423,0
ENLC.US,5,20210923,192000,6.695,6.7,6.67,6.69,79295,0
ENLC.US,5,20210923,192500,6.6918,6.7,6.67,6.685,66606,0
ENLC.US,5,20210923,193000,6.68,6.69,6.67,6.685,22719,0
ENLC.US,5,20210923,193500,6.68,6.685,6.67,6.685,16661,0
ENLC.US,5,20210923,194000,6.685,6.7,6.68,6.695,41046,0
ENLC.US,5,20210923,194500,6.69,6.69,6.67,6.675,20094,0
ENLC.US,5,20210923,195000,6.68,6.69,6.665,6.67,32773,0
ENLC.US,5,20210923,195500,6.675,6.69,6.67,6.675,35956,0
ENLC.US,5,20210923,200000,6.675,6.695,6.67,6.685,29736,0
ENLC.US,5,20210923,200500,6.68,6.69,6.67,6.675,29975,0
ENLC.US,5,20210923,201000,6.6783,6.69,6.67,6.685,12432,0
ENLC.US,5,20210923,201500,6.69,6.7,6.685,6.6971,10568,0
ENLC.US,5,20210923,202000,6.695,6.73,6.69,6.72,24079,0
ENLC.US,5,20210923,202500,6.72,6.74,6.72,6.725,9950,0
ENLC.US,5,20210923,203000,6.725,6.73,6.71,6.71,11940,0
ENLC.US,5,20210923,203500,6.715,6.73,6.7101,6.725,9806,0
ENLC.US,5,20210923,204000,6.72,6.7299,6.71,6.72,6275,0
ENLC.US,5,20210923,204500,6.72,6.74,6.72,6.73,10492,0
ENLC.US,5,20210923,205000,6.72,6.73,6.71,6.72,56971,0
