<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
ENO.US,5,20210922,153000,25.53,25.53,25.53,25.53,100,0
ENO.US,5,20210922,155000,25.54,25.54,25.53,25.53,993,0
ENO.US,5,20210922,160500,25.65,25.65,25.65,25.65,480,0
ENO.US,5,20210922,172000,25.66,25.66,25.65,25.65,1777,0
ENO.US,5,20210922,184500,25.7,25.7,25.7,25.7,200,0
ENO.US,5,20210922,192500,25.7,25.7,25.6875,25.7,1441,0
ENO.US,5,20210922,193000,25.6895,25.7,25.67,25.7,1500,0
ENO.US,5,20210922,194500,25.655,25.655,25.655,25.655,234,0
ENO.US,5,20210922,195000,25.713,25.713,25.7,25.7,5308,0
ENO.US,5,20210922,195500,25.7001,25.7001,25.7001,25.7001,200,0
ENO.US,5,20210922,202000,25.684,25.684,25.684,25.684,250,0
ENO.US,5,20210922,202500,25.63,25.63,25.63,25.63,515,0
ENO.US,5,20210922,203000,25.67,25.67,25.67,25.67,142,0
ENO.US,5,20210922,204000,25.7025,25.72,25.7025,25.72,3375,0
ENO.US,5,20210922,205000,25.73,25.73,25.73,25.73,168,0
ENO.US,5,20210922,205500,25.7202,25.7202,25.7202,25.7202,100,0
ENO.US,5,20210922,211000,25.72,25.72,25.72,25.72,100,0
ENO.US,5,20210922,211500,25.705,25.705,25.705,25.705,200,0
ENO.US,5,20210922,215000,25.67,25.67,25.67,25.67,581,0
ENO.US,5,20210923,153000,25.58,25.65,25.58,25.65,2629,0
ENO.US,5,20210923,155000,25.65,25.65,25.65,25.65,590,0
ENO.US,5,20210923,164500,25.61,25.61,25.61,25.61,400,0
ENO.US,5,20210923,165000,25.59,25.59,25.59,25.59,100,0
ENO.US,5,20210923,172000,25.59,25.59,25.59,25.59,400,0
ENO.US,5,20210923,173000,25.5794,25.5794,25.5794,25.5794,900,0
ENO.US,5,20210923,173500,25.5625,25.5625,25.5625,25.5625,300,0
ENO.US,5,20210923,180000,25.58,25.58,25.58,25.58,501,0
ENO.US,5,20210923,182000,25.6,25.6,25.6,25.6,485,0
ENO.US,5,20210923,184000,25.66,25.66,25.66,25.66,300,0
ENO.US,5,20210923,184500,25.63,25.63,25.63,25.63,200,0
ENO.US,5,20210923,190500,25.6495,25.6495,25.645,25.645,975,0
ENO.US,5,20210923,191500,25.67,25.67,25.67,25.67,700,0
ENO.US,5,20210923,192000,25.6563,25.6563,25.6563,25.6563,200,0
ENO.US,5,20210923,202000,25.63,25.63,25.63,25.63,111,0
ENO.US,5,20210923,204500,25.63,25.63,25.63,25.63,1101,0
ENO.US,5,20210923,205500,25.619,25.695,25.619,25.695,1266,0
ENO.US,5,20210923,210500,25.65,25.65,25.65,25.65,553,0
ENO.US,5,20210923,213500,25.7411,25.7411,25.7411,25.7411,268,0
ENO.US,5,20210924,153000,25.57,25.57,25.57,25.57,951,0
ENO.US,5,20210924,164500,25.62,25.62,25.62,25.62,100,0
ENO.US,5,20210924,173500,25.652,25.652,25.618,25.618,400,0
ENO.US,5,20210924,192000,25.6,25.6,25.6,25.6,200,0
ENO.US,5,20210924,195000,25.6,25.6,25.6,25.6,200,0
ENO.US,5,20210924,202500,25.61,25.61,25.61,25.61,811,0
ENO.US,5,20210927,153000,25.68,25.68,25.68,25.68,100,0
ENO.US,5,20210927,160500,25.5494,25.5494,25.5494,25.5494,100,0
ENO.US,5,20210927,170000,25.55,25.83,25.55,25.695,5716,0
ENO.US,5,20210927,170500,25.6,25.69,25.58,25.59,1600,0
ENO.US,5,20210927,180500,25.645,25.645,25.645,25.645,500,0
ENO.US,5,20210927,181500,25.6,25.61,25.6,25.61,900,0
ENO.US,5,20210927,182000,25.61,25.61,25.61,25.61,200,0
ENO.US,5,20210927,183000,25.61,25.61,25.61,25.61,100,0
ENO.US,5,20210927,183500,25.6,25.6,25.6,25.6,379,0
ENO.US,5,20210927,185500,25.58,25.58,25.58,25.58,100,0
ENO.US,5,20210927,190500,25.59,25.6,25.59,25.6,500,0
ENO.US,5,20210927,192500,25.5935,25.5935,25.5935,25.5935,155,0
ENO.US,5,20210927,200000,25.58,25.58,25.58,25.58,200,0
ENO.US,5,20210927,201000,25.5541,25.5541,25.5541,25.5541,350,0
ENO.US,5,20210927,202500,25.565,25.565,25.565,25.565,900,0
ENO.US,5,20210927,205000,25.5799,25.5799,25.5789,25.5789,550,0
ENO.US,5,20210927,205500,25.565,25.565,25.565,25.565,400,0
ENO.US,5,20210927,210500,25.5539,25.5539,25.5539,25.5539,600,0
ENO.US,5,20210927,212000,25.57,25.57,25.57,25.57,400,0
ENO.US,5,20210927,212500,25.5504,25.5504,25.5504,25.5504,175,0
ENO.US,5,20210928,153000,25.63,25.63,25.63,25.63,100,0
ENO.US,5,20210928,154500,25.55,25.55,25.53,25.53,1953,0
ENO.US,5,20210928,161000,25.53,25.535,25.53,25.53,803,0
ENO.US,5,20210928,161500,25.53,25.53,25.53,25.53,1211,0
ENO.US,5,20210928,162000,25.53,25.53,25.53,25.53,100,0
ENO.US,5,20210928,170500,25.5325,25.54,25.53,25.54,1128,0
ENO.US,5,20210928,173000,25.5377,25.54,25.5377,25.54,390,0
ENO.US,5,20210928,180000,25.5371,25.5371,25.5371,25.5371,200,0
