<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
EP_C.US,5,20210922,164000,50.213,50.213,50.213,50.213,150,0
EP_C.US,5,20210922,175000,50.2,50.2,50.2,50.2,497,0
EP_C.US,5,20210922,201000,50.2,50.2,50.17,50.17,325,0
EP_C.US,5,20210922,215000,50.15,50.15,50.15,50.15,114,0
EP_C.US,5,20210923,153000,50.1,50.1,50.1,50.1,200,0
EP_C.US,5,20210923,161500,50.15,50.16,50.15,50.16,375,0
EP_C.US,5,20210923,194000,50.1899,50.1899,50.1899,50.1899,300,0
EP_C.US,5,20210923,200500,50.1,50.1,49.99,49.99,817,0
EP_C.US,5,20210923,201500,50.01,50.01,50.01,50.01,100,0
EP_C.US,5,20210923,202000,50,50.057,50,50.057,400,0
EP_C.US,5,20210923,210000,50.15,50.15,50.15,50.15,300,0
EP_C.US,5,20210923,210500,50.17,50.17,50.15,50.15,500,0
EP_C.US,5,20210923,214000,50.15,50.15,50.15,50.15,300,0
EP_C.US,5,20210923,214500,50.15,50.15,50.15,50.15,991,0
EP_C.US,5,20210924,165000,50.1499,50.1499,50.1499,50.1499,1000,0
EP_C.US,5,20210924,170000,50.15,50.15,50.15,50.15,3083,0
EP_C.US,5,20210924,183500,50.042,50.042,50.042,50.042,125,0
EP_C.US,5,20210924,185000,50.03,50.03,50.03,50.03,100,0
EP_C.US,5,20210924,200500,50.05,50.05,50.05,50.05,100,0
EP_C.US,5,20210924,202500,50.05,50.05,50.05,50.05,400,0
EP_C.US,5,20210924,212500,50.0999,50.0999,50.0999,50.0999,200,0
EP_C.US,5,20210924,213500,50.1,50.1,50.1,50.1,473,0
EP_C.US,5,20210927,165000,50.1,50.1,50.1,50.1,100,0
EP_C.US,5,20210927,202500,50.05,50.05,50.05,50.05,100,0
EP_C.US,5,20210927,203500,50.0433,50.0433,50,50,200,0
EP_C.US,5,20210927,205500,50,50,50,50,150,0
EP_C.US,5,20210927,215000,50.05,50.05,50.05,50.05,200,0
EP_C.US,5,20210927,215500,50.0245,50.0245,50.0245,50.0245,100,0
EP_C.US,5,20210928,154500,50.01,50.01,50.01,50.01,850,0
EP_C.US,5,20210928,155000,50.01,50.01,50.01,50.01,200,0
EP_C.US,5,20210928,155500,50.01,50.01,50.01,50.01,500,0
EP_C.US,5,20210928,160500,50.01,50.01,50.01,50.01,300,0
EP_C.US,5,20210928,162500,50,50,50,50,100,0
EP_C.US,5,20210928,165000,50.0001,50.0001,50.0001,50.0001,100,0
EP_C.US,5,20210928,170500,50,50,49.99,49.99,4428,0
EP_C.US,5,20210928,172000,50.0126,50.0126,50.0126,50.0126,100,0
EP_C.US,5,20210928,172500,50.0001,50.0001,50.0001,50.0001,200,0
EP_C.US,5,20210928,180500,50,50,50,50,100,0
EP_C.US,5,20210928,181000,50,50,50,50,200,0
EP_C.US,5,20210928,193000,50.01,50.01,50,50.0073,670,0
EP_C.US,5,20210928,202500,50.005,50.005,50.005,50.005,200,0
EP_C.US,5,20210928,205000,50.01,50.01,50.0066,50.0066,1670,0
EP_C.US,5,20210928,212000,50.005,50.005,50.005,50.005,100,0
EP_C.US,5,20210928,212500,50,50,50,50,100,0
EP_C.US,5,20210928,213000,50,50,50,50,327,0
EP_C.US,5,20210929,153000,50,50,50,50,1500,0
EP_C.US,5,20210929,155500,50.03,50.03,50.03,50.03,100,0
EP_C.US,5,20210929,170500,50.05,50.05,50.05,50.05,200,0
EP_C.US,5,20210929,181500,50.0201,50.0201,50.0201,50.0201,100,0
EP_C.US,5,20210929,201000,50.05,50.1,50.05,50.1,900,0
EP_C.US,5,20210929,214500,50.08,50.08,50.08,50.08,199,0
EP_C.US,5,20210930,153000,50.08,50.09,50.08,50.09,489,0
EP_C.US,5,20210930,174000,50.011,50.011,50.011,50.011,100,0
EP_C.US,5,20210930,174500,50,50,50,50,200,0
EP_C.US,5,20210930,184500,50.02,50.02,50.02,50.02,100,0
EP_C.US,5,20210930,200000,50,50,50,50,200,0
EP_C.US,5,20210930,200500,50,50,50,50,200,0
EP_C.US,5,20210930,201000,50,50,50,50,100,0
EP_C.US,5,20210930,201500,50,50,50,50,200,0
EP_C.US,5,20210930,202000,50,50,50,50,200,0
EP_C.US,5,20210930,202500,50,50.0499,50,50,300,0
EP_C.US,5,20210930,203000,50,50,50,50,200,0
EP_C.US,5,20210930,203500,50,50,50,50,200,0
EP_C.US,5,20210930,204000,50,50,50,50,1048,0
EP_C.US,5,20210930,205500,49.99,49.99,49.99,49.99,200,0
EP_C.US,5,20210930,210000,49.99,49.99,49.99,49.99,200,0
EP_C.US,5,20210930,210500,49.99,49.99,49.99,49.99,200,0
EP_C.US,5,20210930,211000,49.99,49.99,49.99,49.99,100,0
EP_C.US,5,20210930,211500,49.99,49.99,49.99,49.99,200,0
EP_C.US,5,20210930,212000,49.99,49.99,49.99,49.99,200,0
EP_C.US,5,20210930,215000,49.99,49.99,49.26,49.28,11300,0
EP_C.US,5,20210930,215500,49.9,49.9,49.55,49.55,19596,0
EP_C.US,5,20211001,153000,49.69,49.69,49.69,49.69,249,0
EP_C.US,5,20211001,153500,49.8,49.8,49.8,49.8,944,0
EP_C.US,5,20211001,154000,49.8,49.8,49.8,49.8,500,0
EP_C.US,5,20211001,155000,49.9022,49.9022,49.9022,49.9022,100,0
EP_C.US,5,20211001,155500,49.8,49.8,49.8,49.8,400,0
EP_C.US,5,20211001,164000,49.8,49.8,49.8,49.8,717,0
EP_C.US,5,20211001,174000,49.86,49.86,49.86,49.86,200,0
EP_C.US,5,20211001,175000,49.81,49.81,49.8,49.8,1231,0
EP_C.US,5,20211001,185000,49.82,49.82,49.82,49.82,444,0
EP_C.US,5,20211001,214000,49.9,49.9,49.9,49.9,250,0
EP_C.US,5,20211004,153000,49.9,49.9,49.9,49.9,100,0
EP_C.US,5,20211004,163500,49.74,49.74,49.74,49.74,130,0
EP_C.US,5,20211004,172500,49.74,49.74,49.74,49.74,150,0
EP_C.US,5,20211004,181500,49.5117,49.5117,49.5117,49.5117,450,0
EP_C.US,5,20211004,194000,49.6,49.6,49.6,49.6,100,0
EP_C.US,5,20211004,211000,49.8,49.839,49.8,49.839,700,0
EP_C.US,5,20211004,215000,49.8,49.8,49.8,49.8,142,0
EP_C.US,5,20211005,165500,49.615,49.615,49.615,49.615,400,0
EP_C.US,5,20211005,170000,49.665,49.665,49.665,49.665,100,0
EP_C.US,5,20211005,180000,49.65,49.65,49.65,49.65,123,0
EP_C.US,5,20211005,211000,49.78,49.78,49.78,49.78,100,0
EP_C.US,5,20211005,213500,49.77,49.77,49.77,49.77,500,0
EP_C.US,5,20211005,215000,49.75,49.75,49.75,49.75,100,0
EP_C.US,5,20211005,215500,49.75,49.76,49.75,49.76,300,0
EP_C.US,5,20211006,155000,49.75,49.75,49.75,49.75,100,0
EP_C.US,5,20211006,180000,49.75,49.75,49.75,49.75,100,0
EP_C.US,5,20211006,181000,49.705,49.705,49.705,49.705,100,0
EP_C.US,5,20211006,204000,49.75,49.75,49.75,49.75,200,0
EP_C.US,5,20211006,204500,49.75,49.75,49.75,49.75,100,0
EP_C.US,5,20211006,212000,49.88,49.88,49.8399,49.8399,400,0
EP_C.US,5,20211006,213500,49.815,49.815,49.815,49.815,130,0
EP_C.US,5,20211007,153000,49.82,49.82,49.82,49.82,100,0
EP_C.US,5,20211007,154000,49.8356,49.8356,49.8356,49.8356,100,0
EP_C.US,5,20211007,160000,49.849,49.849,49.8,49.8,465,0
EP_C.US,5,20211007,171500,49.8,49.8,49.8,49.8,110,0
EP_C.US,5,20211007,173000,49.81,49.81,49.77,49.77,1200,0
EP_C.US,5,20211007,173500,49.81,49.81,49.801,49.801,400,0
EP_C.US,5,20211007,204500,49.95,49.95,49.94,49.94,594,0
EP_C.US,5,20211007,215000,49.9,49.9,49.9,49.9,100,0
EP_C.US,5,20211008,153000,49.95,49.95,49.95,49.95,300,0
EP_C.US,5,20211008,160500,49.95,50.005,49.95,50.005,400,0
EP_C.US,5,20211008,203500,49.95,49.95,49.95,49.95,121,0
EP_C.US,5,20211008,212500,49.97,49.97,49.97,49.97,100,0
EP_C.US,5,20211011,153000,50,50,50,50,100,0
