<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
ETO.US,5,20210922,153000,32.8,32.8,32.8,32.8,1192,0
ETO.US,5,20210922,154000,32.8134,32.86,32.81,32.86,2130,0
ETO.US,5,20210922,154500,32.835,32.86,32.835,32.86,790,0
ETO.US,5,20210922,155500,33,33.5,32.98,33.5,1696,0
ETO.US,5,20210922,160000,33.1637,33.3471,33.064,33.3471,1349,0
ETO.US,5,20210922,161000,33.06,33.06,33,33,500,0
ETO.US,5,20210922,162000,33.02,33.02,32.92,32.92,300,0
ETO.US,5,20210922,162500,32.96,33,32.9,32.9,1106,0
ETO.US,5,20210922,163500,32.8901,32.9842,32.87,32.87,325,0
ETO.US,5,20210922,164000,32.87,32.89,32.87,32.89,1829,0
ETO.US,5,20210922,170000,32.935,32.97,32.935,32.97,425,0
ETO.US,5,20210922,170500,33.03,33.03,33.03,33.03,250,0
ETO.US,5,20210922,171000,33.01,33.03,32.945,33.03,2006,0
ETO.US,5,20210922,172500,32.9,32.9,32.9,32.9,121,0
ETO.US,5,20210922,173000,32.91,32.97,32.91,32.97,475,0
ETO.US,5,20210922,173500,32.9506,32.9506,32.9506,32.9506,100,0
ETO.US,5,20210922,174000,32.95,32.96,32.82,32.82,6253,0
ETO.US,5,20210922,174500,32.82,32.82,32.82,32.82,300,0
ETO.US,5,20210922,175000,32.805,32.8122,32.72,32.75,4823,0
ETO.US,5,20210922,175500,32.745,32.75,32.745,32.75,322,0
ETO.US,5,20210922,180000,32.77,32.87,32.7,32.87,5299,0
ETO.US,5,20210922,182500,32.7956,32.7956,32.7956,32.7956,155,0
ETO.US,5,20210922,183000,32.82,32.82,32.82,32.82,100,0
ETO.US,5,20210922,184000,32.857,32.857,32.82,32.82,1100,0
ETO.US,5,20210922,184500,32.87,32.87,32.87,32.87,215,0
ETO.US,5,20210922,185000,32.77,32.8015,32.75,32.75,700,0
ETO.US,5,20210922,185500,32.74,32.74,32.74,32.74,100,0
ETO.US,5,20210922,190000,32.73,32.73,32.73,32.73,180,0
ETO.US,5,20210922,190500,32.73,32.8037,32.7,32.72,1634,0
ETO.US,5,20210922,191500,32.762,32.762,32.762,32.762,200,0
ETO.US,5,20210922,192500,32.749,32.749,32.71,32.71,233,0
ETO.US,5,20210922,193500,32.675,32.675,32.675,32.675,297,0
ETO.US,5,20210922,194000,32.6649,32.6649,32.6649,32.6649,126,0
ETO.US,5,20210922,195000,32.69,32.69,32.69,32.69,270,0
ETO.US,5,20210922,195500,32.65,32.6707,32.65,32.6707,200,0
ETO.US,5,20210922,200000,32.7,32.71,32.7,32.71,540,0
ETO.US,5,20210922,200500,32.87,32.87,32.87,32.87,1518,0
ETO.US,5,20210922,201000,32.72,32.74,32.71,32.72,1500,0
ETO.US,5,20210922,201500,32.7566,32.7566,32.73,32.73,600,0
ETO.US,5,20210922,202000,32.73,32.73,32.66,32.66,300,0
ETO.US,5,20210922,203000,32.685,32.71,32.6706,32.6706,1132,0
ETO.US,5,20210922,203500,32.72,32.765,32.6992,32.75,1700,0
ETO.US,5,20210922,205000,32.69,32.7,32.69,32.7,200,0
ETO.US,5,20210922,210500,32.78,32.78,32.78,32.78,179,0
ETO.US,5,20210922,211000,32.73,32.73,32.66,32.66,800,0
ETO.US,5,20210922,211500,32.66,32.66,32.6427,32.6427,739,0
ETO.US,5,20210922,212500,32.6626,32.6626,32.6626,32.6626,200,0
ETO.US,5,20210922,213500,32.67,32.67,32.67,32.67,157,0
ETO.US,5,20210922,214000,32.64,32.64,32.63,32.63,1100,0
ETO.US,5,20210922,214500,32.61,32.658,32.61,32.658,700,0
ETO.US,5,20210922,215000,32.64,32.65,32.55,32.56,4988,0
ETO.US,5,20210922,215500,32.55,32.62,32.55,32.62,1549,0
ETO.US,5,20210923,153000,32.57,32.6706,32.52,32.6706,1896,0
ETO.US,5,20210923,153500,32.7816,32.7816,32.56,32.56,4194,0
ETO.US,5,20210923,154500,32.665,32.665,32.65,32.65,400,0
ETO.US,5,20210923,155000,32.62,32.63,32.59,32.61,2718,0
ETO.US,5,20210923,155500,32.64,32.6412,32.63,32.63,1402,0
ETO.US,5,20210923,160000,32.68,32.68,32.67,32.67,3035,0
ETO.US,5,20210923,160500,32.685,32.76,32.66,32.66,3226,0
ETO.US,5,20210923,161000,32.65,32.67,32.65,32.67,330,0
ETO.US,5,20210923,161500,32.66,32.7239,32.66,32.72,943,0
ETO.US,5,20210923,162000,32.79,32.8,32.77,32.79,3162,0
ETO.US,5,20210923,162500,32.73,32.73,32.73,32.73,150,0
ETO.US,5,20210923,163500,32.79,32.79,32.79,32.79,100,0
ETO.US,5,20210923,164500,32.9299,32.9299,32.9299,32.9299,1222,0
ETO.US,5,20210923,165000,32.8876,32.8876,32.8876,32.8876,250,0
ETO.US,5,20210923,165500,32.8373,32.8373,32.8373,32.8373,377,0
ETO.US,5,20210923,170000,32.79,32.79,32.7,32.7,700,0
ETO.US,5,20210923,170500,32.7277,32.79,32.7277,32.735,500,0
ETO.US,5,20210923,171000,32.68,32.685,32.68,32.685,438,0
ETO.US,5,20210923,173000,32.68,32.6922,32.65,32.65,1350,0
ETO.US,5,20210923,173500,32.69,32.69,32.64,32.65,2210,0
ETO.US,5,20210923,174000,32.66,32.66,32.66,32.66,100,0
ETO.US,5,20210923,174500,32.65,32.67,32.65,32.67,414,0
ETO.US,5,20210923,180500,32.66,32.66,32.66,32.66,300,0
ETO.US,5,20210923,181500,32.67,32.67,32.66,32.66,300,0
ETO.US,5,20210923,182000,32.69,32.72,32.66,32.66,1075,0
ETO.US,5,20210923,182500,32.78,32.78,32.66,32.66,350,0
ETO.US,5,20210923,183500,32.68,32.68,32.67,32.67,200,0
ETO.US,5,20210923,184000,32.67,32.72,32.57,32.6599,4829,0
ETO.US,5,20210923,184500,32.6299,32.6299,32.55,32.6,3398,0
ETO.US,5,20210923,185000,32.6,32.6,32.6,32.6,564,0
ETO.US,5,20210923,185500,32.6,32.6,32.6,32.6,113,0
ETO.US,5,20210923,190000,32.6,32.6,32.6,32.6,327,0
ETO.US,5,20210923,191000,32.586,32.66,32.586,32.62,1320,0
ETO.US,5,20210923,192500,32.57,32.68,32.56,32.68,314,0
ETO.US,5,20210923,193500,32.67,32.67,32.595,32.595,501,0
ETO.US,5,20210923,194000,32.63,32.63,32.63,32.63,200,0
ETO.US,5,20210923,194500,32.6287,32.6287,32.6287,32.6287,612,0
ETO.US,5,20210923,195000,32.7586,32.7586,32.6568,32.6568,684,0
ETO.US,5,20210923,200000,32.68,32.68,32.68,32.68,150,0
ETO.US,5,20210923,200500,32.65,32.65,32.62,32.62,377,0
ETO.US,5,20210923,201500,32.62,32.67,32.57,32.58,1243,0
ETO.US,5,20210923,202000,32.58,32.62,32.44,32.51,8838,0
ETO.US,5,20210923,202500,32.46,32.5,32.45,32.46,1453,0
ETO.US,5,20210923,203000,32.46,32.4993,32.46,32.47,544,0
ETO.US,5,20210923,205500,32.47,32.47,32.47,32.47,100,0
ETO.US,5,20210923,210500,32.46,32.46,32.45,32.45,819,0
ETO.US,5,20210923,211000,32.41,32.41,32.41,32.41,100,0
