<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
EXTN.US,5,20210922,153000,4.26,4.27,4.22,4.27,3613,0
EXTN.US,5,20210922,153500,4.27,4.28,4.26,4.27,1300,0
EXTN.US,5,20210922,154000,4.27,4.27,4.25,4.25,1907,0
EXTN.US,5,20210922,154500,4.25,4.28,4.25,4.28,8298,0
EXTN.US,5,20210922,155000,4.28,4.33,4.275,4.32,15420,0
EXTN.US,5,20210922,155500,4.32,4.33,4.3175,4.33,839,0
EXTN.US,5,20210922,160000,4.31,4.31,4.27,4.275,4203,0
EXTN.US,5,20210922,160500,4.27,4.27,4.24,4.265,12744,0
EXTN.US,5,20210922,161000,4.25,4.27,4.25,4.27,2909,0
EXTN.US,5,20210922,161500,4.275,4.29,4.275,4.29,5200,0
EXTN.US,5,20210922,162000,4.27,4.27,4.27,4.27,100,0
EXTN.US,5,20210922,162500,4.25,4.25,4.245,4.25,3200,0
EXTN.US,5,20210922,163000,4.26,4.26,4.26,4.26,406,0
EXTN.US,5,20210922,163500,4.27,4.27,4.27,4.27,2500,0
EXTN.US,5,20210922,164000,4.25,4.265,4.25,4.265,3612,0
EXTN.US,5,20210922,164500,4.25,4.25,4.25,4.25,200,0
EXTN.US,5,20210922,165000,4.26,4.27,4.26,4.26,890,0
EXTN.US,5,20210922,165500,4.26,4.26,4.24,4.25,4899,0
EXTN.US,5,20210922,170500,4.26,4.26,4.24,4.25,3390,0
EXTN.US,5,20210922,171000,4.245,4.255,4.245,4.255,1900,0
EXTN.US,5,20210922,171500,4.26,4.26,4.26,4.26,100,0
EXTN.US,5,20210922,172000,4.25,4.255,4.25,4.255,7876,0
EXTN.US,5,20210922,172500,4.25,4.27,4.25,4.27,6770,0
EXTN.US,5,20210922,173000,4.28,4.295,4.28,4.295,2357,0
EXTN.US,5,20210922,173500,4.3,4.3,4.28,4.28,8066,0
EXTN.US,5,20210922,174000,4.27,4.27,4.27,4.27,200,0
EXTN.US,5,20210922,175000,4.261,4.28,4.261,4.28,1100,0
EXTN.US,5,20210922,175500,4.26,4.28,4.25,4.27,886,0
EXTN.US,5,20210922,180000,4.255,4.28,4.25,4.28,4795,0
EXTN.US,5,20210922,180500,4.27,4.27,4.27,4.27,300,0
EXTN.US,5,20210922,181000,4.26,4.26,4.25,4.25,222,0
EXTN.US,5,20210922,181500,4.25,4.27,4.25,4.265,4114,0
EXTN.US,5,20210922,183000,4.26,4.26,4.26,4.26,300,0
EXTN.US,5,20210922,183500,4.25,4.265,4.25,4.26,14014,0
EXTN.US,5,20210922,184000,4.26,4.265,4.26,4.26,617,0
EXTN.US,5,20210922,184500,4.27,4.27,4.26,4.26,500,0
EXTN.US,5,20210922,185000,4.26,4.27,4.26,4.26,3840,0
EXTN.US,5,20210922,185500,4.27,4.276,4.27,4.276,1420,0
EXTN.US,5,20210922,190000,4.27,4.2704,4.27,4.27,2047,0
EXTN.US,5,20210922,190500,4.27,4.27,4.27,4.27,200,0
EXTN.US,5,20210922,191000,4.27,4.27,4.26,4.26,1100,0
EXTN.US,5,20210922,191500,4.26,4.28,4.26,4.27,3286,0
EXTN.US,5,20210922,192000,4.28,4.28,4.28,4.28,100,0
EXTN.US,5,20210922,193000,4.285,4.2902,4.2811,4.29,5437,0
EXTN.US,5,20210922,193500,4.29,4.296,4.28,4.295,6429,0
EXTN.US,5,20210922,194000,4.29,4.295,4.29,4.295,3003,0
EXTN.US,5,20210922,194500,4.29,4.295,4.29,4.29,2751,0
EXTN.US,5,20210922,195000,4.2909,4.295,4.29,4.295,3776,0
EXTN.US,5,20210922,195500,4.3,4.31,4.29,4.31,6269,0
EXTN.US,5,20210922,200000,4.3,4.31,4.3,4.31,4482,0
EXTN.US,5,20210922,200500,4.31,4.32,4.31,4.32,4352,0
EXTN.US,5,20210922,201000,4.31,4.3173,4.31,4.31,1644,0
EXTN.US,5,20210922,201500,4.3,4.31,4.3,4.3,4396,0
EXTN.US,5,20210922,202000,4.3,4.3041,4.3,4.3,1948,0
EXTN.US,5,20210922,202500,4.32,4.32,4.31,4.31,2243,0
EXTN.US,5,20210922,203000,4.315,4.315,4.29,4.295,4288,0
EXTN.US,5,20210922,203500,4.29,4.295,4.28,4.28,2476,0
EXTN.US,5,20210922,204000,4.28,4.28,4.25,4.26,7161,0
EXTN.US,5,20210922,204500,4.26,4.27,4.26,4.265,500,0
EXTN.US,5,20210922,205000,4.27,4.29,4.27,4.28,2916,0
EXTN.US,5,20210922,205500,4.28,4.29,4.28,4.28,1054,0
EXTN.US,5,20210922,210000,4.27,4.28,4.26,4.26,3110,0
EXTN.US,5,20210922,210500,4.26,4.275,4.25,4.275,6738,0
EXTN.US,5,20210922,211000,4.275,4.29,4.275,4.285,1233,0
EXTN.US,5,20210922,211500,4.285,4.29,4.285,4.29,745,0
EXTN.US,5,20210922,212000,4.29,4.3,4.29,4.3,2646,0
EXTN.US,5,20210922,212500,4.295,4.295,4.27,4.27,2196,0
EXTN.US,5,20210922,213000,4.28,4.29,4.25,4.27,4397,0
EXTN.US,5,20210922,213500,4.25,4.27,4.25,4.27,8323,0
EXTN.US,5,20210922,214000,4.275,4.28,4.265,4.265,4955,0
EXTN.US,5,20210922,214500,4.265,4.27,4.26,4.27,3100,0
EXTN.US,5,20210922,215000,4.26,4.2625,4.22,4.25,18735,0
EXTN.US,5,20210922,215500,4.25,4.27,4.245,4.26,30664,0
EXTN.US,5,20210923,153000,4.38,4.485,4.38,4.48,32691,0
EXTN.US,5,20210923,153500,4.49,4.49,4.47,4.48,7482,0
EXTN.US,5,20210923,154000,4.48,4.484,4.48,4.48,2813,0
EXTN.US,5,20210923,154500,4.48,4.4881,4.47,4.47,4496,0
EXTN.US,5,20210923,155000,4.478,4.478,4.4173,4.44,10350,0
EXTN.US,5,20210923,155500,4.45,4.485,4.45,4.485,13865,0
EXTN.US,5,20210923,160000,4.485,4.49,4.4717,4.475,15838,0
EXTN.US,5,20210923,160500,4.475,4.48,4.46,4.48,10505,0
EXTN.US,5,20210923,161000,4.49,4.525,4.49,4.52,6222,0
EXTN.US,5,20210923,162000,4.52,4.57,4.52,4.56,6410,0
EXTN.US,5,20210923,162500,4.56,4.57,4.56,4.57,1556,0
EXTN.US,5,20210923,163000,4.57,4.57,4.55,4.56,11750,0
EXTN.US,5,20210923,163500,4.555,4.56,4.55,4.55,15500,0
EXTN.US,5,20210923,164000,4.56,4.57,4.56,4.56,15903,0
EXTN.US,5,20210923,164500,4.565,4.5699,4.53,4.53,9410,0
EXTN.US,5,20210923,165000,4.525,4.525,4.519,4.519,630,0
EXTN.US,5,20210923,165500,4.51,4.52,4.51,4.52,4405,0
EXTN.US,5,20210923,170000,4.53,4.575,4.53,4.575,9334,0
EXTN.US,5,20210923,170500,4.575,4.575,4.56,4.56,5008,0
EXTN.US,5,20210923,171000,4.56,4.56,4.55,4.55,819,0
EXTN.US,5,20210923,171500,4.56,4.57,4.56,4.565,19835,0
EXTN.US,5,20210923,172000,4.56,4.649,4.56,4.64,26707,0
EXTN.US,5,20210923,172500,4.63,4.635,4.62,4.62,9161,0
EXTN.US,5,20210923,173000,4.62,4.63,4.61,4.62,1900,0
EXTN.US,5,20210923,173500,4.63,4.6475,4.63,4.6475,2724,0
EXTN.US,5,20210923,174000,4.645,4.683,4.63,4.68,28647,0
EXTN.US,5,20210923,174500,4.69,4.7134,4.68,4.7134,7690,0
EXTN.US,5,20210923,175000,4.7,4.72,4.7,4.71,3185,0
EXTN.US,5,20210923,175500,4.7,4.7,4.6799,4.68,3307,0
EXTN.US,5,20210923,180000,4.69,4.71,4.69,4.71,3358,0
EXTN.US,5,20210923,180500,4.71,4.745,4.71,4.74,11923,0
EXTN.US,5,20210923,181000,4.75,4.76,4.73,4.73,10557,0
EXTN.US,5,20210923,181500,4.72,4.73,4.71,4.72,3454,0
EXTN.US,5,20210923,182000,4.73,4.74,4.7289,4.735,3256,0
EXTN.US,5,20210923,182500,4.73,4.73,4.72,4.7241,6707,0
EXTN.US,5,20210923,183000,4.725,4.725,4.69,4.7,12100,0
EXTN.US,5,20210923,183500,4.69,4.69,4.68,4.68,1343,0
EXTN.US,5,20210923,184000,4.68,4.695,4.675,4.69,8717,0
EXTN.US,5,20210923,184500,4.695,4.695,4.68,4.68,7282,0
