<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
FMAC.US,5,20210922,153000,9.8,9.8,9.79,9.7906,9808,0
FMAC.US,5,20210922,153500,9.79,9.79,9.79,9.79,600,0
FMAC.US,5,20210922,154000,9.8,9.8,9.8,9.8,100,0
FMAC.US,5,20210922,154500,9.79,9.81,9.79,9.79,8087,0
FMAC.US,5,20210922,155000,9.79,9.79,9.78,9.78,2900,0
FMAC.US,5,20210922,160500,9.79,9.79,9.78,9.78,325,0
FMAC.US,5,20210922,161500,9.79,9.8,9.79,9.7987,3140,0
FMAC.US,5,20210922,162000,9.79,9.7941,9.79,9.7941,600,0
FMAC.US,5,20210922,162500,9.79,9.79,9.78,9.78,337,0
FMAC.US,5,20210922,163500,9.8,9.8,9.8,9.8,100,0
FMAC.US,5,20210922,164000,9.8,9.8,9.79,9.79,3300,0
FMAC.US,5,20210922,170000,9.79,9.79,9.79,9.79,200,0
FMAC.US,5,20210922,171500,9.785,9.785,9.785,9.785,100,0
FMAC.US,5,20210922,173500,9.78,9.781,9.78,9.7808,1827,0
FMAC.US,5,20210922,174000,9.785,9.785,9.785,9.785,100,0
FMAC.US,5,20210922,175000,9.785,9.785,9.785,9.785,100,0
FMAC.US,5,20210922,175500,9.785,9.785,9.785,9.785,100,0
FMAC.US,5,20210922,185000,9.785,9.79,9.785,9.785,25871,0
FMAC.US,5,20210922,185500,9.7801,9.79,9.78,9.785,13823,0
FMAC.US,5,20210922,190000,9.785,9.785,9.785,9.785,100,0
FMAC.US,5,20210922,191000,9.7801,9.79,9.7801,9.785,400,0
FMAC.US,5,20210922,191500,9.785,9.785,9.785,9.785,100,0
FMAC.US,5,20210922,192000,9.79,9.79,9.79,9.79,100,0
FMAC.US,5,20210922,192500,9.79,9.79,9.785,9.785,300,0
FMAC.US,5,20210922,193000,9.79,9.79,9.79,9.79,800,0
FMAC.US,5,20210922,193500,9.785,9.79,9.785,9.79,300,0
FMAC.US,5,20210922,194000,9.79,9.79,9.79,9.79,200,0
FMAC.US,5,20210922,194500,9.79,9.79,9.78,9.78,215,0
FMAC.US,5,20210922,195000,9.8,9.8,9.8,9.8,100,0
FMAC.US,5,20210922,195500,9.79,9.8,9.79,9.8,300,0
FMAC.US,5,20210922,200000,9.8,9.8,9.8,9.8,300,0
FMAC.US,5,20210922,200500,9.81,9.81,9.81,9.81,200,0
FMAC.US,5,20210922,201000,9.81,9.81,9.81,9.81,100,0
FMAC.US,5,20210922,201500,9.81,9.81,9.81,9.81,100,0
FMAC.US,5,20210922,202000,9.81,9.81,9.81,9.81,100,0
FMAC.US,5,20210922,202500,9.81,9.81,9.81,9.81,100,0
FMAC.US,5,20210922,203000,9.81,9.81,9.81,9.81,100,0
FMAC.US,5,20210922,203500,9.81,9.81,9.81,9.81,100,0
FMAC.US,5,20210922,204000,9.81,9.81,9.81,9.81,100,0
FMAC.US,5,20210922,204500,9.81,9.81,9.81,9.81,100,0
FMAC.US,5,20210922,210000,9.7801,9.795,9.7801,9.795,3100,0
FMAC.US,5,20210922,210500,9.81,9.81,9.795,9.795,200,0
FMAC.US,5,20210922,212000,9.795,9.8,9.795,9.8,1000,0
FMAC.US,5,20210922,212500,9.8,9.8,9.8,9.8,100,0
FMAC.US,5,20210922,213000,9.8,9.8,9.8,9.8,100,0
FMAC.US,5,20210922,213500,9.8,9.8,9.8,9.8,100,0
FMAC.US,5,20210922,215000,9.79,9.8,9.79,9.8,200,0
FMAC.US,5,20210922,215500,9.785,9.79,9.7825,9.79,3448,0
FMAC.US,5,20210923,153000,9.82,9.83,9.815,9.82,13447,0
FMAC.US,5,20210923,153500,9.82,9.84,9.8,9.82,12009,0
FMAC.US,5,20210923,154000,9.8,9.82,9.8,9.8,15996,0
FMAC.US,5,20210923,154500,9.8,9.8,9.8,9.8,17000,0
FMAC.US,5,20210923,171000,9.78,9.78,9.78,9.78,100,0
FMAC.US,5,20210923,172000,9.7876,9.7876,9.7876,9.7876,100,0
FMAC.US,5,20210923,172500,9.8,9.81,9.795,9.81,155896,0
FMAC.US,5,20210923,173500,9.81,9.81,9.81,9.81,2600,0
FMAC.US,5,20210923,174000,9.81,9.81,9.81,9.81,1300,0
FMAC.US,5,20210923,174500,9.81,9.81,9.81,9.81,100,0
FMAC.US,5,20210923,175000,9.82,9.82,9.82,9.82,400,0
FMAC.US,5,20210923,175500,9.82,9.82,9.81,9.81,500,0
FMAC.US,5,20210923,180000,9.82,9.82,9.81,9.81,2166,0
FMAC.US,5,20210923,180500,9.82,9.82,9.81,9.81,500,0
