<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
GAB_G.US,5,20210922,203000,26.015,26.015,26.015,26.015,385,0
GAB_G.US,5,20210923,153000,26.1,26.1,26.1,26.1,100,0
GAB_G.US,5,20210924,200000,25.67,25.67,25.65,25.65,360,0
GAB_G.US,5,20210924,215500,25.985,25.985,25.6,25.73,10842,0
GAB_G.US,5,20210927,153000,25.65,25.65,25.65,25.65,241,0
GAB_G.US,5,20210927,154000,25.94,25.94,25.87,25.9225,600,0
GAB_G.US,5,20210927,164500,25.8772,25.8772,25.8772,25.8772,900,0
GAB_G.US,5,20210927,190000,25.65,25.65,25.65,25.65,1000,0
GAB_G.US,5,20210927,203000,25.84,25.86,25.796,25.796,1684,0
GAB_G.US,5,20210927,212000,25.86,25.86,25.735,25.735,1555,0
GAB_G.US,5,20210928,160000,25.8762,25.8762,25.8762,25.8762,484,0
GAB_G.US,5,20210928,190000,25.85,25.95,25.85,25.95,600,0
GAB_G.US,5,20210928,205500,25.95,26,25.865,25.865,1488,0
GAB_G.US,5,20210929,153000,25.71,25.71,25.71,25.71,100,0
GAB_G.US,5,20210929,174500,25.78,25.78,25.75,25.75,1036,0
GAB_G.US,5,20210929,195500,25.9092,25.9092,25.9092,25.9092,310,0
GAB_G.US,5,20210929,200500,25.97,26,25.875,25.875,1148,0
GAB_G.US,5,20210930,163500,25.97,25.97,25.97,25.97,664,0
GAB_G.US,5,20210930,171500,25.825,25.825,25.825,25.825,385,0
GAB_G.US,5,20210930,172500,25.75,25.75,25.75,25.75,1100,0
GAB_G.US,5,20210930,203000,25.655,25.933,25.642,25.933,7800,0
GAB_G.US,5,20210930,205000,25.65,25.65,25.65,25.65,1000,0
GAB_G.US,5,20210930,205500,25.65,25.65,25.65,25.65,12650,0
GAB_G.US,5,20210930,213000,25.75,25.755,25.7407,25.7407,300,0
GAB_G.US,5,20210930,215000,25.67,25.757,25.63,25.71,1836,0
GAB_G.US,5,20211001,155000,25.71,25.71,25.71,25.71,399,0
GAB_G.US,5,20211001,174000,25.65,25.65,25.65,25.65,350,0
GAB_G.US,5,20211001,193000,25.72,25.72,25.71,25.71,200,0
GAB_G.US,5,20211001,194000,25.8225,25.8628,25.8,25.825,912,0
GAB_G.US,5,20211001,203000,25.8125,25.89,25.8,25.89,2088,0
GAB_G.US,5,20211001,212500,25.87,25.89,25.87,25.88,750,0
