<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
GGM.US,5,20210922,153000,21.94,21.94,21.9176,21.9176,1310,0
GGM.US,5,20210922,153500,21.89,21.89,21.8544,21.8544,1769,0
GGM.US,5,20210922,154000,21.85,21.85,21.85,21.85,500,0
GGM.US,5,20210922,155000,21.924,21.924,21.9186,21.9186,989,0
GGM.US,5,20210922,155500,21.915,21.915,21.9,21.915,403,0
GGM.US,5,20210922,161000,21.9184,21.93,21.9,21.9264,4712,0
GGM.US,5,20210922,161500,21.9201,21.945,21.9201,21.945,3000,0
GGM.US,5,20210922,162000,21.9237,21.93,21.9237,21.93,1470,0
GGM.US,5,20210922,163000,21.955,21.955,21.9514,21.9514,555,0
GGM.US,5,20210922,163500,21.955,21.96,21.955,21.96,382,0
GGM.US,5,20210922,164500,21.94,21.9586,21.94,21.9469,980,0
GGM.US,5,20210922,165500,21.96,21.97,21.96,21.97,300,0
GGM.US,5,20210922,170000,21.9506,21.9506,21.9506,21.9506,521,0
GGM.US,5,20210922,170500,21.96,21.96,21.96,21.96,128,0
GGM.US,5,20210922,171500,21.96,21.96,21.9528,21.96,838,0
GGM.US,5,20210922,173000,21.95,21.95,21.95,21.95,3000,0
GGM.US,5,20210922,174000,21.95,21.95,21.94,21.94,1711,0
GGM.US,5,20210922,175000,21.94,21.9476,21.94,21.9476,1456,0
GGM.US,5,20210922,175500,21.95,21.95,21.945,21.95,663,0
GGM.US,5,20210922,181000,21.955,21.96,21.955,21.96,300,0
GGM.US,5,20210922,181500,21.96,21.96,21.96,21.96,400,0
GGM.US,5,20210922,182000,21.965,21.9665,21.96,21.9665,1767,0
GGM.US,5,20210922,183000,21.94,21.94,21.94,21.94,100,0
GGM.US,5,20210922,183500,21.94,21.94,21.94,21.94,100,0
GGM.US,5,20210922,184500,21.9493,21.9493,21.94,21.94,692,0
GGM.US,5,20210922,185000,21.94,21.94,21.94,21.94,300,0
GGM.US,5,20210922,191500,21.93,21.935,21.92,21.935,800,0
GGM.US,5,20210922,192000,21.92,21.92,21.92,21.92,100,0
GGM.US,5,20210922,192500,21.92,21.94,21.92,21.94,1000,0
GGM.US,5,20210922,194000,21.93,21.93,21.93,21.93,1100,0
GGM.US,5,20210922,194500,21.9,21.9,21.9,21.9,100,0
GGM.US,5,20210922,195500,21.93,21.955,21.93,21.955,1104,0
GGM.US,5,20210922,200000,21.9,21.9,21.9,21.9,100,0
GGM.US,5,20210922,200500,21.9,21.9572,21.9,21.9572,400,0
GGM.US,5,20210922,201000,21.908,21.99,21.908,21.99,6093,0
GGM.US,5,20210922,201500,21.96,22.02,21.96,21.96,3178,0
GGM.US,5,20210922,202000,21.99,22.02,21.96,22.0036,3600,0
GGM.US,5,20210922,202500,21.98,21.98,21.96,21.98,300,0
GGM.US,5,20210922,203000,21.92,21.92,21.92,21.92,100,0
GGM.US,5,20210922,203500,21.9656,21.9656,21.9656,21.9656,270,0
GGM.US,5,20210922,204500,21.94,21.94,21.94,21.94,100,0
GGM.US,5,20210922,205000,21.94,21.9628,21.94,21.9628,400,0
GGM.US,5,20210922,205500,21.9401,21.95,21.9401,21.95,1427,0
GGM.US,5,20210922,210000,21.95,21.95,21.95,21.95,1600,0
