<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
HLLY.US,5,20210922,153000,11.34,11.34,11.34,11.34,238,0
HLLY.US,5,20210922,154500,11.47,11.47,11.47,11.47,100,0
HLLY.US,5,20210922,155000,11.47,11.47,11.47,11.47,200,0
HLLY.US,5,20210922,155500,11.47,11.61,11.47,11.61,200,0
HLLY.US,5,20210922,160000,11.43,11.65,11.42,11.65,4047,0
HLLY.US,5,20210922,160500,11.65,11.68,11.62,11.62,1100,0
HLLY.US,5,20210922,161000,11.635,11.635,11.55,11.55,500,0
HLLY.US,5,20210922,161500,11.615,11.7,11.58,11.6699,3079,0
HLLY.US,5,20210922,162000,11.65,11.7,11.65,11.7,300,0
HLLY.US,5,20210922,162500,11.7,11.7,11.7,11.7,200,0
HLLY.US,5,20210922,163000,11.685,11.77,11.685,11.74,3020,0
HLLY.US,5,20210922,163500,11.7,11.7,11.675,11.7,510,0
HLLY.US,5,20210922,164000,11.7,11.7,11.675,11.7,300,0
HLLY.US,5,20210922,164500,11.7,11.7,11.68,11.7,1122,0
HLLY.US,5,20210922,165000,11.685,11.685,11.66,11.665,843,0
HLLY.US,5,20210922,165500,11.69,11.69,11.69,11.69,100,0
HLLY.US,5,20210922,170000,11.69,11.7,11.69,11.7,400,0
HLLY.US,5,20210922,170500,11.68,11.68,11.59,11.65,3061,0
HLLY.US,5,20210922,171000,11.54,11.6,11.54,11.6,246,0
HLLY.US,5,20210922,171500,11.65,11.65,11.65,11.65,100,0
HLLY.US,5,20210922,172000,11.65,11.65,11.62,11.63,1720,0
HLLY.US,5,20210922,172500,11.64,11.65,11.64,11.65,200,0
HLLY.US,5,20210922,173000,11.65,11.65,11.63,11.65,400,0
HLLY.US,5,20210922,173500,11.65,11.665,11.65,11.665,1000,0
HLLY.US,5,20210922,174000,11.64,11.7,11.64,11.67,3200,0
HLLY.US,5,20210922,174500,11.67,11.69,11.67,11.67,400,0
HLLY.US,5,20210922,175000,11.67,11.67,11.67,11.67,700,0
HLLY.US,5,20210922,175500,11.64,11.64,11.64,11.64,600,0
HLLY.US,5,20210922,180000,11.67,11.67,11.64,11.65,4839,0
HLLY.US,5,20210922,180500,11.64,11.65,11.62,11.64,8354,0
HLLY.US,5,20210922,181000,11.645,11.65,11.63,11.63,1200,0
HLLY.US,5,20210922,181500,11.63,11.65,11.62,11.635,600,0
HLLY.US,5,20210922,182000,11.65,11.65,11.65,11.65,300,0
HLLY.US,5,20210922,182500,11.65,11.69,11.64,11.68,9750,0
HLLY.US,5,20210922,183000,11.68,11.68,11.68,11.68,322,0
HLLY.US,5,20210922,183500,11.68,11.72,11.62,11.64,12820,0
HLLY.US,5,20210922,184000,11.65,11.67,11.63,11.65,4700,0
HLLY.US,5,20210922,184500,11.67,11.67,11.63,11.65,3600,0
HLLY.US,5,20210922,185000,11.67,11.67,11.63,11.67,2000,0
HLLY.US,5,20210922,185500,11.66,11.72,11.66,11.68,5367,0
HLLY.US,5,20210922,190000,11.68,11.7,11.63,11.65,13193,0
HLLY.US,5,20210922,190500,11.68,11.7,11.68,11.695,5775,0
HLLY.US,5,20210922,191000,11.7,11.71,11.695,11.7,2103,0
HLLY.US,5,20210922,191500,11.7,11.709,11.69,11.7,2456,0
HLLY.US,5,20210922,192000,11.69,11.71,11.63,11.7,12796,0
HLLY.US,5,20210922,192500,11.69,11.71,11.69,11.71,200,0
HLLY.US,5,20210922,193000,11.71,11.71,11.71,11.71,100,0
HLLY.US,5,20210922,193500,11.7,11.71,11.695,11.695,900,0
HLLY.US,5,20210922,194000,11.68,11.7,11.68,11.7,12300,0
HLLY.US,5,20210922,194500,11.71,11.71,11.69,11.7,1400,0
HLLY.US,5,20210922,195000,11.69,11.73,11.69,11.71,21671,0
HLLY.US,5,20210922,195500,11.71,11.77,11.66,11.695,7050,0
HLLY.US,5,20210922,200000,11.73,11.77,11.73,11.77,1000,0
