<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
IDAT.US,5,20210922,190500,26.666,26.666,26.666,26.666,398,0
IDAT.US,5,20210922,191000,26.67,26.67,26.655,26.655,543,0
IDAT.US,5,20210922,200500,26.7211,26.7211,26.7,26.7,380,0
IDAT.US,5,20210922,212000,26.7,26.7,26.7,26.7,700,0
IDAT.US,5,20210922,215000,26.68,26.68,26.68,26.68,200,0
IDAT.US,5,20210923,153000,26.81,26.81,26.81,26.81,417,0
IDAT.US,5,20210923,153500,26.89,26.89,26.89,26.89,3719,0
IDAT.US,5,20210923,154500,26.94,26.94,26.9399,26.9399,3712,0
IDAT.US,5,20210923,160500,27.01,27.01,27.01,27.01,1851,0
IDAT.US,5,20210923,161000,27.01,27.01,27.01,27.01,1852,0
IDAT.US,5,20210923,170000,26.96,26.96,26.96,26.96,100,0
IDAT.US,5,20210924,153000,26.79,26.79,26.79,26.79,1010,0
IDAT.US,5,20210924,161500,26.79,26.79,26.79,26.79,100,0
IDAT.US,5,20210924,163000,26.82,26.82,26.82,26.82,100,0
IDAT.US,5,20210924,170500,26.8781,26.9,26.8781,26.9,589,0
IDAT.US,5,20210924,172500,26.85,26.85,26.85,26.85,100,0
IDAT.US,5,20210924,183000,26.93,26.93,26.93,26.93,200,0
IDAT.US,5,20210924,215500,26.93,26.93,26.93,26.93,101,0
IDAT.US,5,20210927,154500,26.75,26.75,26.75,26.75,500,0
IDAT.US,5,20210927,160000,26.71,26.71,26.71,26.71,200,0
IDAT.US,5,20210927,171000,26.82,26.82,26.82,26.82,100,0
IDAT.US,5,20210927,213000,26.801,26.801,26.801,26.801,300,0
IDAT.US,5,20210927,215000,26.785,26.785,26.78,26.78,200,0
IDAT.US,5,20210928,153000,26.44,26.44,26.44,26.44,1002,0
IDAT.US,5,20210928,160000,26.22,26.245,26.22,26.245,474,0
IDAT.US,5,20210928,164000,26.19,26.19,26.19,26.19,200,0
IDAT.US,5,20210928,174500,26.055,26.055,26.05,26.05,400,0
IDAT.US,5,20210928,183000,26.1,26.1,26.1,26.1,100,0
IDAT.US,5,20210928,194500,26.1,26.1,26.1,26.1,100,0
IDAT.US,5,20210928,202500,26.14,26.14,26.14,26.14,125,0
IDAT.US,5,20210929,155500,26.11,26.12,26.09,26.09,1300,0
IDAT.US,5,20210929,170000,26.07,26.07,26.07,26.07,100,0
IDAT.US,5,20210929,184500,25.7901,25.7901,25.7901,25.7901,100,0
IDAT.US,5,20210930,153000,25.94,25.94,25.94,25.94,107,0
IDAT.US,5,20211001,154000,25.75,25.75,25.75,25.75,400,0
IDAT.US,5,20211001,161500,25.64,25.64,25.64,25.64,102,0
IDAT.US,5,20211001,180500,25.81,25.81,25.81,25.81,124,0
IDAT.US,5,20211004,153000,25.82,25.82,25.82,25.82,100,0
IDAT.US,5,20211005,153000,25.4,25.4,25.4,25.4,756,0
IDAT.US,5,20211005,174500,25.62,25.62,25.62,25.62,100,0
IDAT.US,5,20211005,180000,25.65,25.65,25.65,25.65,100,0
IDAT.US,5,20211005,181000,25.73,25.73,25.69,25.69,200,0
IDAT.US,5,20211005,182500,25.72,25.72,25.72,25.72,195,0
IDAT.US,5,20211005,200000,25.76,25.76,25.76,25.76,100,0
IDAT.US,5,20211005,205000,25.7583,25.7583,25.7583,25.7583,500,0
IDAT.US,5,20211005,205500,25.745,25.745,25.745,25.745,400,0
IDAT.US,5,20211006,164500,25.5,25.5,25.5,25.5,200,0
IDAT.US,5,20211006,180500,25.51,25.51,25.51,25.51,100,0
IDAT.US,5,20211006,182500,25.48,25.48,25.47,25.47,600,0
IDAT.US,5,20211006,194000,25.6489,25.6489,25.6489,25.6489,100,0
IDAT.US,5,20211006,202000,25.75,25.75,25.71,25.74,500,0
IDAT.US,5,20211007,185500,26.28,26.28,26.28,26.28,200,0
IDAT.US,5,20211007,215500,26.06,26.06,26.06,26.06,121,0
IDAT.US,5,20211008,153000,26.08,26.08,26.08,26.08,355,0
IDAT.US,5,20211008,171000,26.019,26.019,26.019,26.019,200,0
IDAT.US,5,20211008,214500,25.855,25.88,25.855,25.88,400,0
IDAT.US,5,20211011,154000,25.78,25.8,25.78,25.8,900,0
IDAT.US,5,20211011,182000,25.954,25.954,25.954,25.954,100,0
IDAT.US,5,20211011,190500,25.9,25.9,25.9,25.9,515,0
IDAT.US,5,20211011,193500,25.895,25.895,25.895,25.895,190,0
IDAT.US,5,20211011,215000,25.775,25.775,25.775,25.775,100,0
IDAT.US,5,20211011,215500,25.72,25.72,25.72,25.72,126,0
IDAT.US,5,20211012,185000,25.675,25.675,25.675,25.675,200,0
IDAT.US,5,20211012,213000,25.67,25.67,25.67,25.67,100,0
IDAT.US,5,20211013,160500,25.71,25.71,25.71,25.71,100,0
IDAT.US,5,20211013,175000,25.87,25.87,25.87,25.87,100,0
IDAT.US,5,20211013,194500,25.91,25.91,25.91,25.91,100,0
IDAT.US,5,20211014,164000,26.23,26.25,26.23,26.25,200,0
IDAT.US,5,20211014,192500,26.36,26.36,26.36,26.36,200,0
IDAT.US,5,20211014,201500,26.38,26.38,26.38,26.38,100,0
IDAT.US,5,20211014,204500,26.34,26.34,26.34,26.34,418,0
IDAT.US,5,20211014,205000,26.3899,26.3899,26.3899,26.3899,300,0
IDAT.US,5,20211014,215500,26.39,26.39,26.39,26.39,100,0
IDAT.US,5,20211015,153000,26.505,26.505,26.505,26.505,946,0
IDAT.US,5,20211015,163500,26.63,26.63,26.63,26.63,100,0
IDAT.US,5,20211015,165000,26.63,26.63,26.63,26.63,190,0
IDAT.US,5,20211015,170000,26.6,26.6,26.6,26.6,200,0
IDAT.US,5,20211015,175000,26.559,26.559,26.559,26.559,188,0
IDAT.US,5,20211018,153000,26.41,26.41,26.41,26.41,143,0
IDAT.US,5,20211018,182000,26.719,26.719,26.719,26.719,200,0
IDAT.US,5,20211018,194000,26.67,26.67,26.67,26.67,100,0
IDAT.US,5,20211018,202000,26.67,26.67,26.67,26.67,200,0
IDAT.US,5,20211019,162000,26.82,26.82,26.82,26.82,250,0
IDAT.US,5,20211019,203000,26.92,26.92,26.92,26.92,100,0
IDAT.US,5,20211019,211500,26.92,26.92,26.92,26.92,100,0
IDAT.US,5,20211019,215500,26.91,26.91,26.91,26.91,200,0
IDAT.US,5,20211020,153000,26.92,26.951,26.92,26.951,620,0
IDAT.US,5,20211020,153500,27,27.07,27,27.07,649,0
IDAT.US,5,20211020,154000,27.06,27.06,27.04,27.04,321,0
IDAT.US,5,20211020,154500,27.04,27.04,27.04,27.04,103,0
IDAT.US,5,20211020,160500,26.96,26.96,26.96,26.96,100,0
IDAT.US,5,20211020,162000,27.05,27.05,27.05,27.05,100,0
IDAT.US,5,20211020,163000,27.0454,27.0454,27.0454,27.0454,142,0
IDAT.US,5,20211020,163500,27.07,27.07,27.07,27.07,100,0
IDAT.US,5,20211020,165500,27.03,27.03,27.03,27.03,100,0
IDAT.US,5,20211020,171500,26.98,26.98,26.98,26.98,100,0
IDAT.US,5,20211020,173500,26.99,26.99,26.99,26.99,100,0
IDAT.US,5,20211020,180000,27.04,27.04,27.04,27.04,100,0
IDAT.US,5,20211020,183000,27.05,27.05,27.05,27.05,100,0
IDAT.US,5,20211020,190000,27.08,27.08,27.08,27.08,100,0
IDAT.US,5,20211020,192500,26.99,26.99,26.99,26.99,100,0
IDAT.US,5,20211020,195500,27.04,27.04,27.04,27.04,100,0
IDAT.US,5,20211020,202500,27.07,27.07,27.07,27.07,100,0
IDAT.US,5,20211020,205000,27.06,27.06,27.06,27.06,100,0
IDAT.US,5,20211020,205500,27.02,27.02,27.02,27.02,100,0
IDAT.US,5,20211020,213500,27.06,27.0799,27.045,27.045,700,0
IDAT.US,5,20211020,214500,27.055,27.0899,27.055,27.07,600,0
IDAT.US,5,20211020,215500,27.05,27.05,27.01,27.01,300,0
IDAT.US,5,20211021,154500,27.01,27.01,27.01,27.01,986,0
IDAT.US,5,20211021,203000,27.06,27.06,27.04,27.04,200,0
IDAT.US,5,20211021,212000,27.2094,27.21,27.2094,27.21,500,0
IDAT.US,5,20211021,213500,27.18,27.21,27.18,27.21,200,0
IDAT.US,5,20211021,214500,27.23,27.23,27.23,27.23,100,0
IDAT.US,5,20211022,173500,27.13,27.13,27.054,27.054,500,0
IDAT.US,5,20211022,174000,27.109,27.109,27.037,27.037,400,0
IDAT.US,5,20211022,174500,27.05,27.05,27.05,27.05,200,0
IDAT.US,5,20211022,175000,27.08,27.08,27.08,27.08,300,0
IDAT.US,5,20211022,175500,27.0898,27.0898,27.0898,27.0898,200,0
IDAT.US,5,20211022,180500,27.11,27.14,27.11,27.14,500,0
IDAT.US,5,20211022,182000,27.14,27.14,27.14,27.14,500,0
IDAT.US,5,20211022,193000,27.14,27.14,27.14,27.14,200,0
IDAT.US,5,20211022,201500,27.1503,27.1503,27.1503,27.1503,100,0
IDAT.US,5,20211022,211500,27.12,27.12,27.12,27.12,300,0
IDAT.US,5,20211025,182500,27.2401,27.2401,27.2401,27.2401,100,0
IDAT.US,5,20211025,190500,27.2975,27.2975,27.2975,27.2975,1000,0
IDAT.US,5,20211025,200500,27.26,27.26,27.26,27.26,100,0
IDAT.US,5,20211025,214500,27.19,27.19,27.19,27.19,100,0
IDAT.US,5,20211025,215500,27.13,27.13,27.13,27.13,100,0
IDAT.US,5,20211026,154500,27.3008,27.3008,27.3008,27.3008,111,0
IDAT.US,5,20211026,173000,27.39,27.39,27.39,27.39,200,0
IDAT.US,5,20211026,184000,27.29,27.29,27.29,27.29,100,0
IDAT.US,5,20211026,201500,27.33,27.34,27.33,27.34,600,0
IDAT.US,5,20211026,215000,27.26,27.26,27.26,27.26,100,0
IDAT.US,5,20211026,215500,27.15,27.15,27.15,27.15,130,0
IDAT.US,5,20211027,164500,27.28,27.28,27.28,27.28,100,0
IDAT.US,5,20211027,182000,27.29,27.29,27.29,27.29,100,0
IDAT.US,5,20211027,210500,27.32,27.32,27.32,27.32,100,0
IDAT.US,5,20211027,214500,27.24,27.24,27.24,27.24,100,0
IDAT.US,5,20211027,215000,27.15,27.15,27.15,27.15,500,0
IDAT.US,5,20211027,215500,27.14,27.15,27.14,27.14,1700,0
IDAT.US,5,20211028,153000,27.24,27.29,27.24,27.2852,1503,0
IDAT.US,5,20211028,185500,27.455,27.455,27.45,27.45,370,0
IDAT.US,5,20211028,201500,27.49,27.49,27.4808,27.4808,200,0
IDAT.US,5,20211028,215500,27.48,27.48,27.48,27.48,300,0
IDAT.US,5,20211029,153000,27.27,27.27,27.27,27.27,571,0
IDAT.US,5,20211029,175000,27.38,27.38,27.38,27.38,100,0
IDAT.US,5,20211029,195500,27.52,27.52,27.52,27.52,281,0
IDAT.US,5,20211101,143000,27.53,27.53,27.53,27.53,444,0
IDAT.US,5,20211101,155000,27.54,27.54,27.54,27.54,544,0
IDAT.US,5,20211101,191500,27.56,27.56,27.56,27.56,786,0
IDAT.US,5,20211102,143000,27.7,27.86,27.7,27.86,1740,0
IDAT.US,5,20211102,144000,28.09,28.09,28.09,28.09,300,0
IDAT.US,5,20211102,144500,28.14,28.15,28.13,28.14,1400,0
IDAT.US,5,20211102,153500,28.05,28.05,28.05,28.05,200,0
IDAT.US,5,20211102,171000,28.05,28.05,28.05,28.05,534,0
IDAT.US,5,20211102,190000,28.05,28.05,28.05,28.05,200,0
IDAT.US,5,20211102,192000,28.0149,28.0149,28.0149,28.0149,200,0
IDAT.US,5,20211102,205500,28.115,28.115,28.115,28.115,100,0
IDAT.US,5,20211103,143000,28.11,28.14,28.11,28.14,2188,0
IDAT.US,5,20211103,144000,28.14,28.15,28.14,28.14,1800,0
IDAT.US,5,20211103,172000,28.28,28.28,28.28,28.28,200,0
IDAT.US,5,20211103,173500,28.283,28.283,28.283,28.283,544,0
IDAT.US,5,20211103,201000,28.47,28.47,28.47,28.47,150,0
IDAT.US,5,20211103,203000,28.47,28.479,28.47,28.47,1650,0
IDAT.US,5,20211103,205500,28.43,28.43,28.43,28.43,200,0
IDAT.US,5,20211104,143000,28.47,28.47,28.47,28.47,804,0
IDAT.US,5,20211104,144500,28.4466,28.4466,28.4466,28.4466,100,0
IDAT.US,5,20211104,145000,28.44,28.44,28.44,28.44,100,0
IDAT.US,5,20211104,150000,28.48,28.48,28.48,28.48,700,0
IDAT.US,5,20211104,152000,28.6,28.605,28.6,28.6,700,0
IDAT.US,5,20211104,154500,28.59,28.59,28.59,28.59,761,0
IDAT.US,5,20211104,155500,28.61,28.61,28.606,28.61,2000,0
IDAT.US,5,20211104,165000,28.565,28.565,28.565,28.565,500,0
IDAT.US,5,20211104,172000,28.605,28.605,28.605,28.605,100,0
IDAT.US,5,20211104,190500,28.55,28.56,28.55,28.56,524,0
IDAT.US,5,20211104,191500,28.59,28.59,28.59,28.59,250,0
IDAT.US,5,20211104,195500,28.63,28.63,28.63,28.63,100,0
IDAT.US,5,20211104,203500,28.585,28.585,28.585,28.585,100,0
IDAT.US,5,20211105,180500,28.75,28.75,28.75,28.75,200,0
IDAT.US,5,20211105,181000,28.74,28.74,28.74,28.74,170,0
IDAT.US,5,20211105,181500,28.68,28.68,28.68,28.68,110,0
IDAT.US,5,20211105,182500,28.65,28.65,28.65,28.65,200,0
IDAT.US,5,20211105,195500,28.77,28.77,28.77,28.77,100,0
IDAT.US,5,20211105,202500,28.73,28.73,28.73,28.73,100,0
IDAT.US,5,20211105,204000,28.77,28.77,28.77,28.77,221,0
IDAT.US,5,20211108,160000,28.93,28.9799,28.93,28.9799,700,0
IDAT.US,5,20211108,205000,29.22,29.22,29.22,29.22,100,0
IDAT.US,5,20211108,214000,29.1843,29.1843,29.1843,29.1843,500,0
IDAT.US,5,20211108,215500,29.13,29.13,29.13,29.13,100,0
IDAT.US,5,20211109,153000,29.26,29.26,29.26,29.26,1004,0
IDAT.US,5,20211109,154000,29.46,29.46,29.46,29.46,200,0
IDAT.US,5,20211109,155000,29.35,29.35,29.35,29.35,100,0
IDAT.US,5,20211109,155500,29.19,29.19,29.1877,29.1877,300,0
IDAT.US,5,20211109,161500,29.23,29.23,29.23,29.23,200,0
IDAT.US,5,20211109,175000,29.35,29.35,29.35,29.35,200,0
IDAT.US,5,20211109,181000,29.36,29.36,29.3542,29.3542,400,0
IDAT.US,5,20211109,184500,29.32,29.32,29.32,29.32,200,0
IDAT.US,5,20211109,195500,29.18,29.18,29.18,29.18,174,0
IDAT.US,5,20211110,153000,29.23,29.23,28.95,28.95,1300,0
IDAT.US,5,20211110,153500,29.06,29.06,29.06,29.06,134,0
IDAT.US,5,20211110,170500,29.16,29.16,29.16,29.16,100,0
