<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
IMPX-WS.US,5,20210922,161500,0.7399,0.7499,0.7399,0.7499,690,0
IMPX-WS.US,5,20210922,164500,0.7099,0.7099,0.704951,0.704951,1050,0
IMPX-WS.US,5,20210922,175000,0.7,0.7,0.7,0.7,500,0
IMPX-WS.US,5,20210922,175500,0.700001,0.700001,0.700001,0.700001,300,0
IMPX-WS.US,5,20210922,182500,0.7099,0.7099,0.7099,0.7099,515,0
IMPX-WS.US,5,20210922,183500,0.7,0.7099,0.7,0.7097,29900,0
IMPX-WS.US,5,20210922,201000,0.6908,0.6908,0.6908,0.6908,100,0
IMPX-WS.US,5,20210922,211000,0.70215,0.70215,0.70215,0.70215,300,0
IMPX-WS.US,5,20210923,162500,0.6999,0.7,0.6999,0.7,14226,0
IMPX-WS.US,5,20210923,163500,0.6999,0.7,0.6999,0.7,6400,0
IMPX-WS.US,5,20210923,172500,0.6999,0.6999,0.6999,0.6999,500,0
IMPX-WS.US,5,20210923,173500,0.69,0.69,0.69,0.69,2150,0
IMPX-WS.US,5,20210923,174500,0.7,0.7,0.7,0.7,797,0
IMPX-WS.US,5,20210923,185500,0.7,0.7,0.7,0.7,10000,0
IMPX-WS.US,5,20210924,171000,0.69,0.69,0.69,0.69,2000,0
IMPX-WS.US,5,20210924,175500,0.69,0.6927,0.69,0.6927,4107,0
IMPX-WS.US,5,20210924,184000,0.6927,0.6927,0.6927,0.6927,5993,0
IMPX-WS.US,5,20210924,195000,0.69,0.69,0.69,0.69,500,0
IMPX-WS.US,5,20210924,203500,0.69,0.7,0.69,0.7,15414,0
IMPX-WS.US,5,20210924,204500,0.6801,0.6801,0.68,0.68,10400,0
IMPX-WS.US,5,20210924,210000,0.68,0.68,0.68,0.68,500,0
IMPX-WS.US,5,20210924,213500,0.6701,0.6701,0.67,0.67,1000,0
IMPX-WS.US,5,20210924,215000,0.68,0.68,0.68,0.68,200,0
IMPX-WS.US,5,20210927,172000,0.68,0.68,0.68,0.68,200,0
IMPX-WS.US,5,20210927,173500,0.68,0.68,0.679751,0.679751,900,0
IMPX-WS.US,5,20210927,174000,0.68,0.68,0.6796,0.679751,2800,0
IMPX-WS.US,5,20210927,174500,0.68,0.68,0.68,0.68,300,0
IMPX-WS.US,5,20210927,175500,0.68,0.68,0.68,0.68,500,0
IMPX-WS.US,5,20210927,211000,0.68,0.68,0.68,0.68,600,0
IMPX-WS.US,5,20210927,215000,0.68,0.7,0.68,0.7,10894,0
IMPX-WS.US,5,20210928,155500,0.7699,0.7699,0.73,0.73,356,0
IMPX-WS.US,5,20210928,171500,0.749951,0.749951,0.749951,0.749951,1000,0
IMPX-WS.US,5,20210928,172500,0.73,0.7495,0.73,0.7495,9300,0
IMPX-WS.US,5,20210928,181000,0.7095,0.718389,0.6703,0.6703,2500,0
IMPX-WS.US,5,20210928,181500,0.7451,0.7451,0.7451,0.7451,133,0
IMPX-WS.US,5,20210928,205500,0.7099,0.71,0.7099,0.71,6224,0
IMPX-WS.US,5,20210928,210500,0.7,0.7,0.7,0.7,130,0
IMPX-WS.US,5,20210929,163500,0.7072,0.7072,0.679801,0.679801,3506,0
IMPX-WS.US,5,20210929,173500,0.7,0.7,0.699801,0.699801,600,0
IMPX-WS.US,5,20210929,181000,0.7,0.7,0.7,0.7,1000,0
IMPX-WS.US,5,20210929,185000,0.7,0.7,0.7,0.7,3300,0
IMPX-WS.US,5,20210929,185500,0.69,0.69,0.69,0.69,1700,0
IMPX-WS.US,5,20210929,211000,0.699949,0.699949,0.699949,0.699949,100,0
IMPX-WS.US,5,20210929,211500,0.699949,0.704007,0.699949,0.704007,200,0
IMPX-WS.US,5,20210929,212000,0.7,0.7,0.66,0.66,54800,0
IMPX-WS.US,5,20210929,212500,0.653,0.653,0.5826,0.623,70167,0
IMPX-WS.US,5,20210929,213000,0.649899,0.65,0.649803,0.649803,1520,0
IMPX-WS.US,5,20210929,214500,0.6629,0.6629,0.6629,0.6629,100,0
IMPX-WS.US,5,20210930,160500,0.67,0.67,0.6674,0.6674,2039,0
IMPX-WS.US,5,20210930,162000,0.66,0.66,0.66,0.66,250,0
IMPX-WS.US,5,20210930,165000,0.659,0.66,0.659,0.66,1000,0
IMPX-WS.US,5,20210930,190500,0.65,0.65,0.65,0.65,1800,0
IMPX-WS.US,5,20210930,192500,0.645,0.645,0.6406,0.6407,2161,0
IMPX-WS.US,5,20210930,200500,0.6467,0.65,0.6467,0.6467,1100,0
IMPX-WS.US,5,20210930,201000,0.65,0.65,0.65,0.65,100,0
IMPX-WS.US,5,20210930,203500,0.6406,0.6408,0.6406,0.6407,12988,0
IMPX-WS.US,5,20210930,204000,0.6484,0.6518,0.6484,0.65172,400,0
IMPX-WS.US,5,20211001,162500,0.67005,0.67005,0.67,0.67,200,0
IMPX-WS.US,5,20211001,173000,0.64,0.69,0.61,0.69,3040,0
IMPX-WS.US,5,20211001,174500,0.65,0.65,0.65,0.65,1000,0
IMPX-WS.US,5,20211001,180000,0.65,0.65,0.65,0.65,200,0
IMPX-WS.US,5,20211001,184500,0.689899,0.689899,0.689899,0.689899,100,0
IMPX-WS.US,5,20211004,153000,0.7,0.7,0.67,0.67,2600,0
IMPX-WS.US,5,20211004,154000,0.67995,0.67995,0.67995,0.67995,500,0
IMPX-WS.US,5,20211004,155000,0.66,0.66,0.66,0.66,200,0
IMPX-WS.US,5,20211004,173500,0.66,0.66,0.66,0.66,1000,0
