<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
ITCB-R.US,5,20211011,153500,0.2,0.23,0.2,0.23,343,0
ITCB-R.US,5,20211011,155000,0.21,0.21,0.21,0.21,3600,0
ITCB-R.US,5,20211011,184500,0.18,0.18,0.18,0.18,2850,0
ITCB-R.US,5,20211011,190500,0.15,0.15,0.15,0.15,176,0
ITCB-R.US,5,20211011,192000,0.15,0.15,0.15,0.15,4998,0
ITCB-R.US,5,20211011,193500,0.12,0.12,0.12,0.12,241,0
ITCB-R.US,5,20211011,212000,0.121,0.121,0.121,0.121,179,0
ITCB-R.US,5,20211011,212500,0.14,0.14,0.14,0.14,241,0
ITCB-R.US,5,20211012,155500,0.14,0.14,0.13,0.13,600,0
ITCB-R.US,5,20211012,160500,0.120101,0.120101,0.12,0.12,300,0
ITCB-R.US,5,20211012,161000,0.11,0.11,0.11,0.11,507,0
ITCB-R.US,5,20211012,161500,0.11,0.11,0.08,0.08,627,0
ITCB-R.US,5,20211012,162000,0.09,0.09,0.0571,0.0571,200,0
ITCB-R.US,5,20211012,162500,0.06,0.06,0.06,0.06,100,0
ITCB-R.US,5,20211012,163000,0.0571,0.0571,0.0571,0.0571,144,0
ITCB-R.US,5,20211012,163500,0.0571,0.1,0.0571,0.1,7540,0
ITCB-R.US,5,20211012,164500,0.05,0.05,0.05,0.05,3600,0
ITCB-R.US,5,20211012,170500,0.1,0.1,0.1,0.1,1317,0
ITCB-R.US,5,20211012,171000,0.1,0.1,0.1,0.1,1515,0
ITCB-R.US,5,20211012,171500,0.1,0.1,0.1,0.1,700,0
ITCB-R.US,5,20211012,173000,0.117,0.117,0.117,0.117,200,0
ITCB-R.US,5,20211012,173500,0.12,0.12,0.12,0.12,1600,0
ITCB-R.US,5,20211012,174000,0.12,0.14,0.12,0.14,1900,0
ITCB-R.US,5,20211012,174500,0.145,0.145,0.145,0.145,200,0
ITCB-R.US,5,20211012,180000,0.1425,0.143176,0.14,0.143176,1998,0
ITCB-R.US,5,20211012,180500,0.147,0.147,0.147,0.147,200,0
ITCB-R.US,5,20211012,181500,0.15,0.15,0.15,0.15,500,0
ITCB-R.US,5,20211012,182000,0.17,0.17,0.17,0.17,900,0
ITCB-R.US,5,20211012,182500,0.17,0.21,0.17,0.21,1400,0
ITCB-R.US,5,20211012,183000,0.21,0.21,0.1995,0.1995,13317,0
ITCB-R.US,5,20211012,183500,0.19,0.194563,0.166251,0.166251,559,0
ITCB-R.US,5,20211012,184000,0.16,0.16,0.16,0.16,1000,0
ITCB-R.US,5,20211012,190500,0.15,0.15,0.15,0.15,5000,0
ITCB-R.US,5,20211012,193500,0.15,0.15,0.149899,0.149899,700,0
ITCB-R.US,5,20211012,194500,0.15,0.15,0.15,0.15,200,0
ITCB-R.US,5,20211012,195500,0.149899,0.149899,0.149899,0.149899,200,0
ITCB-R.US,5,20211012,200000,0.15,0.15,0.08,0.0898,2550,0
ITCB-R.US,5,20211012,200500,0.116899,0.117,0.116899,0.117,200,0
ITCB-R.US,5,20211012,201000,0.13,0.15,0.13,0.15,1530,0
ITCB-R.US,5,20211012,201500,0.15,0.15,0.15,0.15,100,0
ITCB-R.US,5,20211012,205000,0.15,0.15,0.15,0.15,600,0
ITCB-R.US,5,20211012,210000,0.15,0.15,0.15,0.15,5000,0
ITCB-R.US,5,20211012,211000,0.145,0.145,0.115,0.115,899,0
ITCB-R.US,5,20211012,211500,0.145,0.145,0.145,0.145,100,0
ITCB-R.US,5,20211012,212000,0.15,0.15,0.15,0.15,2600,0
ITCB-R.US,5,20211012,214000,0.12,0.15,0.12,0.15,211,0
ITCB-R.US,5,20211012,215500,0.15,0.15,0.15,0.15,1200,0
ITCB-R.US,5,20211013,153000,0.16,0.18,0.16,0.18,700,0
ITCB-R.US,5,20211013,154500,0.19,0.19,0.15,0.15,1300,0
ITCB-R.US,5,20211013,155000,0.16,0.16,0.16,0.16,200,0
