<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
LBRT.US,5,20210922,153000,10.84,11.03,10.83,11,19502,0
LBRT.US,5,20210922,153500,10.93,10.94,10.89,10.94,1600,0
LBRT.US,5,20210922,154000,10.92,10.92,10.88,10.9,1198,0
LBRT.US,5,20210922,154500,10.925,11.01,10.9,10.93,24334,0
LBRT.US,5,20210922,155000,10.93,11.09,10.93,11.08,4869,0
LBRT.US,5,20210922,155500,11.08,11.12,10.995,11.08,5112,0
LBRT.US,5,20210922,160000,11.0746,11.0746,11,11.035,5899,0
LBRT.US,5,20210922,160500,11.01,11.05,10.99,11.01,35473,0
LBRT.US,5,20210922,161000,11,11.07,10.97,11.07,12139,0
LBRT.US,5,20210922,161500,11.09,11.14,11.09,11.12,4572,0
LBRT.US,5,20210922,162000,11.11,11.11,11.05,11.05,5730,0
LBRT.US,5,20210922,162500,11.06,11.08,11,11,9299,0
LBRT.US,5,20210922,163000,11.01,11.03,10.98,11.02,6744,0
LBRT.US,5,20210922,163500,11.02,11.05,10.97,10.98,19665,0
LBRT.US,5,20210922,164000,10.97,11.061,10.96,11.03,8829,0
LBRT.US,5,20210922,164500,11.02,11.02,10.975,11,7075,0
LBRT.US,5,20210922,165000,10.99,11.005,10.9876,11.005,5250,0
LBRT.US,5,20210922,165500,11,11.05,10.99,11.03,7101,0
LBRT.US,5,20210922,170000,11.05,11.05,11.02,11.03,4738,0
LBRT.US,5,20210922,170500,11.04,11.05,10.95,10.95,102204,0
LBRT.US,5,20210922,171000,10.97,11.02,10.97,11.02,7549,0
LBRT.US,5,20210922,171500,11.02,11.03,10.995,11,9510,0
LBRT.US,5,20210922,172000,11,11,10.98,10.98,2975,0
LBRT.US,5,20210922,172500,10.98,11.009,10.98,11,5730,0
LBRT.US,5,20210922,173000,11,11.11,10.99,11.09,15684,0
LBRT.US,5,20210922,173500,11.1,11.12,11.06,11.06,4188,0
LBRT.US,5,20210922,174000,11.06,11.071,11.05,11.07,4014,0
LBRT.US,5,20210922,174500,11.07,11.09,11.06,11.075,3000,0
LBRT.US,5,20210922,175000,11.09,11.1,11.05,11.07,5942,0
LBRT.US,5,20210922,175500,11.08,11.09,11.06,11.08,3038,0
LBRT.US,5,20210922,180000,11.09,11.11,11.07,11.095,4271,0
LBRT.US,5,20210922,180500,11.08,11.09,11.07,11.07,3820,0
LBRT.US,5,20210922,181000,11.075,11.08,11.06,11.06,1300,0
LBRT.US,5,20210922,181500,11.05,11.06,11.02,11.02,3000,0
LBRT.US,5,20210922,182000,11.01,11.07,11.01,11.07,5919,0
LBRT.US,5,20210922,182500,11.065,11.07,11.06,11.065,94650,0
LBRT.US,5,20210922,183000,11.07,11.075,11.03,11.03,5312,0
LBRT.US,5,20210922,183500,11.04,11.06,11.03,11.05,3673,0
LBRT.US,5,20210922,184000,11.05,11.05,11,11.01,3121,0
LBRT.US,5,20210922,184500,11.01,11.03,11.01,11.03,2303,0
LBRT.US,5,20210922,185000,11.02,11.03,10.97,10.99,4055,0
LBRT.US,5,20210922,185500,10.97,10.99,10.94,10.945,22926,0
LBRT.US,5,20210922,190000,10.94,10.945,10.91,10.92,7350,0
LBRT.US,5,20210922,190500,10.93,10.95,10.93,10.94,5205,0
LBRT.US,5,20210922,191000,10.94,10.965,10.93,10.96,5437,0
LBRT.US,5,20210922,191500,10.95,10.96,10.92,10.92,7536,0
LBRT.US,5,20210922,192000,10.911,10.93,10.91,10.91,3372,0
LBRT.US,5,20210922,192500,10.92,10.949,10.92,10.93,6215,0
LBRT.US,5,20210922,193000,10.93,10.93,10.92,10.92,1800,0
LBRT.US,5,20210922,193500,10.92,10.925,10.88,10.9,6335,0
LBRT.US,5,20210922,194000,10.91,10.91,10.891,10.91,3549,0
LBRT.US,5,20210922,194500,10.905,10.96,10.9,10.935,14979,0
LBRT.US,5,20210922,195000,10.93,10.95,10.92,10.94,148628,0
LBRT.US,5,20210922,195500,10.935,10.95,10.93,10.94,2699,0
LBRT.US,5,20210922,200000,10.93,11.06,10.92,11.051,11993,0
LBRT.US,5,20210922,200500,11.07,11.07,10.99,10.99,4013,0
LBRT.US,5,20210922,201000,11,11.02,11,11,7000,0
LBRT.US,5,20210922,201500,11.02,11.02,11,11,3107,0
LBRT.US,5,20210922,202000,11,11,10.96,11,12236,0
LBRT.US,5,20210922,202500,11.01,11.07,11.01,11.06,2539,0
LBRT.US,5,20210922,203000,11.06,11.08,11.05,11.051,4414,0
LBRT.US,5,20210922,203500,11.07,11.07,11.02,11.02,6029,0
LBRT.US,5,20210922,204000,11.01,11.03,10.99,11.01,6617,0
LBRT.US,5,20210922,204500,11.01,11.01,10.99,10.995,8310,0
LBRT.US,5,20210922,205000,10.995,11.03,10.965,11.02,9078,0
LBRT.US,5,20210922,205500,11.02,11.02,11,11.02,4794,0
LBRT.US,5,20210922,210000,11,11.049,10.995,11,8556,0
LBRT.US,5,20210922,210500,10.98,11.03,10.98,11.02,7735,0
LBRT.US,5,20210922,211000,11.01,11.03,11.01,11.02,4349,0
LBRT.US,5,20210922,211500,11.02,11.049,11.01,11.049,10253,0
LBRT.US,5,20210922,212000,11.045,11.06,11.02,11.03,5039,0
LBRT.US,5,20210922,212500,11.02,11.03,10.98,10.98,7457,0
LBRT.US,5,20210922,213000,10.995,11,10.9,10.9,200589,0
LBRT.US,5,20210922,213500,10.9,10.9,10.71,10.71,76775,0
LBRT.US,5,20210922,214000,10.74,10.79,10.72,10.79,104682,0
LBRT.US,5,20210922,214500,10.8,10.86,10.8,10.81,39016,0
LBRT.US,5,20210922,215000,10.79,10.82,10.67,10.695,207441,0
LBRT.US,5,20210922,215500,10.7,10.7,10.62,10.64,351013,0
LBRT.US,5,20210923,153000,10.72,10.72,10.52,10.6614,9106,0
LBRT.US,5,20210923,153500,10.67,10.81,10.66,10.66,11658,0
LBRT.US,5,20210923,154000,10.71,10.75,10.68,10.74,1496,0
LBRT.US,5,20210923,154500,10.75,10.81,10.7202,10.78,4368,0
LBRT.US,5,20210923,155000,10.77,10.81,10.755,10.76,7020,0
LBRT.US,5,20210923,155500,10.77,10.82,10.76,10.82,3240,0
LBRT.US,5,20210923,160000,10.83,10.87,10.82,10.825,4046,0
LBRT.US,5,20210923,160500,10.84,10.9,10.84,10.84,5270,0
LBRT.US,5,20210923,161000,10.84,10.93,10.84,10.93,6406,0
LBRT.US,5,20210923,161500,10.93,10.945,10.9,10.92,6424,0
LBRT.US,5,20210923,162000,10.9125,10.99,10.9125,10.96,6214,0
LBRT.US,5,20210923,162500,10.96,10.975,10.925,10.93,12431,0
LBRT.US,5,20210923,163000,10.93,10.96,10.91,10.94,16651,0
