<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
MBT.US,5,20210922,153000,9.7,9.73,9.67,9.715,225252,0
MBT.US,5,20210922,153500,9.72,9.7689,9.72,9.755,73549,0
MBT.US,5,20210922,154000,9.76,9.825,9.75,9.815,118587,0
MBT.US,5,20210922,154500,9.8125,9.8125,9.76,9.775,140626,0
MBT.US,5,20210922,155000,9.78,9.815,9.78,9.81,90568,0
MBT.US,5,20210922,155500,9.81,9.82,9.8,9.82,46971,0
MBT.US,5,20210922,160000,9.81,9.819,9.805,9.805,27762,0
MBT.US,5,20210922,160500,9.8,9.81,9.8,9.805,3662,0
MBT.US,5,20210922,161000,9.81,9.83,9.81,9.815,50879,0
MBT.US,5,20210922,161500,9.815,9.825,9.815,9.825,12660,0
MBT.US,5,20210922,162000,9.825,9.85,9.82,9.84,61740,0
MBT.US,5,20210922,162500,9.84,9.845,9.835,9.835,10231,0
MBT.US,5,20210922,163000,9.835,9.845,9.835,9.845,11446,0
MBT.US,5,20210922,163500,9.845,9.85,9.84,9.845,8830,0
MBT.US,5,20210922,164000,9.845,9.885,9.84,9.855,100922,0
MBT.US,5,20210922,164500,9.855,9.86,9.84,9.86,28434,0
MBT.US,5,20210922,165000,9.855,9.855,9.85,9.855,17022,0
MBT.US,5,20210922,165500,9.855,9.87,9.85,9.869,20062,0
MBT.US,5,20210922,170000,9.86,9.865,9.85,9.855,22987,0
MBT.US,5,20210922,170500,9.855,9.855,9.85,9.855,4860,0
MBT.US,5,20210922,171000,9.855,9.855,9.855,9.855,100,0
MBT.US,5,20210922,171500,9.855,9.8589,9.85,9.8501,9519,0
MBT.US,5,20210922,172000,9.852,9.86,9.85,9.86,2600,0
MBT.US,5,20210922,172500,9.855,9.895,9.855,9.8802,47942,0
MBT.US,5,20210922,173000,9.88,9.8801,9.875,9.88,23226,0
MBT.US,5,20210922,173500,9.88,9.885,9.87,9.88,25883,0
MBT.US,5,20210922,174000,9.875,9.89,9.875,9.885,9864,0
MBT.US,5,20210922,174500,9.89,9.89,9.88,9.885,2913,0
MBT.US,5,20210922,175000,9.89,9.8999,9.885,9.891,38065,0
MBT.US,5,20210922,175500,9.9,9.9,9.89,9.8942,1561,0
MBT.US,5,20210922,180000,9.9,9.9,9.895,9.895,534,0
MBT.US,5,20210922,180500,9.89,9.9,9.89,9.895,3946,0
MBT.US,5,20210922,181000,9.895,9.8982,9.89,9.895,4090,0
MBT.US,5,20210922,181500,9.895,9.895,9.89,9.89,3945,0
MBT.US,5,20210922,182000,9.895,9.895,9.89,9.89,8262,0
MBT.US,5,20210922,182500,9.895,9.895,9.89,9.895,3895,0
MBT.US,5,20210922,183000,9.8906,9.9,9.89,9.895,19221,0
MBT.US,5,20210922,183500,9.9,9.9,9.89,9.895,7845,0
MBT.US,5,20210922,184000,9.895,9.9,9.89,9.89,11289,0
