<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
MEI.US,5,20210922,153000,42.48,42.48,42.48,42.48,526,0
MEI.US,5,20210922,154000,42.5,42.5,42.5,42.5,100,0
MEI.US,5,20210922,155000,42.81,42.81,42.675,42.675,3172,0
MEI.US,5,20210922,155500,42.69,42.69,42.69,42.69,100,0
MEI.US,5,20210922,160000,42.68,42.84,42.68,42.71,1109,0
MEI.US,5,20210922,160500,42.64,42.64,42.64,42.64,100,0
MEI.US,5,20210922,161000,42.61,42.61,42.6,42.6,401,0
MEI.US,5,20210922,161500,42.505,42.505,42.505,42.505,100,0
MEI.US,5,20210922,162000,42.5,42.54,42.35,42.35,2465,0
MEI.US,5,20210922,162500,42.265,42.32,42.26,42.31,1274,0
MEI.US,5,20210922,163000,42.29,42.29,42.29,42.29,100,0
MEI.US,5,20210922,164000,42.44,42.51,42.4,42.45,1363,0
MEI.US,5,20210922,164500,42.47,42.47,42.47,42.47,100,0
MEI.US,5,20210922,165000,42.47,42.54,42.47,42.53,820,0
MEI.US,5,20210922,165500,42.53,42.53,42.5,42.5,732,0
MEI.US,5,20210922,170000,42.42,42.42,42.42,42.42,498,0
MEI.US,5,20210922,170500,42.45,42.48,42.43,42.48,1047,0
MEI.US,5,20210922,171000,42.5,42.52,42.5,42.52,313,0
MEI.US,5,20210922,172000,42.55,42.55,42.53,42.53,217,0
MEI.US,5,20210922,172500,42.545,42.58,42.495,42.5,10417,0
MEI.US,5,20210922,173000,42.47,42.49,42.47,42.49,300,0
MEI.US,5,20210922,173500,42.595,42.595,42.595,42.595,100,0
MEI.US,5,20210922,174500,42.55,42.55,42.55,42.55,200,0
MEI.US,5,20210922,175000,42.61,42.61,42.55,42.55,601,0
MEI.US,5,20210922,180000,42.56,42.56,42.56,42.56,114,0
MEI.US,5,20210922,182000,42.57,42.6,42.57,42.58,737,0
MEI.US,5,20210922,183000,42.6,42.6,42.6,42.6,100,0
MEI.US,5,20210922,183500,42.66,42.66,42.66,42.66,100,0
MEI.US,5,20210922,184500,42.64,42.67,42.63,42.67,300,0
MEI.US,5,20210922,185000,42.655,42.69,42.655,42.67,20090,0
MEI.US,5,20210922,185500,42.655,42.69,42.65,42.65,410,0
MEI.US,5,20210922,190500,42.73,42.8,42.73,42.79,1411,0
MEI.US,5,20210922,191000,42.8,42.82,42.78,42.78,909,0
MEI.US,5,20210922,191500,42.77,42.8,42.76,42.77,1517,0
MEI.US,5,20210922,193000,42.89,42.96,42.89,42.96,500,0
MEI.US,5,20210922,193500,42.98,43.01,42.92,43.01,700,0
MEI.US,5,20210922,194000,43.01,43.03,43.01,43.03,1200,0
MEI.US,5,20210922,194500,43.03,43.03,43,43,500,0
MEI.US,5,20210922,195000,43,43.02,43,43.02,300,0
MEI.US,5,20210922,195500,43.02,43.03,43.01,43.01,1134,0
MEI.US,5,20210922,200000,42.98,43,42.95,43,515,0
MEI.US,5,20210922,200500,43.07,43.08,43.07,43.08,200,0
MEI.US,5,20210922,201000,43.12,43.17,43.11,43.17,600,0
MEI.US,5,20210922,201500,43.19,43.19,43.15,43.15,610,0
MEI.US,5,20210922,202000,43.06,43.16,43,43.05,810,0
MEI.US,5,20210922,202500,43.11,43.11,43.11,43.11,100,0
MEI.US,5,20210922,203000,43.15,43.16,43.1,43.16,811,0
MEI.US,5,20210922,203500,43.12,43.12,43.02,43.02,300,0
MEI.US,5,20210922,204000,43.01,43.01,42.97,43.01,723,0
MEI.US,5,20210922,204500,42.93,42.95,42.85,42.85,1435,0
MEI.US,5,20210922,205000,42.77,42.85,42.77,42.85,701,0
MEI.US,5,20210922,205500,42.87,42.89,42.87,42.89,701,0
MEI.US,5,20210922,210500,42.84,42.88,42.84,42.87,1318,0
MEI.US,5,20210922,211000,42.94,42.94,42.94,42.94,200,0
MEI.US,5,20210922,211500,42.99,43.02,42.97,43.02,1728,0
MEI.US,5,20210922,212000,43.02,43.04,43,43.01,1830,0
MEI.US,5,20210922,212500,43.02,43.06,43.02,43.06,600,0
MEI.US,5,20210922,213000,43.06,43.22,43.06,43.08,9401,0
MEI.US,5,20210922,213500,43.08,43.145,43.03,43.08,2515,0
MEI.US,5,20210922,214000,43.03,43.03,42.98,43.03,1351,0
MEI.US,5,20210922,214500,43,43,42.92,42.95,1606,0
MEI.US,5,20210922,215000,42.85,42.88,42.84,42.87,2683,0
MEI.US,5,20210922,215500,42.79,42.89,42.74,42.87,41612,0
MEI.US,5,20210923,153000,43.16,43.285,43.16,43.2323,1602,0
MEI.US,5,20210923,154000,43.35,43.35,43.35,43.35,649,0
MEI.US,5,20210923,155500,43.47,43.59,43.47,43.59,206,0
MEI.US,5,20210923,160500,43.58,43.58,43.51,43.56,2065,0
MEI.US,5,20210923,161000,43.61,43.64,43.565,43.64,1646,0
