<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
MPW.US,5,20210922,153000,20.85,20.85,20.7,20.77,125742,0
MPW.US,5,20210922,153500,20.78,20.78,20.675,20.69,22997,0
MPW.US,5,20210922,154000,20.68,20.72,20.665,20.6967,93972,0
MPW.US,5,20210922,154500,20.7,20.705,20.64,20.64,40257,0
MPW.US,5,20210922,155000,20.64,20.65,20.6,20.64,93311,0
MPW.US,5,20210922,155500,20.635,20.66,20.62,20.65,17804,0
MPW.US,5,20210922,160000,20.65,20.7001,20.645,20.68,28356,0
MPW.US,5,20210922,160500,20.6734,20.69,20.665,20.68,17830,0
MPW.US,5,20210922,161000,20.6701,20.675,20.63,20.635,10463,0
MPW.US,5,20210922,161500,20.635,20.685,20.63,20.6663,16885,0
MPW.US,5,20210922,162000,20.665,20.73,20.665,20.725,96412,0
MPW.US,5,20210922,162500,20.725,20.78,20.72,20.76,47666,0
MPW.US,5,20210922,163000,20.76,20.8,20.75,20.8,108853,0
MPW.US,5,20210922,163500,20.8,20.8,20.75,20.78,64671,0
MPW.US,5,20210922,164000,20.7801,20.79,20.7201,20.725,53387,0
MPW.US,5,20210922,164500,20.73,20.76,20.73,20.73,36691,0
MPW.US,5,20210922,165000,20.73,20.785,20.72,20.76,127487,0
MPW.US,5,20210922,165500,20.755,20.7855,20.755,20.785,19383,0
MPW.US,5,20210922,170000,20.78,20.79,20.76,20.775,22111,0
MPW.US,5,20210922,170500,20.775,20.79,20.76,20.7799,31677,0
MPW.US,5,20210922,171000,20.78,20.8,20.78,20.79,13663,0
MPW.US,5,20210922,171500,20.7882,20.83,20.77,20.8279,55313,0
MPW.US,5,20210922,172000,20.82,20.83,20.8,20.8139,14522,0
MPW.US,5,20210922,172500,20.815,20.83,20.805,20.82,17465,0
MPW.US,5,20210922,173000,20.82,20.885,20.81,20.885,80875,0
MPW.US,5,20210922,173500,20.885,20.91,20.855,20.875,121129,0
MPW.US,5,20210922,174000,20.88,20.88,20.81,20.845,102121,0
MPW.US,5,20210922,174500,20.845,20.865,20.845,20.865,11566,0
MPW.US,5,20210922,175000,20.86,20.94,20.8391,20.895,190537,0
MPW.US,5,20210922,175500,20.9,20.91,20.9,20.9099,21234,0
MPW.US,5,20210922,180000,20.905,20.915,20.87,20.878,28080,0
MPW.US,5,20210922,180500,20.875,20.9,20.87,20.87,35760,0
MPW.US,5,20210922,181000,20.875,20.88,20.82,20.82,18171,0
MPW.US,5,20210922,181500,20.82,20.83,20.8,20.8,28288,0
MPW.US,5,20210922,182000,20.8,20.83,20.8,20.81,92053,0
MPW.US,5,20210922,182500,20.8,20.82,20.8,20.815,13680,0
MPW.US,5,20210922,183000,20.815,20.83,20.815,20.827,9371,0
