<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
MTD.US,5,20210922,153000,1546.9,1546.9,1546.9,1546.9,896,0
MTD.US,5,20210922,153500,1546.5,1546.5,1536.41,1536.41,250,0
MTD.US,5,20210922,154000,1536.64,1537.9,1536.64,1537.9,325,0
MTD.US,5,20210922,155000,1537,1537,1534.58,1534.58,200,0
MTD.US,5,20210922,160500,1545,1546.59,1544.28,1546.59,524,0
MTD.US,5,20210922,161000,1546.61,1549.13,1546.61,1548.88,917,0
MTD.US,5,20210922,162500,1552.51,1552.57,1550.68,1550.68,400,0
MTD.US,5,20210922,163000,1549.96,1551.05,1549.96,1551.05,400,0
MTD.US,5,20210922,164000,1549.97,1549.97,1548.21,1548.21,300,0
MTD.US,5,20210922,165000,1548.52,1548.52,1548.52,1548.52,100,0
MTD.US,5,20210922,165500,1549.5,1549.5,1549.5,1549.5,100,0
MTD.US,5,20210922,171000,1548.95,1548.95,1548.4,1548.95,314,0
MTD.US,5,20210922,171500,1548.14,1548.14,1548.14,1548.14,100,0
MTD.US,5,20210922,172500,1552.83,1552.83,1552.83,1552.83,100,0
MTD.US,5,20210922,173500,1554.73,1554.73,1554.73,1554.73,100,0
MTD.US,5,20210922,174000,1556.55,1558.83,1556.36,1557.6,1100,0
MTD.US,5,20210922,174500,1557.78,1558.31,1556.53,1556.53,622,0
MTD.US,5,20210922,180000,1551.19,1554.99,1551.19,1554.99,505,0
MTD.US,5,20210922,183000,1552.53,1552.53,1552.53,1552.53,100,0
MTD.US,5,20210922,184500,1549.3,1549.3,1547.42,1548.04,500,0
MTD.US,5,20210922,190000,1546.74,1546.74,1546.74,1546.74,200,0
MTD.US,5,20210922,191500,1545.06,1545.06,1545.06,1545.06,200,0
MTD.US,5,20210922,192500,1544.2,1546.09,1544.2,1546.09,200,0
MTD.US,5,20210922,194500,1544.24,1544.72,1544.24,1544.46,400,0
MTD.US,5,20210922,195000,1547.4,1547.4,1547.4,1547.4,100,0
MTD.US,5,20210922,200500,1542.28,1542.7,1542.14,1542.14,1600,0
MTD.US,5,20210922,201000,1542.14,1542.14,1540.79,1540.79,907,0
MTD.US,5,20210922,202000,1541.24,1543.17,1541.24,1542.14,600,0
MTD.US,5,20210922,203000,1540,1540,1540,1540,200,0
MTD.US,5,20210922,203500,1541.74,1541.74,1541.74,1541.74,100,0
MTD.US,5,20210922,205000,1535.67,1535.87,1535.67,1535.83,300,0
MTD.US,5,20210922,210000,1536.74,1536.74,1536.74,1536.74,100,0
MTD.US,5,20210922,211000,1538.71,1538.71,1538.71,1538.71,200,0
MTD.US,5,20210922,212500,1542.25,1544.25,1542.25,1544.25,257,0
MTD.US,5,20210922,214000,1540.47,1542.36,1539.1,1539.1,800,0
MTD.US,5,20210922,214500,1541.62,1541.62,1541.62,1541.62,100,0
MTD.US,5,20210922,215000,1539.7,1542.09,1539.7,1542.09,300,0
MTD.US,5,20210922,215500,1539.28,1543.61,1538.71,1542.78,15165,0
MTD.US,5,20210923,153000,1553.01,1553.01,1548.66,1548.66,1170,0
MTD.US,5,20210923,153500,1546.68,1554.52,1545.88,1545.88,800,0
MTD.US,5,20210923,154000,1545.93,1546.35,1543.12,1543.12,1514,0
MTD.US,5,20210923,155000,1552.46,1556.4,1549.95,1555.8,632,0
MTD.US,5,20210923,155500,1557.22,1557.22,1557.22,1557.22,100,0
MTD.US,5,20210923,160000,1552.42,1556.23,1552.42,1556.23,200,0
MTD.US,5,20210923,161500,1558.73,1558.73,1557.93,1557.93,562,0
