<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
NKX.US,5,20210922,153000,16.6,16.6,16.6,16.6,5037,0
NKX.US,5,20210922,153500,16.57,16.57,16.57,16.57,212,0
NKX.US,5,20210922,155000,16.57,16.57,16.57,16.57,204,0
NKX.US,5,20210922,155500,16.63,16.63,16.63,16.63,100,0
NKX.US,5,20210922,160000,16.625,16.63,16.618,16.6204,2271,0
NKX.US,5,20210922,161000,16.61,16.61,16.61,16.61,200,0
NKX.US,5,20210922,161500,16.61,16.61,16.61,16.61,100,0
NKX.US,5,20210922,162000,16.61,16.61,16.61,16.61,100,0
NKX.US,5,20210922,162500,16.61,16.61,16.61,16.61,100,0
NKX.US,5,20210922,164000,16.6,16.61,16.6,16.61,459,0
NKX.US,5,20210922,164500,16.61,16.61,16.6097,16.6097,2060,0
NKX.US,5,20210922,165500,16.6211,16.6211,16.6211,16.6211,500,0
NKX.US,5,20210922,170000,16.6211,16.6366,16.62,16.6366,2800,0
NKX.US,5,20210922,170500,16.64,16.64,16.64,16.64,1600,0
NKX.US,5,20210922,171500,16.64,16.64,16.621,16.64,1150,0
NKX.US,5,20210922,172500,16.64,16.64,16.61,16.61,3720,0
NKX.US,5,20210922,173500,16.64,16.64,16.64,16.64,100,0
NKX.US,5,20210922,174500,16.64,16.65,16.635,16.64,8493,0
NKX.US,5,20210922,180000,16.66,16.66,16.66,16.66,100,0
NKX.US,5,20210922,180500,16.66,16.67,16.66,16.67,1200,0
NKX.US,5,20210922,181000,16.65,16.65,16.65,16.65,900,0
NKX.US,5,20210922,181500,16.67,16.67,16.67,16.67,100,0
NKX.US,5,20210922,182500,16.65,16.67,16.65,16.67,400,0
NKX.US,5,20210922,183000,16.66,16.66,16.6599,16.6599,3800,0
NKX.US,5,20210922,184500,16.6682,16.6682,16.6682,16.6682,500,0
NKX.US,5,20210922,190000,16.6524,16.6524,16.65,16.65,3150,0
NKX.US,5,20210922,192500,16.65,16.65,16.65,16.65,400,0
NKX.US,5,20210922,193000,16.645,16.645,16.62,16.62,711,0
NKX.US,5,20210922,204500,16.62,16.62,16.62,16.62,707,0
NKX.US,5,20210922,205000,16.62,16.6355,16.62,16.6355,2046,0
NKX.US,5,20210922,205500,16.62,16.62,16.62,16.62,1000,0
NKX.US,5,20210922,210000,16.635,16.635,16.62,16.6201,3000,0
NKX.US,5,20210922,212500,16.635,16.635,16.635,16.635,335,0
NKX.US,5,20210922,213000,16.62,16.62,16.62,16.62,1000,0
NKX.US,5,20210922,214000,16.64,16.66,16.64,16.66,7000,0
NKX.US,5,20210922,214500,16.63,16.645,16.63,16.645,1900,0
NKX.US,5,20210922,215500,16.66,16.66,16.66,16.66,1110,0
NKX.US,5,20210923,153000,16.64,16.64,16.64,16.64,3723,0
NKX.US,5,20210923,153500,16.62,16.62,16.59,16.59,1400,0
NKX.US,5,20210923,155000,16.59,16.59,16.59,16.59,500,0
NKX.US,5,20210923,160000,16.59,16.59,16.59,16.59,200,0
NKX.US,5,20210923,160500,16.59,16.59,16.59,16.59,200,0
NKX.US,5,20210923,161000,16.6,16.6,16.6,16.6,200,0
NKX.US,5,20210923,161500,16.6,16.6,16.6,16.6,100,0
NKX.US,5,20210923,162000,16.6,16.6,16.6,16.6,200,0
NKX.US,5,20210923,162500,16.6,16.6,16.6,16.6,300,0
NKX.US,5,20210923,163500,16.59,16.59,16.56,16.56,1000,0
NKX.US,5,20210923,164000,16.59,16.59,16.59,16.59,1500,0
NKX.US,5,20210923,164500,16.56,16.56,16.56,16.56,100,0
NKX.US,5,20210923,165000,16.56,16.56,16.56,16.56,200,0
NKX.US,5,20210923,165500,16.56,16.56,16.56,16.56,100,0
NKX.US,5,20210923,170000,16.56,16.56,16.55,16.55,200,0
NKX.US,5,20210923,170500,16.57,16.57,16.55,16.57,1000,0
NKX.US,5,20210923,171000,16.57,16.57,16.57,16.57,100,0
NKX.US,5,20210923,171500,16.55,16.55,16.55,16.55,100,0
NKX.US,5,20210923,172000,16.5642,16.5642,16.55,16.55,1018,0
NKX.US,5,20210923,172500,16.55,16.55,16.55,16.55,200,0
NKX.US,5,20210923,173000,16.55,16.55,16.55,16.55,100,0
NKX.US,5,20210923,173500,16.55,16.55,16.55,16.55,100,0
NKX.US,5,20210923,174000,16.55,16.55,16.55,16.55,100,0
NKX.US,5,20210923,174500,16.55,16.55,16.55,16.55,100,0
NKX.US,5,20210923,175000,16.55,16.555,16.55,16.555,600,0
NKX.US,5,20210923,175500,16.55,16.555,16.55,16.55,1100,0
NKX.US,5,20210923,180000,16.54,16.54,16.53,16.53,200,0
NKX.US,5,20210923,180500,16.5393,16.5393,16.5393,16.5393,200,0
NKX.US,5,20210923,181000,16.53,16.53,16.53,16.53,200,0
NKX.US,5,20210923,181500,16.53,16.53,16.53,16.53,200,0
NKX.US,5,20210923,182000,16.53,16.53,16.53,16.53,200,0
NKX.US,5,20210923,183500,16.53,16.53,16.53,16.53,200,0
NKX.US,5,20210923,184000,16.52,16.52,16.5,16.5,1600,0
NKX.US,5,20210923,190500,16.505,16.505,16.5,16.5,1650,0
NKX.US,5,20210923,191500,16.5063,16.5063,16.5063,16.5063,150,0
NKX.US,5,20210923,192000,16.5,16.505,16.5,16.505,600,0
NKX.US,5,20210923,192500,16.5,16.5,16.5,16.5,100,0
NKX.US,5,20210923,193000,16.5075,16.51,16.5075,16.51,900,0
NKX.US,5,20210923,193500,16.53,16.53,16.51,16.51,1746,0
NKX.US,5,20210923,194500,16.52,16.52,16.52,16.52,100,0
NKX.US,5,20210923,200000,16.52,16.52,16.52,16.52,200,0
NKX.US,5,20210923,201000,16.52,16.52,16.52,16.52,200,0
NKX.US,5,20210923,201500,16.53,16.53,16.53,16.53,2400,0
NKX.US,5,20210923,202500,16.52,16.52,16.52,16.52,100,0
NKX.US,5,20210923,203500,16.52,16.52,16.49,16.49,300,0
NKX.US,5,20210923,204000,16.49,16.49,16.49,16.49,100,0
NKX.US,5,20210923,204500,16.49,16.49,16.49,16.49,100,0
NKX.US,5,20210923,205000,16.5352,16.5352,16.5352,16.5352,303,0
NKX.US,5,20210923,205500,16.5,16.5,16.5,16.5,100,0
NKX.US,5,20210923,210500,16.54,16.54,16.5,16.515,2830,0
NKX.US,5,20210923,211000,16.515,16.515,16.515,16.515,100,0
NKX.US,5,20210923,211500,16.54,16.54,16.54,16.54,100,0
NKX.US,5,20210923,212000,16.54,16.54,16.54,16.54,200,0
NKX.US,5,20210923,212500,16.54,16.54,16.54,16.54,200,0
NKX.US,5,20210923,213000,16.53,16.53,16.53,16.53,100,0
NKX.US,5,20210923,213500,16.54,16.6,16.52,16.6,17415,0
NKX.US,5,20210923,214000,16.57,16.58,16.55,16.5672,2214,0
NKX.US,5,20210923,214500,16.58,16.58,16.58,16.58,200,0
