<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
NM_H.US,5,20210922,153000,13.47,13.47,13.47,13.47,100,0
NM_H.US,5,20210922,153500,13.45,13.46,13.45,13.46,300,0
NM_H.US,5,20210922,185000,13.7599,13.7599,13.7599,13.7599,145,0
NM_H.US,5,20210922,195000,13.7699,13.77,13.7612,13.7612,900,0
NM_H.US,5,20210922,195500,13.79,13.79,13.79,13.79,200,0
NM_H.US,5,20210922,200000,13.95,13.96,13.91,13.91,700,0
NM_H.US,5,20210922,210000,13.84,13.89,13.84,13.89,200,0
NM_H.US,5,20210923,213000,14,14,14,14,100,0
NM_H.US,5,20210923,214500,14.45,14.45,14.45,14.45,400,0
NM_H.US,5,20210924,170500,14.49,14.49,14.49,14.49,100,0
NM_H.US,5,20210924,180000,13.81,13.85,13.5,13.51,1851,0
NM_H.US,5,20210924,181000,13.51,13.51,13.51,13.51,100,0
NM_H.US,5,20210924,213500,14.48,14.48,13.89,13.89,476,0
NM_H.US,5,20210924,215500,13.89,13.89,13.89,13.89,100,0
NM_H.US,5,20210927,164000,14.25,14.25,13.939,13.939,1552,0
NM_H.US,5,20210927,170000,13.95,13.95,13.95,13.95,100,0
NM_H.US,5,20210927,172000,14,14,13.7,14,950,0
NM_H.US,5,20210927,194500,14,14,14,14,123,0
NM_H.US,5,20210928,155500,14.2441,14.2441,14.2441,14.2441,1000,0
NM_H.US,5,20210928,163000,13.8,13.8,13.8,13.8,100,0
NM_H.US,5,20210928,170500,13.8,13.85,13.7846,13.7846,1327,0
NM_H.US,5,20210928,172000,13.51,13.51,13,13,1900,0
NM_H.US,5,20210928,173500,12.7901,12.7901,12.7901,12.7901,200,0
NM_H.US,5,20210928,174000,13.4999,13.4999,13.4999,13.4999,500,0
NM_H.US,5,20210928,174500,13.4999,13.4999,13.4999,13.4999,500,0
NM_H.US,5,20210928,175000,13.47,13.5,13.38,13.4999,1493,0
NM_H.US,5,20210928,175500,13.4999,13.5,13.48,13.5,900,0
NM_H.US,5,20210928,180000,13.5,13.5,13.4877,13.4877,1000,0
NM_H.US,5,20210928,182000,13.5,13.5,13.5,13.5,100,0
NM_H.US,5,20210928,190500,13.5,13.5,13.5,13.5,400,0
NM_H.US,5,20210928,202500,13.5,13.5,13.4999,13.4999,3000,0
NM_H.US,5,20210928,203500,13.5,13.5,13.5,13.5,100,0
NM_H.US,5,20210928,204000,13.5,13.5,13.5,13.5,300,0
NM_H.US,5,20210928,215500,13.5,13.5,13.5,13.5,200,0
NM_H.US,5,20210929,153000,13.5,13.5,13.5,13.5,100,0
NM_H.US,5,20210929,161000,13.5,13.5,13.5,13.5,500,0
NM_H.US,5,20210929,163000,13.5,13.5,13.5,13.5,1264,0
NM_H.US,5,20210929,175000,13.1,13.1,13,13.04,3200,0
NM_H.US,5,20210929,175500,12.98,13,12.98,13,500,0
NM_H.US,5,20210929,184500,12.98,13,12.88,13,900,0
NM_H.US,5,20210930,153000,13.6,14.0879,13.6,14.0879,920,0
NM_H.US,5,20210930,164500,13.825,13.9839,13.825,13.9839,395,0
NM_H.US,5,20210930,174000,13.6812,13.6812,13.6,13.6001,5660,0
NM_H.US,5,20210930,175000,13.6,13.6,13.6,13.6,100,0
NM_H.US,5,20210930,180000,13.6,13.6,13.6,13.6,955,0
NM_H.US,5,20210930,181000,14,14,14,14,100,0
NM_H.US,5,20210930,182000,14,14.0621,14,14.0621,500,0
NM_H.US,5,20210930,183000,14,14,14,14,200,0
NM_H.US,5,20210930,191500,14.25,14.25,14.25,14.25,400,0
NM_H.US,5,20210930,192000,14.25,14.25,14.25,14.25,400,0
NM_H.US,5,20210930,192500,14.25,14.25,14.25,14.25,200,0
NM_H.US,5,20210930,194000,14.23,14.23,14.22,14.22,200,0
NM_H.US,5,20210930,195500,14.2,14.2,14.18,14.18,700,0
NM_H.US,5,20210930,201000,14.16,14.2,14.16,14.2,200,0
