<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
NXR.US,5,20210922,153000,17.64,17.64,17.64,17.64,159,0
NXR.US,5,20210922,155500,17.7392,17.7392,17.7392,17.7392,2780,0
NXR.US,5,20210922,163000,17.7162,17.7162,17.7162,17.7162,200,0
NXR.US,5,20210922,190500,17.75,17.7794,17.75,17.7794,1178,0
NXR.US,5,20210922,202000,17.72,17.72,17.72,17.72,100,0
NXR.US,5,20210922,205000,17.72,17.72,17.72,17.72,200,0
NXR.US,5,20210922,210000,17.73,17.73,17.73,17.73,500,0
NXR.US,5,20210922,213500,17.7408,17.7408,17.7408,17.7408,1000,0
NXR.US,5,20210922,214000,17.73,17.73,17.72,17.72,300,0
NXR.US,5,20210922,215000,17.72,17.72,17.72,17.72,200,0
NXR.US,5,20210923,153000,17.72,17.73,17.58,17.5806,2530,0
NXR.US,5,20210923,155000,17.58,17.58,17.58,17.58,134,0
NXR.US,5,20210923,163500,17.59,17.59,17.59,17.59,100,0
NXR.US,5,20210923,171000,17.6013,17.6013,17.6013,17.6013,200,0
NXR.US,5,20210923,172000,17.59,17.59,17.59,17.59,197,0
NXR.US,5,20210923,175000,17.6,17.6,17.6,17.6,300,0
NXR.US,5,20210923,181500,17.6,17.6,17.59,17.6,700,0
NXR.US,5,20210923,182500,17.5917,17.5917,17.5917,17.5917,124,0
NXR.US,5,20210923,183500,17.6,17.6,17.59,17.59,700,0
NXR.US,5,20210923,185500,17.6,17.6,17.55,17.55,815,0
NXR.US,5,20210923,190000,17.53,17.5555,17.53,17.53,1406,0
NXR.US,5,20210923,190500,17.5,17.5,17.5,17.5,1242,0
NXR.US,5,20210923,191000,17.545,17.545,17.545,17.545,200,0
NXR.US,5,20210923,195000,17.5,17.5,17.5,17.5,600,0
NXR.US,5,20210923,195500,17.5,17.5,17.5,17.5,1000,0
NXR.US,5,20210923,200000,17.554,17.554,17.554,17.554,1400,0
NXR.US,5,20210923,201500,17.548,17.548,17.548,17.548,138,0
NXR.US,5,20210923,202500,17.51,17.51,17.51,17.51,300,0
NXR.US,5,20210923,205000,17.5,17.5,17.5,17.5,1000,0
NXR.US,5,20210923,210500,17.5,17.5,17.5,17.5,1000,0
NXR.US,5,20210923,212000,17.525,17.525,17.525,17.525,200,0
NXR.US,5,20210923,214000,17.51,17.525,17.5,17.525,1100,0
NXR.US,5,20210924,153000,17.5,17.5,17.5,17.5,1117,0
NXR.US,5,20210924,165000,17.6946,17.6946,17.6946,17.6946,1000,0
NXR.US,5,20210924,170000,17.55,17.55,17.55,17.55,100,0
NXR.US,5,20210924,170500,17.55,17.55,17.55,17.55,100,0
NXR.US,5,20210924,171500,17.55,17.655,17.55,17.655,600,0
NXR.US,5,20210924,172500,17.55,17.55,17.55,17.55,100,0
NXR.US,5,20210924,173500,17.55,17.55,17.55,17.55,100,0
NXR.US,5,20210924,174500,17.55,17.55,17.55,17.55,100,0
NXR.US,5,20210924,183000,17.55,17.55,17.55,17.55,100,0
NXR.US,5,20210924,193000,17.55,17.55,17.55,17.55,200,0
NXR.US,5,20210924,194500,17.53,17.53,17.53,17.53,100,0
NXR.US,5,20210924,195000,17.63,17.63,17.63,17.63,1000,0
NXR.US,5,20210924,195500,17.53,17.53,17.53,17.53,100,0
NXR.US,5,20210924,201000,17.52,17.52,17.52,17.52,100,0
NXR.US,5,20210924,203500,17.5939,17.5939,17.5939,17.5939,289,0
NXR.US,5,20210924,204500,17.52,17.52,17.52,17.52,100,0
NXR.US,5,20210924,210500,17.52,17.52,17.52,17.52,100,0
NXR.US,5,20210927,153000,17.51,17.51,17.51,17.51,222,0
NXR.US,5,20210927,154500,17.5,17.5,17.5,17.5,300,0
NXR.US,5,20210927,155000,17.5,17.5,17.5,17.5,100,0
NXR.US,5,20210927,161500,17.4671,17.4671,17.4671,17.4671,1250,0
NXR.US,5,20210927,162500,17.4,17.4,17.4,17.4,100,0
NXR.US,5,20210927,163500,17.4,17.4,17.37,17.37,4350,0
NXR.US,5,20210927,165500,17.36,17.36,17.36,17.36,100,0
NXR.US,5,20210927,170500,17.36,17.375,17.36,17.36,800,0
NXR.US,5,20210927,181500,17.375,17.375,17.375,17.375,100,0
NXR.US,5,20210927,183000,17.36,17.36,17.36,17.36,100,0
NXR.US,5,20210927,184500,17.36,17.36,17.36,17.36,100,0
NXR.US,5,20210927,190500,17.38,17.38,17.38,17.38,100,0
NXR.US,5,20210927,192000,17.37,17.37,17.37,17.37,100,0
NXR.US,5,20210927,193500,17.36,17.36,17.36,17.36,100,0
NXR.US,5,20210927,195000,17.36,17.36,17.36,17.36,100,0
NXR.US,5,20210927,200500,17.36,17.36,17.36,17.36,100,0
NXR.US,5,20210927,202500,17.36,17.36,17.36,17.36,100,0
NXR.US,5,20210927,203500,17.36,17.36,17.36,17.36,100,0
NXR.US,5,20210927,212000,17.3912,17.3912,17.3912,17.3912,155,0
NXR.US,5,20210927,213500,17.365,17.4,17.365,17.4,2191,0
NXR.US,5,20210927,214500,17.34,17.34,17.34,17.34,100,0
NXR.US,5,20210927,215000,17.34,17.34,17.34,17.34,200,0
NXR.US,5,20210927,215500,17.34,17.34,17.34,17.34,400,0
NXR.US,5,20210928,153000,17.36,17.36,17.36,17.36,1002,0
NXR.US,5,20210928,155000,17.34,17.34,17.34,17.34,100,0
NXR.US,5,20210928,155500,17.3704,17.3704,17.3704,17.3704,600,0
