<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
PCOR.US,5,20210922,153000,91.04,91.04,91.04,91.04,897,0
PCOR.US,5,20210922,153500,90.2641,90.2641,90.2641,90.2641,300,0
PCOR.US,5,20210922,154000,90.9,90.9,90.3,90.84,1867,0
PCOR.US,5,20210922,154500,90.84,90.86,90.79,90.86,500,0
PCOR.US,5,20210922,155000,91.1,91.13,90.7671,90.7671,2300,0
PCOR.US,5,20210922,155500,91.115,91.115,91.011,91.115,715,0
PCOR.US,5,20210922,160000,91.115,91.17,90.98,91.17,500,0
PCOR.US,5,20210922,160500,91.17,91.17,90.965,91.16,300,0
PCOR.US,5,20210922,161000,91.225,91.5,91,91.5,7575,0
PCOR.US,5,20210922,161500,91.67,91.67,91.67,91.67,550,0
PCOR.US,5,20210922,162000,91.98,92.61,91.745,92.61,1681,0
PCOR.US,5,20210922,162500,92.61,93.06,92.52,92.61,10410,0
PCOR.US,5,20210922,163000,92.57,92.705,92.57,92.705,400,0
PCOR.US,5,20210922,163500,92.705,92.705,92.705,92.705,100,0
PCOR.US,5,20210922,164000,92.91,92.91,92.5,92.53,800,0
PCOR.US,5,20210922,164500,92.74,92.9,92.61,92.9,1203,0
PCOR.US,5,20210922,165000,92.68,92.79,92.68,92.735,957,0
PCOR.US,5,20210922,165500,92.66,92.66,92.59,92.59,500,0
PCOR.US,5,20210922,170000,92.59,92.59,92.24,92.33,1000,0
PCOR.US,5,20210922,171000,92.43,92.5,91.96,92.14,1331,0
PCOR.US,5,20210922,171500,92.02,92.02,92.02,92.02,100,0
PCOR.US,5,20210922,172000,92.2,92.24,91.48,91.48,5753,0
PCOR.US,5,20210922,172500,91.33,91.48,91.25,91.48,2074,0
PCOR.US,5,20210922,173500,91.55,91.66,91.53,91.66,1066,0
PCOR.US,5,20210922,174000,91.64,91.65,91.6,91.6,400,0
PCOR.US,5,20210922,174500,91.53,91.63,91.53,91.59,1100,0
PCOR.US,5,20210922,175000,91.57,91.57,90.96,91.055,2342,0
PCOR.US,5,20210922,180000,91.15,91.38,90.985,91.38,1470,0
PCOR.US,5,20210922,180500,91.44,91.53,91.44,91.53,200,0
PCOR.US,5,20210922,181000,91.495,91.495,91.495,91.495,100,0
PCOR.US,5,20210922,181500,91.9,92,91.79,91.79,2166,0
PCOR.US,5,20210922,182000,92,92.28,91.875,92.1,7421,0
PCOR.US,5,20210922,182500,91.85,91.85,91.67,91.67,900,0
PCOR.US,5,20210922,183000,91.67,91.8,91.67,91.8,200,0
PCOR.US,5,20210922,184000,91.86,91.86,91.715,91.715,300,0
PCOR.US,5,20210922,184500,91.715,91.715,91.715,91.715,321,0
PCOR.US,5,20210922,185000,91.58,91.81,91.58,91.81,200,0
PCOR.US,5,20210922,185500,91.725,91.725,91.725,91.725,397,0
PCOR.US,5,20210922,190000,91.725,91.725,91.52,91.52,1492,0
PCOR.US,5,20210922,190500,91.02,91.02,90.745,90.745,200,0
PCOR.US,5,20210922,191000,90.69,91.415,90.69,91.25,4142,0
PCOR.US,5,20210922,191500,91.1,91.1,91.025,91.025,200,0
PCOR.US,5,20210922,192000,91.08,91.135,91.08,91.135,549,0
PCOR.US,5,20210922,192500,91.135,91.135,91.135,91.135,300,0
PCOR.US,5,20210922,193000,91.165,91.175,91.165,91.175,200,0
PCOR.US,5,20210922,193500,91.175,91.175,91.175,91.175,100,0
PCOR.US,5,20210922,194000,91.28,91.37,91.175,91.37,838,0
PCOR.US,5,20210922,194500,91.355,91.355,91.355,91.355,100,0
PCOR.US,5,20210922,195000,91.42,91.47,91.35,91.35,600,0
PCOR.US,5,20210922,200000,91.23,91.23,90.93,90.93,800,0
PCOR.US,5,20210922,200500,91.1,91.64,91.01,91.585,1454,0
PCOR.US,5,20210922,201000,91.88,91.88,91.79,91.79,300,0
PCOR.US,5,20210922,201500,91.66,92.05,91.66,92.05,2200,0
PCOR.US,5,20210922,202000,91.97,92,91.8,91.8,2100,0
PCOR.US,5,20210922,202500,91.805,92,91.805,91.81,861,0
PCOR.US,5,20210922,203000,91.82,92,91.24,91.43,2800,0
PCOR.US,5,20210922,203500,91.38,91.535,91.24,91.33,1204,0
PCOR.US,5,20210922,204000,90.92,90.92,90.92,90.92,100,0
PCOR.US,5,20210922,204500,90.93,91.29,90.81,90.93,1317,0
PCOR.US,5,20210922,205000,90.84,91.08,90.84,91.08,1126,0
PCOR.US,5,20210922,205500,90.81,90.82,90.8,90.8,600,0
PCOR.US,5,20210922,210000,90.885,90.885,90.885,90.885,100,0
PCOR.US,5,20210922,210500,91.08,91.08,91.08,91.08,200,0
PCOR.US,5,20210922,211000,91.08,91.3,90.95,90.98,2187,0
PCOR.US,5,20210922,211500,91.105,91.105,91.03,91.03,300,0
PCOR.US,5,20210922,212000,91.21,91.28,91.07,91.07,1733,0
PCOR.US,5,20210922,212500,91.04,91.08,91.04,91.08,200,0
PCOR.US,5,20210922,213000,91.07,91.09,91.005,91.08,800,0
PCOR.US,5,20210922,213500,91.12,91.41,91.07,91.16,4034,0
PCOR.US,5,20210922,214000,91.17,91.18,91.095,91.095,700,0
PCOR.US,5,20210922,214500,91.2,91.31,91.17,91.17,1000,0
PCOR.US,5,20210922,215000,91.07,91.07,91.01,91.01,400,0
PCOR.US,5,20210922,215500,91.06,91.06,90.63,90.64,9100,0
PCOR.US,5,20210923,153000,92.33,92.33,90,90.46,5153,0
PCOR.US,5,20210923,153500,90.61,91.24,90.09,90.09,5905,0
PCOR.US,5,20210923,154500,90.025,90.28,89.8,89.855,824,0
PCOR.US,5,20210923,155000,89.78,89.85,89.76,89.85,1442,0
PCOR.US,5,20210923,155500,89.55,90,89.31,89.705,5175,0
PCOR.US,5,20210923,160000,89.745,90.2,89.745,90.2,1767,0
PCOR.US,5,20210923,160500,90.34,90.46,90.27,90.27,1500,0
PCOR.US,5,20210923,161000,90.28,90.28,90,90.03,8158,0
PCOR.US,5,20210923,161500,90,90.54,89.93,90.54,21844,0
PCOR.US,5,20210923,162000,90.43,90.43,90.3,90.38,3000,0
PCOR.US,5,20210923,162500,90.1,90.485,90,90.48,17527,0
PCOR.US,5,20210923,163000,90.19,90.51,90.17,90.51,1600,0
PCOR.US,5,20210923,163500,90.68,90.77,90.68,90.74,400,0
PCOR.US,5,20210923,164000,90.65,90.65,90.65,90.65,100,0
PCOR.US,5,20210923,164500,90.76,90.99,90.75,90.975,800,0
PCOR.US,5,20210923,165000,91.34,91.7,91.31,91.7,1392,0
PCOR.US,5,20210923,165500,91.8,91.8,91.8,91.8,200,0
PCOR.US,5,20210923,170000,91.67,92.08,91.67,92.08,2200,0
PCOR.US,5,20210923,170500,91.985,92,91.88,91.98,2300,0
PCOR.US,5,20210923,171000,92.045,92.49,92.045,92.48,3455,0
PCOR.US,5,20210923,171500,92.8,92.94,92.73,92.765,2481,0
PCOR.US,5,20210923,172000,92.32,92.32,92.32,92.32,100,0
PCOR.US,5,20210923,172500,92.39,92.5,92.39,92.5,300,0
PCOR.US,5,20210923,173000,92.5,92.56,92.5,92.56,260,0
PCOR.US,5,20210923,173500,92.7,92.79,92.7,92.79,400,0
PCOR.US,5,20210923,174000,92.8,92.8,92.8,92.8,104,0
PCOR.US,5,20210923,174500,92.91,92.91,92.9,92.9,300,0
PCOR.US,5,20210923,175000,92.96,93.27,92.96,93.22,12397,0
PCOR.US,5,20210923,175500,93.23,93.25,93.23,93.25,200,0
PCOR.US,5,20210923,180000,93.08,93.25,93.05,93.25,1200,0
PCOR.US,5,20210923,180500,93.36,93.36,93.36,93.36,100,0
PCOR.US,5,20210923,181000,93.44,93.5799,93.44,93.5799,400,0
PCOR.US,5,20210923,181500,93.58,93.723,93.58,93.723,1200,0
PCOR.US,5,20210923,182000,93.69,93.69,93.67,93.67,200,0
PCOR.US,5,20210923,182500,93.74,93.74,93.74,93.74,100,0
