<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
PKO.US,5,20210922,153000,24.49,24.49,24.49,24.49,2052,0
PKO.US,5,20210922,153500,24.42,24.495,24.42,24.495,700,0
PKO.US,5,20210922,154000,24.56,24.56,24.5093,24.5093,698,0
PKO.US,5,20210922,154500,24.51,24.51,24.5,24.5,1465,0
PKO.US,5,20210922,155500,24.56,24.56,24.54,24.54,1600,0
PKO.US,5,20210922,160000,24.57,24.57,24.56,24.57,450,0
PKO.US,5,20210922,160500,24.51,24.6071,24.51,24.6071,800,0
PKO.US,5,20210922,161000,24.61,24.61,24.61,24.61,500,0
PKO.US,5,20210922,161500,24.61,24.62,24.61,24.6101,620,0
PKO.US,5,20210922,162000,24.617,24.6499,24.617,24.6499,393,0
PKO.US,5,20210922,162500,24.64,24.68,24.64,24.68,2367,0
PKO.US,5,20210922,163000,24.61,24.645,24.61,24.645,590,0
PKO.US,5,20210922,163500,24.61,24.645,24.61,24.61,3200,0
PKO.US,5,20210922,164000,24.68,24.68,24.61,24.61,335,0
PKO.US,5,20210922,165000,24.645,24.645,24.61,24.61,500,0
PKO.US,5,20210922,165500,24.645,24.645,24.645,24.645,100,0
PKO.US,5,20210922,170500,24.679,24.679,24.61,24.61,814,0
PKO.US,5,20210922,171000,24.61,24.6799,24.61,24.6799,2450,0
PKO.US,5,20210922,172500,24.6123,24.645,24.61,24.61,900,0
PKO.US,5,20210922,173000,24.67,24.67,24.61,24.645,1636,0
PKO.US,5,20210922,173500,24.61,24.61,24.57,24.57,350,0
PKO.US,5,20210922,174000,24.62,24.62,24.62,24.62,400,0
PKO.US,5,20210922,175000,24.6699,24.6699,24.62,24.62,880,0
PKO.US,5,20210922,175500,24.62,24.62,24.57,24.6197,908,0
PKO.US,5,20210922,180000,24.6,24.627,24.57,24.6175,3500,0
PKO.US,5,20210922,180500,24.6,24.6,24.58,24.595,1110,0
PKO.US,5,20210922,181000,24.595,24.595,24.595,24.595,327,0
PKO.US,5,20210922,182500,24.585,24.585,24.57,24.57,4903,0
PKO.US,5,20210922,184000,24.6,24.61,24.5613,24.5613,735,0
PKO.US,5,20210922,184500,24.5501,24.5501,24.55,24.55,1800,0
PKO.US,5,20210922,185000,24.55,24.55,24.55,24.55,1000,0
PKO.US,5,20210922,190500,24.5501,24.5501,24.5501,24.5501,200,0
PKO.US,5,20210922,192000,24.57,24.585,24.57,24.57,800,0
PKO.US,5,20210922,192500,24.585,24.585,24.585,24.585,200,0
PKO.US,5,20210922,194000,24.5534,24.5534,24.53,24.545,600,0
PKO.US,5,20210922,200000,24.5677,24.6,24.5677,24.6,885,0
PKO.US,5,20210922,200500,24.6486,24.65,24.6486,24.65,739,0
PKO.US,5,20210922,202000,24.64,24.678,24.6,24.6,2935,0
