<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
PX.US,5,20211021,160000,12.02,12.7,12,12.01,3199,0
PX.US,5,20211021,160500,12.01,12.01,12.01,12.01,4650,0
PX.US,5,20211021,161000,12.01,12.55,11.35,11.35,15904,0
PX.US,5,20211021,161500,11.52,11.52,11.5,11.5,2650,0
PX.US,5,20211021,162000,11.52,12.05,11.52,12.04,9900,0
PX.US,5,20211021,162500,12.04,12.04,11.99,12,1300,0
PX.US,5,20211021,163000,11.99,12.64,11.99,12.59,36362,0
PX.US,5,20211021,163500,12.5,12.52,12.25,12.25,57780,0
PX.US,5,20211021,164000,12.02,12.25,12,12.25,14107,0
PX.US,5,20211021,164500,12.25,12.25,12.25,12.25,4750,0
PX.US,5,20211021,165000,12.25,12.25,12,12.01,3600,0
PX.US,5,20211021,165500,12.01,12.01,12,12,3000,0
PX.US,5,20211021,170000,12,12,12,12,1000,0
PX.US,5,20211021,170500,12.14,12.22,12.1,12.22,1400,0
PX.US,5,20211021,171000,12.08,12.08,12.08,12.08,500,0
PX.US,5,20211021,171500,12.1,12.5,12.1,12.5,8047,0
PX.US,5,20211021,172000,12.1,12.29,12.05,12.14,2206037,0
PX.US,5,20211021,172500,12.09,12.17,11.99,12,285829,0
PX.US,5,20211021,173000,12.0025,12.01,11.27,11.95,248959,0
PX.US,5,20211021,173500,11.95,12.0695,11.94,12,116481,0
PX.US,5,20211021,174000,12.01,12.04,11.98,12.01,159214,0
PX.US,5,20211021,174500,12.01,12.01,12,12.0075,130129,0
PX.US,5,20211021,175000,12.0075,12.03,12,12.01,101207,0
PX.US,5,20211021,175500,12.0025,12.25,12,12.11,97468,0
PX.US,5,20211021,180000,12.11,12.1398,12.05,12.069,49237,0
PX.US,5,20211021,180500,12.065,12.065,12.03,12.05,9969,0
PX.US,5,20211021,181000,12.047,12.19,12.047,12.19,20696,0
PX.US,5,20211021,181500,12.15,12.31,12.125,12.3,94275,0
PX.US,5,20211021,182000,12.29,12.4,12.25,12.38,18656,0
PX.US,5,20211021,182500,12.38,12.38,12.25,12.265,13049,0
PX.US,5,20211021,183000,12.25,12.32,12.24,12.28,24749,0
PX.US,5,20211021,183500,12.28,12.28,12.26,12.28,5000,0
PX.US,5,20211021,184000,12.28,12.3,12.24,12.3,21232,0
PX.US,5,20211021,184500,12.29,12.5,12.27,12.32,50191,0
PX.US,5,20211021,185000,12.34,12.3724,12.25,12.35,21479,0
PX.US,5,20211021,185500,12.3,12.335,12.25,12.28,11296,0
PX.US,5,20211021,190000,12.28,12.35,12.24,12.3,28720,0
PX.US,5,20211021,190500,12.32,12.37,12.3,12.325,8469,0
PX.US,5,20211021,191000,12.3,12.45,12.3,12.31,39675,0
PX.US,5,20211021,191500,12.37,12.38,12.18,12.22,19239,0
PX.US,5,20211021,192000,12.18,12.23,12.17,12.23,21301,0
PX.US,5,20211021,192500,12.37,12.445,12.2,12.2,15120,0
PX.US,5,20211021,193000,12.23,12.36,12.2,12.29,11197,0
PX.US,5,20211021,193500,12.2661,12.3,12.2,12.21,10073,0
PX.US,5,20211021,194000,12.25,12.255,12.19,12.25,14716,0
PX.US,5,20211021,194500,12.25,12.4216,12.25,12.3,15457,0
PX.US,5,20211021,195000,12.27,12.325,12.26,12.275,11689,0
PX.US,5,20211021,195500,12.26,12.3,12.25,12.29,25141,0
PX.US,5,20211021,200000,12.3,12.38,12.29,12.3,16780,0
PX.US,5,20211021,200500,12.3,12.3,12.24,12.27,34935,0
PX.US,5,20211021,201000,12.3085,12.33,12.26,12.275,12866,0
PX.US,5,20211021,201500,12.26,12.27,12.24,12.25,42907,0
PX.US,5,20211021,202000,12.255,12.255,12.15,12.15,21477,0
PX.US,5,20211021,202500,12.15,12.245,12.1,12.1,39918,0
PX.US,5,20211021,203000,12.11,12.14,12.1,12.1,14101,0
PX.US,5,20211021,203500,12.11,12.12,12.08,12.08,39403,0
PX.US,5,20211021,204000,12.09,12.215,12.09,12.1675,27286,0
PX.US,5,20211021,204500,12.165,12.165,12.08,12.11,23140,0
PX.US,5,20211021,205000,12.115,12.13,12.06,12.08,34639,0
PX.US,5,20211021,205500,12.1,12.2,12.0619,12.2,25280,0
PX.US,5,20211021,210000,12.16,12.23,12.1,12.15,25128,0
PX.US,5,20211021,210500,12.165,12.165,12.07,12.07,40960,0
PX.US,5,20211021,211000,12.07,12.115,12.07,12.08,17951,0
PX.US,5,20211021,211500,12.085,12.085,12.01,12.035,83684,0
PX.US,5,20211021,212000,12.035,12.04,12.01,12.01,31333,0
PX.US,5,20211021,212500,12.015,12.1,12.01,12.025,23046,0
PX.US,5,20211021,213000,12.025,12.03,12,12.015,36908,0
PX.US,5,20211021,213500,12.0199,12.05,12.01,12.01,46096,0
PX.US,5,20211021,214000,12.015,12.02,12,12.005,248525,0
PX.US,5,20211021,214500,12.005,12.13,12,12.13,88658,0
PX.US,5,20211021,215000,12.125,12.2,12.055,12.13,39413,0
PX.US,5,20211021,215500,12.12,12.7,12.01,12.08,135312,0
PX.US,5,20211022,153000,12,12.06,11.71,12.03,109768,0
