<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
RBAC.US,5,20210922,153000,9.8,9.81,9.8,9.81,719,0
RBAC.US,5,20210922,154000,9.81,9.81,9.81,9.81,1251494,0
RBAC.US,5,20210922,162000,9.8102,9.8102,9.8102,9.8102,300,0
RBAC.US,5,20210922,163000,9.825,9.83,9.825,9.83,2200,0
RBAC.US,5,20210922,170500,9.825,9.825,9.82,9.82,870,0
RBAC.US,5,20210922,171500,9.82,9.82,9.8187,9.8187,532,0
RBAC.US,5,20210922,172000,9.82,9.82,9.8193,9.82,50400,0
RBAC.US,5,20210922,174500,9.8227,9.8227,9.8227,9.8227,100,0
RBAC.US,5,20210922,175500,9.825,9.825,9.825,9.825,500,0
RBAC.US,5,20210922,180500,9.83,9.83,9.83,9.83,100,0
RBAC.US,5,20210922,184500,9.8299,9.8299,9.8299,9.8299,5100,0
RBAC.US,5,20210922,191000,9.82,9.8233,9.82,9.8233,2000,0
RBAC.US,5,20210922,191500,9.8284,9.8284,9.8284,9.8284,300,0
RBAC.US,5,20210922,194000,9.829,9.83,9.82,9.825,4991,0
RBAC.US,5,20210922,195000,9.825,9.825,9.825,9.825,250,0
RBAC.US,5,20210922,195500,9.8251,9.8251,9.8251,9.8251,300,0
RBAC.US,5,20210922,200000,9.8299,9.8299,9.8279,9.8279,200,0
RBAC.US,5,20210922,200500,9.8279,9.8279,9.8279,9.8279,100,0
RBAC.US,5,20210922,201000,9.8201,9.83,9.8201,9.83,400,0
RBAC.US,5,20210922,202500,9.83,9.83,9.8299,9.8299,765,0
RBAC.US,5,20210922,203000,9.83,9.83,9.83,9.83,200,0
RBAC.US,5,20210922,203500,9.823,9.823,9.823,9.823,1000,0
RBAC.US,5,20210922,204500,9.8299,9.8299,9.8299,9.8299,1000,0
RBAC.US,5,20210922,205500,9.8299,9.83,9.8292,9.8292,400,0
RBAC.US,5,20210922,210000,9.83,9.83,9.83,9.83,752,0
RBAC.US,5,20210922,210500,9.828,9.828,9.82,9.82,2100,0
RBAC.US,5,20210922,211000,9.827,9.827,9.827,9.827,500,0
RBAC.US,5,20210922,213000,9.823,9.823,9.823,9.823,150,0
RBAC.US,5,20210922,213500,9.8208,9.8208,9.8208,9.8208,104,0
RBAC.US,5,20210922,214500,9.825,9.825,9.825,9.825,307,0
RBAC.US,5,20210922,215000,9.83,9.84,9.825,9.835,11422,0
RBAC.US,5,20210922,215500,9.84,9.85,9.84,9.85,22545,0
RBAC.US,5,20210923,154500,9.82,9.8299,9.82,9.8299,220,0
RBAC.US,5,20210923,155500,9.83,9.83,9.8299,9.8299,3757,0
RBAC.US,5,20210923,160000,9.8299,9.8299,9.8299,9.8299,200,0
RBAC.US,5,20210923,161500,9.83,9.83,9.8297,9.8297,343,0
RBAC.US,5,20210923,162500,9.8286,9.8286,9.8286,9.8286,100,0
RBAC.US,5,20210923,163000,9.824,9.83,9.824,9.83,2625,0
RBAC.US,5,20210923,163500,9.83,9.83,9.83,9.83,100,0
