<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
ROG.US,5,20210922,153000,184.68,184.68,182.403,182.403,302,0
ROG.US,5,20210922,154000,182.13,184.46,182.13,183.18,5038,0
ROG.US,5,20210922,154500,184.24,184.583,181.82,183.7,5296,0
ROG.US,5,20210922,155000,182.67,185.46,181.94,184.67,5039,0
ROG.US,5,20210922,155500,185,185,185,185,585,0
ROG.US,5,20210922,162000,184.725,184.725,184.68,184.68,1100,0
ROG.US,5,20210922,162500,184,184,183.7,183.7,300,0
ROG.US,5,20210922,163000,184.71,184.71,184.6,184.705,431,0
ROG.US,5,20210922,164000,184.285,184.81,184.02,184.26,4955,0
ROG.US,5,20210922,165500,184.77,185.19,184.77,184.87,493,0
ROG.US,5,20210922,171500,184.91,184.91,184.56,184.91,1000,0
ROG.US,5,20210922,172500,184.93,184.93,184.93,184.93,100,0
ROG.US,5,20210922,173500,185.01,185.68,185.01,185.355,1010,0
ROG.US,5,20210922,174000,185.775,185.78,185.7,185.7,400,0
ROG.US,5,20210922,175000,186,186,185.96,186,600,0
ROG.US,5,20210922,181500,185.83,185.83,185.83,185.83,100,0
ROG.US,5,20210922,182500,186.92,186.92,186.92,186.92,100,0
ROG.US,5,20210922,183000,186.13,186.13,186.13,186.13,100,0
ROG.US,5,20210922,185500,186.6,186.6,186.6,186.6,200,0
ROG.US,5,20210922,190500,186.23,186.235,186.23,186.235,300,0
ROG.US,5,20210922,200000,186.67,186.805,186.67,186.805,600,0
ROG.US,5,20210922,203500,187.61,187.61,187.25,187.25,200,0
ROG.US,5,20210922,204000,187.3,187.3,186.91,186.91,200,0
ROG.US,5,20210922,204500,186.73,186.73,186.73,186.73,120,0
ROG.US,5,20210922,205000,186.56,186.7,186.56,186.69,338,0
ROG.US,5,20210922,205500,186.41,186.41,186.41,186.41,100,0
ROG.US,5,20210922,210500,186.43,186.583,186.39,186.583,300,0
ROG.US,5,20210922,211000,186.635,186.635,186.635,186.635,100,0
ROG.US,5,20210922,212000,186.45,186.45,186.45,186.45,100,0
ROG.US,5,20210922,213000,186.34,186.34,186.34,186.34,200,0
ROG.US,5,20210922,214000,186.27,186.357,186.27,186.357,200,0
ROG.US,5,20210922,214500,186.37,186.37,186.37,186.37,100,0
ROG.US,5,20210922,215000,186.1,186.1,186.1,186.1,100,0
ROG.US,5,20210922,215500,186.12,186.12,185.15,185.25,10399,0
ROG.US,5,20210923,153000,185.92,185.92,185.92,185.92,498,0
ROG.US,5,20210923,153500,184.4,186.69,183.51,186.689,4514,0
ROG.US,5,20210923,154000,186.72,187.21,184.905,184.98,3902,0
ROG.US,5,20210923,155500,187.28,187.28,187.28,187.28,100,0
ROG.US,5,20210923,162000,187.19,187.19,187.19,187.19,100,0
ROG.US,5,20210923,163000,186.96,187.035,186.96,187.035,200,0
ROG.US,5,20210923,164000,187.015,187.015,187.015,187.015,100,0
ROG.US,5,20210923,165000,187.59,187.59,187.59,187.59,100,0
ROG.US,5,20210923,165500,187.56,187.56,187.56,187.56,100,0
ROG.US,5,20210923,171000,187.47,187.47,187.47,187.47,100,0
ROG.US,5,20210923,171500,187.91,187.91,187.91,187.91,100,0
ROG.US,5,20210923,172000,187.54,187.54,187.54,187.54,200,0
ROG.US,5,20210923,172500,187.53,187.53,187.53,187.53,101,0
ROG.US,5,20210923,173000,188.17,188.19,188.08,188.08,389,0
ROG.US,5,20210923,174500,188.205,188.205,188.205,188.205,100,0
ROG.US,5,20210923,175000,188.2,188.21,188.2,188.21,392,0
ROG.US,5,20210923,175500,188.535,188.96,188.535,188.96,200,0
ROG.US,5,20210923,180000,189.63,189.63,189.63,189.63,100,0
