<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
RPAI.US,5,20210922,153000,12.807,12.926,12.797,12.926,7026,0
RPAI.US,5,20210922,153500,12.906,12.936,12.896,12.926,4566,0
RPAI.US,5,20210922,154000,12.916,12.916,12.827,12.846,5000,0
RPAI.US,5,20210922,154500,12.846,12.866,12.817,12.836,19757,0
RPAI.US,5,20210922,155000,12.846,12.876,12.836,12.856,4857,0
RPAI.US,5,20210922,155500,12.856,12.896,12.846,12.896,3308,0
RPAI.US,5,20210922,160000,12.896,12.906,12.886,12.906,2615,0
RPAI.US,5,20210922,160500,12.896,12.896,12.876,12.886,2212,0
RPAI.US,5,20210922,161000,12.876,12.876,12.836,12.876,11999,0
RPAI.US,5,20210922,161500,12.886,12.906,12.886,12.906,2215,0
RPAI.US,5,20210922,162000,12.901,12.901,12.876,12.886,1294,0
RPAI.US,5,20210922,162500,12.886,12.906,12.881,12.906,1407,0
RPAI.US,5,20210922,163000,12.906,12.966,12.906,12.966,3980,0
RPAI.US,5,20210922,163500,12.956,12.956,12.936,12.936,1686,0
RPAI.US,5,20210922,164000,12.926,12.951,12.916,12.951,1710,0
RPAI.US,5,20210922,164500,12.935,12.936,12.916,12.936,3224,0
RPAI.US,5,20210922,165000,12.946,12.956,12.936,12.956,1408,0
RPAI.US,5,20210922,165500,12.956,12.956,12.946,12.946,1020,0
RPAI.US,5,20210922,170000,12.951,12.966,12.951,12.961,1300,0
RPAI.US,5,20210922,170500,12.956,12.966,12.956,12.956,1810,0
RPAI.US,5,20210922,171000,12.956,12.996,12.956,12.986,2396,0
RPAI.US,5,20210922,171500,13.006,13.015,13.001,13.015,1775,0
RPAI.US,5,20210922,172000,13.006,13.006,13.006,13.006,805,0
RPAI.US,5,20210922,172500,13.015,13.03,13.015,13.025,1936,0
RPAI.US,5,20210922,173000,13.015,13.025,13.015,13.02,937,0
RPAI.US,5,20210922,173500,13.015,13.015,12.966,12.966,4577,0
RPAI.US,5,20210922,174000,12.966,12.966,12.926,12.946,17977,0
RPAI.US,5,20210922,174500,12.946,12.946,12.906,12.926,16030,0
RPAI.US,5,20210922,175000,12.946,12.966,12.936,12.936,8720,0
RPAI.US,5,20210922,175500,12.946,12.946,12.926,12.926,8491,0
RPAI.US,5,20210922,180000,12.926,12.926,12.916,12.926,2038,0
RPAI.US,5,20210922,180500,12.926,12.931,12.916,12.916,4022,0
RPAI.US,5,20210922,181000,12.911,12.911,12.906,12.906,11246,0
RPAI.US,5,20210922,181500,12.896,12.901,12.876,12.876,2633,0
RPAI.US,5,20210922,182000,12.886,12.886,12.871,12.876,3941,0
RPAI.US,5,20210922,182500,12.876,12.876,12.866,12.876,1313,0
RPAI.US,5,20210922,183000,12.881,12.886,12.876,12.886,2753,0
RPAI.US,5,20210922,183500,12.886,12.896,12.886,12.886,805,0
RPAI.US,5,20210922,184000,12.881,12.881,12.866,12.866,2322,0
RPAI.US,5,20210922,184500,12.876,12.876,12.871,12.876,4111,0
RPAI.US,5,20210922,185000,12.866,12.866,12.866,12.866,101,0
RPAI.US,5,20210922,185500,12.876,12.896,12.871,12.896,946,0
RPAI.US,5,20210922,190000,12.891,12.891,12.876,12.876,1491,0
RPAI.US,5,20210922,190500,12.876,12.896,12.866,12.896,10018,0
RPAI.US,5,20210922,191000,12.896,12.896,12.886,12.886,302,0
RPAI.US,5,20210922,191500,12.886,12.896,12.886,12.896,1310,0
RPAI.US,5,20210922,192000,12.896,12.896,12.886,12.886,704,0
