<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
SAH.US,5,20210922,153000,54.72,54.72,54.72,54.72,100,0
SAH.US,5,20210922,153500,55.12,55.72,54.6,55.72,19814,0
SAH.US,5,20210922,154000,55.77,55.92,55.45,55.89,13327,0
SAH.US,5,20210922,154500,55.98,56.01,55.78,55.99,8077,0
SAH.US,5,20210922,155000,56.06,56.62,56.06,56.285,10314,0
SAH.US,5,20210922,155500,56.285,56.4851,56.18,56.285,7190,0
SAH.US,5,20210922,160000,56.36,56.39,55.84,55.935,5626,0
SAH.US,5,20210922,160500,55.91,55.92,55.43,55.475,2800,0
SAH.US,5,20210922,161000,55.37,55.74,55.37,55.54,4993,0
SAH.US,5,20210922,161500,55.525,55.75,55.34,55.75,14501,0
SAH.US,5,20210922,162000,55.595,55.595,54.9004,55.03,16546,0
SAH.US,5,20210922,162500,55.12,55.25,54.85,54.91,29808,0
SAH.US,5,20210922,163000,54.91,55.13,54.64,54.64,10043,0
SAH.US,5,20210922,163500,54.79,55.13,54.79,55.13,5461,0
SAH.US,5,20210922,164000,55.13,55.4,55.13,55.335,4600,0
SAH.US,5,20210922,164500,55.32,55.4,55.17,55.4,3836,0
SAH.US,5,20210922,165000,55.5,55.79,55.5,55.655,2038,0
SAH.US,5,20210922,165500,55.74,55.74,55.53,55.595,1958,0
SAH.US,5,20210922,170000,55.56,55.56,55.09,55.09,2600,0
SAH.US,5,20210922,170500,55.1,55.22,55.02,55.05,2307,0
SAH.US,5,20210922,171000,55.01,55.55,55.01,55.55,4832,0
SAH.US,5,20210922,171500,55.49,55.5,55.39,55.39,2209,0
SAH.US,5,20210922,172000,55.32,55.47,55.25,55.38,2666,0
SAH.US,5,20210922,172500,55.38,55.38,55.09,55.09,6095,0
SAH.US,5,20210922,173000,55.18,55.3,55.155,55.26,3322,0
SAH.US,5,20210922,173500,55.23,55.265,55.23,55.24,2179,0
SAH.US,5,20210922,174000,55.26,55.26,55.17,55.2,1119,0
SAH.US,5,20210922,174500,55.25,55.29,55.08,55.085,4331,0
SAH.US,5,20210922,175000,55.13,55.2,54.91,54.91,7220,0
SAH.US,5,20210922,175500,54.89,55.1,54.89,55.1,3618,0
SAH.US,5,20210922,180000,55.11,55.66,55.08,55.58,33208,0
SAH.US,5,20210922,180500,55.535,55.585,55.25,55.25,8991,0
SAH.US,5,20210922,181000,55.25,55.31,55.13,55.145,4568,0
SAH.US,5,20210922,181500,55.115,55.24,55.1,55.16,3151,0
SAH.US,5,20210922,182000,55.17,55.2,55.06,55.19,4618,0
SAH.US,5,20210922,182500,55.11,55.255,55.11,55.255,3001,0
SAH.US,5,20210922,183000,55.255,55.57,55.2,55.57,4375,0
SAH.US,5,20210922,183500,55.625,55.745,55.48,55.48,5813,0
SAH.US,5,20210922,184000,55.49,55.49,55.41,55.44,2026,0
SAH.US,5,20210922,184500,55.45,55.485,55.41,55.45,5299,0
SAH.US,5,20210922,185000,55.47,55.47,55.38,55.39,1917,0
SAH.US,5,20210922,185500,55.43,55.51,55.39,55.51,4969,0
SAH.US,5,20210922,190000,55.51,55.595,55.42,55.44,2511,0
SAH.US,5,20210922,190500,55.39,55.41,55.32,55.41,1220,0
SAH.US,5,20210922,191000,55.365,55.42,55.32,55.345,3529,0
SAH.US,5,20210922,191500,55.31,55.48,55.28,55.41,4307,0
SAH.US,5,20210922,192000,55.36,55.48,55.36,55.39,2475,0
SAH.US,5,20210922,192500,55.385,55.43,55.29,55.315,2232,0
SAH.US,5,20210922,193000,55.29,55.43,55.26,55.41,4700,0
SAH.US,5,20210922,193500,55.4001,55.645,55.4001,55.575,3436,0
SAH.US,5,20210922,194000,55.75,55.99,55.75,55.885,7387,0
SAH.US,5,20210922,194500,55.84,56.19,55.83,56.06,7338,0
SAH.US,5,20210922,195000,56.065,56.065,55.83,55.89,9174,0
SAH.US,5,20210922,195500,55.8,55.88,55.69,55.88,6748,0
SAH.US,5,20210922,200000,55.76,56.05,55.615,55.95,6345,0
SAH.US,5,20210922,200500,55.89,55.89,55.7,55.76,2259,0
SAH.US,5,20210922,201000,55.77,55.87,55.7,55.81,6013,0
SAH.US,5,20210922,201500,55.9,56.21,55.9,56.09,5292,0
SAH.US,5,20210922,202000,56.01,56.04,55.68,55.76,5200,0
SAH.US,5,20210922,202500,55.77,55.875,55.77,55.77,4728,0
SAH.US,5,20210922,203000,55.825,56.005,55.77,55.945,6249,0
SAH.US,5,20210922,203500,56.045,56.045,55.73,55.87,2155,0
SAH.US,5,20210922,204000,55.87,55.87,55.41,55.41,3411,0
SAH.US,5,20210922,204500,55.52,55.725,55.52,55.68,2800,0
SAH.US,5,20210922,205000,55.63,55.64,55.39,55.64,3700,0
SAH.US,5,20210922,205500,55.6,55.86,55.6,55.785,9498,0
SAH.US,5,20210922,210000,55.695,55.81,55.68,55.73,2699,0
SAH.US,5,20210922,210500,55.725,55.92,55.63,55.875,85635,0
SAH.US,5,20210922,211000,55.88,55.92,55.685,55.75,18205,0
SAH.US,5,20210922,211500,55.72,55.76,55.54,55.75,21099,0
SAH.US,5,20210922,212000,55.75,55.8,55.52,55.6162,24770,0
SAH.US,5,20210922,212500,55.615,55.62,55.41,55.51,8537,0
SAH.US,5,20210922,213000,55.51,55.7,55.48,55.59,9034,0
SAH.US,5,20210922,213500,55.615,55.655,55.535,55.575,14714,0
SAH.US,5,20210922,214000,55.57,55.665,55.5,55.56,6549,0
SAH.US,5,20210922,214500,55.56,55.61,55.52,55.58,7724,0
SAH.US,5,20210922,215000,55.59,55.59,55.26,55.305,17565,0
SAH.US,5,20210922,215500,55.27,55.305,55.01,55.01,102916,0
SAH.US,5,20210923,153000,55.63,56.18,55.17,56.18,8024,0
SAH.US,5,20210923,153500,56.18,56.74,56.14,56.74,6990,0
SAH.US,5,20210923,154000,56.79,57.01,56.55,56.845,6382,0
SAH.US,5,20210923,154500,56.93,57.01,56.59,56.85,18028,0
SAH.US,5,20210923,155000,56.75,56.88,56.605,56.73,4347,0
SAH.US,5,20210923,155500,56.8,57,56.62,56.99,37661,0
SAH.US,5,20210923,160000,56.87,56.9199,56.53,56.53,6270,0
SAH.US,5,20210923,160500,56.5,56.5,56.31,56.4,2402,0
SAH.US,5,20210923,161000,56.58,56.7,56.52,56.645,1701,0
SAH.US,5,20210923,161500,56.61,56.7822,56.36,56.7822,2092,0
SAH.US,5,20210923,162000,56.73,56.89,56.73,56.88,1122,0
SAH.US,5,20210923,162500,56.88,56.89,56.68,56.88,9383,0
SAH.US,5,20210923,163000,56.875,56.875,56.605,56.615,8893,0
SAH.US,5,20210923,163500,56.655,56.655,56.45,56.46,1913,0
SAH.US,5,20210923,164000,56.48,56.48,56.415,56.455,500,0
SAH.US,5,20210923,164500,56.5,56.6,56.4,56.6,3653,0
SAH.US,5,20210923,165000,56.535,56.805,56.53,56.805,3075,0
SAH.US,5,20210923,165500,56.825,56.825,56.58,56.66,8614,0
SAH.US,5,20210923,170000,56.62,56.7,56.59,56.65,5238,0
SAH.US,5,20210923,170500,56.655,56.705,56.63,56.705,6800,0
SAH.US,5,20210923,171000,56.69,56.82,56.61,56.71,5755,0
SAH.US,5,20210923,171500,56.72,56.88,56.72,56.85,24343,0
SAH.US,5,20210923,172000,56.85,56.94,56.835,56.94,6052,0
SAH.US,5,20210923,172500,56.97,56.97,56.865,56.9,4791,0
SAH.US,5,20210923,173000,56.9,56.92,56.83,56.865,2325,0
SAH.US,5,20210923,173500,56.93,56.99,56.88,56.89,9465,0
SAH.US,5,20210923,174000,56.94,56.94,56.86,56.91,1925,0
SAH.US,5,20210923,174500,56.97,56.99,56.8,56.8,4438,0
SAH.US,5,20210923,175000,56.83,56.85,56.77,56.79,9539,0
SAH.US,5,20210923,175500,56.78,57,56.76,57,14435,0
SAH.US,5,20210923,180000,56.99,57.22,56.98,57.1999,13717,0
SAH.US,5,20210923,180500,57.2,57.27,57.08,57.23,2561,0
SAH.US,5,20210923,181000,57.28,57.28,57.21,57.249,1700,0
SAH.US,5,20210923,181500,57.25,57.25,57.1,57.25,5724,0
SAH.US,5,20210923,182000,57.2,57.2,57.14,57.14,1476,0
SAH.US,5,20210923,182500,57.13,57.2,57.04,57.055,2000,0
SAH.US,5,20210923,183000,57.055,57.07,57,57.065,3651,0
SAH.US,5,20210923,183500,57.07,57.07,57.04,57.04,1130,0
SAH.US,5,20210923,184000,57.035,57.05,57,57.04,3120,0
SAH.US,5,20210923,184500,57.03,57.12,57,57.04,2841,0
SAH.US,5,20210923,185000,57.085,57.19,57,57.06,16205,0
SAH.US,5,20210923,185500,57.06,57.11,57,57.01,10593,0
SAH.US,5,20210923,190000,57.06,57.1,57,57.1,6093,0
SAH.US,5,20210923,190500,57.08,57.18,57,57.04,8440,0
SAH.US,5,20210923,191000,57.04,57.08,57,57.045,3661,0
SAH.US,5,20210923,191500,57.09,57.09,57.06,57.06,1400,0
SAH.US,5,20210923,192000,57.085,57.085,56.99,56.99,4234,0
SAH.US,5,20210923,192500,57.04,57.09,57.03,57.03,3370,0
SAH.US,5,20210923,193000,57.075,57.075,57.01,57.05,4458,0
SAH.US,5,20210923,193500,57.02,57.08,57.02,57.06,2607,0
SAH.US,5,20210923,194000,57.03,57.08,57.02,57.02,2031,0
SAH.US,5,20210923,194500,57.055,57.06,56.92,56.98,3697,0
SAH.US,5,20210923,195000,56.975,56.975,56.92,56.92,967,0
SAH.US,5,20210923,195500,56.93,57,56.9179,57,10403,0
SAH.US,5,20210923,200000,57,57,56.964,57,3031,0
SAH.US,5,20210923,200500,57,57,56.88,56.9,12030,0
SAH.US,5,20210923,201000,56.9,56.96,56.8905,56.96,8086,0
SAH.US,5,20210923,201500,56.97,56.97,56.86,56.96,12557,0
SAH.US,5,20210923,202000,57,57.07,56.95,57.07,3695,0
SAH.US,5,20210923,202500,57.02,57.03,56.96,57.02,2412,0
SAH.US,5,20210923,203000,57.04,57.055,56.95,56.965,3688,0
SAH.US,5,20210923,203500,57,57.02,56.93,56.955,900,0
SAH.US,5,20210923,204000,56.98,56.98,56.65,56.77,10632,0
SAH.US,5,20210923,204500,56.64,56.68,56.52,56.6126,9832,0
SAH.US,5,20210923,205000,56.575,56.575,56.575,56.575,100,0
SAH.US,5,20210923,205500,56.65,56.7,56.58,56.7,3683,0
SAH.US,5,20210923,210000,56.79,56.8,56.79,56.8,300,0
SAH.US,5,20210923,210500,56.71,56.72,56.65,56.7,1439,0
SAH.US,5,20210923,211000,56.62,56.655,56.565,56.61,1825,0
SAH.US,5,20210923,211500,56.55,56.72,56.55,56.69,1200,0
SAH.US,5,20210923,212000,56.705,56.76,56.61,56.68,997,0
SAH.US,5,20210923,212500,56.68,56.73,56.67,56.68,545,0
SAH.US,5,20210923,213000,56.63,56.72,56.55,56.56,3154,0
SAH.US,5,20210923,213500,56.56,56.56,56.385,56.385,2714,0
SAH.US,5,20210923,214000,56.385,56.39,56.3,56.3,1634,0
SAH.US,5,20210923,214500,56.27,56.37,56.21,56.31,2706,0
SAH.US,5,20210923,215000,56.28,56.32,56.2,56.27,6287,0
SAH.US,5,20210923,215500,56.23,56.37,56.04,56.3,64942,0
SAH.US,5,20210924,153000,56.3,56.3,55.4965,56.07,10532,0
SAH.US,5,20210924,153500,56.07,56.07,55.83,55.94,3541,0
SAH.US,5,20210924,154000,55.95,56.11,55.38,55.46,3993,0
SAH.US,5,20210924,154500,55.33,55.42,55,55,3179,0
SAH.US,5,20210924,155000,54.95,55.41,54.95,55.41,2414,0
SAH.US,5,20210924,155500,55.39,55.77,55.39,55.77,600,0
SAH.US,5,20210924,160000,55.74,56.11,55.74,56.11,600,0
SAH.US,5,20210924,160500,56.1488,56.23,56.1488,56.23,200,0
SAH.US,5,20210924,161000,56.46,56.46,56.24,56.24,200,0
SAH.US,5,20210924,161500,56.51,56.54,56.51,56.54,200,0
SAH.US,5,20210924,162000,56.38,56.61,56.38,56.61,400,0
SAH.US,5,20210924,162500,56.5,56.5,56.4906,56.4906,300,0
SAH.US,5,20210924,163000,56.44,56.44,56.17,56.17,467,0
SAH.US,5,20210924,163500,56.29,56.35,56.28,56.35,690,0
SAH.US,5,20210924,164000,56.245,56.245,56.11,56.155,912,0
SAH.US,5,20210924,164500,56.1,56.1,55.92,56.02,5609,0
SAH.US,5,20210924,165000,55.96,55.96,55.73,55.78,7975,0
SAH.US,5,20210924,165500,55.83,56,55.83,55.975,1855,0
SAH.US,5,20210924,170000,56.05,56.13,56.025,56.025,1585,0
SAH.US,5,20210924,170500,56.01,56.06,56.005,56.025,788,0
SAH.US,5,20210924,171000,55.99,55.99,55.84,55.84,749,0
SAH.US,5,20210924,171500,55.85,55.88,55.85,55.88,300,0
SAH.US,5,20210924,172000,55.865,55.87,55.865,55.87,300,0
SAH.US,5,20210924,172500,55.85,55.85,55.74,55.84,1000,0
SAH.US,5,20210924,173000,55.87,55.93,55.87,55.93,300,0
SAH.US,5,20210924,173500,55.9,55.9,55.9,55.9,100,0
SAH.US,5,20210924,174000,55.9487,55.96,55.895,55.895,417,0
SAH.US,5,20210924,175000,55.89,55.94,55.88,55.94,300,0
SAH.US,5,20210924,175500,55.94,55.94,55.94,55.94,100,0
SAH.US,5,20210924,180000,55.9207,55.9899,55.915,55.9799,3902,0
SAH.US,5,20210924,180500,56.01,56.0525,56.01,56.0525,200,0
SAH.US,5,20210924,181000,55.99,55.99,55.81,55.81,3599,0
SAH.US,5,20210924,181500,55.82,55.86,55.69,55.81,4600,0
SAH.US,5,20210924,182000,55.76,55.77,55.68,55.77,1814,0
SAH.US,5,20210924,182500,55.76,55.93,55.758,55.93,1400,0
SAH.US,5,20210924,183000,55.9621,56.045,55.96,56.03,814,0
SAH.US,5,20210924,183500,56.037,56.037,56.02,56.02,600,0
SAH.US,5,20210924,184000,56.0709,56.0709,56.0709,56.0709,300,0
SAH.US,5,20210924,184500,56.0799,56.16,56.06,56.16,2100,0
SAH.US,5,20210924,185000,56.16,56.16,56.11,56.11,623,0
SAH.US,5,20210924,185500,56.07,56.07,56.07,56.07,200,0
SAH.US,5,20210924,190000,56.06,56.06,56.06,56.06,100,0
SAH.US,5,20210924,190500,56.145,56.145,56.04,56.04,474,0
SAH.US,5,20210924,191000,56.12,56.15,56.1,56.15,304,0
SAH.US,5,20210924,191500,56.15,56.15,56.11,56.11,350,0
SAH.US,5,20210924,192000,56.18,56.18,56.09,56.09,272,0
SAH.US,5,20210924,192500,56.08,56.09,56.08,56.09,200,0
SAH.US,5,20210924,193000,56.11,56.11,56.11,56.11,100,0
SAH.US,5,20210924,193500,56.04,56.07,56.025,56.045,700,0
SAH.US,5,20210924,194000,56.05,56.05,56.05,56.05,200,0
SAH.US,5,20210924,194500,55.99,56.01,55.99,56,1064,0
SAH.US,5,20210924,195000,55.96,55.96,55.92,55.925,1007,0
SAH.US,5,20210924,195500,55.935,55.935,55.88,55.88,750,0
SAH.US,5,20210924,200000,55.8,55.8,55.65,55.65,406,0
SAH.US,5,20210924,200500,55.65,55.65,55.61,55.61,200,0
SAH.US,5,20210924,201000,55.64,55.67,55.64,55.67,435,0
SAH.US,5,20210924,201500,55.75,55.8,55.75,55.785,400,0
SAH.US,5,20210924,202000,55.79,55.86,55.79,55.86,3300,0
SAH.US,5,20210924,202500,55.83,55.87,55.82,55.87,300,0
SAH.US,5,20210924,203000,55.83,55.83,55.79,55.79,399,0
SAH.US,5,20210924,203500,55.79,55.87,55.73,55.87,9881,0
SAH.US,5,20210924,204000,55.875,55.94,55.76,55.83,17883,0
SAH.US,5,20210924,204500,55.895,55.925,55.86,55.88,7239,0
SAH.US,5,20210924,205000,55.9,55.9,55.85,55.9,4684,0
SAH.US,5,20210924,205500,55.9,56.1,55.86,56.1,10584,0
SAH.US,5,20210924,210500,56.145,56.145,55.99,56.09,7897,0
SAH.US,5,20210924,211000,56.05,56.06,56,56,2684,0
SAH.US,5,20210924,211500,56.005,56.04,56,56.04,653,0
SAH.US,5,20210924,212000,56.05,56.18,56.05,56.1,6034,0
SAH.US,5,20210924,212500,56.12,56.12,56.07,56.12,500,0
SAH.US,5,20210924,213000,56.07,56.07,55.83,55.91,6560,0
SAH.US,5,20210924,213500,55.99,56,55.95,55.95,1300,0
SAH.US,5,20210924,214000,55.99,56,55.915,56,3709,0
SAH.US,5,20210924,214500,56,56.05,55.98,56.03,4388,0
SAH.US,5,20210924,215000,56.035,56.06,55.95,55.975,5562,0
SAH.US,5,20210924,215500,55.95,55.95,55.76,55.8,36203,0
SAH.US,5,20210927,153000,56.31,56.5,55.91,56.375,9915,0
SAH.US,5,20210927,153500,56.22,56.72,56.2,56.41,16138,0
SAH.US,5,20210927,154000,56.5,56.59,56.25,56.415,4694,0
SAH.US,5,20210927,154500,56.63,56.63,56.4,56.4,900,0
SAH.US,5,20210927,155000,56.41,57.02,56.41,56.925,4929,0
