<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
SB.US,5,20210922,153000,4.54,4.585,4.46,4.58,97624,0
SB.US,5,20210922,153500,4.5703,4.64,4.56,4.64,45564,0
SB.US,5,20210922,154000,4.65,4.72,4.64,4.68,61155,0
SB.US,5,20210922,154500,4.68,4.79,4.6699,4.78,114764,0
SB.US,5,20210922,155000,4.7796,4.81,4.77,4.8099,143795,0
SB.US,5,20210922,155500,4.805,4.82,4.7758,4.78,79863,0
SB.US,5,20210922,160000,4.7822,4.79,4.73,4.7598,35750,0
SB.US,5,20210922,160500,4.7599,4.77,4.7109,4.735,51018,0
SB.US,5,20210922,161000,4.74,4.7925,4.73,4.79,83866,0
SB.US,5,20210922,161500,4.8,4.81,4.78,4.795,54091,0
SB.US,5,20210922,162000,4.795,4.8099,4.755,4.77,61932,0
SB.US,5,20210922,162500,4.765,4.7999,4.76,4.7885,19104,0
SB.US,5,20210922,163000,4.7801,4.82,4.78,4.81,58937,0
SB.US,5,20210922,163500,4.805,4.81,4.77,4.7782,27350,0
SB.US,5,20210922,164000,4.78,4.81,4.78,4.79,33357,0
SB.US,5,20210922,164500,4.78,4.78,4.7486,4.77,13108,0
SB.US,5,20210922,165000,4.765,4.77,4.74,4.75,10922,0
SB.US,5,20210922,165500,4.75,4.76,4.735,4.7418,18889,0
SB.US,5,20210922,170000,4.75,4.76,4.745,4.76,26615,0
SB.US,5,20210922,170500,4.77,4.805,4.7699,4.7799,24675,0
SB.US,5,20210922,171000,4.775,4.79,4.775,4.7869,4105,0
SB.US,5,20210922,171500,4.79,4.805,4.78,4.793,30450,0
SB.US,5,20210922,172000,4.795,4.8,4.79,4.8,7078,0
SB.US,5,20210922,172500,4.79,4.815,4.78,4.78,36966,0
SB.US,5,20210922,173000,4.785,4.8,4.78,4.78,14716,0
SB.US,5,20210922,173500,4.7899,4.7899,4.7801,4.785,11023,0
SB.US,5,20210922,174000,4.78,4.78,4.76,4.762,10877,0
SB.US,5,20210922,174500,4.7673,4.77,4.75,4.75,11840,0
SB.US,5,20210922,175000,4.7584,4.78,4.7584,4.77,11691,0
SB.US,5,20210922,175500,4.765,4.7799,4.765,4.7799,8516,0
SB.US,5,20210922,180000,4.775,4.775,4.76,4.7609,3306,0
SB.US,5,20210922,180500,4.765,4.765,4.74,4.74,13606,0
SB.US,5,20210922,181000,4.74,4.75,4.74,4.75,3814,0
SB.US,5,20210922,181500,4.74,4.74,4.7201,4.7201,6338,0
SB.US,5,20210922,182000,4.72,4.74,4.72,4.731,3901,0
SB.US,5,20210922,182500,4.7346,4.75,4.73,4.7483,12727,0
SB.US,5,20210922,183000,4.745,4.75,4.735,4.735,5555,0
SB.US,5,20210922,183500,4.735,4.75,4.73,4.75,2900,0
SB.US,5,20210922,184000,4.7473,4.7473,4.74,4.74,1600,0
