<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
SNP.US,5,20210922,153000,49.74,49.89,49.74,49.89,1800,0
SNP.US,5,20210922,153500,49.9,50.03,49.9,50.03,2190,0
SNP.US,5,20210922,154000,50.12,50.15,50.12,50.15,752,0
SNP.US,5,20210922,154500,50.13,50.19,50.11,50.11,1000,0
SNP.US,5,20210922,155000,50.19,50.19,50.19,50.19,100,0
SNP.US,5,20210922,160000,50.25,50.3301,50.25,50.325,5892,0
SNP.US,5,20210922,160500,50.3,50.3,50.3,50.3,997,0
SNP.US,5,20210922,161000,50.2384,50.34,50.2384,50.34,2859,0
SNP.US,5,20210922,161500,50.335,50.335,50.335,50.335,160,0
SNP.US,5,20210922,162000,50.335,50.335,50.2817,50.2817,1100,0
SNP.US,5,20210922,162500,50.285,50.32,50.285,50.295,4411,0
SNP.US,5,20210922,163000,50.28,50.28,50.18,50.22,3005,0
SNP.US,5,20210922,164000,50.15,50.22,50.1152,50.1152,1468,0
SNP.US,5,20210922,164500,50.18,50.18,50.18,50.18,100,0
SNP.US,5,20210922,165000,50.18,50.18,50.17,50.17,1000,0
SNP.US,5,20210922,170000,50.17,50.17,50.14,50.14,1644,0
SNP.US,5,20210922,170500,50.14,50.14,50.08,50.09,920,0
SNP.US,5,20210922,171500,50.0451,50.0451,50.0451,50.0451,200,0
SNP.US,5,20210922,172500,50.08,50.08,50.06,50.06,280,0
SNP.US,5,20210922,173500,50.13,50.13,50.13,50.13,1575,0
SNP.US,5,20210922,174000,50.14,50.14,50.05,50.085,2757,0
SNP.US,5,20210922,174500,50.11,50.11,50.11,50.11,368,0
SNP.US,5,20210922,175000,50.11,50.1494,50.09,50.095,1419,0
SNP.US,5,20210922,180500,50.064,50.075,50.064,50.075,229,0
SNP.US,5,20210922,181500,50.05,50.05,50.05,50.05,100,0
SNP.US,5,20210922,182500,50.08,50.08,50.08,50.08,606,0
SNP.US,5,20210922,183000,50.08,50.08,50.0603,50.0603,600,0
SNP.US,5,20210922,183500,50.09,50.1,50.09,50.09,300,0
SNP.US,5,20210922,184000,50.1,50.1418,50.09,50.13,2215,0
SNP.US,5,20210922,184500,50.1375,50.1375,50.11,50.11,675,0
SNP.US,5,20210922,185000,50.15,50.15,50.11,50.11,1585,0
SNP.US,5,20210922,190000,50.1,50.1,50.1,50.1,200,0
SNP.US,5,20210922,192500,50.14,50.14,50.14,50.14,100,0
SNP.US,5,20210922,193000,50.1,50.12,50.1,50.11,1030,0
SNP.US,5,20210922,193500,50.1,50.105,50.09,50.1,1700,0
SNP.US,5,20210922,194000,50.1,50.1,50.075,50.075,200,0
SNP.US,5,20210922,194500,50.06,50.06,50.05,50.05,427,0
SNP.US,5,20210922,195000,50.05,50.05,50.04,50.04,1226,0
SNP.US,5,20210922,195500,50.055,50.055,50.055,50.055,100,0
SNP.US,5,20210922,200000,50.05,50.13,50.05,50.13,975,0
SNP.US,5,20210922,201000,50.13,50.18,50.13,50.13,650,0
SNP.US,5,20210922,201500,50.15,50.15,50.15,50.15,915,0
SNP.US,5,20210922,202000,50.179,50.179,50.12,50.12,344,0
SNP.US,5,20210922,202500,50.15,50.21,50.15,50.21,214,0
SNP.US,5,20210922,203000,50.1979,50.1979,50.192,50.192,223,0
SNP.US,5,20210922,203500,50.17,50.17,50.15,50.15,573,0
SNP.US,5,20210922,204000,50.02,50.0495,49.89,49.9,7038,0
SNP.US,5,20210922,204500,49.85,49.87,49.79,49.8,2000,0
