<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
STAR.US,5,20210922,153000,25.85,25.85,25.7,25.84,8689,0
STAR.US,5,20210922,153500,25.89,25.89,25.86,25.89,531,0
STAR.US,5,20210922,154000,25.93,25.98,25.93,25.98,200,0
STAR.US,5,20210922,154500,25.935,25.95,25.81,25.91,16485,0
STAR.US,5,20210922,155000,25.89,25.92,25.861,25.861,1980,0
STAR.US,5,20210922,155500,25.91,25.99,25.91,25.99,800,0
STAR.US,5,20210922,160000,26.01,26.05,25.98,26.05,2289,0
STAR.US,5,20210922,160500,26.05,26.09,25.96,26.02,54379,0
STAR.US,5,20210922,161000,26.01,26.05,25.73,25.77,26984,0
STAR.US,5,20210922,161500,25.74,25.89,25.74,25.87,1621,0
STAR.US,5,20210922,162000,25.86,25.86,25.8,25.8,2411,0
STAR.US,5,20210922,162500,25.805,25.87,25.805,25.8363,858,0
STAR.US,5,20210922,163000,25.85,25.875,25.83,25.845,4134,0
STAR.US,5,20210922,163500,25.84,25.87,25.73,25.775,9635,0
STAR.US,5,20210922,164000,25.775,25.775,25.69,25.7,4514,0
STAR.US,5,20210922,164500,25.66,25.7,25.66,25.69,1155,0
STAR.US,5,20210922,165000,25.69,25.7,25.6801,25.7,1577,0
STAR.US,5,20210922,165500,25.7,25.72,25.67,25.7,14220,0
STAR.US,5,20210922,170000,25.72,25.75,25.72,25.735,7517,0
STAR.US,5,20210922,170500,25.735,25.745,25.715,25.715,3001,0
STAR.US,5,20210922,171000,25.72,25.75,25.72,25.75,2104,0
STAR.US,5,20210922,171500,25.76,25.765,25.725,25.765,5096,0
STAR.US,5,20210922,172000,25.76,25.768,25.76,25.76,924,0
STAR.US,5,20210922,172500,25.765,25.765,25.725,25.74,3815,0
STAR.US,5,20210922,173000,25.73,25.74,25.673,25.695,4304,0
STAR.US,5,20210922,173500,25.69,25.69,25.67,25.675,1876,0
STAR.US,5,20210922,174000,25.68,25.68,25.65,25.67,1734,0
STAR.US,5,20210922,174500,25.67,25.67,25.625,25.625,1193,0
STAR.US,5,20210922,175000,25.64,25.66,25.6,25.61,1689,0
STAR.US,5,20210922,175500,25.64,25.64,25.5975,25.5975,790,0
STAR.US,5,20210922,180000,25.59,25.61,25.58,25.61,700,0
STAR.US,5,20210922,180500,25.6,25.61,25.57,25.58,3406,0
STAR.US,5,20210922,181000,25.58,25.6,25.56,25.56,1305,0
STAR.US,5,20210922,181500,25.56,25.59,25.56,25.575,1942,0
STAR.US,5,20210922,182000,25.57,25.58,25.56,25.57,1569,0
STAR.US,5,20210922,182500,25.57,25.6,25.57,25.58,2913,0
STAR.US,5,20210922,183000,25.56,25.57,25.55,25.555,1452,0
STAR.US,5,20210922,183500,25.56,25.58,25.56,25.58,1763,0
STAR.US,5,20210922,184000,25.57,25.57,25.515,25.515,1832,0
STAR.US,5,20210922,184500,25.515,25.55,25.515,25.55,893,0
STAR.US,5,20210922,185000,25.54,25.54,25.535,25.535,813,0
STAR.US,5,20210922,185500,25.53,25.56,25.53,25.56,1000,0
STAR.US,5,20210922,190000,25.555,25.555,25.515,25.53,3753,0
STAR.US,5,20210922,190500,25.55,25.56,25.55,25.56,400,0
STAR.US,5,20210922,191000,25.55,25.58,25.55,25.58,800,0
STAR.US,5,20210922,191500,25.595,25.63,25.595,25.6,400,0
STAR.US,5,20210922,192000,25.61,25.629,25.565,25.565,3464,0
STAR.US,5,20210922,192500,25.57,25.6077,25.57,25.5935,4573,0
STAR.US,5,20210922,193000,25.6,25.66,25.595,25.64,1501,0
STAR.US,5,20210922,193500,25.65,25.6596,25.64,25.6596,1206,0
STAR.US,5,20210922,194000,25.65,25.7,25.64,25.65,7748,0
STAR.US,5,20210922,194500,25.63,25.67,25.61,25.67,2392,0
STAR.US,5,20210922,195000,25.655,25.655,25.6,25.6,2600,0
STAR.US,5,20210922,195500,25.6,25.61,25.59,25.61,790,0
STAR.US,5,20210922,200000,25.61,25.705,25.59,25.705,4339,0
STAR.US,5,20210922,200500,25.69,25.69,25.645,25.66,2006,0
STAR.US,5,20210922,201000,25.68,25.72,25.66,25.7,9119,0
STAR.US,5,20210922,201500,25.7,25.77,25.69,25.69,3159,0
STAR.US,5,20210922,202000,25.7,25.705,25.65,25.68,2299,0
STAR.US,5,20210922,202500,25.7,25.7,25.69,25.7,3300,0
STAR.US,5,20210922,203000,25.69,25.71,25.68,25.69,1634,0
STAR.US,5,20210922,203500,25.7,25.73,25.64,25.64,3844,0
STAR.US,5,20210922,204000,25.63,25.63,25.59,25.591,3192,0
STAR.US,5,20210922,204500,25.59,25.59,25.56,25.56,2857,0
STAR.US,5,20210922,205000,25.56,25.65,25.53,25.6,4505,0
STAR.US,5,20210922,205500,25.61,25.62,25.56,25.62,4170,0
STAR.US,5,20210922,210000,25.6,25.6,25.52,25.57,5242,0
STAR.US,5,20210922,210500,25.58,25.58,25.53,25.54,34939,0
STAR.US,5,20210922,211000,25.55,25.61,25.49,25.52,37437,0
STAR.US,5,20210922,211500,25.52,25.52,25.33,25.33,94526,0
STAR.US,5,20210922,212000,25.36,25.37,25.3,25.3,8117,0
STAR.US,5,20210922,212500,25.31,25.33,25.28,25.28,6448,0
STAR.US,5,20210922,213000,25.28,25.29,25.1,25.155,28472,0
STAR.US,5,20210922,213500,25.17,25.25,25.165,25.195,8466,0
STAR.US,5,20210922,214000,25.195,25.21,25.15,25.18,10495,0
STAR.US,5,20210922,214500,25.175,25.2,25.1,25.11,8516,0
STAR.US,5,20210922,215000,25.1,25.14,25.02,25.1,39053,0
STAR.US,5,20210922,215500,25.11,25.11,25.05,25.09,110125,0
STAR.US,5,20210923,153000,25.24,25.27,25.14,25.23,5077,0
STAR.US,5,20210923,153500,25.33,25.46,25.29,25.46,800,0
STAR.US,5,20210923,154000,25.4731,25.4731,25.39,25.46,2613,0
STAR.US,5,20210923,154500,25.475,25.6,25.475,25.53,2893,0
STAR.US,5,20210923,155000,25.49,25.52,25.43,25.52,1342,0
STAR.US,5,20210923,155500,25.525,25.55,25.525,25.55,406,0
STAR.US,5,20210923,160000,25.55,25.55,25.43,25.45,4357,0
STAR.US,5,20210923,160500,25.47,25.47,25.31,25.31,7687,0
STAR.US,5,20210923,161000,25.3092,25.44,25.3092,25.44,6344,0
STAR.US,5,20210923,161500,25.46,25.46,25.37,25.405,11558,0
STAR.US,5,20210923,162000,25.415,25.44,25.25,25.33,59820,0
