<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
STL_A.US,5,20210922,153000,26.24,26.24,26.24,26.24,515,0
STL_A.US,5,20210922,154000,26.27,26.27,26.27,26.27,781,0
STL_A.US,5,20210922,161500,26.2,26.27,26.2,26.27,399,0
STL_A.US,5,20210922,162000,26.27,26.36,26.2699,26.36,1425,0
STL_A.US,5,20210922,162500,26.32,26.32,26.32,26.32,154,0
STL_A.US,5,20210922,163000,26.32,26.35,26.32,26.35,500,0
STL_A.US,5,20210922,164000,26.32,26.32,26.32,26.32,115,0
STL_A.US,5,20210922,183000,26.34,26.35,26.34,26.35,500,0
STL_A.US,5,20210922,192500,26.3468,26.3468,26.3468,26.3468,126,0
STL_A.US,5,20210922,193000,26.26,26.26,26.26,26.26,182,0
STL_A.US,5,20210922,201000,26.29,26.29,26.29,26.29,100,0
STL_A.US,5,20210922,205500,26.26,26.39,26.26,26.39,1100,0
STL_A.US,5,20210922,210500,26.325,26.325,26.325,26.325,200,0
STL_A.US,5,20210922,211000,26.28,26.28,26.28,26.28,100,0
STL_A.US,5,20210922,212500,26.27,26.27,26.27,26.27,100,0
STL_A.US,5,20210922,215000,26.32,26.32,26.32,26.32,172,0
STL_A.US,5,20210922,215500,26.3,26.3,26.29,26.29,502,0
STL_A.US,5,20210923,153000,25.91,25.91,25.91,25.91,3337,0
STL_A.US,5,20210923,155500,25.96,25.96,25.96,25.96,100,0
STL_A.US,5,20210923,160500,25.99,26.04,25.99,26.04,963,0
STL_A.US,5,20210923,161000,26.04,26.0599,26.04,26.0599,1376,0
STL_A.US,5,20210923,162000,26.05,26.06,26.05,26.06,1000,0
STL_A.US,5,20210923,171500,25.9256,25.9256,25.9256,25.9256,200,0
STL_A.US,5,20210923,172500,25.87,25.87,25.87,25.87,472,0
STL_A.US,5,20210923,173000,25.87,25.87,25.87,25.87,1200,0
STL_A.US,5,20210923,174000,25.91,25.91,25.91,25.91,100,0
STL_A.US,5,20210923,175000,25.9767,25.9767,25.9767,25.9767,200,0
STL_A.US,5,20210923,181500,25.92,25.92,25.92,25.92,158,0
STL_A.US,5,20210923,184000,25.86,25.86,25.86,25.86,100,0
STL_A.US,5,20210923,191500,25.86,25.86,25.86,25.86,100,0
STL_A.US,5,20210923,193500,25.9001,25.9001,25.9001,25.9001,206,0
STL_A.US,5,20210923,195000,25.905,25.905,25.905,25.905,265,0
STL_A.US,5,20210923,195500,25.86,25.86,25.86,25.86,199,0
STL_A.US,5,20210923,213500,25.905,25.93,25.905,25.93,390,0
STL_A.US,5,20210923,214500,25.9841,25.9841,25.9841,25.9841,100,0
STL_A.US,5,20210923,215500,25.94,25.94,25.94,25.94,109,0
STL_A.US,5,20210924,153000,25.99,25.99,25.99,25.99,100,0
STL_A.US,5,20210924,154500,25.89,25.89,25.89,25.89,199,0
STL_A.US,5,20210924,160500,25.87,25.87,25.87,25.87,200,0
STL_A.US,5,20210924,165000,25.85,25.85,25.85,25.85,100,0
STL_A.US,5,20210924,171500,25.91,25.91,25.91,25.91,100,0
STL_A.US,5,20210924,173500,25.858,25.858,25.858,25.858,190,0
STL_A.US,5,20210924,175500,25.85,25.85,25.85,25.85,100,0
STL_A.US,5,20210924,180500,25.84,25.84,25.84,25.84,100,0
STL_A.US,5,20210924,191500,25.88,25.88,25.88,25.88,100,0
STL_A.US,5,20210924,194000,26.0186,26.0186,26.0186,26.0186,121,0
STL_A.US,5,20210924,194500,25.89,25.89,25.88,25.88,301,0
STL_A.US,5,20210924,200000,25.8786,25.8786,25.8786,25.8786,100,0
STL_A.US,5,20210924,200500,25.88,25.88,25.88,25.88,200,0
STL_A.US,5,20210924,201000,26.06,26.06,26.06,26.06,100,0
STL_A.US,5,20210924,201500,26.06,26.06,26.046,26.05,1100,0
STL_A.US,5,20210924,202500,25.87,25.87,25.87,25.87,100,0
STL_A.US,5,20210924,205000,25.87,25.87,25.87,25.87,100,0
STL_A.US,5,20210924,212500,25.96,25.96,25.86,25.86,296,0
STL_A.US,5,20210924,214000,25.88,25.88,25.88,25.88,100,0
STL_A.US,5,20210924,215500,25.91,25.96,25.87,25.96,613,0
STL_A.US,5,20210927,155500,25.88,25.89,25.85,25.85,3503,0
STL_A.US,5,20210927,160000,25.85,25.85,25.85,25.85,1000,0
STL_A.US,5,20210927,160500,25.85,25.85,25.85,25.85,400,0
STL_A.US,5,20210927,161000,25.85,25.85,25.85,25.85,4198,0
STL_A.US,5,20210927,162500,25.9,25.9,25.9,25.9,100,0
STL_A.US,5,20210927,165000,25.87,25.87,25.87,25.87,199,0
STL_A.US,5,20210927,170500,25.89,25.89,25.89,25.89,100,0
STL_A.US,5,20210927,171000,25.86,25.86,25.85,25.85,430,0
STL_A.US,5,20210927,172500,25.85,25.85,25.84,25.84,200,0
STL_A.US,5,20210927,173000,25.84,25.84,25.84,25.84,112,0
STL_A.US,5,20210927,173500,25.87,25.87,25.87,25.87,100,0
STL_A.US,5,20210927,175000,25.86,25.88,25.86,25.88,200,0
STL_A.US,5,20210927,181000,25.89,25.89,25.89,25.89,100,0
STL_A.US,5,20210927,183000,25.84,25.84,25.84,25.84,100,0
STL_A.US,5,20210927,183500,25.84,25.84,25.82,25.82,675,0
STL_A.US,5,20210927,185000,25.82,25.82,25.79,25.79,1423,0
STL_A.US,5,20210927,185500,25.79,25.79,25.79,25.79,400,0
STL_A.US,5,20210927,190000,25.83,25.83,25.8,25.8,400,0
STL_A.US,5,20210927,191500,25.83,25.83,25.83,25.83,400,0
STL_A.US,5,20210927,192000,25.83,25.84,25.83,25.84,900,0
STL_A.US,5,20210927,193500,25.821,25.821,25.818,25.818,200,0
STL_A.US,5,20210927,194000,25.82,25.83,25.82,25.83,200,0
STL_A.US,5,20210927,194500,25.84,25.87,25.84,25.87,339,0
STL_A.US,5,20210927,195000,25.8787,25.89,25.85,25.89,2250,0
STL_A.US,5,20210927,195500,25.85,25.85,25.85,25.85,163,0
STL_A.US,5,20210927,200500,25.889,25.889,25.889,25.889,295,0
STL_A.US,5,20210927,201000,25.83,25.83,25.82,25.82,466,0
STL_A.US,5,20210927,204500,25.845,25.845,25.845,25.845,500,0
STL_A.US,5,20210927,205000,25.87,25.87,25.82,25.82,918,0
STL_A.US,5,20210927,205500,25.869,25.89,25.841,25.8875,2600,0
STL_A.US,5,20210927,210000,25.89,25.94,25.89,25.94,1146,0
STL_A.US,5,20210927,210500,25.95,25.95,25.93,25.9433,3866,0
STL_A.US,5,20210927,211000,25.96,25.96,25.95,25.95,599,0
STL_A.US,5,20210927,213000,25.89,25.925,25.88,25.925,2166,0
