<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
SUZ.US,5,20210922,153000,10.015,10.11,10.015,10.05,53760,0
SUZ.US,5,20210922,153500,10.05,10.07,10.035,10.07,19572,0
SUZ.US,5,20210922,154000,10.07,10.1,10.07,10.075,43337,0
SUZ.US,5,20210922,154500,10.08,10.12,10.07,10.11,13921,0
SUZ.US,5,20210922,155000,10.11,10.18,10.1,10.17,29677,0
SUZ.US,5,20210922,155500,10.17,10.18,10.15,10.16,16401,0
SUZ.US,5,20210922,160000,10.18,10.22,10.165,10.22,31688,0
SUZ.US,5,20210922,160500,10.21,10.24,10.205,10.24,49188,0
SUZ.US,5,20210922,161000,10.23,10.24,10.2,10.22,11559,0
SUZ.US,5,20210922,161500,10.23,10.24,10.22,10.24,27510,0
SUZ.US,5,20210922,162000,10.25,10.26,10.225,10.225,52567,0
SUZ.US,5,20210922,162500,10.23,10.23,10.19,10.19,6436,0
SUZ.US,5,20210922,163000,10.18,10.2,10.16,10.18,9196,0
SUZ.US,5,20210922,163500,10.18,10.19,10.16,10.19,28125,0
SUZ.US,5,20210922,164000,10.2,10.24,10.2,10.21,33193,0
SUZ.US,5,20210922,164500,10.21,10.22,10.18,10.2,33914,0
SUZ.US,5,20210922,165000,10.19,10.19,10.145,10.15,26051,0
SUZ.US,5,20210922,165500,10.155,10.19,10.15,10.18,19181,0
SUZ.US,5,20210922,170000,10.17,10.17,10.16,10.17,4127,0
SUZ.US,5,20210922,170500,10.16,10.175,10.15,10.16,38790,0
SUZ.US,5,20210922,171000,10.165,10.17,10.15,10.15,26051,0
SUZ.US,5,20210922,171500,10.155,10.185,10.15,10.18,14994,0
SUZ.US,5,20210922,172000,10.19,10.22,10.19,10.215,7885,0
SUZ.US,5,20210922,172500,10.22,10.27,10.22,10.27,31565,0
SUZ.US,5,20210922,173000,10.265,10.275,10.245,10.27,43704,0
SUZ.US,5,20210922,173500,10.28,10.28,10.25,10.27,26580,0
SUZ.US,5,20210922,174000,10.2675,10.32,10.2675,10.31,55410,0
SUZ.US,5,20210922,174500,10.32,10.33,10.305,10.31,35535,0
SUZ.US,5,20210922,175000,10.3,10.305,10.22,10.23,54649,0
SUZ.US,5,20210922,175500,10.22,10.26,10.21,10.26,33254,0
SUZ.US,5,20210922,180000,10.26,10.32,10.25,10.315,27624,0
SUZ.US,5,20210922,180500,10.31,10.32,10.28,10.285,32662,0
SUZ.US,5,20210922,181000,10.285,10.29,10.24,10.25,28398,0
SUZ.US,5,20210922,181500,10.25,10.265,10.25,10.25,915,0
SUZ.US,5,20210922,182000,10.25,10.28,10.25,10.28,5100,0
SUZ.US,5,20210922,182500,10.27,10.29,10.27,10.29,5201,0
SUZ.US,5,20210922,183000,10.28,10.29,10.255,10.27,4107,0
SUZ.US,5,20210922,183500,10.27,10.29,10.265,10.28,11218,0
SUZ.US,5,20210922,184000,10.28,10.3,10.275,10.3,5710,0
SUZ.US,5,20210922,184500,10.295,10.31,10.295,10.31,21273,0
SUZ.US,5,20210922,185000,10.3,10.32,10.3,10.3,8309,0
SUZ.US,5,20210922,185500,10.295,10.295,10.29,10.29,4291,0
SUZ.US,5,20210922,190000,10.28,10.28,10.25,10.25,8001,0
SUZ.US,5,20210922,190500,10.25,10.27,10.25,10.27,6579,0
SUZ.US,5,20210922,191000,10.28,10.28,10.265,10.28,8244,0
SUZ.US,5,20210922,191500,10.28,10.29,10.2701,10.28,4107,0
SUZ.US,5,20210922,192000,10.27,10.27,10.26,10.27,6635,0
SUZ.US,5,20210922,192500,10.27,10.28,10.27,10.28,2411,0
SUZ.US,5,20210922,193000,10.28,10.28,10.27,10.27,4806,0
SUZ.US,5,20210922,193500,10.27,10.27,10.26,10.26,3098,0
SUZ.US,5,20210922,194000,10.265,10.27,10.26,10.26,4489,0
SUZ.US,5,20210922,194500,10.26,10.3,10.26,10.3,9306,0
SUZ.US,5,20210922,195000,10.3,10.34,10.3,10.34,19365,0
SUZ.US,5,20210922,195500,10.35,10.35,10.33,10.34,9490,0
SUZ.US,5,20210922,200000,10.34,10.39,10.32,10.38,8205,0
SUZ.US,5,20210922,200500,10.365,10.37,10.36,10.37,5420,0
SUZ.US,5,20210922,201000,10.36,10.39,10.355,10.38,3871,0
SUZ.US,5,20210922,201500,10.38,10.41,10.38,10.39,13529,0
SUZ.US,5,20210922,202000,10.39,10.39,10.35,10.36,9215,0
SUZ.US,5,20210922,202500,10.355,10.43,10.355,10.39,66972,0
SUZ.US,5,20210922,203000,10.39,10.4,10.36,10.39,5226,0
SUZ.US,5,20210922,203500,10.38,10.39,10.34,10.34,5250,0
SUZ.US,5,20210922,204000,10.31,10.35,10.28,10.34,10445,0
SUZ.US,5,20210922,204500,10.33,10.33,10.28,10.28,6910,0
SUZ.US,5,20210922,205000,10.26,10.26,10.21,10.22,56266,0
SUZ.US,5,20210922,205500,10.22,10.24,10.22,10.24,7880,0
SUZ.US,5,20210922,210000,10.22,10.225,10.21,10.21,5011,0
SUZ.US,5,20210922,210500,10.215,10.23,10.21,10.23,7894,0
SUZ.US,5,20210922,211000,10.22,10.26,10.22,10.24,15838,0
SUZ.US,5,20210922,211500,10.24,10.26,10.239,10.26,12940,0
SUZ.US,5,20210922,212000,10.26,10.28,10.25,10.26,24799,0
SUZ.US,5,20210922,212500,10.25,10.26,10.24,10.24,8829,0
SUZ.US,5,20210922,213000,10.24,10.25,10.21,10.22,12280,0
SUZ.US,5,20210922,213500,10.22,10.23,10.2,10.22,20340,0
SUZ.US,5,20210922,214000,10.21,10.21,10.19,10.19,7825,0
SUZ.US,5,20210922,214500,10.19,10.22,10.19,10.22,23222,0
SUZ.US,5,20210922,215000,10.22,10.225,10.195,10.215,57261,0
SUZ.US,5,20210922,215500,10.215,10.22,10.2,10.21,31601,0
SUZ.US,5,20210923,153000,10.28,10.31,10.24,10.3,14521,0
SUZ.US,5,20210923,153500,10.31,10.32,10.275,10.3,34049,0
SUZ.US,5,20210923,154000,10.29,10.32,10.28,10.31,13069,0
SUZ.US,5,20210923,154500,10.31,10.35,10.29,10.35,15185,0
SUZ.US,5,20210923,155000,10.35,10.42,10.35,10.41,22767,0
SUZ.US,5,20210923,155500,10.41,10.41,10.38,10.39,5097,0
SUZ.US,5,20210923,160000,10.39,10.405,10.39,10.405,4371,0
SUZ.US,5,20210923,160500,10.41,10.42,10.405,10.41,3311,0
SUZ.US,5,20210923,161000,10.41,10.415,10.365,10.365,16163,0
SUZ.US,5,20210923,161500,10.36,10.36,10.3,10.3,2920,0
SUZ.US,5,20210923,162000,10.3,10.33,10.3,10.33,5344,0
SUZ.US,5,20210923,162500,10.34,10.34,10.3,10.31,6788,0
SUZ.US,5,20210923,163000,10.3,10.3,10.26,10.28,1581,0
SUZ.US,5,20210923,163500,10.295,10.305,10.27,10.285,6400,0
SUZ.US,5,20210923,164000,10.31,10.33,10.31,10.33,6500,0
SUZ.US,5,20210923,164500,10.34,10.36,10.34,10.355,3953,0
SUZ.US,5,20210923,165000,10.355,10.37,10.355,10.37,1811,0
SUZ.US,5,20210923,165500,10.38,10.38,10.36,10.36,3087,0
SUZ.US,5,20210923,170000,10.37,10.4,10.37,10.4,6600,0
SUZ.US,5,20210923,170500,10.4,10.41,10.39,10.39,9360,0
SUZ.US,5,20210923,171000,10.41,10.41,10.41,10.41,1190,0
SUZ.US,5,20210923,171500,10.41,10.41,10.38,10.38,544,0
SUZ.US,5,20210923,172000,10.37,10.375,10.35,10.36,7972,0
SUZ.US,5,20210923,172500,10.36,10.38,10.36,10.38,1400,0
SUZ.US,5,20210923,173000,10.39,10.39,10.39,10.39,1173,0
SUZ.US,5,20210923,173500,10.38,10.39,10.38,10.39,4480,0
SUZ.US,5,20210923,174000,10.39,10.39,10.38,10.38,4964,0
SUZ.US,5,20210923,174500,10.38,10.39,10.38,10.39,6500,0
SUZ.US,5,20210923,175000,10.39,10.41,10.39,10.41,2943,0
SUZ.US,5,20210923,175500,10.41,10.415,10.41,10.41,3306,0
SUZ.US,5,20210923,180000,10.405,10.44,10.4,10.43,47189,0
SUZ.US,5,20210923,180500,10.43,10.44,10.43,10.44,6495,0
SUZ.US,5,20210923,181000,10.435,10.45,10.435,10.435,2128,0
SUZ.US,5,20210923,181500,10.43,10.43,10.42,10.42,599,0
SUZ.US,5,20210923,182000,10.42,10.42,10.415,10.415,200,0
SUZ.US,5,20210923,182500,10.41,10.41,10.39,10.41,13417,0
SUZ.US,5,20210923,183000,10.38,10.38,10.34,10.34,3323,0
SUZ.US,5,20210923,183500,10.35,10.38,10.35,10.38,4770,0
SUZ.US,5,20210923,184000,10.38,10.4,10.38,10.395,4074,0
SUZ.US,5,20210923,184500,10.4,10.42,10.4,10.42,4014,0
SUZ.US,5,20210923,185000,10.42,10.43,10.4,10.4,1715,0
SUZ.US,5,20210923,185500,10.385,10.39,10.385,10.39,789,0
SUZ.US,5,20210923,190000,10.4,10.41,10.39,10.405,4500,0
SUZ.US,5,20210923,190500,10.4,10.42,10.4,10.42,2662,0
SUZ.US,5,20210923,191000,10.42,10.44,10.42,10.435,6719,0
SUZ.US,5,20210923,191500,10.425,10.43,10.42,10.43,944,0
SUZ.US,5,20210923,192000,10.43,10.45,10.425,10.445,21541,0
SUZ.US,5,20210923,192500,10.45,10.46,10.445,10.445,5017,0
SUZ.US,5,20210923,193000,10.445,10.445,10.425,10.43,2249,0
SUZ.US,5,20210923,193500,10.44,10.44,10.42,10.435,34604,0
SUZ.US,5,20210923,194000,10.44,10.45,10.43,10.45,11978,0
SUZ.US,5,20210923,194500,10.46,10.49,10.46,10.49,17464,0
SUZ.US,5,20210923,195000,10.5,10.5001,10.49,10.5001,7300,0
SUZ.US,5,20210923,195500,10.505,10.53,10.505,10.53,10094,0
SUZ.US,5,20210923,200000,10.52,10.57,10.515,10.56,14860,0
SUZ.US,5,20210923,200500,10.56,10.57,10.55,10.57,13097,0
SUZ.US,5,20210923,201000,10.57,10.57,10.51,10.51,5861,0
SUZ.US,5,20210923,201500,10.51,10.51,10.505,10.51,1602,0
SUZ.US,5,20210923,202000,10.51,10.52,10.49,10.51,5129,0
SUZ.US,5,20210923,202500,10.51,10.515,10.51,10.51,966,0
SUZ.US,5,20210923,203000,10.51,10.51,10.5,10.5,2218,0
SUZ.US,5,20210923,203500,10.5,10.5,10.49,10.49,4677,0
SUZ.US,5,20210923,204000,10.49,10.49,10.47,10.475,3478,0
SUZ.US,5,20210923,204500,10.47,10.485,10.47,10.485,4532,0
SUZ.US,5,20210923,205000,10.49,10.535,10.49,10.53,26153,0
SUZ.US,5,20210923,205500,10.53,10.57,10.53,10.555,16795,0
SUZ.US,5,20210923,210000,10.56,10.56,10.54,10.56,12925,0
SUZ.US,5,20210923,210500,10.56,10.56,10.55,10.56,5369,0
SUZ.US,5,20210923,211000,10.56,10.57,10.545,10.55,16930,0
SUZ.US,5,20210923,211500,10.55,10.57,10.55,10.565,19222,0
SUZ.US,5,20210923,212000,10.565,10.57,10.55,10.57,6405,0
SUZ.US,5,20210923,212500,10.57,10.595,10.56,10.56,30872,0
SUZ.US,5,20210923,213000,10.56,10.56,10.52,10.52,27868,0
SUZ.US,5,20210923,213500,10.515,10.545,10.515,10.54,10504,0
SUZ.US,5,20210923,214000,10.54,10.56,10.54,10.555,31508,0
SUZ.US,5,20210923,214500,10.55,10.55,10.53,10.53,21696,0
SUZ.US,5,20210923,215000,10.53,10.545,10.52,10.52,30268,0
SUZ.US,5,20210923,215500,10.52,10.53,10.5,10.52,57116,0
SUZ.US,5,20210924,153000,10.38,10.455,10.38,10.45,24846,0
