<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
UWMC.US,5,20210922,153000,6.85,6.8877,6.822,6.8848,25789,0
UWMC.US,5,20210922,153500,6.89,6.89,6.85,6.87,11738,0
UWMC.US,5,20210922,154000,6.87,6.8774,6.8501,6.86,13404,0
UWMC.US,5,20210922,154500,6.855,6.8778,6.8525,6.875,14593,0
UWMC.US,5,20210922,155000,6.875,6.8989,6.8608,6.8608,29346,0
UWMC.US,5,20210922,155500,6.86,6.87,6.86,6.865,21634,0
UWMC.US,5,20210922,160000,6.865,6.865,6.8317,6.845,21678,0
UWMC.US,5,20210922,160500,6.845,6.849,6.83,6.8321,10675,0
UWMC.US,5,20210922,161000,6.835,6.87,6.8327,6.855,27963,0
UWMC.US,5,20210922,161500,6.86,6.87,6.86,6.865,4121,0
UWMC.US,5,20210922,162000,6.87,6.89,6.86,6.875,19559,0
UWMC.US,5,20210922,162500,6.875,6.88,6.87,6.88,10004,0
UWMC.US,5,20210922,163000,6.875,6.88,6.87,6.87,9589,0
UWMC.US,5,20210922,163500,6.8716,6.88,6.87,6.875,8016,0
UWMC.US,5,20210922,164000,6.8712,6.9,6.8712,6.895,13297,0
UWMC.US,5,20210922,164500,6.895,6.895,6.875,6.88,3522,0
UWMC.US,5,20210922,165000,6.885,6.89,6.88,6.885,9220,0
UWMC.US,5,20210922,165500,6.885,6.89,6.88,6.8801,7703,0
UWMC.US,5,20210922,170000,6.88,6.885,6.87,6.8701,5700,0
UWMC.US,5,20210922,170500,6.87,6.9,6.87,6.8925,12486,0
UWMC.US,5,20210922,171000,6.895,6.905,6.892,6.9009,10182,0
UWMC.US,5,20210922,171500,6.9022,6.905,6.9,6.905,2696,0
UWMC.US,5,20210922,172000,6.9001,6.9099,6.89,6.895,14320,0
UWMC.US,5,20210922,172500,6.895,6.9093,6.895,6.905,3554,0
UWMC.US,5,20210922,173000,6.91,6.92,6.91,6.91,9853,0
UWMC.US,5,20210922,173500,6.9171,6.9171,6.89,6.895,24665,0
UWMC.US,5,20210922,174000,6.89,6.9,6.89,6.895,7331,0
UWMC.US,5,20210922,174500,6.8919,6.9,6.885,6.885,7394,0
UWMC.US,5,20210922,175000,6.885,6.9,6.88,6.9,12314,0
UWMC.US,5,20210922,175500,6.895,6.9,6.89,6.8901,6965,0
UWMC.US,5,20210922,180000,6.8966,6.8999,6.89,6.89,11638,0
UWMC.US,5,20210922,180500,6.895,6.9089,6.89,6.9018,10996,0
UWMC.US,5,20210922,181000,6.9084,6.9084,6.88,6.885,22390,0
UWMC.US,5,20210922,181500,6.8875,6.89,6.88,6.88,5108,0
UWMC.US,5,20210922,182000,6.885,6.89,6.88,6.885,1345,0
UWMC.US,5,20210922,182500,6.8867,6.8867,6.8722,6.88,18197,0
UWMC.US,5,20210922,183000,6.88,6.885,6.88,6.88,3379,0
UWMC.US,5,20210922,183500,6.88,6.88,6.87,6.87,12657,0
UWMC.US,5,20210922,184000,6.87,6.875,6.86,6.86,15510,0
UWMC.US,5,20210922,184500,6.865,6.88,6.86,6.88,10362,0
UWMC.US,5,20210922,185000,6.8784,6.88,6.875,6.875,4065,0
UWMC.US,5,20210922,185500,6.8799,6.885,6.87,6.885,7657,0
UWMC.US,5,20210922,190000,6.881,6.89,6.8712,6.875,8336,0
UWMC.US,5,20210922,190500,6.8784,6.89,6.87,6.89,14911,0
UWMC.US,5,20210922,191000,6.89,6.89,6.885,6.89,17760,0
UWMC.US,5,20210922,191500,6.89,6.89,6.88,6.886,6306,0
UWMC.US,5,20210922,192000,6.8877,6.89,6.88,6.89,8013,0
UWMC.US,5,20210922,192500,6.89,6.9,6.885,6.9,8656,0
UWMC.US,5,20210922,193000,6.9,6.915,6.8924,6.91,18870,0
UWMC.US,5,20210922,193500,6.915,6.915,6.9001,6.903,11673,0
UWMC.US,5,20210922,194000,6.91,6.92,6.9,6.91,8352,0
UWMC.US,5,20210922,194500,6.915,6.917,6.9,6.91,31639,0
UWMC.US,5,20210922,195000,6.915,6.92,6.91,6.915,14314,0
UWMC.US,5,20210922,195500,6.91,6.915,6.9,6.91,14021,0
UWMC.US,5,20210922,200000,6.91,6.94,6.91,6.9385,15755,0
UWMC.US,5,20210922,200500,6.94,6.94,6.91,6.92,8234,0
UWMC.US,5,20210922,201000,6.93,6.95,6.925,6.95,11889,0
UWMC.US,5,20210922,201500,6.9425,6.96,6.92,6.92,25845,0
UWMC.US,5,20210922,202000,6.9217,6.935,6.92,6.93,6315,0
UWMC.US,5,20210922,202500,6.925,6.945,6.92,6.945,8175,0
UWMC.US,5,20210922,203000,6.945,6.95,6.94,6.945,2600,0
UWMC.US,5,20210922,203500,6.945,6.945,6.925,6.9384,9102,0
UWMC.US,5,20210922,204000,6.93,6.94,6.91,6.92,8814,0
UWMC.US,5,20210922,204500,6.92,6.94,6.9001,6.9001,47044,0
UWMC.US,5,20210922,205000,6.91,6.94,6.9,6.93,24147,0
UWMC.US,5,20210922,205500,6.92,6.925,6.91,6.9117,9949,0
UWMC.US,5,20210922,210000,6.91,6.915,6.885,6.89,14150,0
UWMC.US,5,20210922,210500,6.895,6.91,6.89,6.91,5637,0
UWMC.US,5,20210922,211000,6.91,6.92,6.905,6.92,11384,0
UWMC.US,5,20210922,211500,6.92,6.93,6.91,6.92,20233,0
UWMC.US,5,20210922,212000,6.93,6.94,6.92,6.935,49342,0
UWMC.US,5,20210922,212500,6.935,6.945,6.93,6.9324,18161,0
UWMC.US,5,20210922,213000,6.9301,6.9371,6.93,6.935,19966,0
UWMC.US,5,20210922,213500,6.93,6.94,6.93,6.94,17468,0
UWMC.US,5,20210922,214000,6.94,6.94,6.93,6.935,10456,0
UWMC.US,5,20210922,214500,6.935,6.94,6.93,6.935,55410,0
UWMC.US,5,20210922,215000,6.935,6.9399,6.93,6.9399,26481,0
UWMC.US,5,20210922,215500,6.935,6.935,6.9,6.9,184269,0
UWMC.US,5,20210923,153000,6.96,6.98,6.9,6.9299,58180,0
UWMC.US,5,20210923,153500,6.92,6.9224,6.88,6.922,34784,0
UWMC.US,5,20210923,154000,6.92,6.92,6.9003,6.911,7863,0
UWMC.US,5,20210923,154500,6.91,6.91,6.87,6.87,20346,0
UWMC.US,5,20210923,155000,6.8799,6.89,6.86,6.87,16099,0
UWMC.US,5,20210923,155500,6.88,6.8899,6.855,6.855,28494,0
UWMC.US,5,20210923,160000,6.86,6.88,6.85,6.865,42008,0
UWMC.US,5,20210923,160500,6.87,6.91,6.835,6.91,99628,0
