<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
VOC.US,5,20210922,153000,4.34,4.34,4.34,4.34,207,0
VOC.US,5,20210922,153500,4.36,4.36,4.3301,4.36,3384,0
VOC.US,5,20210922,154000,4.38,4.38,4.38,4.38,200,0
VOC.US,5,20210922,155000,4.46,4.46,4.46,4.46,100,0
VOC.US,5,20210922,155500,4.4699,4.4699,4.4502,4.4502,13325,0
VOC.US,5,20210922,160500,4.44,4.44,4.42,4.43,2200,0
VOC.US,5,20210922,161500,4.43,4.43,4.43,4.43,100,0
VOC.US,5,20210922,162000,4.44,4.44,4.44,4.44,600,0
VOC.US,5,20210922,162500,4.44,4.44,4.43,4.43,1135,0
VOC.US,5,20210922,163500,4.44,4.44,4.44,4.44,200,0
VOC.US,5,20210922,164500,4.43,4.43,4.43,4.43,100,0
VOC.US,5,20210922,165000,4.435,4.44,4.435,4.44,3315,0
VOC.US,5,20210922,165500,4.445,4.46,4.445,4.46,2334,0
VOC.US,5,20210922,171000,4.47,4.47,4.47,4.47,100,0
VOC.US,5,20210922,173500,4.5283,4.5283,4.5283,4.5283,300,0
VOC.US,5,20210922,182500,4.5085,4.5085,4.5085,4.5085,115,0
VOC.US,5,20210922,183500,4.5197,4.549,4.5197,4.549,2216,0
VOC.US,5,20210922,184500,4.56,4.56,4.56,4.56,191,0
VOC.US,5,20210922,185500,4.55,4.55,4.5198,4.5198,3800,0
VOC.US,5,20210922,190000,4.5,4.5003,4.42,4.42,10090,0
VOC.US,5,20210922,191000,4.46,4.46,4.46,4.46,100,0
VOC.US,5,20210922,192000,4.4601,4.4601,4.4601,4.4601,106,0
VOC.US,5,20210922,192500,4.495,4.495,4.495,4.495,500,0
VOC.US,5,20210922,194000,4.51,4.51,4.49,4.505,728,0
VOC.US,5,20210922,194500,4.5,4.5,4.5,4.5,263,0
VOC.US,5,20210922,201000,4.51,4.51,4.5,4.51,329,0
VOC.US,5,20210922,203000,4.51,4.51,4.5,4.51,2800,0
VOC.US,5,20210922,204000,4.5,4.5,4.47,4.4702,1398,0
VOC.US,5,20210922,204500,4.47,4.47,4.46,4.46,200,0
VOC.US,5,20210922,205000,4.4301,4.4301,4.4301,4.4301,1100,0
VOC.US,5,20210922,205500,4.4989,4.4989,4.4989,4.4989,2000,0
VOC.US,5,20210922,210500,4.485,4.485,4.485,4.485,100,0
VOC.US,5,20210922,212500,4.46,4.46,4.46,4.46,800,0
VOC.US,5,20210922,214000,4.465,4.465,4.46,4.46,300,0
VOC.US,5,20210922,215000,4.44,4.44,4.44,4.44,200,0
VOC.US,5,20210922,215500,4.45,4.45,4.437,4.45,825,0
VOC.US,5,20210923,153000,4.49,4.5038,4.47,4.5038,3455,0
VOC.US,5,20210923,153500,4.4999,4.53,4.4999,4.53,11510,0
VOC.US,5,20210923,154000,4.53,4.5358,4.48,4.5358,22968,0
VOC.US,5,20210923,155500,4.47,4.47,4.45,4.45,12100,0
VOC.US,5,20210923,161000,4.45,4.45,4.42,4.42,706,0
VOC.US,5,20210923,161500,4.43,4.43,4.406,4.406,485,0
VOC.US,5,20210923,162000,4.4001,4.4001,4.4001,4.4001,103,0
VOC.US,5,20210923,162500,4.407,4.407,4.407,4.407,200,0
VOC.US,5,20210923,163000,4.401,4.401,4.401,4.401,800,0
VOC.US,5,20210923,163500,4.4065,4.4065,4.4065,4.4065,250,0
VOC.US,5,20210923,164500,4.43,4.45,4.43,4.45,350,0
VOC.US,5,20210923,165500,4.42,4.43,4.42,4.43,400,0
VOC.US,5,20210923,170000,4.42,4.42,4.41,4.41,1129,0
VOC.US,5,20210923,170500,4.41,4.43,4.4,4.41,5753,0
VOC.US,5,20210923,171000,4.41,4.415,4.4,4.41,4475,0
VOC.US,5,20210923,171500,4.4099,4.4099,4.38,4.38,2663,0
VOC.US,5,20210923,172000,4.3899,4.4,4.3899,4.4,475,0
VOC.US,5,20210923,173500,4.38,4.38,4.38,4.38,300,0
VOC.US,5,20210923,174000,4.4,4.41,4.3998,4.405,5600,0
VOC.US,5,20210923,174500,4.4039,4.4039,4.4039,4.4039,350,0
VOC.US,5,20210923,175500,4.39,4.4083,4.39,4.4083,350,0
VOC.US,5,20210923,180000,4.39,4.39,4.39,4.39,1000,0
VOC.US,5,20210923,180500,4.39,4.39,4.39,4.39,181,0
VOC.US,5,20210923,183500,4.4,4.4,4.4,4.4,453,0
VOC.US,5,20210923,184000,4.4,4.4,4.4,4.4,1363,0
VOC.US,5,20210923,191000,4.4299,4.43,4.4299,4.43,200,0
