<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
WE.US,5,20210922,153000,9.99,10.0099,9.99,10.0095,2949,0
WE.US,5,20210922,153500,10.01,10.01,10.0005,10.0005,951,0
WE.US,5,20210922,154000,10.0009,10.005,10,10,8518,0
WE.US,5,20210922,154500,10.005,10.008,10,10.0001,2100,0
WE.US,5,20210922,155000,10.007,10.007,10.005,10.005,600,0
WE.US,5,20210922,155500,10.0083,10.0083,10.0083,10.0083,100,0
WE.US,5,20210922,160500,10.005,10.005,10.005,10.005,300,0
WE.US,5,20210922,161000,10,10.01,10,10.01,11862,0
WE.US,5,20210922,161500,10,10.005,10,10.005,200,0
WE.US,5,20210922,162000,10,10.0008,10,10,2373,0
WE.US,5,20210922,162500,10.005,10.01,10.003,10.01,600,0
WE.US,5,20210922,163500,10.005,10.005,10,10,1200,0
WE.US,5,20210922,164000,10,10,10,10,100,0
WE.US,5,20210922,164500,10,10,10,10,200,0
WE.US,5,20210922,165000,10.005,10.007,10,10.005,4600,0
WE.US,5,20210922,165500,10.001,10.01,10,10,1100,0
WE.US,5,20210922,170000,10.005,10.01,10.001,10.0037,1000,0
WE.US,5,20210922,170500,10.005,10.01,10,10.01,1411,0
WE.US,5,20210922,171000,10.0009,10.005,10,10,900,0
WE.US,5,20210922,172000,10,10,10,10,225,0
WE.US,5,20210922,172500,10,10,10,10,3385,0
WE.US,5,20210922,173000,10.005,10.005,10,10,12666,0
WE.US,5,20210922,173500,10.0004,10.01,10,10,5999,0
WE.US,5,20210922,174000,10.01,10.015,10,10.007,80282,0
WE.US,5,20210922,174500,10.005,10.0092,10.005,10.005,3092,0
WE.US,5,20210922,175000,10,10.01,10,10.01,600,0
WE.US,5,20210922,180000,10,10.01,10,10,4194,0
WE.US,5,20210922,180500,10.0001,10.0087,10,10.005,1907,0
WE.US,5,20210922,181000,10.01,10.01,10,10,12282,0
WE.US,5,20210922,181500,10,10.005,10,10.0001,3546,0
WE.US,5,20210922,182000,10.0012,10.01,10,10.01,2759,0
WE.US,5,20210922,182500,10.0096,10.0096,10.0015,10.0015,1223,0
WE.US,5,20210922,183000,10,10.01,10,10.005,23808,0
WE.US,5,20210922,183500,10.005,10.0094,10,10.0015,4995,0
WE.US,5,20210922,184000,10.005,10.01,10.0013,10.005,676,0
WE.US,5,20210922,184500,10.0001,10.01,10.0001,10.005,1379,0
WE.US,5,20210922,185000,10.005,10.005,10.0001,10.0001,438,0
WE.US,5,20210922,185500,10.0016,10.0016,10.0016,10.0016,117,0
WE.US,5,20210922,190000,10.0022,10.005,10.001,10.005,502,0
WE.US,5,20210922,190500,10.0007,10.015,10,10.01,19583,0
WE.US,5,20210922,191000,10.0014,10.0014,10,10,409,0
WE.US,5,20210922,191500,10.01,10.01,10.0001,10.0017,3419,0
WE.US,5,20210922,192000,10.0017,10.0081,10.0017,10.0081,672,0
WE.US,5,20210922,192500,10.0015,10.01,10.0015,10.0099,5812,0
WE.US,5,20210922,193000,10.0099,10.0099,10,10.005,4100,0
WE.US,5,20210922,193500,10.01,10.01,10.0001,10.0017,5534,0
WE.US,5,20210922,194000,10.005,10.01,10.0001,10.005,1261,0
WE.US,5,20210922,194500,10.0017,10.01,10.0017,10.0086,1607,0
WE.US,5,20210922,195500,10.0014,10.005,10.0001,10.005,1566,0
WE.US,5,20210922,200000,10.0001,10.0001,10.0001,10.0001,166,0
WE.US,5,20210922,200500,10.001,10.001,10.001,10.001,300,0
WE.US,5,20210922,201000,10.005,10.005,10.0001,10.005,470,0
WE.US,5,20210922,201500,10.0001,10.0001,10,10,229,0
WE.US,5,20210922,202000,10.0001,10.005,10,10.005,1355,0
WE.US,5,20210922,202500,10.0001,10.005,10,10,12089,0
WE.US,5,20210922,203000,10,10.005,10,10,2300,0
WE.US,5,20210922,203500,10,10.001,10,10,1300,0
WE.US,5,20210922,204000,10,10,10,10,1843,0
WE.US,5,20210922,204500,10,10.001,10,10,2207,0
WE.US,5,20210922,205000,10.0001,10.005,10,10,11195,0
WE.US,5,20210922,205500,9.995,9.995,9.985,9.985,1200,0
WE.US,5,20210922,210000,9.985,9.99,9.98,9.98,11600,0
WE.US,5,20210922,210500,9.985,9.985,9.985,9.985,300,0
WE.US,5,20210922,211000,9.98,9.99,9.98,9.98,3678,0
WE.US,5,20210922,211500,9.985,9.985,9.985,9.985,300,0
WE.US,5,20210922,212000,9.985,9.985,9.985,9.985,300,0
WE.US,5,20210922,213000,9.9887,9.99,9.98,9.98,3600,0
WE.US,5,20210922,213500,9.985,9.985,9.98,9.985,2212,0
WE.US,5,20210922,214000,9.985,9.985,9.985,9.985,400,0
WE.US,5,20210922,214500,9.985,9.99,9.98,9.99,28686,0
WE.US,5,20210922,215000,9.985,9.99,9.98,9.98,22662,0
WE.US,5,20210922,215500,9.985,9.99,9.98,9.98,8500,0
WE.US,5,20210923,153000,10.0878,10.0878,9.99,9.99,3791,0
WE.US,5,20210923,153500,9.99,10.005,9.99,9.99,1001,0
WE.US,5,20210923,155000,9.99,9.991,9.99,9.99,1300,0
WE.US,5,20210923,155500,9.98,9.985,9.98,9.98,2000,0
WE.US,5,20210923,160000,9.98,9.9802,9.98,9.98,1100,0
WE.US,5,20210923,161000,9.9884,9.9884,9.98,9.98,1200,0
WE.US,5,20210923,161500,9.985,9.985,9.985,9.985,274,0
WE.US,5,20210923,162000,9.988,9.988,9.988,9.988,200,0
WE.US,5,20210923,162500,9.9822,9.9822,9.9822,9.9822,150,0
WE.US,5,20210923,163500,9.98,9.98,9.98,9.98,100,0
WE.US,5,20210923,164000,9.9807,9.99,9.98,9.98,9727,0
WE.US,5,20210923,164500,9.985,9.985,9.985,9.985,500,0
WE.US,5,20210923,165000,9.985,9.985,9.98,9.98,310,0
WE.US,5,20210923,165500,9.9884,9.99,9.98,9.98,1400,0
WE.US,5,20210923,170000,9.98,9.988,9.98,9.9801,405,0
WE.US,5,20210923,170500,9.988,9.988,9.98,9.98,3300,0
WE.US,5,20210923,171000,9.99,9.99,9.985,9.985,5300,0
WE.US,5,20210923,172000,9.985,9.985,9.985,9.985,200,0
WE.US,5,20210923,172500,9.98,9.98,9.98,9.98,100200,0
WE.US,5,20210923,173500,9.98,9.99,9.98,9.9822,9713,0
WE.US,5,20210923,174000,9.9837,9.985,9.9837,9.985,1775,0
WE.US,5,20210923,174500,9.9884,9.9884,9.9884,9.9884,100,0
WE.US,5,20210923,175000,9.99,9.99,9.985,9.985,1100,0
WE.US,5,20210923,175500,9.985,9.99,9.98,9.99,950,0
WE.US,5,20210923,180000,9.985,9.985,9.985,9.985,300,0
WE.US,5,20210923,180500,9.985,9.99,9.98,9.98,1900,0
WE.US,5,20210923,181000,9.99,9.99,9.99,9.99,200,0
WE.US,5,20210923,182000,9.985,9.985,9.985,9.985,100,0
WE.US,5,20210923,182500,9.985,9.985,9.985,9.985,100,0
WE.US,5,20210923,183500,9.99,9.99,9.98,9.98,26800,0
WE.US,5,20210923,184000,9.985,9.985,9.985,9.985,200,0
WE.US,5,20210923,184500,9.98,9.98,9.98,9.98,200,0
WE.US,5,20210923,185000,9.98,9.99,9.98,9.98,700,0
WE.US,5,20210923,185500,9.98,9.98,9.98,9.98,300,0
WE.US,5,20210923,190000,9.98,9.98,9.98,9.98,200,0
WE.US,5,20210923,190500,9.98,9.98,9.98,9.98,100,0
WE.US,5,20210923,191000,9.98,9.98,9.98,9.98,100,0
WE.US,5,20210923,191500,9.985,9.99,9.98,9.98,830,0
WE.US,5,20210923,192500,9.981,9.985,9.98,9.985,1700,0
WE.US,5,20210923,193000,9.985,9.99,9.9847,9.99,600,0
WE.US,5,20210923,193500,9.985,9.99,9.98,9.98,400,0
WE.US,5,20210923,194000,9.985,9.985,9.98,9.98,425,0
WE.US,5,20210923,201500,9.985,9.985,9.98,9.98,1100,0
WE.US,5,20210923,202500,9.99,9.99,9.99,9.99,100,0
WE.US,5,20210923,204500,9.9884,9.9884,9.9884,9.9884,100,0
WE.US,5,20210923,205000,9.9885,9.9885,9.98,9.98,300,0
WE.US,5,20210923,205500,9.99,9.99,9.99,9.99,1000,0
WE.US,5,20210923,210000,9.99,9.99,9.99,9.99,300,0
WE.US,5,20210923,210500,9.99,9.99,9.99,9.99,200,0
WE.US,5,20210923,211500,9.99,9.99,9.99,9.99,1461,0
WE.US,5,20210923,212500,9.99,9.99,9.99,9.99,700,0
WE.US,5,20210923,213500,9.985,9.985,9.985,9.985,100,0
WE.US,5,20210923,214000,9.98,9.99,9.98,9.98,13724,0
WE.US,5,20210923,214500,9.98,9.985,9.98,9.985,10046,0
WE.US,5,20210923,215000,9.985,9.99,9.98,9.98,2546,0
WE.US,5,20210923,215500,9.985,9.99,9.98,9.98,18781,0
WE.US,5,20210924,153000,9.98,9.98,9.97,9.97,815,0
WE.US,5,20210924,153500,9.98,9.98,9.98,9.98,125,0
WE.US,5,20210924,154000,9.99,9.99,9.98,9.98,20945,0
WE.US,5,20210924,154500,9.99,10,9.99,10,300,0
WE.US,5,20210924,155500,9.99,9.99,9.99,9.99,100,0
WE.US,5,20210924,160500,9.985,9.99,9.985,9.99,160232,0
WE.US,5,20210924,161500,9.981,9.982,9.98,9.981,1200,0
WE.US,5,20210924,162000,9.98,9.98,9.98,9.98,100,0
WE.US,5,20210924,162500,9.9886,9.9886,9.9886,9.9886,102,0
WE.US,5,20210924,163000,9.99,9.99,9.99,9.99,100,0
WE.US,5,20210924,163500,9.9812,9.9812,9.9812,9.9812,282,0
WE.US,5,20210924,164500,9.99,9.99,9.99,9.99,300,0
WE.US,5,20210924,165000,9.9867,9.9867,9.9867,9.9867,250,0
WE.US,5,20210924,165500,9.983,9.99,9.983,9.99,1300,0
WE.US,5,20210924,170000,9.985,9.985,9.985,9.985,100,0
WE.US,5,20210924,172000,9.9887,9.9887,9.985,9.985,300,0
WE.US,5,20210924,173000,9.99,9.9977,9.98,9.9977,8091,0
WE.US,5,20210924,173500,9.99,9.99,9.99,9.99,100,0
WE.US,5,20210924,174000,9.98,9.9815,9.98,9.9815,600,0
WE.US,5,20210924,175000,9.9801,10,9.9801,9.99,6647,0
WE.US,5,20210924,175500,10,10,9.995,10,52694,0
WE.US,5,20210924,180000,10.0047,10.0047,10,10,600,0
WE.US,5,20210924,180500,10,10.0015,10,10,10663,0
WE.US,5,20210924,181000,10,10.01,10,10,21450,0
WE.US,5,20210924,181500,10,10.01,9.99,9.99,41350,0
WE.US,5,20210924,182000,9.995,9.995,9.98,9.98,600,0
WE.US,5,20210924,183000,9.99,9.99,9.99,9.99,100,0
WE.US,5,20210924,184000,9.99,9.99,9.99,9.99,400,0
WE.US,5,20210924,190500,10,10,10,10,100,0
WE.US,5,20210924,191500,10,10.01,9.98,10,80434,0
WE.US,5,20210924,192500,10,10,10,10,3000,0
