<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
WPCA.US,5,20210924,153000,9.77,9.77,9.77,9.77,294,0
WPCA.US,5,20210924,154500,9.77,9.77,9.76,9.76,2337,0
WPCA.US,5,20210924,161000,9.8,9.8,9.77,9.77,4100,0
WPCA.US,5,20210924,163000,9.8,9.8,9.8,9.8,100,0
WPCA.US,5,20210924,164500,9.8,9.8,9.8,9.8,100,0
WPCA.US,5,20210924,165500,9.8,9.8,9.8,9.8,219,0
WPCA.US,5,20210924,170500,9.8,9.8,9.8,9.8,100,0
WPCA.US,5,20210924,172000,9.8,9.8,9.8,9.8,100,0
WPCA.US,5,20210924,173000,9.8,9.8,9.8,9.8,100,0
WPCA.US,5,20210924,213000,9.79,9.79,9.79,9.79,100,0
WPCA.US,5,20210929,194500,9.77,9.77,9.76,9.76,301000,0
WPCA.US,5,20210929,201500,9.77,9.77,9.76,9.77,299000,0
WPCA.US,5,20210929,202500,9.81,9.81,9.81,9.81,300,0
WPCA.US,5,20210929,203000,9.81,9.81,9.81,9.81,100,0
WPCA.US,5,20210929,215000,9.81,9.81,9.81,9.81,100,0
WPCA.US,5,20210929,215500,9.81,9.81,9.81,9.81,300,0
WPCA.US,5,20210930,153000,9.82,9.82,9.82,9.82,100,0
WPCA.US,5,20210930,153500,9.77,9.771,9.77,9.771,454,0
WPCA.US,5,20210930,212000,9.82,9.82,9.82,9.82,100,0
WPCA.US,5,20211004,153000,9.82,9.82,9.82,9.82,100,0
WPCA.US,5,20211004,194500,9.81,9.82,9.81,9.81,13926,0
WPCA.US,5,20211004,201500,9.82,9.82,9.82,9.82,100,0
WPCA.US,5,20211004,202500,9.82,9.82,9.82,9.82,100,0
WPCA.US,5,20211004,203500,9.82,9.82,9.82,9.82,100,0
WPCA.US,5,20211004,204500,9.82,9.82,9.82,9.82,100,0
WPCA.US,5,20211004,205500,9.82,9.82,9.82,9.82,100,0
WPCA.US,5,20211004,210500,9.82,9.82,9.82,9.82,100,0
WPCA.US,5,20211004,211000,9.82,9.82,9.82,9.82,100,0
WPCA.US,5,20211004,212000,9.82,9.82,9.82,9.82,100,0
WPCA.US,5,20211004,212500,9.82,9.82,9.82,9.82,100,0
WPCA.US,5,20211004,213000,9.82,9.82,9.82,9.82,100,0
WPCA.US,5,20211004,213500,9.82,9.82,9.82,9.82,100,0
WPCA.US,5,20211004,214000,9.82,9.82,9.82,9.82,100,0
WPCA.US,5,20211004,214500,9.82,9.82,9.82,9.82,100,0
WPCA.US,5,20211004,215000,9.82,9.82,9.82,9.82,200,0
WPCA.US,5,20211004,215500,9.82,9.82,9.82,9.82,500,0
WPCA.US,5,20211005,213500,9.76,9.76,9.75,9.75,49990,0
WPCA.US,5,20211006,213000,9.8,9.8,9.785,9.8,34252,0
WPCA.US,5,20211006,213500,9.82,9.82,9.82,9.82,100,0
WPCA.US,5,20211006,214000,9.82,9.82,9.82,9.82,100,0
WPCA.US,5,20211006,214500,9.82,9.82,9.82,9.82,100,0
WPCA.US,5,20211006,215000,9.82,9.82,9.82,9.82,200,0
WPCA.US,5,20211006,215500,9.82,9.82,9.82,9.82,800,0
WPCA.US,5,20211007,153000,9.82,9.82,9.82,9.82,100,0
WPCA.US,5,20211007,215500,9.82,9.82,9.82,9.82,500,0
WPCA.US,5,20211011,153000,9.82,9.82,9.82,9.82,100,0
WPCA.US,5,20211012,204000,9.8,9.8,9.8,9.8,9500,0
WPCA.US,5,20211012,204500,9.8,9.8,9.8,9.8,2291,0
WPCA.US,5,20211012,210500,9.82,9.82,9.82,9.82,100,0
WPCA.US,5,20211012,211500,9.82,9.82,9.82,9.82,100,0
WPCA.US,5,20211012,212000,9.82,9.82,9.82,9.82,100,0
WPCA.US,5,20211012,212500,9.82,9.82,9.82,9.82,100,0
WPCA.US,5,20211012,213000,9.82,9.82,9.82,9.82,100,0
WPCA.US,5,20211012,213500,9.82,9.82,9.82,9.82,100,0
WPCA.US,5,20211012,214000,9.82,9.82,9.82,9.82,100,0
WPCA.US,5,20211012,214500,9.82,9.82,9.82,9.82,100,0
WPCA.US,5,20211012,215000,9.82,9.82,9.82,9.82,200,0
WPCA.US,5,20211012,215500,9.82,9.82,9.82,9.82,600,0
WPCA.US,5,20211014,153000,9.82,9.82,9.82,9.82,100,0
