<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
WPP.US,5,20210922,153000,67.51,67.67,67.51,67.67,4188,0
WPP.US,5,20210922,153500,67.73,67.77,67.71,67.76,1004,0
WPP.US,5,20210922,154000,67.71,67.71,67.6076,67.6076,578,0
WPP.US,5,20210922,154500,67.74,67.74,67.685,67.685,300,0
WPP.US,5,20210922,155000,67.7,67.91,67.7,67.91,1698,0
WPP.US,5,20210922,155500,67.96,68.01,67.96,68.01,400,0
WPP.US,5,20210922,160000,67.92,67.96,67.9,67.96,600,0
WPP.US,5,20210922,160500,68,68.03,68,68.03,600,0
WPP.US,5,20210922,161000,67.9896,67.9896,67.79,67.81,1024,0
WPP.US,5,20210922,161500,67.83,67.83,67.78,67.78,600,0
WPP.US,5,20210922,162500,67.68,67.7338,67.68,67.7338,314,0
WPP.US,5,20210922,163000,67.67,67.79,67.67,67.73,759,0
WPP.US,5,20210922,163500,67.84,67.9,67.84,67.9,600,0
WPP.US,5,20210922,164000,67.9,67.96,67.9,67.95,643,0
WPP.US,5,20210922,164500,67.94,67.94,67.91,67.915,300,0
WPP.US,5,20210922,170000,68.03,68.03,68.03,68.03,230,0
WPP.US,5,20210922,170500,68.02,68.02,68.01,68.01,200,0
WPP.US,5,20210922,171000,68.05,68.05,68.05,68.05,100,0
WPP.US,5,20210922,171500,68.03,68.03,68.03,68.03,100,0
WPP.US,5,20210922,172000,67.97,67.97,67.97,67.97,400,0
WPP.US,5,20210922,172500,67.96,67.96,67.96,67.96,102,0
WPP.US,5,20210922,173000,68.06,68.06,67.97,67.97,5079,0
WPP.US,5,20210922,173500,68.05,68.05,68.01,68.01,300,0
WPP.US,5,20210922,174500,67.97,67.97,67.97,67.97,100,0
WPP.US,5,20210922,175000,68.05,68.07,68.0134,68.0134,1143,0
WPP.US,5,20210922,180000,67.97,67.97,67.97,67.97,100,0
WPP.US,5,20210922,182000,68.07,68.07,68.06,68.07,900,0
WPP.US,5,20210922,182500,68.09,68.18,68.09,68.18,500,0
WPP.US,5,20210922,183000,68.18,68.23,68.1313,68.1313,1217,0
WPP.US,5,20210922,184000,68.24,68.26,68.24,68.26,200,0
WPP.US,5,20210922,184500,68.1701,68.26,68.1701,68.25,388,0
WPP.US,5,20210922,185000,68.23,68.23,68.2,68.2,200,0
WPP.US,5,20210922,185500,68.25,68.25,68.24,68.24,470,0
WPP.US,5,20210922,190000,68.24,68.25,68.24,68.25,200,0
WPP.US,5,20210922,190500,68.2449,68.25,68.15,68.19,1563,0
WPP.US,5,20210922,191000,68.19,68.19,68.19,68.19,200,0
WPP.US,5,20210922,191500,68.1765,68.26,68.1765,68.26,797,0
WPP.US,5,20210922,192000,68.26,68.26,68.24,68.24,200,0
WPP.US,5,20210922,192500,68.2331,68.27,68.2174,68.2174,710,0
WPP.US,5,20210922,193000,68.26,68.26,68.24,68.26,617,0
WPP.US,5,20210922,193500,68.23,68.23,68.17,68.17,637,0
WPP.US,5,20210922,194000,68.14,68.14,68.115,68.115,448,0
