<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
BCV.US,5,20210922,153000,30.16,30.16,30.16,30.16,181,0
BCV.US,5,20210922,155000,30.335,30.335,30.335,30.335,300,0
BCV.US,5,20210922,160500,30.27,30.27,30.27,30.27,100,0
BCV.US,5,20210922,161000,30.342,30.342,30.342,30.342,700,0
BCV.US,5,20210922,173000,30.33,30.33,30.32,30.32,601,0
BCV.US,5,20210922,175000,30.32,30.32,30.27,30.27,2003,0
BCV.US,5,20210922,180000,30.305,30.305,30.305,30.305,116,0
BCV.US,5,20210922,180500,30.3331,30.3331,30.3331,30.3331,223,0
BCV.US,5,20210922,192000,30.24,30.24,30.24,30.24,132,0
BCV.US,5,20210922,200500,30.2194,30.2194,30.2194,30.2194,154,0
BCV.US,5,20210922,201000,30.33,30.33,30.32,30.33,402,0
BCV.US,5,20210922,201500,30.33,30.34,30.32,30.32,997,0
BCV.US,5,20210922,212500,30.285,30.285,30.285,30.285,234,0
BCV.US,5,20210922,215500,30.35,30.48,30.35,30.48,300,0
BCV.US,5,20210923,153000,30.8,30.89,30.455,30.56,3327,0
BCV.US,5,20210923,153500,30.8003,30.8003,30.8003,30.8003,141,0
BCV.US,5,20210923,155000,30.81,30.81,30.8,30.8,200,0
BCV.US,5,20210923,155500,30.75,30.75,30.75,30.75,100,0
BCV.US,5,20210923,160000,30.7237,30.7237,30.7237,30.7237,205,0
BCV.US,5,20210923,161500,30.7687,30.7687,30.7687,30.7687,139,0
BCV.US,5,20210923,162000,30.7675,30.7675,30.7675,30.7675,100,0
BCV.US,5,20210923,162500,30.77,30.77,30.77,30.77,100,0
BCV.US,5,20210923,163500,30.77,30.77,30.77,30.77,200,0
BCV.US,5,20210923,165000,30.74,30.74,30.74,30.74,100,0
BCV.US,5,20210923,171000,30.72,30.72,30.72,30.72,201,0
BCV.US,5,20210923,173000,30.7,30.7,30.7,30.7,162,0
BCV.US,5,20210923,174500,30.67,30.67,30.67,30.67,400,0
BCV.US,5,20210923,175000,30.669,30.669,30.669,30.669,100,0
BCV.US,5,20210923,181000,30.573,30.573,30.573,30.573,1000,0
BCV.US,5,20210923,190500,30.65,30.65,30.65,30.65,100,0
BCV.US,5,20210923,194000,30.74,30.74,30.74,30.74,300,0
BCV.US,5,20210923,203000,30.7191,30.7191,30.7191,30.7191,100,0
BCV.US,5,20210923,203500,30.6131,30.6131,30.6131,30.6131,305,0
BCV.US,5,20210923,214500,30.6194,30.6194,30.6194,30.6194,600,0
BCV.US,5,20210923,215500,30.62,30.62,30.62,30.62,100,0
BCV.US,5,20210924,153000,30.69,30.69,30.63,30.63,2166,0
BCV.US,5,20210924,154000,30.56,30.56,30.55,30.55,300,0
BCV.US,5,20210924,155000,30.46,30.5,30.46,30.5,550,0
BCV.US,5,20210924,155500,30.5,30.56,30.5,30.56,500,0
BCV.US,5,20210924,160000,30.566,30.73,30.566,30.73,2225,0
BCV.US,5,20210924,160500,30.74,30.74,30.74,30.74,100,0
BCV.US,5,20210924,161000,30.74,30.74,30.74,30.74,100,0
BCV.US,5,20210924,162000,30.73,30.73,30.73,30.73,200,0
BCV.US,5,20210924,162500,30.72,30.72,30.72,30.72,100,0
BCV.US,5,20210924,163000,30.72,30.75,30.72,30.75,400,0
BCV.US,5,20210924,163500,30.64,30.64,30.64,30.64,100,0
BCV.US,5,20210924,164000,30.61,30.61,30.61,30.61,100,0
BCV.US,5,20210924,164500,30.67,30.67,30.67,30.67,100,0
BCV.US,5,20210924,165000,30.7,30.75,30.7,30.7,300,0
BCV.US,5,20210924,165500,30.7403,30.7403,30.7403,30.7403,1000,0
BCV.US,5,20210924,170000,30.75,30.75,30.75,30.75,200,0
BCV.US,5,20210924,170500,30.675,30.75,30.675,30.75,425,0
BCV.US,5,20210924,171000,30.75,30.75,30.75,30.75,100,0
BCV.US,5,20210924,172000,30.75,30.75,30.7405,30.7405,300,0
BCV.US,5,20210924,172500,30.75,30.75,30.75,30.75,100,0
BCV.US,5,20210924,173000,30.75,30.75,30.75,30.75,100,0
BCV.US,5,20210924,173500,30.75,30.75,30.75,30.75,100,0
BCV.US,5,20210924,174000,30.75,30.75,30.71,30.71,200,0
BCV.US,5,20210924,174500,30.73,30.73,30.73,30.73,100,0
BCV.US,5,20210924,175500,30.73,30.73,30.73,30.73,100,0
BCV.US,5,20210924,180000,30.73,30.73,30.73,30.73,100,0
BCV.US,5,20210924,180500,30.75,30.75,30.75,30.75,100,0
BCV.US,5,20210924,181000,30.82,30.82,30.82,30.82,100,0
BCV.US,5,20210924,181500,30.83,30.83,30.83,30.83,100,0
BCV.US,5,20210924,182500,30.82,30.82,30.82,30.82,100,0
BCV.US,5,20210924,183000,30.82,30.84,30.82,30.84,200,0
BCV.US,5,20210924,184500,30.84,30.84,30.84,30.84,100,0
BCV.US,5,20210924,185500,30.84,30.84,30.84,30.84,100,0
BCV.US,5,20210924,190500,30.84,30.84,30.84,30.84,100,0
