<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
BRMK-WS.US,5,20210922,153000,0.12,0.12,0.12,0.12,1000,0
BRMK-WS.US,5,20210922,160500,0.1126,0.117,0.1126,0.117,2000,0
BRMK-WS.US,5,20210923,153000,0.13,0.13,0.12745,0.12745,38700,0
BRMK-WS.US,5,20210923,160500,0.1202,0.1202,0.1202,0.1202,600,0
BRMK-WS.US,5,20210923,161000,0.1202,0.1202,0.1202,0.1202,200,0
BRMK-WS.US,5,20210923,162500,0.125,0.125,0.1201,0.1201,2100,0
BRMK-WS.US,5,20210923,163000,0.113,0.12,0.112,0.12,5147,0
BRMK-WS.US,5,20210923,163500,0.12,0.12,0.12,0.12,600,0
BRMK-WS.US,5,20210923,164000,0.12,0.12,0.12,0.12,400,0
BRMK-WS.US,5,20210923,164500,0.12,0.12,0.12,0.12,600,0
BRMK-WS.US,5,20210923,165000,0.12,0.12,0.12,0.12,400,0
BRMK-WS.US,5,20210923,165500,0.12,0.12,0.12,0.12,400,0
BRMK-WS.US,5,20210923,170000,0.12,0.12,0.12,0.12,600,0
BRMK-WS.US,5,20210923,170500,0.12,0.12,0.12,0.12,400,0
BRMK-WS.US,5,20210923,171000,0.12,0.12,0.12,0.12,600,0
BRMK-WS.US,5,20210923,171500,0.12,0.12,0.12,0.12,400,0
BRMK-WS.US,5,20210923,175500,0.12,0.12,0.12,0.12,5500,0
BRMK-WS.US,5,20210923,180500,0.12,0.12,0.12,0.12,100,0
BRMK-WS.US,5,20210923,183500,0.118,0.118,0.1161,0.118,2800,0
BRMK-WS.US,5,20210923,191000,0.125,0.125,0.125,0.125,1100,0
BRMK-WS.US,5,20210923,195500,0.12,0.12,0.12,0.12,2200,0
BRMK-WS.US,5,20210923,200500,0.1239,0.125,0.1218,0.125,1000,0
BRMK-WS.US,5,20210923,215000,0.1208,0.1229,0.1208,0.1226,15000,0
BRMK-WS.US,5,20210924,153500,0.1123,0.1189,0.1122,0.118316,24800,0
BRMK-WS.US,5,20210924,214500,0.1189,0.12,0.1189,0.12,5000,0
BRMK-WS.US,5,20210927,154000,0.125,0.125,0.125,0.125,200,0
BRMK-WS.US,5,20210927,164500,0.1201,0.1201,0.12,0.12,4600,0
BRMK-WS.US,5,20210927,165500,0.12,0.1249,0.12,0.1249,2000,0
BRMK-WS.US,5,20210927,200500,0.1237,0.1249,0.12,0.1237,7200,0
BRMK-WS.US,5,20210927,213000,0.12,0.1262,0.12,0.1262,2700,0
BRMK-WS.US,5,20210927,215500,0.1262,0.1262,0.12,0.1225,11200,0
BRMK-WS.US,5,20210928,153000,0.13,0.13,0.13,0.13,29615,0
BRMK-WS.US,5,20210928,155500,0.1101,0.12,0.1101,0.12,4300,0
BRMK-WS.US,5,20210928,164000,0.12745,0.12745,0.12745,0.12745,1000,0
BRMK-WS.US,5,20210928,175500,0.125,0.125,0.1206,0.1206,2000,0
BRMK-WS.US,5,20210929,215500,0.1201,0.1201,0.1201,0.1201,228,0
BRMK-WS.US,5,20211001,164500,0.1151,0.1151,0.1151,0.1151,1000,0
BRMK-WS.US,5,20211001,170000,0.1199,0.1199,0.1199,0.1199,1000,0
BRMK-WS.US,5,20211001,214500,0.1198,0.1198,0.1198,0.1198,2000,0
BRMK-WS.US,5,20211001,215500,0.132,0.132,0.132,0.132,111,0
BRMK-WS.US,5,20211004,160500,0.118699,0.118699,0.118699,0.118699,2000,0
BRMK-WS.US,5,20211004,213500,0.11975,0.11975,0.1196,0.1196,200,0
BRMK-WS.US,5,20211005,202500,0.1152,0.1152,0.1152,0.1152,200,0
BRMK-WS.US,5,20211005,203000,0.117549,0.117549,0.117549,0.117549,1000,0
BRMK-WS.US,5,20211005,204000,0.1183,0.1183,0.1183,0.1183,200,0
BRMK-WS.US,5,20211005,210500,0.119,0.119,0.119,0.119,100,0
BRMK-WS.US,5,20211005,214000,0.1193,0.1193,0.1193,0.1193,100,0
BRMK-WS.US,5,20211006,153500,0.1051,0.1051,0.0913,0.0992,45200,0
BRMK-WS.US,5,20211006,154000,0.1054,0.1097,0.1054,0.1097,200,0
BRMK-WS.US,5,20211006,163500,0.1196,0.1196,0.1196,0.1196,200,0
BRMK-WS.US,5,20211006,192500,0.115,0.115,0.115,0.115,1000,0
BRMK-WS.US,5,20211007,154000,0.0952,0.0952,0.0951,0.0951,25000,0
BRMK-WS.US,5,20211007,155500,0.1098,0.11,0.1098,0.11,30000,0
BRMK-WS.US,5,20211007,164000,0.11,0.11,0.11,0.11,40088,0
BRMK-WS.US,5,20211007,164500,0.11,0.11,0.109863,0.109863,23600,0
BRMK-WS.US,5,20211007,175500,0.11,0.115,0.11,0.115,8411,0
BRMK-WS.US,5,20211008,154500,0.0951,0.1196,0.0951,0.1196,340,0
BRMK-WS.US,5,20211008,155000,0.11,0.11,0.11,0.11,9500,0
BRMK-WS.US,5,20211008,160500,0.1152,0.12,0.1151,0.1151,3100,0
BRMK-WS.US,5,20211008,162500,0.115,0.115,0.11,0.11,2600,0
BRMK-WS.US,5,20211008,163000,0.11015,0.11255,0.11,0.11,15000,0
BRMK-WS.US,5,20211008,163500,0.11,0.11,0.11,0.11,9700,0
BRMK-WS.US,5,20211008,180500,0.1099,0.11,0.1099,0.11,5000,0
BRMK-WS.US,5,20211008,181000,0.10505,0.1196,0.10505,0.1196,2000,0
BRMK-WS.US,5,20211008,192500,0.11,0.11,0.09525,0.0953,8400,0
BRMK-WS.US,5,20211008,193000,0.109999,0.11,0.1006,0.1006,9700,0
BRMK-WS.US,5,20211008,194000,0.1001,0.1062,0.1001,0.1062,700,0
BRMK-WS.US,5,20211008,195500,0.1062,0.11,0.102,0.102,3100,0
BRMK-WS.US,5,20211008,200000,0.11,0.11,0.109146,0.109146,200,0
BRMK-WS.US,5,20211008,205000,0.11,0.11,0.1071,0.11,2800,0
BRMK-WS.US,5,20211008,210000,0.11,0.11,0.11,0.11,20456,0
BRMK-WS.US,5,20211008,210500,0.1196,0.1196,0.1196,0.1196,100,0
BRMK-WS.US,5,20211011,153000,0.1196,0.1196,0.1196,0.1196,100,0
BRMK-WS.US,5,20211011,214500,0.11605,0.11605,0.11605,0.11605,200,0
BRMK-WS.US,5,20211012,153000,0.0837,0.1196,0.0837,0.1196,400,0
BRMK-WS.US,5,20211012,161500,0.11,0.1196,0.11,0.1196,242,0
BRMK-WS.US,5,20211012,170000,0.11,0.11,0.11,0.11,4958,0
BRMK-WS.US,5,20211012,171000,0.1121,0.115,0.1121,0.115,200,0
BRMK-WS.US,5,20211012,173000,0.0952,0.1006,0.0952,0.1006,525,0
BRMK-WS.US,5,20211012,175000,0.09515,0.1119,0.09515,0.1119,1300,0
BRMK-WS.US,5,20211012,180000,0.1102,0.1102,0.1102,0.1102,100,0
BRMK-WS.US,5,20211012,181000,0.11,0.11,0.11,0.11,100,0
BRMK-WS.US,5,20211012,194500,0.11,0.11,0.11,0.11,300,0
BRMK-WS.US,5,20211014,162000,0.095201,0.095201,0.095201,0.095201,200,0
BRMK-WS.US,5,20211014,162500,0.1,0.11,0.0969,0.0969,8700,0
BRMK-WS.US,5,20211014,163000,0.0988,0.1036,0.0988,0.1036,200,0
BRMK-WS.US,5,20211014,164000,0.11,0.11,0.11,0.11,100,0
BRMK-WS.US,5,20211015,153000,0.1101,0.1101,0.11,0.11,3200,0
BRMK-WS.US,5,20211015,153500,0.11,0.11,0.11,0.11,400,0
BRMK-WS.US,5,20211015,154000,0.11235,0.11235,0.11,0.11,4600,0
BRMK-WS.US,5,20211015,155500,0.11235,0.1124,0.11,0.11,4649,0
BRMK-WS.US,5,20211015,161500,0.11,0.11,0.11,0.11,5000,0
BRMK-WS.US,5,20211015,165000,0.10995,0.1124,0.10995,0.1124,2700,0
BRMK-WS.US,5,20211015,171000,0.11,0.11,0.109986,0.109986,200,0
BRMK-WS.US,5,20211015,175000,0.1115,0.1115,0.1115,0.1115,100,0
BRMK-WS.US,5,20211015,180000,0.1115,0.1115,0.1115,0.1115,400,0
BRMK-WS.US,5,20211015,190500,0.11195,0.1146,0.1119,0.11415,7352,0
BRMK-WS.US,5,20211015,200500,0.1115,0.1115,0.1115,0.1115,600,0
BRMK-WS.US,5,20211015,201500,0.114599,0.114599,0.114599,0.114599,1000,0
BRMK-WS.US,5,20211015,204500,0.112,0.112,0.112,0.112,24400,0
BRMK-WS.US,5,20211015,212000,0.11205,0.1121,0.11205,0.112067,600,0
BRMK-WS.US,5,20211015,213000,0.11205,0.1147,0.11205,0.112098,15500,0
BRMK-WS.US,5,20211015,214500,0.112,0.112,0.112,0.112,100,0
BRMK-WS.US,5,20211015,215000,0.112,0.112,0.112,0.112,200,0
BRMK-WS.US,5,20211015,215500,0.112,0.112,0.112,0.112,364,0
BRMK-WS.US,5,20211018,153000,0.13,0.13,0.13,0.13,1578,0
BRMK-WS.US,5,20211018,171500,0.1001,0.1001,0.1,0.1,6600,0
BRMK-WS.US,5,20211018,172000,0.1,0.1,0.1,0.1,2000,0
BRMK-WS.US,5,20211018,173500,0.1,0.1,0.1,0.1,4900,0
BRMK-WS.US,5,20211018,183000,0.106,0.11,0.106,0.11,10000,0
BRMK-WS.US,5,20211018,191500,0.11,0.11,0.11,0.11,100,0
BRMK-WS.US,5,20211018,200000,0.1051,0.1051,0.1051,0.1051,100,0
BRMK-WS.US,5,20211018,200500,0.11,0.11,0.11,0.11,5000,0
BRMK-WS.US,5,20211019,160000,0.1001,0.11,0.095,0.1,6875,0
BRMK-WS.US,5,20211019,160500,0.1074,0.1074,0.1074,0.1074,500,0
BRMK-WS.US,5,20211019,164500,0.10505,0.1051,0.10505,0.1051,300,0
BRMK-WS.US,5,20211019,171500,0.1089,0.1089,0.1089,0.1089,1000,0
BRMK-WS.US,5,20211019,193000,0.1098,0.1098,0.1098,0.1098,232,0
BRMK-WS.US,5,20211019,204000,0.108,0.1089,0.108,0.1089,2500,0
