<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
DPW.US,5,20210922,153000,2.25,2.2799,2.25,2.275,29101,0
DPW.US,5,20210922,153500,2.275,2.29,2.27,2.2706,37202,0
DPW.US,5,20210922,154000,2.275,2.2999,2.27,2.277,110798,0
DPW.US,5,20210922,154500,2.27,2.2816,2.27,2.275,37505,0
DPW.US,5,20210922,155000,2.28,2.3,2.28,2.2901,22477,0
DPW.US,5,20210922,155500,2.2901,2.3,2.28,2.2814,26669,0
DPW.US,5,20210922,160000,2.28,2.28,2.26,2.2711,31412,0
DPW.US,5,20210922,160500,2.275,2.2798,2.27,2.2719,3930,0
DPW.US,5,20210922,161000,2.27,2.28,2.26,2.27,20007,0
DPW.US,5,20210922,161500,2.27,2.28,2.27,2.275,8530,0
DPW.US,5,20210922,162000,2.275,2.28,2.265,2.27,7218,0
DPW.US,5,20210922,162500,2.27,2.3,2.265,2.29,117978,0
DPW.US,5,20210922,163000,2.29,2.2999,2.29,2.292,19511,0
DPW.US,5,20210922,163500,2.29,2.32,2.29,2.317,66668,0
DPW.US,5,20210922,164000,2.32,2.32,2.31,2.32,40871,0
DPW.US,5,20210922,164500,2.31,2.31,2.29,2.295,42448,0
DPW.US,5,20210922,165000,2.3,2.3,2.29,2.2901,9700,0
DPW.US,5,20210922,165500,2.29,2.3,2.29,2.2984,4400,0
DPW.US,5,20210922,170000,2.29,2.295,2.28,2.295,32735,0
DPW.US,5,20210922,170500,2.29,2.295,2.29,2.29,2705,0
DPW.US,5,20210922,171000,2.29,2.295,2.29,2.295,873,0
DPW.US,5,20210922,171500,2.2911,2.3,2.29,2.2972,23299,0
DPW.US,5,20210922,172000,2.295,2.3,2.29,2.295,27335,0
DPW.US,5,20210922,172500,2.29,2.2999,2.29,2.2912,23584,0
DPW.US,5,20210922,173000,2.295,2.3,2.29,2.295,11930,0
DPW.US,5,20210922,173500,2.295,2.3,2.29,2.29,4107,0
DPW.US,5,20210922,174000,2.295,2.2999,2.2902,2.2991,6163,0
DPW.US,5,20210922,174500,2.295,2.2996,2.29,2.295,4700,0
DPW.US,5,20210922,175000,2.29,2.31,2.29,2.3001,67140,0
DPW.US,5,20210922,175500,2.305,2.31,2.3,2.305,4740,0
DPW.US,5,20210922,180000,2.3,2.3188,2.3,2.315,35386,0
DPW.US,5,20210922,180500,2.315,2.32,2.31,2.31,30970,0
DPW.US,5,20210922,181000,2.31,2.3199,2.31,2.315,20692,0
DPW.US,5,20210922,181500,2.315,2.3183,2.3101,2.315,12435,0
DPW.US,5,20210922,182000,2.3115,2.318,2.31,2.318,7400,0
DPW.US,5,20210922,182500,2.315,2.32,2.31,2.32,17436,0
DPW.US,5,20210922,183000,2.315,2.32,2.31,2.3102,3195,0
DPW.US,5,20210922,183500,2.315,2.315,2.31,2.31,1900,0
DPW.US,5,20210922,184000,2.315,2.3199,2.31,2.31,9831,0
DPW.US,5,20210922,184500,2.315,2.3199,2.31,2.3184,4250,0
DPW.US,5,20210922,185000,2.315,2.3183,2.3102,2.3102,4529,0
DPW.US,5,20210922,185500,2.31,2.315,2.31,2.315,2908,0
DPW.US,5,20210922,190000,2.3101,2.315,2.3005,2.305,51251,0
DPW.US,5,20210922,190500,2.305,2.3092,2.3,2.3092,15375,0
DPW.US,5,20210922,191000,2.3,2.3091,2.3,2.3,5910,0
DPW.US,5,20210922,191500,2.3,2.3005,2.29,2.29,18139,0
DPW.US,5,20210922,192000,2.29,2.2982,2.29,2.2982,8217,0
