<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
ERH.US,5,20210922,153500,13.9,13.9,13.9,13.9,475,0
ERH.US,5,20210922,160500,13.9416,13.9416,13.9416,13.9416,200,0
ERH.US,5,20210922,161500,13.93,13.93,13.93,13.93,100,0
ERH.US,5,20210922,163000,13.96,13.96,13.96,13.96,200,0
ERH.US,5,20210922,164500,13.96,13.96,13.96,13.96,200,0
ERH.US,5,20210922,170000,13.96,13.96,13.96,13.96,100,0
ERH.US,5,20210922,170500,14.006,14.006,14.006,14.006,489,0
ERH.US,5,20210922,171500,13.95,13.95,13.95,13.95,100,0
ERH.US,5,20210922,173000,13.95,13.95,13.95,13.95,100,0
ERH.US,5,20210922,173500,13.93,13.93,13.93,13.93,100,0
ERH.US,5,20210922,174000,13.92,13.9357,13.8,13.9357,800,0
ERH.US,5,20210922,180000,13.81,13.81,13.81,13.81,100,0
ERH.US,5,20210922,184000,13.895,13.895,13.895,13.895,100,0
ERH.US,5,20210922,184500,13.84,13.84,13.84,13.84,100,0
ERH.US,5,20210922,185500,13.84,13.84,13.84,13.84,100,0
ERH.US,5,20210922,192000,13.87,13.87,13.87,13.87,160,0
ERH.US,5,20210922,200000,13.81,13.81,13.81,13.81,100,0
ERH.US,5,20210922,201500,13.83,13.83,13.83,13.83,100,0
ERH.US,5,20210922,202500,13.83,13.83,13.83,13.83,100,0
ERH.US,5,20210922,203500,13.845,13.845,13.81,13.81,201,0
ERH.US,5,20210922,205000,13.81,13.81,13.81,13.81,432,0
ERH.US,5,20210922,210500,13.81,13.81,13.81,13.81,100,0
ERH.US,5,20210922,211000,13.8478,13.8478,13.8478,13.8478,102,0
ERH.US,5,20210922,211500,13.81,13.81,13.81,13.81,100,0
ERH.US,5,20210922,213000,13.81,13.81,13.81,13.81,100,0
ERH.US,5,20210922,213500,13.81,13.81,13.81,13.81,300,0
ERH.US,5,20210922,214000,13.81,13.81,13.81,13.81,300,0
ERH.US,5,20210922,214500,13.845,13.89,13.845,13.89,2100,0
ERH.US,5,20210922,215000,13.88,13.91,13.88,13.91,500,0
ERH.US,5,20210922,215500,13.85,13.85,13.81,13.81,228,0
ERH.US,5,20210923,153000,13.87,13.894,13.5,13.5,5662,0
ERH.US,5,20210923,153500,13.64,13.64,13.58,13.58,1795,0
ERH.US,5,20210923,154000,13.6332,13.64,13.6332,13.64,4300,0
ERH.US,5,20210923,154500,13.6,13.6,13.6,13.6,400,0
ERH.US,5,20210923,155000,13.62,13.64,13.62,13.64,3598,0
ERH.US,5,20210923,155500,13.64,13.7361,13.64,13.7361,532,0
ERH.US,5,20210923,161000,13.656,13.658,13.65,13.65,900,0
ERH.US,5,20210923,161500,13.7,13.805,13.7,13.805,750,0
ERH.US,5,20210923,163000,13.85,13.85,13.85,13.85,2400,0
ERH.US,5,20210923,164000,13.65,13.733,13.64,13.703,2160,0
ERH.US,5,20210923,164500,13.63,13.63,13.63,13.63,785,0
ERH.US,5,20210923,165000,13.63,13.63,13.63,13.63,100,0
ERH.US,5,20210923,165500,13.63,13.63,13.63,13.63,376,0
ERH.US,5,20210923,170000,13.6217,13.63,13.6217,13.63,600,0
ERH.US,5,20210923,170500,13.62,13.62,13.62,13.62,100,0
ERH.US,5,20210923,171000,13.61,13.6236,13.61,13.62,1740,0
ERH.US,5,20210923,171500,13.62,13.62,13.62,13.62,339,0
ERH.US,5,20210923,172000,13.63,13.63,13.6219,13.6219,1381,0
ERH.US,5,20210923,172500,13.63,13.63,13.63,13.63,1300,0
ERH.US,5,20210923,173000,13.7004,13.7004,13.62,13.62,1400,0
ERH.US,5,20210923,174000,13.7977,13.7977,13.7977,13.7977,100,0
ERH.US,5,20210923,175500,13.65,13.65,13.65,13.65,400,0
ERH.US,5,20210923,194000,13.82,13.82,13.82,13.82,440,0
ERH.US,5,20210923,203500,13.7,13.7337,13.7,13.7337,400,0
ERH.US,5,20210923,211500,13.6501,13.6501,13.6501,13.6501,446,0
ERH.US,5,20210923,212500,13.65,13.6842,13.58,13.6134,4292,0
ERH.US,5,20210923,213000,13.58,13.58,13.58,13.58,707,0
ERH.US,5,20210923,213500,13.58,13.5807,13.52,13.5807,1859,0
ERH.US,5,20210923,214000,13.55,13.55,13.55,13.55,200,0
ERH.US,5,20210923,215000,13.53,13.53,13.5,13.5,2040,0
ERH.US,5,20210923,215500,13.56,13.64,13.56,13.58,1098,0
ERH.US,5,20210924,153000,13.6,13.81,13.6,13.81,1250,0
ERH.US,5,20210924,154000,13.65,13.65,13.65,13.65,200,0
ERH.US,5,20210924,155000,13.6,13.6,13.6,13.6,100,0
ERH.US,5,20210924,160500,13.6,13.6,13.6,13.6,300,0
ERH.US,5,20210924,161000,13.5884,13.5884,13.5884,13.5884,400,0
ERH.US,5,20210924,162000,13.5,13.5,13.5,13.5,100,0
ERH.US,5,20210924,163000,13.52,13.52,13.45,13.505,1642,0
ERH.US,5,20210924,163500,13.52,13.52,13.52,13.52,1100,0
ERH.US,5,20210924,164500,13.55,13.55,13.55,13.55,100,0
ERH.US,5,20210924,171000,13.55,13.55,13.55,13.55,200,0
ERH.US,5,20210924,172500,13.55,13.55,13.55,13.55,100,0
ERH.US,5,20210924,173000,13.6,13.6397,13.6,13.6397,1156,0
ERH.US,5,20210924,173500,13.6,13.6,13.6,13.6,835,0
ERH.US,5,20210924,175500,13.55,13.55,13.55,13.55,100,0
ERH.US,5,20210924,181000,13.55,13.55,13.51,13.51,4725,0
ERH.US,5,20210924,181500,13.48,13.48,13.48,13.48,100,0
ERH.US,5,20210924,183000,13.5,13.5,13.4982,13.5,1742,0
ERH.US,5,20210924,184000,13.51,13.51,13.425,13.47,3000,0
ERH.US,5,20210924,184500,13.425,13.45,13.425,13.45,400,0
ERH.US,5,20210924,185000,13.42,13.4429,13.41,13.4429,612,0
ERH.US,5,20210924,185500,13.45,13.45,13.41,13.4405,1025,0
ERH.US,5,20210924,190000,13.45,13.45,13.34,13.37,5043,0
ERH.US,5,20210924,191000,13.37,13.39,13.37,13.39,200,0
ERH.US,5,20210924,192000,13.35,13.35,13.26,13.32,2442,0
ERH.US,5,20210924,193500,13.26,13.26,13.26,13.26,2115,0
ERH.US,5,20210924,194000,13.255,13.255,13.255,13.255,377,0
ERH.US,5,20210924,195000,13.25,13.25,13.25,13.25,200,0
ERH.US,5,20210924,195500,13.24,13.2401,13.23,13.23,2744,0
ERH.US,5,20210924,200000,13.235,13.235,13.21,13.21,1600,0
ERH.US,5,20210924,200500,13.2,13.205,13.11,13.11,7455,0
ERH.US,5,20210924,201000,13.18,13.1908,13.18,13.1908,200,0
ERH.US,5,20210924,201500,13.18,13.18,13.1,13.1,721,0
ERH.US,5,20210924,202000,13.1664,13.1664,13.1664,13.1664,400,0
ERH.US,5,20210924,203000,13.14,13.14,13.14,13.14,100,0
ERH.US,5,20210924,203500,13.17,13.17,13.17,13.17,200,0
ERH.US,5,20210924,204500,13.16,13.16,13.16,13.16,200,0
ERH.US,5,20210924,205000,13.185,13.185,13.17,13.17,1149,0
ERH.US,5,20210924,205500,13.185,13.185,13.17,13.185,1350,0
ERH.US,5,20210924,210000,13.185,13.185,13.185,13.185,100,0
ERH.US,5,20210924,210500,13.18,13.18,13.18,13.18,100,0
ERH.US,5,20210924,211000,13.184,13.184,13.18,13.1801,300,0
ERH.US,5,20210924,211500,13.205,13.205,13.17,13.18,700,0
ERH.US,5,20210924,212000,13.21,13.21,13.1,13.19,5127,0
ERH.US,5,20210924,212500,13.11,13.17,13.11,13.17,673,0
ERH.US,5,20210924,213500,13.178,13.178,13.178,13.178,345,0
ERH.US,5,20210924,214500,13.16,13.19,13.13,13.18,1800,0
ERH.US,5,20210924,215000,13.148,13.148,13.148,13.148,200,0
ERH.US,5,20210924,215500,13.15,13.2,13.15,13.2,1155,0
ERH.US,5,20210927,153000,13.15,13.2579,13.15,13.2579,3753,0
ERH.US,5,20210927,154000,13.18,13.292,13.18,13.292,716,0
ERH.US,5,20210927,154500,13.245,13.245,13.245,13.245,600,0
ERH.US,5,20210927,155000,13.208,13.51,13.208,13.49,1400,0
ERH.US,5,20210927,161000,13.35,13.36,13.35,13.35,500,0
ERH.US,5,20210927,164000,13.3261,13.3261,13.3261,13.3261,100,0
ERH.US,5,20210927,165000,13.3283,13.3283,13.3,13.3,1215,0
ERH.US,5,20210927,171000,13.33,13.33,13.31,13.31,400,0
ERH.US,5,20210927,172000,13.32,13.32,13.32,13.32,154,0
ERH.US,5,20210927,174000,13.3,13.3,13.22,13.22,600,0
ERH.US,5,20210927,175000,13.31,13.31,13.31,13.31,100,0
