<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
ORLA.US,5,20210922,153000,3.72,3.7623,3.72,3.7623,577,0
ORLA.US,5,20210922,153500,3.765,3.765,3.765,3.765,100,0
ORLA.US,5,20210922,154000,3.76,3.77,3.76,3.77,234,0
ORLA.US,5,20210922,155500,3.71,3.71,3.71,3.71,100,0
ORLA.US,5,20210922,160000,3.71,3.71,3.71,3.71,100,0
ORLA.US,5,20210922,160500,3.7,3.7,3.7,3.7,100,0
ORLA.US,5,20210922,161000,3.68,3.69,3.68,3.69,300,0
ORLA.US,5,20210922,161500,3.68,3.68,3.68,3.68,200,0
ORLA.US,5,20210922,162000,3.71,3.71,3.71,3.71,300,0
ORLA.US,5,20210922,162500,3.715,3.715,3.715,3.715,200,0
ORLA.US,5,20210922,163000,3.73,3.73,3.71,3.73,1850,0
ORLA.US,5,20210922,164500,3.77,3.77,3.76,3.76,718,0
ORLA.US,5,20210922,165000,3.7648,3.7648,3.7648,3.7648,100,0
ORLA.US,5,20210922,170000,3.78,3.79,3.77,3.79,1344,0
ORLA.US,5,20210922,170500,3.795,3.795,3.795,3.795,100,0
ORLA.US,5,20210922,171000,3.79,3.7915,3.785,3.785,2500,0
ORLA.US,5,20210922,171500,3.7849,3.7849,3.7849,3.7849,300,0
ORLA.US,5,20210922,172000,3.8,3.8,3.8,3.8,10998,0
ORLA.US,5,20210922,172500,3.81,3.81,3.8031,3.8031,400,0
ORLA.US,5,20210922,173000,3.8,3.8,3.8,3.8,100,0
ORLA.US,5,20210922,174000,3.81,3.82,3.81,3.82,500,0
ORLA.US,5,20210922,174500,3.83,3.83,3.83,3.83,100,0
ORLA.US,5,20210922,175000,3.82,3.83,3.82,3.83,600,0
ORLA.US,5,20210922,175500,3.825,3.825,3.82,3.82,1848,0
ORLA.US,5,20210922,180000,3.81,3.81,3.81,3.81,125,0
ORLA.US,5,20210922,181500,3.79,3.79,3.79,3.79,200,0
ORLA.US,5,20210922,182000,3.79,3.79,3.79,3.79,195,0
ORLA.US,5,20210922,183000,3.78,3.78,3.78,3.78,391,0
ORLA.US,5,20210922,183500,3.78,3.78,3.78,3.78,125,0
ORLA.US,5,20210922,185000,3.78,3.78,3.78,3.78,200,0
ORLA.US,5,20210922,185500,3.78,3.78,3.77,3.77,600,0
ORLA.US,5,20210922,191000,3.765,3.765,3.765,3.765,100,0
ORLA.US,5,20210922,192000,3.74,3.74,3.74,3.74,2200,0
ORLA.US,5,20210922,192500,3.74,3.74,3.74,3.74,200,0
ORLA.US,5,20210922,193500,3.739,3.739,3.739,3.739,1000,0
