<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
RLGT.US,5,20210922,153000,6.48,6.57,6.48,6.49,3854,0
RLGT.US,5,20210922,153500,6.49,6.5,6.465,6.465,9700,0
RLGT.US,5,20210922,154000,6.46,6.46,6.44,6.44,2583,0
RLGT.US,5,20210922,154500,6.44,6.44,6.435,6.4375,841,0
RLGT.US,5,20210922,155000,6.46,6.46,6.46,6.46,100,0
RLGT.US,5,20210922,155500,6.47,6.47,6.47,6.47,200,0
RLGT.US,5,20210922,160000,6.47,6.47,6.47,6.47,400,0
RLGT.US,5,20210922,160500,6.47,6.475,6.47,6.475,200,0
RLGT.US,5,20210922,161000,6.475,6.475,6.475,6.475,200,0
RLGT.US,5,20210922,161500,6.485,6.49,6.485,6.49,235,0
RLGT.US,5,20210922,162000,6.47,6.5,6.47,6.5,700,0
RLGT.US,5,20210922,163500,6.51,6.51,6.51,6.51,200,0
RLGT.US,5,20210922,164000,6.5298,6.53,6.5298,6.53,600,0
RLGT.US,5,20210922,164500,6.555,6.555,6.555,6.555,100,0
RLGT.US,5,20210922,165000,6.555,6.555,6.54,6.54,500,0
RLGT.US,5,20210922,165500,6.535,6.535,6.535,6.535,250,0
RLGT.US,5,20210922,170000,6.535,6.55,6.52,6.54,1353,0
RLGT.US,5,20210922,170500,6.54,6.55,6.54,6.55,200,0
RLGT.US,5,20210922,171000,6.53,6.54,6.53,6.54,200,0
RLGT.US,5,20210922,171500,6.55,6.58,6.47,6.485,15033,0
RLGT.US,5,20210922,172000,6.485,6.49,6.47,6.49,1100,0
RLGT.US,5,20210922,172500,6.485,6.485,6.47,6.485,300,0
RLGT.US,5,20210922,173000,6.49,6.5,6.47,6.49,3712,0
RLGT.US,5,20210922,173500,6.5,6.5,6.5,6.5,100,0
RLGT.US,5,20210922,174000,6.51,6.51,6.5,6.5,300,0
RLGT.US,5,20210922,174500,6.51,6.51,6.5,6.5,800,0
RLGT.US,5,20210922,175000,6.5,6.51,6.5,6.51,300,0
RLGT.US,5,20210922,175500,6.5,6.505,6.5,6.505,300,0
RLGT.US,5,20210922,180000,6.5,6.51,6.5,6.51,500,0
RLGT.US,5,20210922,180500,6.515,6.515,6.5,6.51,1263,0
RLGT.US,5,20210922,181000,6.5,6.5,6.5,6.5,100,0
RLGT.US,5,20210922,181500,6.5,6.5,6.47,6.49,3377,0
RLGT.US,5,20210922,182500,6.49,6.49,6.49,6.49,200,0
RLGT.US,5,20210922,183000,6.4801,6.5,6.48,6.48,3520,0
RLGT.US,5,20210922,183500,6.48,6.48,6.45,6.45,3936,0
RLGT.US,5,20210922,184000,6.44,6.44,6.44,6.44,300,0
RLGT.US,5,20210922,184500,6.44,6.445,6.435,6.435,800,0
RLGT.US,5,20210922,185000,6.43,6.43,6.43,6.43,100,0
RLGT.US,5,20210922,185500,6.43,6.44,6.43,6.44,500,0
RLGT.US,5,20210922,190000,6.4499,6.48,6.4499,6.48,6800,0
RLGT.US,5,20210922,190500,6.48,6.49,6.48,6.49,1252,0
RLGT.US,5,20210922,191500,6.49,6.49,6.485,6.485,4548,0
RLGT.US,5,20210922,192000,6.4813,6.4813,6.48,6.48,841,0
RLGT.US,5,20210922,192500,6.48,6.48,6.48,6.48,400,0
RLGT.US,5,20210922,193000,6.47,6.505,6.47,6.505,2209,0
RLGT.US,5,20210922,193500,6.52,6.52,6.52,6.52,118,0
RLGT.US,5,20210922,194500,6.515,6.515,6.51,6.51,200,0
RLGT.US,5,20210922,195000,6.5,6.5001,6.5,6.5001,200,0
RLGT.US,5,20210922,200000,6.5,6.52,6.5,6.5,700,0
RLGT.US,5,20210922,201500,6.55,6.55,6.55,6.55,100,0
RLGT.US,5,20210922,202000,6.55,6.55,6.535,6.535,300,0
RLGT.US,5,20210922,203000,6.54,6.55,6.53,6.55,1100,0
RLGT.US,5,20210922,203500,6.55,6.56,6.55,6.56,896,0
RLGT.US,5,20210922,204000,6.56,6.56,6.55,6.55,926,0
RLGT.US,5,20210922,204500,6.55,6.55,6.52,6.53,6397,0
RLGT.US,5,20210922,205000,6.53,6.53,6.51,6.52,1100,0
RLGT.US,5,20210922,205500,6.52,6.525,6.52,6.52,1200,0
RLGT.US,5,20210922,210000,6.52,6.52,6.52,6.52,634,0
RLGT.US,5,20210922,210500,6.52,6.52,6.52,6.52,400,0
RLGT.US,5,20210922,211000,6.52,6.52,6.51,6.52,1200,0
RLGT.US,5,20210922,211500,6.52,6.52,6.51,6.52,1600,0
RLGT.US,5,20210922,212000,6.52,6.52,6.51,6.51,400,0
RLGT.US,5,20210922,212500,6.52,6.52,6.51,6.51,500,0
RLGT.US,5,20210922,213000,6.52,6.52,6.49,6.49,5600,0
