<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
SMTS.US,5,20210922,153000,1.87,1.9,1.85,1.89,10180,0
SMTS.US,5,20210922,154000,1.9099,1.9099,1.9,1.9,2483,0
SMTS.US,5,20210922,154500,1.9,1.92,1.8999,1.9101,9536,0
SMTS.US,5,20210922,155000,1.91,1.92,1.91,1.92,12279,0
SMTS.US,5,20210922,155500,1.92,1.93,1.92,1.92,9300,0
SMTS.US,5,20210922,160000,1.92,1.92,1.911,1.911,1440,0
SMTS.US,5,20210922,160500,1.91,1.91,1.9,1.91,7099,0
SMTS.US,5,20210922,161000,1.9,1.9,1.9,1.9,205,0
SMTS.US,5,20210922,161500,1.903,1.903,1.903,1.903,1000,0
SMTS.US,5,20210922,162000,1.9,1.91,1.9,1.9,300,0
SMTS.US,5,20210922,162500,1.9,1.9,1.9,1.9,100,0
SMTS.US,5,20210922,163000,1.91,1.91,1.91,1.91,2130,0
SMTS.US,5,20210922,163500,1.9029,1.9029,1.9029,1.9029,105,0
SMTS.US,5,20210922,164000,1.91,1.91,1.91,1.91,300,0
SMTS.US,5,20210922,164500,1.9138,1.9138,1.91,1.91,400,0
SMTS.US,5,20210922,165000,1.9111,1.9111,1.9111,1.9111,100,0
SMTS.US,5,20210922,165500,1.915,1.915,1.91,1.9119,923,0
SMTS.US,5,20210922,170000,1.9192,1.9192,1.9192,1.9192,100,0
SMTS.US,5,20210922,170500,1.91,1.91,1.91,1.91,5367,0
SMTS.US,5,20210922,171000,1.91,1.91,1.91,1.91,900,0
SMTS.US,5,20210922,171500,1.9,1.9,1.9,1.9,500,0
SMTS.US,5,20210922,172000,1.9089,1.9089,1.9089,1.9089,1240,0
SMTS.US,5,20210922,172500,1.9,1.9,1.9,1.9,200,0
SMTS.US,5,20210922,173000,1.9026,1.92,1.9026,1.92,15148,0
SMTS.US,5,20210922,173500,1.92,1.9243,1.92,1.9243,2200,0
SMTS.US,5,20210922,174000,1.925,1.925,1.92,1.92,2200,0
SMTS.US,5,20210922,174500,1.92,1.95,1.92,1.95,3281,0
SMTS.US,5,20210922,175500,1.9512,1.96,1.9512,1.952,1500,0
SMTS.US,5,20210922,180000,1.96,1.96,1.955,1.955,600,0
SMTS.US,5,20210922,180500,1.9588,1.9799,1.955,1.97,26392,0
SMTS.US,5,20210922,181000,1.96,1.96,1.96,1.96,100,0
SMTS.US,5,20210922,181500,1.96,1.965,1.96,1.965,1100,0
SMTS.US,5,20210922,182000,1.96,1.96,1.96,1.96,1308,0
SMTS.US,5,20210922,182500,1.95,1.96,1.95,1.95,500,0
SMTS.US,5,20210922,183000,1.9509,1.9509,1.95,1.95,2600,0
SMTS.US,5,20210922,183500,1.94,1.9401,1.94,1.9401,240,0
SMTS.US,5,20210922,184000,1.94,1.9401,1.94,1.94,6690,0
SMTS.US,5,20210922,184500,1.93,1.93,1.92,1.92,2100,0
SMTS.US,5,20210922,185000,1.9254,1.9284,1.92,1.925,6818,0
SMTS.US,5,20210922,185500,1.92,1.92,1.92,1.92,100,0
SMTS.US,5,20210922,190000,1.925,1.925,1.92,1.925,755,0
SMTS.US,5,20210922,191000,1.9299,1.9299,1.9299,1.9299,5000,0
SMTS.US,5,20210922,191500,1.92,1.93,1.92,1.925,1000,0
SMTS.US,5,20210922,192000,1.925,1.925,1.9,1.9,7780,0
SMTS.US,5,20210922,192500,1.91,1.91,1.9,1.9,500,0
SMTS.US,5,20210922,193500,1.9,1.9,1.9,1.9,100,0
SMTS.US,5,20210922,194000,1.905,1.905,1.901,1.905,400,0
SMTS.US,5,20210922,194500,1.9,1.909,1.9,1.909,240,0
SMTS.US,5,20210922,200000,1.9099,1.93,1.9099,1.93,4275,0
SMTS.US,5,20210922,200500,1.94,1.94,1.935,1.935,500,0
SMTS.US,5,20210922,201000,1.93,1.93,1.93,1.93,100,0
SMTS.US,5,20210922,201500,1.93,1.93,1.93,1.93,400,0
SMTS.US,5,20210922,202000,1.93,1.9399,1.93,1.9399,400,0
SMTS.US,5,20210922,203000,1.935,1.935,1.935,1.935,100,0
SMTS.US,5,20210922,203500,1.935,1.935,1.9262,1.9262,1100,0
SMTS.US,5,20210922,204000,1.92,1.965,1.905,1.94,62309,0
SMTS.US,5,20210922,204500,1.94,1.9449,1.93,1.93,25746,0
SMTS.US,5,20210922,205000,1.93,1.955,1.93,1.955,23302,0
SMTS.US,5,20210922,205500,1.955,1.955,1.945,1.945,6839,0
SMTS.US,5,20210922,210000,1.94,1.9499,1.94,1.94,1889,0
SMTS.US,5,20210922,210500,1.94,1.95,1.94,1.95,1737,0
SMTS.US,5,20210922,211000,1.95,1.95,1.95,1.95,500,0
SMTS.US,5,20210922,211500,1.96,1.98,1.96,1.98,2036,0
SMTS.US,5,20210922,212000,1.98,1.985,1.98,1.985,6405,0
SMTS.US,5,20210922,212500,1.98,1.98,1.97,1.97,1720,0
SMTS.US,5,20210922,213000,1.97,1.97,1.97,1.97,5518,0
SMTS.US,5,20210922,213500,1.96,1.96,1.96,1.96,600,0
SMTS.US,5,20210922,214000,1.96,1.97,1.96,1.96,3650,0
SMTS.US,5,20210922,214500,1.965,1.965,1.96,1.96,3100,0
SMTS.US,5,20210922,215000,1.965,1.97,1.95,1.95,4700,0
SMTS.US,5,20210922,215500,1.95,1.96,1.95,1.96,6395,0
SMTS.US,5,20210923,153000,1.96,1.96,1.93,1.9599,4042,0
SMTS.US,5,20210923,153500,1.93,1.93,1.92,1.93,650,0
SMTS.US,5,20210923,154000,1.9492,1.95,1.94,1.95,600,0
