<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
ADF-WS.US,5,20210923,182000,1.99,2,1.99,1.99,1255,0
ADF-WS.US,5,20210924,153000,2.1,2.1,2.1,2.1,200,0
ADF-WS.US,5,20210924,193500,2.06,2.06,2.06,2.06,150,0
ADF-WS.US,5,20210927,162500,2.039,2.039,2.039,2.039,500,0
ADF-WS.US,5,20210927,174000,1.99,1.99,1.99,1.99,925,0
ADF-WS.US,5,20210927,180000,1.99,1.99,1.99,1.99,4475,0
ADF-WS.US,5,20210927,183500,1.99,1.99,1.99,1.99,2000,0
ADF-WS.US,5,20210927,190000,1.99,1.99,1.99,1.99,2000,0
ADF-WS.US,5,20210927,190500,1.99,1.99,1.99,1.99,1000,0
ADF-WS.US,5,20210927,191000,1.99,1.99,1.99,1.99,1000,0
ADF-WS.US,5,20210927,193500,1.99,1.99,1.99,1.99,1000,0
ADF-WS.US,5,20210927,212000,1.98,1.98,1.98,1.98,5360,0
ADF-WS.US,5,20210927,213500,1.98,1.98,1.98,1.98,600,0
ADF-WS.US,5,20210927,214000,1.98,1.98,1.97,1.97,1532,0
ADF-WS.US,5,20210927,215500,1.95,1.96,1.94,1.94,5900,0
ADF-WS.US,5,20210929,182000,1.99,1.99,1.99,1.99,124,0
ADF-WS.US,5,20210929,212000,2,2,2,2,1200,0
ADF-WS.US,5,20210929,212500,1.99,2,1.99,2,3114,0
ADF-WS.US,5,20210929,213000,1.99,1.99,1.99,1.99,100,0
ADF-WS.US,5,20210929,213500,1.99,1.99,1.99,1.99,200,0
ADF-WS.US,5,20210929,214000,1.99,1.99,1.99,1.99,100,0
ADF-WS.US,5,20210929,214500,1.99,1.99,1.99,1.99,200,0
ADF-WS.US,5,20210929,215000,1.99,1.99,1.99,1.99,300,0
ADF-WS.US,5,20210929,215500,1.99,1.99,1.94,1.94,500,0
ADF-WS.US,5,20210930,211000,2,2,2,2,7000,0
ADF-WS.US,5,20210930,213000,2.02,2.02,2.02,2.02,700,0
ADF-WS.US,5,20211001,155500,2,2,2,2,2000,0
ADF-WS.US,5,20211004,160000,1.96,1.96,1.95,1.95,500,0
ADF-WS.US,5,20211004,162000,1.97,1.97,1.97,1.97,1250,0
ADF-WS.US,5,20211004,163000,1.98,2,1.98,2,1132,0
ADF-WS.US,5,20211004,182500,1.97,1.97,1.95,1.95,3200,0
ADF-WS.US,5,20211004,185500,1.94,1.94,1.94,1.94,6800,0
ADF-WS.US,5,20211004,193500,1.94,1.94,1.94,1.94,100,0
ADF-WS.US,5,20211004,195500,1.9613,1.9613,1.9613,1.9613,100,0
ADF-WS.US,5,20211004,200000,1.94,1.94,1.88,1.88,5510,0
ADF-WS.US,5,20211004,204000,1.86,1.86,1.75,1.75,9919,0
ADF-WS.US,5,20211004,204500,1.84,1.93,1.84,1.8955,948,0
ADF-WS.US,5,20211004,205000,1.89,1.89,1.8754,1.8754,1050,0
ADF-WS.US,5,20211004,212500,1.89,1.89,1.89,1.89,1926,0
ADF-WS.US,5,20211004,213500,1.83,1.83,1.83,1.83,100,0
ADF-WS.US,5,20211004,214000,1.84,1.86,1.83,1.83,600,0
ADF-WS.US,5,20211004,215000,1.84,1.84,1.84,1.84,258,0
ADF-WS.US,5,20211005,163500,1.89,1.9,1.89,1.8955,1100,0
ADF-WS.US,5,20211006,190500,1.89,1.9,1.89,1.9,1749,0
ADF-WS.US,5,20211006,212000,1.95,1.99,1.95,1.99,900,0
ADF-WS.US,5,20211006,212500,1.99,1.99,1.99,1.99,100,0
ADF-WS.US,5,20211007,153500,1.9662,1.9662,1.9662,1.9662,500,0
